OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035475001,53756.8730393751,0.9285911917686462,0.0762234553694725,3.9160830974578857,0.17282186448574066,,,,,,,,,0.106775,0.005748,0.068628,0.004661,0.1751199,0.014789508,0.642739,0.055705,False,False
00035475002,53798.7213641703,0.9621157646179199,0.09721603989601135,3.4238922595977783,0.22565282881259918,,,,,,,,,0.093191,0.006853,0.074463,0.006085,0.1676641,0.018328452,0.799045,0.087841,False,False
00035475003,53836.4957010613,1.1461071968078613,0.07157581299543381,3.6352548599243164,0.11771024018526077,,,,,,,,,0.105961,0.004145,0.076549,0.003626,0.1817785,0.010990486,0.722423,0.04438,False,False
00090217001,55166.1214836092,,,,,,,,,2.2316079139709473,0.16957423090934753,,,0.058785,0.036305,0.056245,0.033194,0.1151397,0.10012325,0.956793,0.817336,True,False
00090217002,55166.5226086903,,,,,,,,,2.3218729496002197,0.13016466796398163,,,0.220501,0.043279,0.109743,0.030638,0.3302447,0.1060524,0.497697,0.169849,False,False
00090217003,55167.0756812713,,,,,,,3.558444023132324,0.06641662120819092,,,,,0.109414,0.01245,0.043078,0.00785,0.1524925,0.02943528,0.393719,0.084581,False,False
00090217005,55168.3333922804,,,,,5.2237138748168945,0.08188654482364655,,,,,,,0.137327,0.016758,0.069037,0.012216,0.2063846,0.04146572,0.502715,0.108055,False,False
00090217006,55168.6677855675,,,,,5.207383155822754,0.07926449179649353,,,,,,,0.174361,0.016094,0.091271,0.01188,0.2656432,0.04000206,0.523459,0.083528,False,False
00090217007,55169.007691204,,,,,,,,,,,4.307596206665039,0.06851007044315338,0.188317,0.018816,0.056783,0.010666,0.2451173,0.04324572,0.301527,0.064155,False,False
00090217008,55169.217122292,,,,,,,,,,,4.334384441375732,0.07396245747804642,0.137611,0.016549,0.060915,0.011086,0.1965123,0.03963394,0.442657,0.096561,False,False
00090217009,55170.0198290303,,,,,,,,,2.2600154876708984,0.052916932851076126,,,0.18203,0.016266,0.089345,0.011405,0.2684858,0.0395207,0.490827,0.07648,False,False
00090217010,55170.8190568891,,,,,,,,,2.146082639694214,0.04496431723237038,,,0.180668,0.016498,0.094461,0.011815,0.2726154,0.04043234,0.522842,0.080969,False,False
00090217011,55171.0127533359,,,,,,,3.2982492446899414,0.059239864349365234,,,,,0.191431,0.017479,0.047918,0.008127,0.2380845,0.03840782,0.250315,0.048216,False,False
00090217012,55171.5440130349,,,,,,,3.3621726036071777,0.05984504148364067,,,,,0.214094,0.021299,0.100182,0.014606,0.3142767,0.05165138,0.467935,0.082591,False,False
00090217013,55172.0801234421,,,,,5.038147926330566,0.0767701268196106,,,,,,,0.190145,0.016279,0.099259,0.011447,0.2869054,0.03963334,0.522017,0.074977,False,False
00090217014,55172.5474874815,,,,,4.993271350860596,0.07660897076129913,,,,,,,0.216369,0.022611,0.096066,0.014868,0.3124196,0.05411576,0.44399,0.082912,False,False
00090217015,55173.2289748194,,,,,,,,,,,4.242585182189941,0.06840389966964722,0.195504,0.016015,0.093231,0.010978,0.2887322,0.03883096,0.476876,0.068403,False,False
00090217016,55173.7560227266,,,,,,,,,,,3.8423523902893066,0.06445090472698212,0.187831,0.018849,0.093818,0.013641,0.2816596,0.04652494,0.499483,0.088243,False,False
00090217017,55174.1539338493,,,,,,,,,2.365834951400757,0.05048320069909096,,,0.175826,0.017286,0.091811,0.01237,0.267628,0.04251016,0.52217,0.087095,False,False
00090217018,55174.6219647752,,,,,,,,,2.265216112136841,0.049242351204156876,,,0.19492,0.022918,0.105021,0.017587,0.3000113,0.05773928,0.538789,0.110246,False,False
00090217019,55175.1555735252,,,,,,,3.2618870735168457,0.057800572365522385,,,,,0.116685,0.01166,0.033069,0.006213,0.1497525,0.02642358,0.283401,0.060311,False,False
00090217020,55175.6928698466,,,,,,,3.377275228500366,0.06123379245400429,,,,,0.149443,0.017135,0.059616,0.010896,0.2071283,0.04042756,0.398924,0.08607,False,False
00090217021,55176.158586004,,,,,5.361593723297119,0.07920080423355103,,,,,,,0.234259,0.019945,0.084226,0.011954,0.3185177,0.04650492,0.359543,0.059507,False,False
00090217022,55176.6943213512,,,,,5.342848300933838,0.08130744844675064,,,,,,,0.14171,0.01509,0.045584,0.008611,0.1872935,0.0347477,0.321671,0.069752,False,False
00090217023,55177.1623759693,,,,,,,,,,,4.361560344696045,0.06936021894216537,0.187506,0.016431,0.091383,0.011512,0.27889,0.04012466,0.487359,0.074787,False,False
00090217024,55177.697808506,,,,,,,,,,,4.288134574890137,0.06886261701583862,0.153418,0.015988,0.046499,0.008927,0.1999238,0.03662148,0.303086,0.066207,False,False
00090217025,55179.5419129041,,,,,,,3.4518423080444336,0.03894764557480812,,,,,0.055598,0.005587,0.021968,0.003547,0.07758277,0.01323474,0.395122,0.075141,False,False
00090217026,55181.645740547,,,,,,,,,,,4.037965297698975,0.06688143312931061,0.065641,0.009405,0.022345,0.005534,0.08798567,0.02182486,0.340415,0.097403,False,False
00090217027,55183.0532551419,,,,,,,3.5246849060058594,0.06242591142654419,,,,,0.067989,0.009386,0.017639,0.004826,0.08562772,0.02110796,0.25944,0.0795,False,False
00090217028,55185.0545294155,,,,,,,,,,,4.090902328491211,0.06236916407942772,0.051968,0.007745,0.018059,0.004565,0.06889922,0.01783846,0.347501,0.101976,False,False
00090217029,55187.4070731441,,,,,,,3.338258981704712,0.05587261915206909,,,,,0.05601,0.007819,0.025616,0.005319,0.08162578,0.018913518,0.457339,0.114433,False,False
00090217030,55189.4119450903,,,,,,,,,,,4.229596138000488,0.06231006234884262,0.069533,0.008601,0.028193,0.005517,0.09667019,0.02032698,0.405462,0.09387,False,False
00090217031,55191.2807662725,,,,,,,3.427886962890625,0.051807742565870285,,,,,0.133216,0.011916,0.076663,0.009076,0.2098791,0.02995808,0.575476,0.085392,False,False
00090217032,55193.2870991794,,,,,,,,,,,4.021880626678467,0.053550757467746735,0.220909,0.017315,0.0907,0.011235,0.308547,0.04114454,0.410575,0.060184,False,False
00090217033,55195.6324152466,,,,,,,3.404916524887085,0.05024856701493263,,,,,0.174002,0.014168,0.067261,0.008502,0.2397129,0.03289136,0.386552,0.058121,False,False
00090217034,55197.9697882575,,,,,,,,,,,4.045766353607178,0.061863452196121216,0.041716,0.006819,0.025069,0.005305,0.0656796,0.017136966,0.600934,0.160686,False,False
00090217035,55199.9474749837,,,,,,,3.3135714530944824,0.04890928789973259,,,,,0.062823,0.007222,0.017017,0.003781,0.0798408,0.016303176,0.270871,0.067765,False,False
00090217036,55201.9451053672,,,,,,,,,,,4.18703031539917,0.06047468259930611,0.193949,0.015625,0.100966,0.011452,0.2937282,0.03866788,0.520583,0.072426,False,False
00090217037,55211.3813347602,,,,,,,3.57572078704834,0.06503579020500183,,,,,0.037978,0.007348,0.005409,0.002855,0.04338837,0.015765898,0.142414,0.080064,False,False
00090217038,55213.4502605137,,,,,,,,,,,4.364522933959961,0.06760728359222412,0.039837,0.006982,0.014034,0.004215,0.05387115,0.016311204,0.352297,0.122499,False,False
00090217039,55215.3566244849,,,,,,,3.4160308837890625,0.05384329706430435,,,,,0.073706,0.008449,0.029401,0.005365,0.1011578,0.019826328,0.398892,0.085956,False,False
00090217040,55217.5302946366,,,,,,,,,,,3.9244513511657715,0.05565695837140083,0.172854,0.014583,0.081745,0.010363,0.2537343,0.03573078,0.472916,0.072016,False,False
00090217041,55219.0770602743,,,,,,,3.850477457046509,0.05825551226735115,,,,,0.077553,0.009199,0.030972,0.005855,0.1085253,0.02180888,0.399369,0.08913,False,False
00090217042,55221.8112438639,,,,,,,,,,,3.9911391735076904,0.05087121203541756,0.185135,0.013239,0.098166,0.009604,0.283299,0.03271032,0.530242,0.064256,False,False
00090217044,55225.3858009256,,,,,,,,,,,4.080707550048828,0.06980748474597931,0.206405,0.018614,0.086593,0.012169,0.2930025,0.04447712,0.419529,0.070053,False,False
00090217045,55227.1573938663,,,,,,,3.376492977142334,0.06102477386593819,,,,,0.209045,0.017662,0.086256,0.011244,0.2940139,0.04179518,0.412621,0.064096,False,False
00090217046,55229.9679365759,,,,,,,,,,,,,0.210218,0.017982,0.111608,0.013459,0.3181384,0.0445003,0.530918,0.078494,False,False
00090217047,55231.043798775,,,,,,,3.0096535682678223,0.050244104117155075,,,,,0.160035,0.013236,0.075802,0.00927,0.2358454,0.03231504,0.473658,0.069928,False,False
00090217048,55233.9273221678,,,,,,,,,,,3.93339467048645,0.0731845498085022,0.065718,0.010321,0.017392,0.005361,0.08150459,0.02303756,0.264651,0.091559,False,False
00090217049,55235.6657355134,,,,,,,3.222141742706299,0.05618225038051605,,,,,0.028413,0.005834,0.015388,0.004311,0.04260914,0.014310602,0.541589,0.188123,False,False
00090217050,55237.8587821345,,,,,,,,,,,3.8315348625183105,0.06439880281686783,0.047616,0.007964,0.00899,0.003511,0.0566064,0.017407612,0.18881,0.080207,False,False
00090217051,55239.0629014169,,,,,,,3.3867390155792236,0.05762289837002754,,,,,0.038924,0.00855,0.006924,0.003648,0.04584102,0.018590902,0.177877,0.10153,False,False
00090217052,55241.9468372978,,,,,,,,,,,3.7408926486968994,0.05940311402082443,0.042306,0.00741,0.008816,0.003424,0.05112227,0.01632628,0.208387,0.088785,False,False
00090217053,55243.5447521357,,,,,,,3.34175181388855,0.05684148520231247,,,,,0.057509,0.010577,0.018981,0.006117,0.07649021,0.0244369,0.330046,0.122464,False,False
00090217054,55245.9161714308,,,,,,,,,,,3.9454710483551025,0.05642382428050041,0.029095,0.005544,0.008047,0.002964,0.03714285,0.012573982,0.276583,0.11471,False,False
00090217055,55247.5273810257,,,,,,,3.1328182220458984,0.052414197474718094,,,,,0.06227,0.008684,0.018786,0.004641,0.08104359,0.01968492,0.301681,0.085583,False,False
00090217057,55251.5071919759,,,,,,,3.1745643615722656,0.052905209362506866,,,,,0.042444,0.006702,0.017385,0.004316,0.05982861,0.015942434,0.40959,0.120507,False,False
00090217058,55253.2474430526,,,,,,,,,,,3.5814125537872314,0.05269899591803551,0.039509,0.006132,0.011107,0.003256,0.05061467,0.013886514,0.281118,0.093252,False,False
00090217059,55255.0532715831,,,,,,,3.051877498626709,0.0820753201842308,,,,,0.064029,0.014766,0.030066,0.010181,0.09409547,0.03587088,0.469578,0.192381,False,False
00090217060,55263.6145876028,,,,,,,3.501561403274536,0.05559718236327171,,,,,0.132024,0.014014,0.049314,0.008335,0.1801906,0.03252616,0.37352,0.074547,False,False
00090217061,55265.9228459015,,,,,,,,,,,4.197767734527588,0.06844497472047806,0.010049,0.005976,0.002149,0.002355,0.01214907,0.013073357,0.213853,0.266658,True,False
00090217062,55267.6591265267,,,,,,,3.3938093185424805,0.05621407553553581,,,,,0.051113,0.009905,0.026294,0.007139,0.07742252,0.02441912,0.514422,0.171594,False,False
00090217063,55269.5988628577,,,,,,,,,,,3.966742515563965,0.0608745738863945,0.026182,0.005618,0.008074,0.003147,0.03425463,0.012878092,0.308382,0.137194,False,False
00090217064,55271.0078924992,,,,,,,2.991370916366577,0.053579773753881454,,,,,0.028725,0.005895,0.002128,0.001691,0.03085113,0.012265306,0.074072,0.060786,False,False
00090217065,55273.3452162261,,,,,,,,,,,4.055933952331543,0.060783062130212784,0.020594,0.005195,0.004981,0.002613,0.0242563,0.011326508,0.241883,0.140803,False,False
00090217066,55275.1554369092,,,,,,,3.3376572132110596,0.08024654537439346,,,,,0.051012,0.011245,0.006951,0.004318,0.05796845,0.02409038,0.136263,0.089812,False,False
00090217067,55277.2912963191,,,,,,,,,,,4.236686706542969,0.07138952612876892,0.026342,0.007083,0.008907,0.00421,0.03524742,0.016479538,0.338144,0.18388,False,False
00090217068,55279.960439421,,,,,,,3.144838333129883,0.05706191435456276,,,,,0.054135,0.007959,0.019404,0.004787,0.07353907,0.01857536,0.358438,0.102944,False,False
00090217069,55281.0304587382,,,,,,,,,,,4.0754008293151855,0.06753069162368774,0.058548,0.008782,0.024524,0.005749,0.08307397,0.02099284,0.418862,0.116577,False,False
00090217070,55283.0375695714,,,,,,,3.333610773086548,0.06275995820760727,,,,,0.062027,0.009107,0.029819,0.006351,0.09184582,0.02220514,0.480744,0.124359,False,False
00090217071,55285.9804370365,,,,,,,,,,,4.272559642791748,0.0650954470038414,0.035401,0.006527,0.012783,0.003946,0.04818371,0.015254838,0.361087,0.129842,False,False
