OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035482001,54126.1214631544,29.694236755371094,0.3301126956939697,29.94488525390625,0.33710893988609314,,,,,,,,,0.420066,0.499587,0.683723,0.03658,3.5472,0.0,0.544641,0.036295,False,True
00031201001,54587.9131651473,,,,,,,,,0.3741976320743561,0.017007622867822647,,,1.207352,0.044803,0.706557,0.034133,1.908915,0.1124998,0.585212,0.035649,False,False
00031201002,54946.244060709,,,,,,,,,0.3818248212337494,0.010327189229428768,,,1.344222,0.046726,0.8331,0.036802,2.166025,0.11864318,0.619764,0.034838,False,False
00035482002,55123.3274758079,29.398813247680664,0.33984366059303284,29.596302032470703,0.34821227192878723,,,,,,,,,0.976992,0.039602,0.626297,0.031512,1.590844,0.10083424,0.641046,0.041419,False,False
00091489001,56022.8543065199,,,,,,,,,0.35701900720596313,0.03406355157494545,,,1.243902,0.085832,0.733544,0.065667,1.971629,0.2158292,0.589712,0.066654,False,False
00091489002,56024.4502062185,,,,,,,,,0.36615097522735596,0.017628062516450882,,,0.712961,0.273451,0.748042,0.03694,1.993638,0.12119016,0.595496,0.03725,False,False
00091489003,56026.0610879315,,,,,,,,,0.3401210606098175,0.019131500273942947,,,0.951169,0.288179,0.688986,0.036195,1.981622,0.12300248,0.527571,0.03429,False,False
00091489004,56027.8727109921,,,,,,,,,0.3533320724964142,0.03954864665865898,,,1.252412,0.122451,0.798715,0.097643,2.051127,0.3132302,0.637742,0.099831,False,False
00091489005,56031.8734643128,,,,,,,,,0.46384623646736145,0.07275213301181793,,,1.226838,0.152214,0.625718,0.108401,1.852556,0.3737376,0.510025,0.10868,False,False
00091489006,56032.9103884679,,,,,,,,,0.35364338755607605,0.023344941437244415,,,1.060025,0.052507,0.677409,0.041579,1.730307,0.13368878,0.63905,0.050404,False,False
00091489007,56034.9481939011,,,,,,,,,0.3827389180660248,0.06575851142406464,,,1.429894,0.169561,0.626131,0.112352,2.056026,0.4068116,0.437886,0.094181,False,False
00032503001,56100.796650618,,,,,12.697919845581055,0.1211666390299797,,,,,,,1.288003,0.091322,0.62815,0.061324,1.909632,0.219446,0.487693,0.058843,False,False
00032503002,56107.2034995514,,,,,,,1.9486459493637085,0.05059244856238365,,,,,0.928002,0.08303,0.599134,0.06596,1.519006,0.2114514,0.645618,0.09159,False,False
00032503003,56114.8969163785,,,,,,,,,0.3446277678012848,0.02183918096125126,,,1.058828,0.086083,0.484964,0.058304,1.529869,0.207003,0.45802,0.066473,False,False
00032503004,56121.2949434827,,,,,,,,,,,0.9176653623580933,0.035338182002305984,1.330778,0.106314,0.556477,0.068822,1.870503,0.2521808,0.418159,0.061567,False,False
00032503005,56128.9074457723,,,,,12.23878288269043,0.1371808499097824,,,,,,,1.237788,0.094606,0.618585,0.066724,1.856598,0.231536,0.499751,0.066067,False,False
00032503006,56135.9629393692,,,,,,,2.1495566368103027,0.05284564942121506,,,,,1.308933,0.092679,0.793589,0.072036,2.095991,0.2344014,0.606287,0.069797,False,False
00032503007,56150.6468677363,,,,,,,,,0.329145610332489,0.03301789239048958,,,1.088047,0.110759,0.62849,0.084054,1.694805,0.2763236,0.577632,0.097084,False,False
00032503008,56154.5178920945,,,,,,,,,0.36690250039100647,0.024276703596115112,,,1.190442,0.099606,0.752542,0.078919,1.926834,0.2530984,0.632153,0.084809,False,False
00032503009,56156.3838779714,,,,,12.204936981201172,0.21222899854183197,,,,,,,1.031909,0.122429,0.663695,0.097429,1.69561,0.3129308,0.643172,0.121398,False,False
00032503010,56163.3970021803,,,,,,,2.1830215454101562,0.054787684231996536,,,,,1.138421,0.091848,0.573912,0.065284,1.70474,0.2248598,0.50413,0.070306,False,False
00032503011,56170.8213520487,,,,,,,,,0.3821280300617218,0.023070460185408592,,,1.142195,0.102246,0.558325,0.068744,1.699259,0.2466858,0.488818,0.074411,False,False
00032503012,56170.9407298381,,,,,,,,,0.3912743926048279,0.0228230282664299,,,1.290585,0.101828,0.641257,0.071528,1.931843,0.24888,0.496873,0.067887,False,False
00032503014,56184.1678973237,,,,,11.758999824523926,0.12952148914337158,,,,,,,1.239514,0.102346,0.454303,0.061933,1.685509,0.2386742,0.366517,0.058416,False,False
00032503015,56191.0767453388,,,,,,,2.2269160747528076,0.03958629444241524,,,,,1.328763,0.084035,0.705932,0.06142,2.024474,0.207674,0.53127,0.057145,False,False
00032503016,56205.4656633853,,,,,,,,,,,0.8809880018234253,0.02438843436539173,1.123454,0.064976,0.510014,0.042933,1.629623,0.15553242,0.45397,0.046366,False,False
00032503017,56210.4053087404,,,,,,,,,0.3858051300048828,0.015637613832950592,,,1.229711,0.067025,0.706096,0.050841,1.91247,0.1673334,0.574197,0.051854,False,False
00032503018,56215.3109444079,,,,,,,2.099705934524536,0.034804582595825195,,,,,1.115386,0.064412,0.61173,0.047491,1.723153,0.15985698,0.548447,0.053066,False,False
00032503019,56220.2910759895,,,,,11.867148399353027,0.09112191945314407,,,,,,,1.237736,0.070391,0.743034,0.054169,1.973371,0.17732276,0.600317,0.055506,False,False
00032503020,56225.5670601172,,,,,,,,,,,0.786982536315918,0.03112017549574375,1.237469,0.104278,0.580589,0.06907,1.818184,0.2500528,0.469174,0.068399,False,False
00032503021,56230.6393047424,,,,,,,,,0.38967370986938477,0.015318389981985092,,,1.313713,0.073671,0.645508,0.051159,1.955495,0.17922392,0.491361,0.047705,False,False
00032503022,56235.1517086692,,,,,,,2.1440439224243164,0.037704579532146454,,,,,1.164687,0.074476,0.746921,0.058567,1.906355,0.1891744,0.641306,0.064887,False,False
00032503023,56240.8544355198,,,,,12.017924308776855,0.088603176176548,,,,,,,1.306366,0.076564,0.504553,0.047472,1.80608,0.17991422,0.386227,0.042813,False,False
00032503024,56254.0701165729,,,,,,,,,0.3515391945838928,0.014823686331510544,,,1.35981,0.072858,0.800682,0.055943,2.149366,0.1832572,0.588819,0.051844,False,False
00032503025,56259.3104627507,,,,,,,2.059481382369995,0.03716149553656578,,,,,1.345649,0.077646,0.818465,0.060451,2.151521,0.19627148,0.60823,0.057007,False,False
00032503026,56263.8432199861,,,,,,,2.0735607147216797,0.03552849590778351,,,,,1.395899,0.077411,0.74209,0.055948,2.133542,0.1908124,0.531622,0.049755,False,False
00032503027,56268.1851585441,,,,,11.788359642028809,0.0886484906077385,,,,,,,1.431352,0.08483,0.713576,0.059731,2.140238,0.2072642,0.498533,0.051131,False,False
00032503028,56273.5241738494,,,,,,,,,,,0.7826454639434814,0.030543068423867226,1.121152,0.094508,0.588495,0.068653,1.693664,0.2325282,0.524902,0.075548,False,False
00032503029,56278.7045574184,,,,,,,,,0.40712228417396545,0.03482089564204216,,,1.190268,0.139191,0.588325,0.097625,1.778596,0.340029,0.49428,0.100341,False,False
00032503030,56283.3444102804,,,,,,,1.976980447769165,0.03469313308596611,,,,,1.079011,0.072148,0.58752,0.053346,1.661359,0.17915828,0.544499,0.061399,False,False
00032503031,56288.3432765339,,,,,12.154234886169434,0.13120663166046143,,,,,,,1.34742,0.103397,0.612834,0.066748,1.951467,0.245319,0.454821,0.060598,False,False
00032503032,56293.8491302978,,,,,,,,,,,0.8194102048873901,0.022663621231913567,1.067768,0.065517,0.639595,0.04993,1.707398,0.16473312,0.599002,0.059476,False,False
00032503033,56306.6982987851,,,,,,,,,0.3578665554523468,0.019584553316235542,,,0.942465,0.077506,0.79596,0.071089,1.719801,0.2092428,0.844551,0.102535,False,False
00032503034,56311.8078132677,,,,,,,2.107611656188965,0.03449127450585365,,,,,1.297764,0.069663,0.623993,0.047906,1.91335,0.16867288,0.480822,0.045043,False,False
00032503035,56316.8043724251,,,,,12.099989891052246,0.11477822065353394,,,,,,,1.164355,0.079825,0.591208,0.056435,1.745767,0.19502866,0.507756,0.059674,False,False
00032503036,56321.2122935744,,,,,,,,,,,0.8072924613952637,0.02366037853062153,1.326317,0.077832,0.625112,0.053382,1.94281,0.18835334,0.471314,0.048835,False,False
00032503037,56326.5006901624,,,,,,,,,0.35962364077568054,0.014745023101568222,,,1.226825,0.066241,0.624058,0.046999,1.850893,0.16244014,0.508677,0.047138,False,False
00032503038,56331.4658079089,,,,,,,2.1778268814086914,0.05663350224494934,,,,,1.192896,0.110535,0.683176,0.083554,1.865975,0.2763868,0.572704,0.087876,False,False
00032503039,56336.8924311751,,,,,11.81973934173584,0.2069665491580963,,,,,,,0.703111,0.084747,0.598611,0.077231,1.292971,0.2285904,0.851376,0.150318,False,False
00032503040,56341.2013118939,,,,,,,,,,,0.8130418062210083,0.021884672343730927,1.21301,0.064944,0.653687,0.04751,1.86062,0.1606981,0.538897,0.048647,False,False
00032503041,56346.2149539529,,,,,,,,,0.3763055205345154,0.014752189628779888,,,1.109648,0.064857,0.606614,0.048026,1.71234,0.16120768,0.546673,0.053797,False,False
00032503042,56358.7615898985,,,,,,,,,0.33005985617637634,0.015027635730803013,,,1.094965,0.06828,0.583698,0.049426,1.678684,0.16858042,0.533075,0.056059,False,False
00032503043,56363.7017911149,,,,,,,2.122967004776001,0.03681404888629913,,,,,1.1809,0.06665,0.558561,0.045733,1.731924,0.1613112,0.472996,0.047037,False,False
00032503044,56368.9047868452,,,,,11.889800071716309,0.1233612447977066,,,,,,,1.09956,0.086039,0.55868,0.060864,1.650645,0.2102354,0.508095,0.068151,False,False
00032503045,56371.8721299656,,,,,,,2.120183229446411,0.04960423335433006,,,,,1.21913,0.11274,0.526655,0.073897,1.745786,0.2696008,0.431993,0.072595,False,False
00032503046,56373.2341197746,,,,,,,,,,,0.83482825756073,0.025510642677545547,1.330674,0.089741,0.510673,0.055495,1.841459,0.2110274,0.383771,0.049083,False,False
00032503047,56378.2244693927,,,,,,,,,0.40420112013816833,0.05272815376520157,,,0.778645,0.146786,0.47158,0.111839,1.250312,0.3690262,0.605642,0.183482,False,False
00032503048,56383.5896357469,,,,,,,1.9744019508361816,0.03303992375731468,,,,,1.204757,0.075061,0.669708,0.054434,1.866441,0.1850366,0.555887,0.05693,False,False
00032503049,56388.4273902029,,,,,12.136791229248047,0.10922319442033768,,,,,,,1.248655,0.0945,0.606005,0.065689,1.840658,0.2293242,0.485326,0.064162,False,False
00032503050,56395.7292571635,,,,,,,2.107450008392334,0.037419650703668594,,,,,1.245982,0.070554,0.60795,0.049143,1.84195,0.1714057,0.487929,0.048156,False,False
00032503051,56400.1300792908,,,,,11.446920394897461,0.09050651639699936,,,,,,,1.163866,0.058644,0.646022,0.04325,1.809921,0.14573094,0.555065,0.046509,False,False
00032503052,56411.0777203337,,,,,,,,,0.36692818999290466,0.023220809176564217,,,0.94134,0.081674,0.523206,0.061684,1.464501,0.204678,0.55581,0.08136,False,False
00032503053,56418.7243287758,,,,,,,,,0.3739044964313507,0.022959694266319275,,,1.174413,0.093352,0.543576,0.063465,1.717989,0.2257648,0.462849,0.065375,False,False
00032503055,56427.4982931797,,,,,,,1.9976272583007812,0.038168247789144516,,,,,1.112343,0.072001,0.504959,0.048229,1.613838,0.1731985,0.45396,0.052377,False,False
00032503056,56430.7199034054,,,,,,,,,0.3583434224128723,0.0157046839594841,,,1.33721,0.088089,0.740714,0.06512,2.071744,0.2187398,0.553925,0.060853,False,False
00032503057,56437.4662269726,,,,,,,,,,,0.8090143203735352,0.023029737174510956,0.988676,0.060895,0.617826,0.048342,1.602076,0.15525336,0.624902,0.062227,False,False
00032503058,56444.9361357816,,,,,11.932453155517578,0.0858900174498558,,,,,,,1.344376,0.062238,0.530734,0.039105,1.863774,0.1465627,0.394781,0.034353,False,False
00032503059,56451.1448461277,,,,,,,2.0601089000701904,0.03695613890886307,,,,,1.22444,0.063618,0.636253,0.045592,1.851176,0.1561474,0.519628,0.045993,False,False
00032503060,56466.1845422538,,,,,,,,,0.3487202525138855,0.015393627807497978,,,1.287889,0.07112,0.566629,0.047311,1.838733,0.17010676,0.439967,0.044043,False,False
00032503061,56472.7903047168,,,,,11.784741401672363,0.0860118493437767,,,,,,,1.429837,0.076668,0.65211,0.051731,2.069961,0.18444828,0.456073,0.043669,False,False
00032503062,56479.3891858499,,,,,,,2.117684841156006,0.06144070625305176,,,,,1.199978,0.111258,0.716159,0.085596,1.916142,0.2807484,0.596811,0.090278,False,False
00032503063,56483.0601670686,,,,,,,2.1768546104431152,0.04431070759892464,,,,,1.210474,0.081266,0.607232,0.057415,1.806905,0.19841714,0.501648,0.058172,False,False
00032503064,56486.5376371554,,,,,,,,,0.3541743755340576,0.014701059088110924,,,1.351399,0.069726,0.633683,0.047698,1.985192,0.16895906,0.468909,0.042791,False,False
00032503065,56493.4650688892,,,,,,,,,,,0.8217355608940125,0.0241636224091053,1.340726,0.073349,0.518746,0.045605,1.859591,0.1727409,0.386915,0.040064,False,False
00032503066,56500.6712828117,,,,,12.078057289123535,0.09501270949840546,,,,,,,1.274484,0.070026,0.765957,0.054177,2.033149,0.17675332,0.600994,0.053828,False,False
00032503067,56514.6556454101,,,,,,,,,0.34406471252441406,0.018388504162430763,,,1.039726,0.070518,0.756154,0.060334,1.784601,0.18494288,0.727263,0.07616,False,False
00032503068,56521.4608463325,,,,,,,,,,,0.8337370753288269,0.02246123179793358,1.272335,0.065596,0.690209,0.048476,1.948972,0.16256242,0.542474,0.047263,False,False
00032503069,56528.1941829483,,,,,11.995959281921387,0.09049994498491287,,,,,,,1.37123,0.069776,0.620243,0.046609,1.984763,0.16755056,0.452326,0.04105,False,False
00032503070,56535.0916768892,,,,,,,2.088221311569214,0.03801119327545166,,,,,1.243718,0.067391,0.584999,0.046153,1.817967,0.1628885,0.470363,0.045018,False,False
00032503071,56542.4009839807,,,,,,,,,0.3570905327796936,0.015423044562339783,,,1.30927,0.067088,0.61993,0.046109,1.915743,0.16224518,0.473493,0.042766,False,False
00032503072,56549.4733260119,,,,,,,,,,,0.7865418195724487,0.023308241739869118,1.233827,0.070265,0.584124,0.047943,1.810218,0.16975802,0.473425,0.047295,False,False
00032503073,56557.0740786797,,,,,,,,,,,0.7480320930480957,0.02623642049729824,1.421483,0.089537,0.662623,0.06113,2.078377,0.2165262,0.466149,0.052072,False,False
00032503074,56569.9150793024,,,,,,,,,,,0.7845684885978699,0.028292594477534294,1.310658,0.082358,0.763902,0.062376,2.064977,0.206177,0.582838,0.060052,False,False
00032503075,56577.5189179286,,,,,,,,,,,0.7896302342414856,0.021006129682064056,1.211225,0.066712,0.770877,0.053107,1.974904,0.17022506,0.636444,0.056136,False,False
00032503076,56584.8538438695,,,,,11.591922760009766,0.08716439455747604,,,,,,,1.320054,0.074315,0.690467,0.053589,2.002869,0.18292644,0.52306,0.050152,False,False
00032503077,56591.1921966508,,,,,,,2.0656237602233887,0.03747560456395149,,,,,1.265059,0.075954,0.650387,0.05428,1.901031,0.18597084,0.514116,0.052857,False,False
