OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00030835001,54060.8419942766,,,,,,,,,,,0.025287125259637833,0.004830704070627689,0.016596,0.002428,0.0217,0.002849,0.03759047,0.00741676,1.307596,0.257025,False,False
00030835002,54061.3110385937,,,,,,,,,0.006329428404569626,0.0039163874462246895,,,0.016461,0.002047,0.025158,0.002383,0.04162583,0.006272494,1.528291,0.238865,False,False
00030835003,54062.549592591,,,,,,,0.09050076454877853,0.007280461955815554,,,,,0.017084,0.001448,0.029489,0.001905,0.04645147,0.004779878,1.72609,0.183952,False,False
00030835004,54063.4853599405,,,,,0.5111697912216187,0.015109788626432419,,,,,,,0.014771,0.00176,0.023597,0.002212,0.038372,0.005652164,1.597515,0.242132,False,False
00030835005,54064.3620880171,,,,,,,,,,,0.018035389482975006,0.005297744646668434,0.015272,0.001742,0.034203,0.002602,0.04947542,0.006263534,2.239547,0.307096,False,False
00030835006,54065.8683474709,,,,,,,,,0.007917075417935848,0.0035846862010657787,,,0.018883,0.001557,0.029066,0.001931,0.04751978,0.004937208,1.539288,0.163025,False,False
00030835007,54066.6384792649,,,,,,,0.10441511124372482,0.008914164267480373,,,,,0.0,0.0,0.0,0.0,0.0037942,0.0,,,False,True
00030835008,54067.2086744617,,,,,0.506163477897644,0.018235357478260994,,,,,,,0.018436,0.00231,0.031337,0.003008,0.0494977,0.00756541,1.699781,0.268302,False,False
00030835009,54068.3457645754,,,,,,,,,,,0.017336195334792137,0.0055321259424090385,0.018722,0.001794,0.036086,0.002484,0.05462706,0.006116744,1.927449,0.227365,False,False
00030835010,54069.5179814735,,,,,,,,,0.006499029695987701,0.00483225891366601,,,0.021156,0.003837,0.029701,0.004537,0.05085644,0.011884434,1.403948,0.332934,False,False
00030835011,54070.2586177444,,,,,,,0.08630073070526123,0.010522202588617802,,,,,0.014085,0.002342,0.022681,0.002966,0.0367657,0.00755805,1.610251,0.340621,False,False
00080852001,56970.2141399282,,,,,,,,,0.006440889555960894,0.008984863758087158,,,0.022683,0.004828,0.04803,0.006996,0.06971132,0.016882452,2.117423,0.546119,False,False
00080852002,56973.5325168391,,,,,,,,,0.008913676254451275,0.01048127468675375,,,0.008578,0.003652,0.013296,0.004529,0.02187295,0.011635432,1.549977,0.845037,False,False
00080852003,58656.9375793368,,,,,0.3672923147678375,0.0496583990752697,,,,,,,0.004264,0.001952,0.008007,0.002733,0.01227174,0.0067729669999999995,1.877623,1.072134,True,False
00080852004,58664.7414022118,,,,,0.35327398777008057,0.04655306041240692,,,,,,,0.012735,0.003914,0.010274,0.003567,0.02301056,0.010590818,0.806777,0.374061,False,False
00080852005,58672.3038829282,,,,,0.3253592252731323,0.04134128987789154,,,,,,,0.018167,0.006526,0.029004,0.008185,0.04717064,0.02093538,1.596528,0.729316,False,False
00080852006,58680.5325752523,,,,,0.3809424936771393,0.035509511828422546,,,,,,,0.029185,0.005398,0.034825,0.00588,0.06401033,0.015964276,1.193233,0.298832,False,False
00080852007,58691.286109897,,,,,0.4168957769870758,0.03733184188604355,,,,,,,0.00969,0.0057,0.022177,0.008518,0.03186592,0.020740557,2.288714,1.60801,False,False
00030835012,58696.871350787,,,,,0.3934696912765503,0.03938111662864685,,,,,,,0.021732,0.008965,0.040187,0.012221,0.06191877,0.0303123,1.849255,0.947728,False,False
00030835013,58701.6632227998,,,,,0.22653120756149292,0.07528126984834671,,,,,,,-0.000172,6.1e-05,0.004548,0.003448,0.023953,0.0,-26.429295,-22.1058,True,True
00030835014,58703.9184494838,,,,,0.37070247530937195,0.053501226007938385,,,,,,,0.027658,0.006983,0.060885,0.010357,0.08854357,0.02498178,2.201323,0.670129,False,False
00030835015,58708.1015013113,,,,,0.3656192123889923,0.04359959438443184,,,,,,,0.02018,0.004949,0.022524,0.005236,0.04151121,0.01421136,1.116186,0.377187,False,False
00030835016,58710.221815015,,,,,0.43970587849617004,0.12620273232460022,,,,,,,-0.002262,0.000923,0.034608,0.020189,0.03235232,0.041932159999999996,-15.300373,-10.894271,True,False
00030835017,58717.331068272,,,,,0.4000444710254669,0.05395926535129547,,,,,,,0.008548,0.003551,0.024395,0.005985,0.03294272,0.013918148,2.853962,1.376847,True,False
00030835018,58724.7674666088,,,,,0.43439581990242004,0.040861666202545166,,,,,,,0.007702,0.00323,0.003808,0.002321,0.01151139,0.008058235,0.494398,0.365808,False,False
00030835020,58745.3795852546,,,,,0.36730480194091797,0.06126317009329796,,,,,,,0.00939,0.005532,0.002997,0.0032,0.01238827,0.013151955,0.31918,0.389254,True,False
00030835021,58752.3201468553,,,,,0.3295319974422455,0.07086165249347687,,,,,,,0.00846,0.00613,0.012715,0.007523,0.02117621,0.01985704,1.502995,1.406,True,False
00030835023,58760.6177890613,,,,,0.2988600730895996,0.04174243286252022,,,,,,,0.034039,0.007322,0.058432,0.009551,0.09247061,0.0240698,1.716613,0.463789,False,False
00030835024,58768.9840180671,,,,,0.3531492352485657,0.04190511256456375,,,,,,,0.024615,0.005887,0.048224,0.008203,0.07283961,0.02019474,1.959143,0.575006,False,False
00030835025,58795.9970225104,,,,,0.3391921818256378,0.054831039160490036,,,,,,,0.001663,0.002,0.005889,0.00355,0.007565801,0.008382459,3.540939,4.762598,True,False
00030835026,58804.776256265,,,,,0.39045020937919617,0.029644837602972984,,,,,,,0.02578,0.006321,0.03593,0.007412,0.0617099,0.019482158,1.393691,0.446578,False,False
00030835028,58816.3924104444,,,,,0.3700365126132965,0.03569689393043518,,,,,,,0.000843,0.001077,0.006372,0.00264,0.007214492,0.00579659,7.554168,10.138444,True,False
00030835029,58823.4289459294,,,,,0.387310266494751,0.027928844094276428,,,,,,,0.007862,0.002563,0.009522,0.002817,0.01738352,0.007617148,1.21114,0.533199,False,False
00030835030,58845.725903338,,,,,0.3719034790992737,0.20251233875751495,,,,,,,0.011427,0.011427,0.020093,0.014458,0.031507,0.03822056,1.758345,2.166214,True,False
00030835031,58850.2874178287,,,,,0.40430402755737305,0.08549623191356659,,,,,,,0.019923,0.0076,0.029277,0.009352,0.04919976,0.02409808,1.469495,0.731129,True,False
00030835032,58854.6092912037,,,,,0.27467331290245056,0.0320325568318367,,,,,,,0.028906,0.005447,0.041153,0.006483,0.06906962,0.016819162,1.423688,0.349669,False,False
00030835033,58860.494184728,,,,,0.3748304843902588,0.027772337198257446,,,,,,,0.017303,0.003312,0.030864,0.004408,0.04816748,0.011027626,1.783756,0.426026,False,False
00030835034,58876.7447311447,,,,,0.36689597368240356,0.04284776374697685,,,,,,,0.033627,0.00567,0.029595,0.00531,0.06322128,0.015536398,0.880081,0.216693,False,False
00030835035,58892.0842901887,,,,,0.3114459216594696,0.048218149691820145,,,,,,,0.008134,0.00375,0.003107,0.002393,0.01124196,0.009044676,0.381996,0.342888,True,False
00030835036,58899.0509184618,,,,,0.20311005413532257,0.05367352068424225,,,,,,,0.003992,0.00244,0.015153,0.00465,0.01914575,0.010591625,3.795437,2.595379,False,False
00030835037,58908.5293119167,,,,,0.2714024484157562,0.04576971009373665,,,,,,,0.007365,0.002901,0.026014,0.005359,0.03337954,0.012187802,3.531858,1.569707,False,False
00030835038,58916.3300023935,,,,,0.29003602266311646,0.03953668847680092,,,,,,,0.015227,0.003553,0.032496,0.005169,0.04772191,0.01254433,2.134126,0.602657,False,False
00030835039,58924.6898537604,,,,,0.3242180645465851,0.03872557356953621,,,,,,,0.018867,0.003979,0.03273,0.005219,0.05075356,0.013017008,1.734819,0.458674,False,False
00030835040,58932.5181896644,,,,,0.3461562693119049,0.042262524366378784,,,,,,,0.001637,0.001255,0.004191,0.001948,0.005834616,0.0047111259999999995,2.559696,2.294772,True,False
00030835041,58940.3493718299,,,,,0.31592047214508057,0.04423464089632034,,,,,,,0.030679,0.005242,0.029831,0.005187,0.06051089,0.014749298,0.972352,0.237044,False,False
00030835042,58948.579679897,,,,,0.25452789664268494,0.0460757240653038,,,,,,,0.008554,0.002523,0.022327,0.00406,0.0308811,0.009560168,2.610254,0.904503,False,False
00030835043,58960.714284037,,,,,0.31552761793136597,0.07201066613197327,,,,,,,0.033623,0.007784,0.036641,0.008141,0.07026333,0.02252714,1.089761,0.34968,False,False
00030835044,58968.4798368044,,,,,0.34111446142196655,0.0418301559984684,,,,,,,0.011879,0.002871,0.023359,0.004003,0.03455715,0.009757602,1.966485,0.582659,False,False
00030835045,58975.238805875,,,,,0.2328253984451294,0.03804974630475044,,,,,,,0.023432,0.003894,0.034179,0.004709,0.05761108,0.012220178,1.458612,0.314845,False,False
00030835046,58982.1820016933,,,,,0.38166365027427673,0.0446636825799942,,,,,,,0.005485,0.002322,0.006324,0.002504,0.01180789,0.00689212,1.152994,0.668374,False,False
00030835047,58989.7479957407,,,,,0.37180396914482117,0.0368318185210228,,,,,,,0.014557,0.005266,0.042224,0.009324,0.05461953,0.0209662,2.90055,1.229312,False,False
00030835048,58996.8509769109,,,,,0.40002283453941345,0.07234728336334229,,,,,,,0.015899,0.004155,0.032806,0.005932,0.04870492,0.014484654,2.063453,0.655722,False,False
00030835049,59003.5894546227,,,,,0.40368717908859253,0.037040580064058304,,,,,,,0.004607,0.002144,0.004996,0.002106,0.009605723,0.006067248,1.084462,0.680965,True,False
00030835050,59026.5651870822,,,,,0.24535676836967468,0.032130997627973557,,,,,,,0.016747,0.003705,0.031578,0.005102,0.04763947,0.012538972,1.885555,0.516545,False,False
00030835051,59033.0384004572,,,,,0.35519200563430786,0.03416891768574715,,,,,,,0.016764,0.003705,0.024911,0.004516,0.04167504,0.011682686,1.485958,0.424754,False,False
00030835052,59040.8307759641,,,,,0.3444981276988983,0.027593405917286873,,,,,,,0.013169,0.00346,0.032271,0.00559,0.04317835,0.012758032,2.450474,0.771099,False,False
00030835053,59047.1767131308,,,,,0.35146716237068176,0.03565651923418045,,,,,,,0.004387,0.002284,0.000959,0.001139,0.005345557,0.005221188,0.21862,0.283424,True,False
00030835054,59055.0825947488,,,,,0.3965717852115631,0.02841285616159439,,,,,,,0.023002,0.008338,0.037391,0.010507,0.06039474,0.02682694,1.625557,0.745586,False,False
00030835055,59063.5876403947,,,,,0.3654215633869171,0.0466560535132885,,,,,,,0.017783,0.00449,0.031034,0.005927,0.04881679,0.014871154,1.745136,0.552499,False,False
00030835056,59070.1613566956,,,,,0.29491040110588074,0.03795306012034416,,,,,,,0.009312,0.003636,0.021659,0.005504,0.03097096,0.013192948,2.325802,1.08349,False,False
00030835057,59077.06095964,,,,,0.35390886664390564,0.03465817868709564,,,,,,,0.023774,0.004956,0.036881,0.006122,0.06065593,0.015753242,1.551274,0.413369,False,False
00030835058,59084.8877476111,,,,,0.43724045157432556,0.03386354446411133,,,,,,,0.00393,0.002033,0.004899,0.002245,0.007839256,0.005808356,1.24641,0.861309,True,False
00030835059,59091.9195493275,,,,,0.44341176748275757,0.031221464276313782,,,,,,,0.013267,0.004761,0.0218,0.006091,0.03506706,0.015462388,1.643238,0.747394,False,False
00030835060,59098.8305720972,,,,,0.34088024497032166,0.03867341950535774,,,,,,,0.008005,0.003365,0.013391,0.004553,0.02139091,0.011309734,1.672862,0.904466,True,False
