OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00067042001,53379.9546512442,,,,,,,,,,,,,0.021294,0.011195,0.010557,0.007917,0.03184878,0.027943219999999998,0.495763,0.454049,True,False
00056050001,53394.1584085688,7.358102321624756,0.1803913414478302,8.910074234008789,0.4941272437572479,,,,,,,,,0.064648,0.010042,0.022943,0.006487,0.08658701,0.0229535805363682,0.354897,0.111844,True,False
00067042256,53394.9755587042,,,,,,,,,,,,,0.190925,0.141642,0.051038,0.051038,0.81056,0.0,0.26732,0.332851,True,True
00031905002,55564.7071590073,,,,,3.6141655445098877,0.11566685140132904,,,,,,,0.051645,0.018861,0.02593,0.013264,0.07757522,0.04657042,0.502082,0.315567,False,False
00031905003,55565.5829845142,,,,,3.5863661766052246,0.05711716413497925,,,,,,,0.044538,0.007858,0.022147,0.005542,0.06668503,0.019231036,0.497265,0.15225,False,False
00031905004,55568.5065419144,,,,,3.646907091140747,0.058092620223760605,,,,,,,0.032009,0.004318,0.026031,0.003896,0.05803889,0.011631212,0.81325,0.163859,False,False
00031905005,55572.0485827956,,,,,3.719888925552368,0.05505784973502159,,,,,,,0.028385,0.004201,0.025063,0.003909,0.05344748,0.011476666,0.882981,0.189846,True,False
00031905006,55584.2258821173,,,,,3.6560451984405518,0.04488728567957878,,,,,,,0.060126,0.005259,0.025759,0.003468,0.08501576,0.012537046,0.428418,0.068778,False,False
00031905007,55596.4324784863,,,,,3.6939918994903564,0.04137657955288887,,,,,,,0.034839,0.004099,0.018401,0.002941,0.05325302,0.010089244,0.528168,0.104814,False,False
00031905008,55608.6835069844,,,,,3.592359781265259,0.04157914221286774,,,,,,,0.070414,0.005624,0.039617,0.004201,0.1096147,0.014014314,0.562631,0.074697,False,False
00031905009,55620.431390308,,,,,3.70749568939209,0.04493455961346626,,,,,,,0.077397,0.008103,0.025287,0.004587,0.102684,0.018622396,0.326722,0.068428,False,False
00031905010,55635.7164171403,,,,,3.6914334297180176,0.04674235358834267,,,,,,,0.08672,0.008568,0.034077,0.005381,0.1208175,0.02023498,0.392955,0.073197,False,False
00031905011,55644.6756482945,,,,,3.7045254707336426,0.03938153013586998,,,,,,,0.095842,0.006496,0.030764,0.003685,0.1258481,0.014898986,0.320983,0.044178,False,False
00031905012,55738.2319709545,,,,,,,,,0.24349161982536316,0.009765028953552246,,,0.039149,0.00399,0.022267,0.002995,0.06141554,0.009977612,0.568777,0.095977,False,False
00031905013,55742.6417619346,,,,,,,,,0.25340735912323,0.010264968499541283,,,0.038642,0.004005,0.023423,0.003112,0.06124598,0.010078352,0.606145,0.102147,False,False
00031905014,55769.0934615499,,,,,3.5646376609802246,0.03906035050749779,,,,,,,0.03544,0.003595,0.019565,0.002689,0.05350638,0.008851842,0.552059,0.09431,False,False
00031905015,55797.7971267221,,,,,,,,,,,0.34637343883514404,0.024672213941812515,0.030255,0.006499,0.021688,0.005442,0.05063193,0.016749492,0.716861,0.23679,True,False
00031905016,55802.5585901498,,,,,,,,,0.22246161103248596,0.01071675680577755,,,0.022159,0.003368,0.016963,0.002913,0.03912186,0.008905702,0.765488,0.175549,True,False
00031905017,55808.500356802,,,,,3.4248287677764893,0.04192167520523071,,,,,,,0.02625,0.00326,0.01254,0.002261,0.03838547,0.007892846,0.477709,0.104578,False,False
00031905018,56181.2096565077,,,,,,,,,,,0.3745369613170624,0.011088281869888306,0.014466,0.002521,0.018414,0.002882,0.03285285,0.007653266,1.272888,0.298155,False,False
00080498001,56513.8736471866,6.436275005340576,0.2986028492450714,9.52177619934082,0.3987407982349396,,,,,,,,,0.032183,0.006739,0.011591,0.004101,0.04377576,0.015778026,0.36016,0.148076,False,False
00080498002,56525.9272572711,6.624535083770752,0.3453962802886963,8.915228843688965,0.4384438991546631,,,,,,,,,0.018756,0.003667,0.018745,0.003593,0.03751291,0.01026837,0.999412,0.273655,True,False
00080498003,56677.8053074204,5.8790507316589355,0.3145642876625061,9.240345001220703,0.38714784383773804,,,,,,,,,0.007872,0.002556,0.007253,0.002397,0.01425013,0.006789062,0.921388,0.426877,True,False
00080498004,56812.90136727465,7.669352054595947,0.2692923843860626,11.522489547729492,0.33394289016723633,,,,,,,,,,,,,,,,,,
00080498005,56813.33058747951,7.745570659637451,0.3137669563293457,11.133894920349121,0.37999260425567627,,,,,,,,,,,,,,,,,,
00010978001,58496.3631534436,,,,,3.2211503982543945,0.07150522619485855,,,,,,,0.01051,0.004783,0.007227,0.003883,0.01773707,0.012463465,0.687643,0.484196,True,False
00010978002,58510.7079283058,,,,,,,,,0.18947267532348633,0.016407877206802368,,,0.008593,0.003538,0.005056,0.002678,0.01366127,0.008969306,0.588438,0.394783,True,False
00010978003,58524.1278487225,,,,,3.35347580909729,0.03882236406207085,,,,,,,0.011322,0.002136,0.007191,0.001712,0.01851666,0.005474594,0.635122,0.192945,True,False
00010978004,58538.1383832479,,,,,,,,,0.20790918171405792,0.016738448292016983,,,0.010018,0.003768,0.015734,0.004505,0.02450799,0.011478348,1.570599,0.742427,True,False
00010978005,58552.6889487422,,,,,3.477627754211426,0.07358718663454056,,,,,,,0.016895,0.005094,0.004839,0.00282,0.02173414,0.011643846,0.286433,0.187901,False,False
00010978006,58566.2866005547,,,,,,,,,0.17749501764774323,0.017068788409233093,,,0.008786,0.003983,0.007567,0.003564,0.0163578,0.010802109,0.861204,0.56295,True,False
