OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035866001,53983.3456976465,,,5.478370189666748,0.13476459681987762,,,,,,,,,0.002915,0.002977,-0.001119,0.00025,0.017129,0.0,-0.383913,-0.401339,False,True
00035866002,54040.0062695022,2.179955244064331,0.23631557822227478,4.445497035980225,0.3298330307006836,,,,,,,,,0.002072,0.002308,-0.000277,7.7e-05,0.018291,0.0,-0.1338,-0.153628,False,True
00035866003,54046.0612182233,3.4139909744262695,0.16245189309120178,5.705175876617432,0.21143090724945068,,,,,,,,,-0.000122,2.2e-05,-0.000125,2.1e-05,0.0047989,0.0,1.024689,0.249497,False,True
00030848001,54096.5157742218,,,,,,,,,,,,,0.000653,0.000708,-8.1e-05,1.2e-05,0.0056314,0.0,-0.123606,-0.135418,False,True
00030848002,54098.3549798792,,,,,,,,,,,,,0.000378,0.00024,-5.3e-05,4e-06,0.0015585,0.0,-0.139932,-0.089412,False,True
00030848003,54099.5233850528,,,,,,,,,,,,,-8e-05,6e-06,0.00063,0.000355,0.0022406,0.0,-7.913023,-4.487639,False,True
00030848004,54100.1890966709,,,,,,,,,,,,,9.1e-05,0.000153,1.130215,0.799183,1.695322,2.03325643952336,2.0,2.44949,False,False
00030848005,54101.5299947148,,,,,,,,,,,,,0.000254,0.000216,-6.4e-05,5e-06,0.0014371,0.0,-0.25037,-0.213049,False,True
00030848006,54102.4997907657,,,,,,,,,,,,,0.000142,0.000185,-8.6e-05,6e-06,0.0014233,0.0,-0.606672,-0.79464,False,True
00030848007,54103.6775328467,,,,,,,0.7982519268989563,0.010294046252965927,,,,,0.000127,0.000183,-8e-05,5e-06,0.001393,0.0,-0.632944,-0.91359,False,True
00030848008,54104.5806366314,,,,,2.753199577331543,0.03715630620718002,,,,,,,0.000907,0.000716,-0.00019,2.5e-05,0.0048622,0.0,-0.20897,-0.167161,False,True
00030848009,54105.557300474,,,3.974017381668091,0.05495907738804817,,,,,,,,,0.000239,0.000299,-7.7e-05,7e-06,0.0023261,0.0,-0.321817,-0.403574,False,True
00030848010,54106.4924501012,,,4.250710964202881,0.04238789901137352,,,,,,,,,0.000384,0.000342,8.9e-05,0.000165,0.0023625,0.0,0.230583,0.476505,False,True
00030848011,54107.4253857146,,,,,,,0.626935601234436,0.01162435207515955,,,,,-4.9e-05,4e-06,-5.8e-05,4e-06,0.0020072,0.0,1.171109,0.131023,False,True
00030848012,54108.4294425177,,,,,2.0414962768554688,0.02924884483218193,,,,,,,-7.9e-05,1e-05,-8e-05,9e-06,0.0039771,0.0,1.010585,0.165298,False,True
00035866004,54129.0007609058,,,,,,,,,,,0.4860444962978363,0.01983833685517311,0.000666,0.00078,-0.000205,2.9e-05,0.0061143,0.0,-0.307566,-0.362528,False,True
00031210001,54606.2175601499,,,,,,,,,,,0.4353758692741394,0.011194205842912197,-0.000129,1.2e-05,-0.000132,1.2e-05,0.0037347,0.0,1.022851,0.128375,False,True
00031210002,54611.2694458184,,,3.8476293087005615,0.12267888337373734,,,,,,,,,0.000146,0.000225,-8.3e-05,7e-06,0.0017187,0.0,-0.568866,-0.874557,False,True
00031210003,54621.810860564,2.150172233581543,0.04688534885644913,3.7892818450927734,0.08092314749956131,,,,,,,,,0.000156,0.000289,-0.000146,1.2e-05,0.0021601,0.0,-0.939476,-1.745919,False,True
00031210004,54636.6945743256,2.09001088142395,0.06490550935268402,3.8526623249053955,0.0909896194934845,,,,,,,,,-6.1e-05,5e-06,0.000145,0.000194,0.001499,0.0,-2.389721,-3.196024,False,True
00031210005,54692.5723676628,2.15337872505188,0.09555299580097198,4.012622356414795,0.14519675076007843,,,,,,,,,-0.000118,1.7e-05,0.000588,0.000666,0.0052735,0.0,-4.96382,-5.670705,False,True
00031210006,54693.164780834,2.098442554473877,0.09340815246105194,3.888850688934326,0.1433008462190628,,,,,,,,,-3.9e-05,7e-06,-7.3e-05,9e-06,0.0059746,0.0,1.876782,0.404411,False,True
00031210007,54704.701015267,2.1417837142944336,0.06073752045631409,3.9817607402801514,0.08256157487630844,,,,,,,,,-5.9e-05,7e-06,-8.2e-05,8e-06,0.0024494,0.0,1.401989,0.207141,False,True
00031210008,54754.5048736856,2.8124732971191406,0.07509014010429382,4.75347375869751,0.10281596332788467,,,,,,,,,0.00069,0.000777,-0.000107,1.7e-05,0.0061397,0.0,-0.155268,-0.176528,False,True
00031210009,54755.4527509425,3.2592227458953857,0.1064959466457367,5.700530529022217,0.14050251245498657,,,,,,,,,-9.7e-05,1.9e-05,-5.4e-05,1.3e-05,0.0073856,0.0,0.553002,0.171217,False,True
00031726001,55341.8436957136,6.759194850921631,0.1756032556295395,14.380183219909668,0.25673389434814453,,,,,,,,,0.004458,0.001082,0.039266,0.003005,0.0437419,0.006387478,8.807247,2.241536,False,False
00031726002,55342.8910555857,7.032569408416748,0.2717910706996918,15.110679626464844,0.39532706141471863,,,,,,,,,0.0,0.0,0.0,0.0,0.0029229,0.0,,,False,True
00031726003,55344.153539416,6.754746913909912,0.23671355843544006,14.38565731048584,0.2945023477077484,,,,,,,,,0.004254,0.001433,0.027308,0.003564,0.03155958,0.007682436,6.418967,2.31908,False,False
00031726004,55346.687311243,5.435011863708496,0.20257574319839478,11.311604499816895,0.294577956199646,,,,,,,,,0.001848,0.001169,0.002036,0.001098,0.003890266,0.003243395,1.101972,0.915905,False,False
00031726005,55348.2005966712,5.621358871459961,0.18205538392066956,10.8645601272583,0.2564270496368408,,,,,,,,,0.000748,0.000592,0.001108,0.000699,0.001856476,0.0018740864999999998,1.481751,1.50004,False,False
00031726006,55350.3371940998,,,,,,,,,,,,,0.001377,0.000873,0.003743,0.001385,0.005121706,0.003309197,2.718589,1.994963,False,False
00031726007,55352.215144249,5.126828193664551,0.16129830479621887,9.218927383422852,0.2181137502193451,,,,,,,,,0.003874,0.001162,0.001823,0.000801,0.005696508,0.00282214,0.470613,0.250335,False,False
00031726008,55354.3558950694,,,,,,,,,,,,,0.000233,0.000377,0.001676,0.000829,0.001911892,0.0018554189,7.202173,12.195952,False,False
00031726009,55356.2987601258,3.12827467918396,0.16444194316864014,6.158074378967285,0.21680700778961182,,,,,,,,,0.000997,0.00062,0.00212,0.000904,0.00311672,0.0022203844,2.126882,1.603278,False,False
