OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00031785001,55420.6833605349,,,,,1.538825273513794,0.02387142740190029,,,,,,,0.002896,0.000908,0.0037,0.000991,0.006597874,0.002686602,1.277836,0.526891,True,False
00031785002,55421.9127307981,,,,,,,,,,,0.1803867518901825,0.0076597449369728565,0.569603,0.569604,0.0,0.0,0.5696033,1.272493847853434,0.0,,False,False
00031785003,55423.3937523349,,,,,,,0.3309026062488556,0.008714060299098492,,,,,0.00239,0.000717,0.0,0.0,0.54187,0.0,0.0,,True,True
00031785005,55685.2623711468,,,,,,,,,,,0.16148535907268524,0.014651796780526638,0.017656,0.005161,0.026243,0.006264,0.04389937,0.01623243,1.486305,0.560914,True,False
00031785006,55696.1293856586,,,,,1.5100736618041992,0.03429283946752548,,,,,,,0.003338,0.001589,0.016506,0.003422,0.01984611,0.007545422,4.944843,2.56724,True,False
00031785007,55710.698765541,,,,,,,,,0.07491157948970795,0.00734981382265687,,,0.001303,0.001447,0.016054,0.004926,0.01735385,0.010370816,12.323509,14.202916,False,False
00031785008,55725.9415171886,,,,,,,,,,,0.18966403603553772,0.011780883185565472,0.003485,0.001513,0.0141,0.002988,0.0175837,0.00669916,4.046004,1.954737,True,False
00031785009,55738.6085473484,,,,,,,,,0.1317768394947052,0.02890300191938877,,,0.005181,0.007036,-0.000156,5.5e-05,0.055173,0.0,-0.030146,-0.042308,True,True
00031785010,55752.5261479307,,,,,1.5520403385162354,0.11203110218048096,,,,,,,0.008266,0.008746,0.028666,0.014633,0.03697357,0.03478435,3.468066,4.074219,True,False
00031785011,55780.0252355411,,,,,1.663317084312439,0.1174929216504097,,,,,,,-0.000534,0.000189,0.021811,0.012747,0.02128193,0.02647731,-40.854138,-27.905281,True,False
00031785012,55885.26087686,,,,,,,,,,,0.18060284852981567,0.012122736312448978,0.002938,0.001456,0.016608,0.003316,0.01890078,0.007127388,5.653369,3.020969,True,False
00031785013,55899.7709354819,,,,,,,0.30163291096687317,0.02456432208418846,,,,,0.001082,0.001427,0.026039,0.00642,0.02709316,0.01315208,24.067806,32.30027,True,False
00031785014,55913.0965194733,,,,,,,,,,,0.17457979917526245,0.01714220829308033,0.009098,0.004623,0.038022,0.009257,0.04712204,0.02069214,4.179342,2.354878,False,False
00031785015,55916.1826139948,,,,,1.465338945388794,0.06987717002630234,,,,,,,0.002703,0.002093,0.018474,0.00521,0.02118146,0.01122815,6.834334,5.63065,True,False
00031785016,55927.2192790069,,,,,,,0.3186418116092682,0.01955377496778965,,,,,0.00435,0.002169,0.031627,0.005545,0.0359787,0.011907746,7.2705,3.843448,False,False
00031785017,55941.4561446029,,,,,,,,,,,0.17232851684093475,0.012937775813043118,0.003227,0.002066,0.021306,0.005069,0.02453224,0.010948132,6.60308,4.510886,False,False
00031785018,55955.5951936701,,,,,,,0.33075520396232605,0.016001565381884575,,,,,0.002177,0.001199,0.010066,0.0025,0.01224417,0.005545282,4.624489,2.794223,True,False
00031785019,55969.0910839624,,,,,,,,,,,0.17261414229869843,0.013568857684731483,-0.000266,4.5e-05,0.010343,0.003172,0.01007501,0.006412584,-38.814665,-13.59148,True,False
00032764001,56370.9124733841,,,,,,,,,0.10002166032791138,0.006140189711004496,,,-5.6e-05,7e-06,0.000419,0.000521,0.0040825,0.0,-7.486092,-9.363153,True,True
00032764002,56386.0344629338,,,,,,,,,,,0.16436176002025604,0.008180370554327965,-0.000109,1.3e-05,0.000943,0.000597,0.0039086,0.0,-8.628127,-5.549926,True,True
00032764003,56386.9303308297,,,,,,,,,0.10236327350139618,0.006334915291517973,,,0.00168,0.000905,0.001926,0.001052,0.003609501,0.00280739,1.14651,0.879613,True,False
00032764004,56388.8073899315,,,,,1.4712417125701904,0.02475455217063427,,,,,,,0.000313,0.000391,0.000424,0.000512,0.004366,0.0,1.352062,2.349287,True,True
