OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00031791001,55424.1034163478,,,,,1.3928704261779785,0.06696430593729019,,,,,,,0.007048,0.003278,0.012807,0.004599,0.01984393,0.011385425,1.817001,1.067661,True,False
00031791002,55432.3118816477,,,,,1.3360706567764282,0.046462275087833405,,,,,,,0.012571,0.004263,0.032465,0.006834,0.04503551,0.01610846,2.58251,1.030744,False,False
00031791003,55436.7310352998,,,,,1.3470908403396606,0.022341804578900337,,,,,,,0.017446,0.002346,0.027125,0.002925,0.04457152,0.007499836,1.554803,0.268025,False,False
00031791004,55440.3077208845,,,,,1.3744279146194458,0.024485310539603233,,,,,,,0.015316,0.002292,0.018817,0.00256,0.0337838,0.00683626,1.228614,0.248477,False,False
00031791005,55444.2585312262,,,,,1.3740237951278687,0.027839647606015205,,,,,,,0.016089,0.002799,0.022787,0.003332,0.03838557,0.008646774,1.416342,0.321842,False,False
00031791006,55448.4378379103,,,,,1.3312444686889648,0.026794370263814926,,,,,,,0.011043,0.002217,0.01966,0.002931,0.03070385,0.007348954,1.780229,0.445083,False,False
00031791007,55456.1675766368,,,,,1.3540587425231934,0.0297137051820755,,,,,,,0.01384,0.003229,0.013715,0.003206,0.02755486,0.009100812,0.990918,0.327281,False,False
00031791008,55460.7857310519,,,,,1.41140615940094,0.025181038305163383,,,,,,,0.008198,0.002443,0.016014,0.003395,0.02421162,0.008365504,1.953319,0.714303,False,False
00031791009,55464.4409701426,,,,,1.4740827083587646,0.02825791947543621,,,,,,,0.008828,0.001926,0.011098,0.002152,0.01992943,0.005776618,1.257149,0.366991,False,False
00031791010,55468.2542602865,,,,,1.5625883340835571,0.026373721659183502,,,,,,,0.006545,0.001557,0.012546,0.002135,0.01909502,0.005284756,1.916916,0.56074,False,False
