OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035190001,53581.5612239348,,,,,,,,,,,,,0.320566,0.064019,1.746938,0.154623,2.017043,0.3308152,5.449533,1.190411,False,False
00035190002,53581.56285462614,14.654023170471191,0.7025178670883179,,,,,,,,,,,,,,,,,,,,
00035190005,53583.5748248567,,,,,,,,,,,,,0.455445,0.059754,3.174572,0.155463,3.622651,0.3327354,6.970269,0.976119,False,False
00035190006,53583.58024396318,,,14.456143379211426,0.3658781945705414,,,,,,,,,,,,,,,,,,
00035190008,53583.7899837803,,,14.966130256652832,0.4745853543281555,,,,,,,,,0.58151,0.055388,2.939868,0.123342,3.511266,0.2700254,5.055579,0.526178,False,False
00035190013,53600.0807643527,,,12.538341522216797,0.27037495374679565,,,,,,,,,0.462516,0.041605,2.443181,0.094391,2.902686,0.2062122,5.282372,0.517146,False,False
00035190014,53916.7760088011,,,14.176939964294434,0.28162387013435364,,,,,,,,,0.20993,0.013863,0.619765,0.023805,0.8281988,0.05505618,2.952245,0.225539,False,False
00035190015,53917.7814969145,,,17.88168716430664,0.20314304530620575,,,,,,,,,0.252036,0.010374,0.941893,0.02006,1.188327,0.04506482,3.737136,0.173192,False,False
00035190016,54042.8641553094,,,16.90486717224121,0.2243124395608902,,,,,,,,,0.647837,0.033823,3.504622,0.07766,4.13586,0.16906684,5.409726,0.306823,False,False
00035190018,54350.6840138683,,,,,,,,,,,,,0.117043,0.018279,0.454642,0.036401,0.5697379,0.08139144,3.88441,0.681717,False,False
00035190020,54355.5708087625,,,,,,,,,,,,,0.332521,0.044936,1.218507,0.085953,1.544899,0.19359298,3.664451,0.558609,False,False
00035190021,54356.5689541071,,,,,,,,,,,,,-0.001376,0.001376,-0.001376,0.001376,0.28727,0.0,1.0,1.414214,True,True
00035190022,54357.5688052992,,,,,,,,,,,,,-0.004922,0.002842,-0.001641,0.001641,0.33495,0.0,0.333333,0.3849,True,True
00035190023,54359.7207588675,,,,,,,,,,,,,0.325749,0.048286,2.165762,0.123258,2.49152,0.2647568,6.648562,1.05566,False,False
00035190026,56215.9953630067,,,,,,,0.3456016778945923,0.02751144766807556,,,,,0.249856,0.021354,0.749889,0.033865,0.9993173,0.0799990033116503,3.001291,0.290105,False,False
00035190027,56866.6338054108,,,9.611469268798828,0.30533334612846375,,,,,,,,,0.322761,0.017017,1.141307,0.026827,1.455504,0.063322874741639,3.536072,0.204053,False,False
00035190028,56926.3684052812,,,,,,,,,0.0010923673398792744,0.008485364727675915,,,0.461302,0.02711,1.588801,0.049486,2.03918,0.1034149422407359,3.44417,0.218804,False,False
00035190030,56931.755264942,,,,,,,0.10915041714906693,0.02213325910270214,,,,,0.382771,0.02787,1.166888,0.042963,1.543809,0.1022537775978665,3.048529,0.248726,False,False
00035190031,56933.5553773552,,,,,,,,,,,0.06196831539273262,0.01600710302591324,0.351507,0.023859,1.12635,0.039375,1.47267,0.0919333073203133,3.204341,0.244649,False,False
00080803001,56934.351131368,,,,,,,,,-0.0013363276375457644,0.006844578310847282,,,0.201117,0.016158,0.726265,0.030589,0.920993,0.06894752,3.611164,0.32757,False,False
00035190032,56935.5600057279,,,,,,,0.21499383449554443,0.02295156568288803,,,,,0.13456,0.018739,0.328247,0.021816,0.4590899,0.0573531347761241,2.43941,0.376416,True,False
00035190033,56937.0232888969,,,,,,,,,,,0.08317553251981735,0.016157647594809532,0.242183,0.021139,0.661287,0.030509,0.8970989,0.0740151102867724,2.730523,0.269577,False,False
00035190034,56939.0145702325,,,,,,,0.23771478235721588,0.024512577801942825,,,,,0.163994,0.022218,0.502485,0.027861,0.6650742,0.0711599126321476,3.06404,0.448522,False,False
00080803002,56947.4137819525,,,,,,,0.26498275995254517,0.016288956627249718,,,,,0.347291,0.028682,1.165515,0.052647,1.500835,0.11941934,3.356017,0.31591,False,False
00080803003,56960.7111222117,,,,,2.542248010635376,0.047982048243284225,,,,,,,0.366373,0.031636,2.387495,0.080013,2.748669,0.171913,6.516575,0.603592,False,False
00080803004,56973.8515527812,,,,,,,,,,,0.09890773892402649,0.015710018575191498,0.549619,0.063096,3.28272,0.151835,3.825614,0.3285558,5.972714,0.739225,False,False
00080803005,56986.5355033957,,,,,,,,,-0.0036333869211375713,0.007047327235341072,,,0.73523,0.055923,3.53067,0.120529,4.261756,0.2655934,4.802132,0.400363,False,False
00080803006,57077.9812494096,,,,,,,,,,,0.07129720598459244,0.012348816730082035,0.396259,0.037708,1.581415,0.074617,1.953655,0.16621138,3.990866,0.423889,False,False
00080803008,57092.2677247812,,,,,1.3431204557418823,0.04696036875247955,,,,,,,0.414945,0.041088,1.881054,0.086297,2.277099,0.19040112,4.533258,0.494725,False,False
00080803009,57104.962597317,,,,,1.6650598049163818,0.04194756969809532,,,,,,,0.453913,0.038599,1.979589,0.079552,2.423757,0.17646856,4.361159,0.410186,False,False
00080803010,57130.8179838112,,,,,,,,,-0.0028078993782401085,0.006081842817366123,,,0.435768,0.043852,3.090202,0.115436,3.513379,0.2465336,7.091396,0.761197,False,False
00035190035,57195.956459089,,,,,,,0.23501111567020416,0.020969737321138382,,,,,0.420075,0.023415,1.642115,0.043029,2.058219,0.0967025505317521,3.909094,0.23948,False,False
00080803011,57208.4581460856,,,,,1.1648889780044556,0.045606985688209534,,,,,,,0.448104,0.045508,1.814511,0.09116,2.258198,0.2035744,4.049308,0.458802,False,False
00035190036,58324.5067283089,,,,,2.866164445877075,0.06551595777273178,,,,,,,0.154507,0.018369,0.500048,0.032818,0.6481344,0.07485142,3.236411,0.439505,False,False
00035190037,58359.7186436261,,,,,,,0.36886370182037354,0.022970139980316162,,,,,0.140107,0.016015,0.47957,0.029367,0.619679,0.06690038,3.422873,0.443864,False,False
