OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035474001,53742.3058204581,0.007864624261856079,0.06318136304616928,0.22016936540603638,0.07821077853441238,,,,,,,,,0.002877,0.000774,0.045213,0.00297,0.04809561,0.00613883,15.712604,4.350752,False,False
00031987001,55726.9308659674,,,,,,,,,-0.005059290677309036,0.006017700303345919,,,0.008078,0.001907,0.086209,0.006084,0.09384872,0.01272224,10.671553,2.629657,False,False
00031987002,55727.4323359985,,,,,,,-0.027286045253276825,0.007336633279919624,,,,,0.005869,0.000973,0.088079,0.003514,0.09381139,0.007286542,15.006683,2.558587,False,False
00031987003,56151.0112323811,,,,,,,-0.007123200222849846,0.017594626173377037,,,,,0.003481,0.00192,0.029405,0.005385,0.03288381,0.011433786,8.447575,4.909337,False,False
00031987004,56597.890860272,,,,,,,,,-0.008414010517299175,0.008112158626317978,,,0.007781,0.000996,0.121065,0.00382,0.1285914,0.007886798,15.559227,2.051606,False,False
00031987005,56645.6645445544,,,,,,,,,,,-0.02090918831527233,0.0025237409863620996,0.006329,0.000856,0.087292,0.003152,0.09328437,0.00652106,13.792677,1.931248,False,False
00031987006,56693.4885870255,,,,,,,,,,,-0.10242447257041931,0.0023408159613609314,0.009949,0.001632,0.157104,0.006328,0.1665766,0.013052254,15.790528,2.667231,False,False
00031987007,56694.5544786806,,,,,,,,,-0.0922190472483635,0.001416410319507122,,,0.00971,0.00175,0.15439,0.00686,0.1628465,0.014103358,15.90085,2.951874,False,False
00084233001,56718.8245053831,,,,,,,,,-0.0030736918561160564,0.018645010888576508,,,0.00851,0.006308,0.043931,0.014211,0.05244094,0.03140353,5.162489,4.175396,True,False
00084233002,56722.2978624051,,,,,,,,,-0.0013841353356838226,0.01961592398583889,,,-0.00061,0.000184,0.043364,0.016538,0.04275326,0.03362756,-71.083032,-34.557788,True,False
00031987008,56741.5174309711,,,,,,,,,,,0.0019626927096396685,0.003393734572455287,0.003679,0.0007,0.042091,0.002281,0.04564756,0.00476503,11.441423,2.264652,False,False
00084233003,56759.7689781481,,,,,,,,,0.003935725428164005,0.009419034235179424,,,0.004747,0.003239,0.059796,0.010567,0.06455397,0.02210508,12.59685,8.879919,False,False
00031987009,56789.4846694838,,,,,,,,,,,-0.028765246272087097,0.0035981752444058657,0.001815,0.00056,0.039649,0.002347,0.04147033,0.004826548,21.843746,6.860521,False,False
00031987010,56792.9167656597,,,,,0.0682893916964531,0.025855932384729385,,,,,,,0.001776,0.0009,0.030666,0.003366,0.03244465,0.006967618,17.26797,8.955885,False,False
00031987011,56844.4362009167,,,,,0.08138616383075714,0.021541591733694077,,,,,,,0.001771,0.000682,0.044994,0.002901,0.0467573,0.005960768,25.412938,9.926782,False,False
00031987012,56847.2608815255,,,,,,,-0.03542165830731392,0.00965703185647726,,,,,0.002159,0.00097,0.041004,0.003779,0.04281273,0.007769756,18.9925,8.711097,False,False
00031987013,56848.2250908287,,,,,0.06679950654506683,0.041490986943244934,,,,,,,0.003438,0.002005,0.032607,0.005765,0.03606233,0.012207086,9.484653,5.780147,False,False
