OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035474001,53742.3058204465,0.6345440149307251,0.07082764059305191,0.8680902719497681,0.08740019798278809,,,,,,,,,0.026585,0.002205,0.098894,0.004232,0.1253048,0.009537098,3.719942,0.34713,False,False
00031987001,55726.9308659674,,,,,,,,,0.0010352068347856402,0.006273442879319191,,,0.012502,0.002347,0.041753,0.004259,0.05425519,0.009725202,3.339575,0.713492,False,False
00031987002,55727.4323360101,,,,,,,0.059631820768117905,0.008118084631860256,,,,,0.012191,0.001343,0.033394,0.002201,0.04559204,0.005155742,2.739115,0.351556,False,False
00031987003,56151.1063659807,,,,,,,0.09460525959730148,0.02228400856256485,,,,,0.012125,0.00282,0.049744,0.005632,0.06186974,0.012597194,4.102453,1.061081,False,False
00031987004,56597.7905095081,,,,,,,,,0.014156206510961056,0.009908418171107769,,,0.01168,0.001204,0.034911,0.00207,0.04647173,0.004782236,2.98897,0.355347,False,False
00031987005,56645.6645445544,,,,,,,,,,,0.011748540215194225,0.0029811132699251175,0.011223,0.001092,0.030869,0.001802,0.04179209,0.004199088,2.750448,0.312009,False,False
00031987006,56693.5219203125,,,,,,,,,,,-0.0011342138750478625,0.004676296375691891,0.010821,0.001824,0.031524,0.003101,0.04205403,0.00717122,2.913313,0.568603,False,False
00031987007,56694.5544786806,,,,,,,,,0.003631109604611993,0.004512423183768988,,,0.014504,0.002111,0.039454,0.003444,0.05395883,0.00807906,2.72011,0.461648,False,False
00084233001,56718.8245053831,,,,,,,,,0.017465494573116302,0.020455271005630493,,,0.007632,0.006132,0.030149,0.011717,0.03776719,0.026786459999999998,3.950284,3.525741,True,False
00084233002,56722.2978624051,,,,,,,,,0.049317050725221634,0.024892384186387062,,,0.026017,0.012306,0.081909,0.021468,0.1079202,0.04948964,3.148231,1.702408,False,False
00031987008,56741.5174309711,,,,,,,,,,,0.014511044137179852,0.003532310714945197,0.012099,0.00113,0.038078,0.001981,0.04989064,0.004548478,3.147282,0.336507,False,False
00084233003,56759.7689781481,,,,,,,,,0.009428662247955799,0.009641322307288647,,,0.011806,0.003697,0.033173,0.00614,0.0449779,0.014334124,2.809884,1.022075,False,False
00031987009,56789.4846694954,,,,,,,,,,,0.008550777100026608,0.004053059034049511,0.009117,0.001229,0.028111,0.00212,0.03722806,0.004901446,3.08332,0.476376,False,False
00031987010,56792.9167656597,,,,,0.21600359678268433,0.026577990502119064,,,,,,,0.011517,0.002025,0.037099,0.003556,0.04861993,0.008184792,3.221086,0.645111,False,False
00031987011,56844.4362009167,,,,,0.33704084157943726,0.022230492904782295,,,,,,,0.016282,0.001628,0.061827,0.003121,0.0781049,0.00703905,3.797348,0.425273,False,False
00031987012,56847.260881537,,,,,,,0.06281891465187073,0.010853860527276993,,,,,0.020924,0.002766,0.068023,0.004821,0.08832188,0.011077584,3.250899,0.487586,False,False
00031987013,56848.5879310231,,,,,0.23870640993118286,0.04262429475784302,,,,,,,0.016783,0.00338,0.050295,0.005791,0.06709167,0.01340981,2.996718,0.695155,False,False
00035474002,56849.0235848426,,,,,,,,,,,0.06389537453651428,0.014774073846638203,0.030977,0.007424,0.041255,0.008558,0.07043933,0.02237282,1.331794,0.422134,False,False
00035474003,56854.8810640185,,,,,,,,,,,,,0.031622,0.007501,0.138609,0.015512,0.1702295,0.03446054,4.383356,1.149696,False,False
00035474004,56859.6141921667,,,,,,,0.048721592873334885,0.01699231006205082,,,,,0.026607,0.005992,0.131556,0.013008,0.1581635,0.02864308,4.94441,1.216079,False,False
00035474005,56864.5427756389,,,,,0.22794634103775024,0.045653000473976135,,,,,,,0.036572,0.008023,0.097971,0.01306,0.1328364,0.03046518,2.67889,0.687712,False,False
00035474006,56869.5353061586,,,,,,,,,,,0.025120073929429054,0.012072581797838211,0.033913,0.006953,0.125971,0.013289,0.1598832,0.02999528,3.714558,0.856475,False,False
00035474007,56874.0075989722,,,,,,,,,0.005909099709242582,0.008081118576228619,,,0.025645,0.006196,0.10267,0.012314,0.1268571,0.02741508,4.00358,1.079863,False,False
00035474008,56879.237111934,,,,,,,0.07449459284543991,0.014360053464770317,,,,,0.031895,0.006323,0.128508,0.012547,0.1604049,0.02809966,4.029052,0.890338,False,False
00031987014,56880.4640274387,,,,,0.3060562312602997,0.00941168051213026,,,,,,,0.034747,0.001782,0.13098,0.00344,0.1643001,0.007714628,3.76958,0.217172,False,False
00035474009,56883.0947744815,,,,,,,0.18345706164836884,0.018283864483237267,,,,,0.022579,0.006431,0.10365,0.013626,0.1262306,0.03013444,4.590549,1.439995,False,False
00035474010,56894.9420133275,,,,,,,,,0.051485221832990646,0.008928726427257061,,,0.010511,0.003695,0.050997,0.007972,0.0615261,0.017573002,4.851859,1.866857,False,False
00035474011,56899.8683981169,,,,,,,0.2034783959388733,0.014369738288223743,,,,,0.013985,0.004186,0.036579,0.006719,0.05056387,0.015832604,2.615562,0.918501,False,False
00035474012,56904.1302398877,,,,,,,,,,,,,0.031133,0.006279,0.147075,0.013562,0.1782338,0.02989014,4.724132,1.04764,False,False
00035474013,56909.0371149433,,,,,,,,,,,,,0.020532,0.007281,0.122302,0.01709,0.1428563,0.0371506,5.956728,2.270354,False,False
00035474014,56914.9902155394,,,,,,,,,,,,,0.024845,0.018887,0.105788,0.037731,0.1306369,0.0853749,4.25794,3.575357,True,False
00035474015,56919.6777857917,,,,,,,0.16085785627365112,0.012905371375381947,,,,,0.031074,0.006411,0.1345,0.012953,0.1655938,0.0289018,4.328385,0.98546,False,False
00035474016,56924.4772145498,,,,,0.9646879434585571,0.030568692833185196,,,,,,,0.056669,0.009866,0.141886,0.015546,0.1967838,0.03665302,2.503789,0.515031,False,False
00035474017,56929.834356456,,,,,,,,,,,,,0.021579,0.00552,0.074947,0.010214,0.09652615,0.02321928,3.473116,1.006617,False,False
00031987015,56933.5018531331,,,,,,,,,,,0.023545382544398308,0.00400732085108757,0.032763,0.00239,0.157877,0.005222,0.1903019,0.011475706,4.818813,0.386035,False,False
00031987017,56943.3873946192,,,,,,,,,-0.0026540416292846203,0.010752161964774132,,,0.037733,0.002689,0.147391,0.005204,0.1846073,0.011698872,3.906155,0.310684,False,False
00035474019,56943.9527265984,,,,,,,0.0013204272836446762,0.01135648787021637,,,,,0.043905,0.007797,0.14357,0.013402,0.186368,0.03090494,3.270053,0.656062,False,False
00035474020,56949.8459185347,,,,,,,,,,,0.007037754636257887,0.011726262047886848,0.039964,0.008875,0.158914,0.017468,0.1973074,0.03906478,3.976422,0.985295,False,False
00035474021,56954.9004746065,,,,,,,,,-0.002324432134628296,0.006926532369107008,,,0.033225,0.006342,0.126115,0.012261,0.1581631,0.02750766,3.795752,0.813074,False,False
00031987018,57670.1934352512,,,,,,,,,0.008508279919624329,0.006051598582416773,,,0.014966,0.003326,0.039372,0.005528,0.05433494,0.012899618,2.630742,0.691611,False,False
00031987019,57671.1873430301,,,,,,,0.06065339595079422,0.012027435936033726,,,,,0.013095,0.002987,0.034392,0.004863,0.04683302,0.011338422,2.626397,0.704816,False,False
00031987020,57672.184740809,,,,,0.27442899346351624,0.030170803889632225,,,,,,,0.008554,0.002458,0.037899,0.005116,0.04645853,0.011351304,4.430674,1.406484,False,False
00080321001,57677.2713420069,,,,,,,,,,,0.0027433934155851603,0.011398045346140862,0.035105,0.007934,0.163288,0.01671,0.1983376,0.03699394,4.65137,1.154014,False,False
00080321002,57677.4600356308,,,,,,,,,,,0.02099352888762951,0.010824907571077347,0.027782,0.005989,0.135966,0.013076,0.1637785,0.02876506,4.894012,1.155216,False,False
00080321003,57677.5916301562,,,,,,,,,,,0.00473804073408246,0.010683005675673485,0.036212,0.007761,0.168677,0.016579,0.2048894,0.03661066,4.658,1.098288,False,False
00080321004,57677.7916582812,,,,,,,,,,,0.0025423814076930285,0.009276471100747585,0.048992,0.007572,0.125107,0.01206,0.1729445,0.02838558,2.553598,0.465126,False,False
00080321005,57677.9249942303,,,,,,,,,,,0.03332539647817612,0.01097879745066166,0.027648,0.005744,0.122138,0.012018,0.1486312,0.0265409,4.41756,1.01554,False,False
00080321006,57678.060078316,,,,,,,,,0.016324616968631744,0.008546218276023865,,,0.029161,0.006188,0.078382,0.010065,0.1075421,0.02362936,2.68787,0.666655,False,False
03107216001,58494.695047647,,,,,0.9866729378700256,0.054758425801992416,,,,,,,0.006978,0.004084,0.044267,0.010177,0.0512449,0.02193196,6.344142,3.989316,False,False
03108588001,58610.1644816296,,,,,0.24799461662769318,0.07834146916866302,,,,,,,0.009159,0.003865,0.034462,0.00739,0.04362104,0.016679074,3.762654,1.780944,False,False
03108588002,58615.7315369653,,,,,0.10009245574474335,0.16379466652870178,,,,,,,0.006734,0.00719,0.028602,0.014431,0.03533554,0.03299233,4.247255,5.015414,True,False
03108588003,58619.6526515845,,,,,0.07326756417751312,0.10217863321304321,,,,,,,0.012198,0.006272,0.024486,0.008797,0.03668373,0.02182375,2.007362,1.259142,True,False
