OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035479001,53737.9613513465,0.6938944458961487,0.0731477439403534,1.8924942016601562,0.15137754380702972,,,,,,,,,,,,,0.0336985,0.00992135,,,False,False
00032249001,55940.7371023552,,,1.7796401977539062,0.09551262110471725,,,,,,,,,,,,,0.03443438,0.009579242,,,False,False
00032249003,55942.1524177487,,,2.0179550647735596,0.1363929957151413,,,,,,,,,,,,,0.03021335,0.00614862,,,False,False
00032249004,55944.4357335487,,,1.918999195098877,0.20121654868125916,,,,,,,,,,,,,0.03626055,0.0098418,,,False,False
00032249005,55946.3662175656,0.521820068359375,0.095565065741539,1.9354602098464966,0.14464716613292694,,,,,,,,,,,,,0.02870606,0.00641658,,,False,False
00576064000,56593.279392515,,,,,,,,,1.1701873540878296,0.05637577921152115,,,0.021195,0.002891,0.009098,0.001906,0.03029344,0.006926074,0.429265,0.107327,False,False
00032249006,56717.6255589236,0.5542912483215332,0.08243585377931595,1.8406877517700195,0.12451984733343124,,,,,,,,,0.035175,0.003278,0.01652,0.002241,0.05104817,0.00788942,0.469657,0.077306,False,False
00032249007,56721.9950569178,0.22397533059120178,0.18041382730007172,1.9316350221633911,0.30899664759635925,,,,,,,,,0.030976,0.007165,0.016244,0.005218,0.04722043,0.01772729,0.524387,0.207572,False,False
00088825001,58651.9546069907,,,,,,,1.414162039756775,0.03099246323108673,,,,,0.024167,0.004393,0.004506,0.001944,0.02867436,0.009607624,0.18646,0.087303,False,False
00032249008,58829.040094103,,,,,,,1.3974016904830933,0.05347876250743866,,,,,0.017147,0.004385,0.01164,0.003577,0.02878718,0.011316974,0.678853,0.271394,False,False
00032249009,58836.5425369421,,,,,,,1.3291521072387695,0.04787042737007141,,,,,0.020212,0.004462,0.015325,0.00391,0.03554641,0.011865766,0.758236,0.255824,False,False
00032249011,58850.361104647,,,,,,,1.4918334484100342,0.10524898767471313,,,,,0.015125,0.004884,0.012097,0.004356,0.02723633,0.013088722,0.799829,0.386842,False,False
00032249012,58857.2590245185,,,,,,,1.3487310409545898,0.07210634648799896,,,,,0.030455,0.007053,0.023856,0.006221,0.0543116,0.018808102,0.783331,0.273181,False,False
00032249013,58864.031680588,,,,,,,1.3882005214691162,0.07204335182905197,,,,,0.024034,0.007714,0.021747,0.007339,0.04578077,0.02129512,0.904875,0.421436,False,False
00032249014,58871.6626997222,,,,,,,1.256218433380127,0.04643820598721504,,,,,0.030272,0.005502,0.017537,0.0042,0.04780895,0.013843512,0.579327,0.174175,False,False
00032249015,58878.703853331,,,,,,,1.357389211654663,0.04919592663645744,,,,,0.01332,0.003755,0.013365,0.003785,0.02353792,0.010020444,1.00339,0.400916,False,False
00032249016,58885.5437296829,,,,,,,1.4055434465408325,0.047885458916425705,,,,,0.038196,0.008244,0.014205,0.005177,0.05240875,0.019466894,0.371898,0.157531,False,False
00032249017,58892.5825874468,,,,,,,1.3564156293869019,0.05173127353191376,,,,,0.029678,0.00586,0.019149,0.004725,0.04882666,0.015055866,0.645229,0.203919,False,False
00032249018,58899.0221631458,,,,,,,1.387884497642517,0.04825828596949577,,,,,0.014662,0.007626,0.01869,0.008547,0.03335276,0.023208720000000002,1.274746,0.882852,False,False
00032249019,58906.5223968519,,,,,,,1.2554004192352295,0.04597058892250061,,,,,0.019665,0.004476,0.007701,0.002818,0.02736639,0.01057725,0.391626,0.168739,False,False
00032249020,58913.4933520451,,,,,,,1.3876198530197144,0.04897710308432579,,,,,0.011812,0.003498,0.008783,0.003033,0.02059547,0.009259256,0.743595,0.338246,False,False
00032249021,58920.01137389,,,,,,,,,,,,,0.012951,0.003806,0.004051,0.002195,0.01700202,0.008786264,0.312836,0.192798,False,False
00032249022,58927.4366737292,,,,,,,1.3282866477966309,0.046553581953048706,,,,,0.028615,0.007776,0.007557,0.003965,0.03616244,0.017454328,0.264096,0.156052,False,False
00032249023,58934.5438245475,,,,,,,1.235295295715332,0.04554414749145508,,,,,0.014581,0.003854,0.006652,0.002632,0.02123215,0.009333658,0.456203,0.217062,False,False
00032249024,58941.5156419167,,,,,,,1.3430591821670532,0.04839593172073364,,,,,0.009286,0.003952,0.009479,0.004035,0.01876558,0.011407358,1.020832,0.614463,False,False
00032249025,58948.4895256748,,,,,,,1.3018221855163574,0.07591734826564789,,,,,0.025639,0.005791,0.00104,0.001287,0.0266781,0.011865444,0.040573,0.051036,False,False
00032249026,58955.3334235995,,,,,,,1.3781569004058838,0.049919165670871735,,,,,0.018107,0.004461,0.010603,0.003439,0.02871018,0.011265008,0.585568,0.238492,False,False
00032249027,58962.0977532905,,,,,,,,,,,,,0.015381,0.003938,0.009499,0.003105,0.02487999,0.010030494,0.617615,0.256452,False,False
00032249028,58969.4738550856,,,,,,,1.4775522947311401,0.048415157943964005,,,,,0.023888,0.004938,0.014905,0.00391,0.03779206,0.012437482,0.623931,0.2084,False,False
00032249029,58976.5115857882,,,,,,,1.31630277633667,0.045713044703006744,,,,,0.020232,0.004374,0.009118,0.002958,0.029351,0.010560224,0.450681,0.175699,False,False
00032249030,58983.4841346632,,,,,,,1.3427225351333618,0.054624851793050766,,,,,0.027917,0.006177,0.013395,0.0043,0.04131172,0.015052724,0.479804,0.187067,False,False
