OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00032619001,56392.2760377857,,,,,3.43788743019104,0.030528107658028603,,,,,,,0.056867,0.003912,0.024333,0.002566,0.08037684,0.009308602,0.427888,0.053877,False,False
00032619002,56399.5807992903,,,,,,,0.7551300525665283,0.014112796634435654,,,,,0.055295,0.003763,0.021984,0.00239,0.07680032,0.008890626,0.397588,0.051002,False,False
00032619003,56406.7398691433,,,,,,,,,0.38655510544776917,0.00952575821429491,,,0.039201,0.003756,0.015835,0.002391,0.05464017,0.00886938,0.403945,0.072232,False,False
00032619004,56413.1400373042,,,,,,,,,,,0.5999810099601746,0.011655646376311779,0.040108,0.003464,0.014804,0.002085,0.05394531,0.008008,0.3691,0.060983,False,False
00032619005,56420.6179766028,,,,,2.801022529602051,0.02560456097126007,,,,,,,0.047744,0.0035,0.018107,0.002163,0.06585422,0.00822869,0.379257,0.053153,False,False
00032619006,56427.8597742093,,,,,,,0.6617130637168884,0.015270628966391087,,,,,0.043747,0.004045,0.017371,0.002584,0.06069328,0.009560926,0.397091,0.069557,False,False
00032619007,56434.8044205183,,,,,,,,,0.3658849895000458,0.008779638446867466,,,0.032258,0.002827,0.011308,0.001672,0.04333295,0.00655217,0.350536,0.06026,False,False
00032619008,56441.8166855311,,,,,,,,,,,,,0.111787,0.017308,0.052574,0.012,0.1643636,0.04212326,0.470302,0.129718,False,False
00032619009,56445.5548210831,,,,,,,,,,,,,0.075359,0.005041,0.04945,0.004199,0.1232423,0.013025176,0.656189,0.070939,False,False
00032619010,56448.1197935519,,,,,2.429839611053467,0.028265686705708504,,,,,,,0.099506,0.005271,0.037696,0.003257,0.1366594,0.0123689,0.378828,0.038392,False,False
00032619011,56455.8731126966,,,,,,,0.8070347905158997,0.017451513558626175,,,,,0.046399,0.004232,0.01634,0.002522,0.06273767,0.009853404,0.352157,0.063144,False,False
00032619012,56462.8763254165,,,,,,,,,0.3329908847808838,0.008849392645061016,,,0.044424,0.003725,0.018338,0.002475,0.06276903,0.008941354,0.412802,0.065582,False,False
00032619013,56470.9207727209,,,,,,,,,0.3309730589389801,0.009288433007895947,,,0.02999,0.002838,0.01383,0.001935,0.0438204,0.00687069,0.461171,0.077902,False,False
00032619014,56476.465962082,,,,,2.271854877471924,0.025667868554592133,,,,,,,0.040951,0.003304,0.010185,0.001663,0.05113668,0.007397822,0.248707,0.045306,False,False
00032619015,56483.5025914674,,,,,,,0.6465827226638794,0.012835640460252762,,,,,0.060739,0.003894,0.021233,0.002331,0.08146437,0.009047988,0.349571,0.044446,False,False
00032619016,56490.6776319859,,,,,,,,,0.31914621591567993,0.00951878447085619,,,0.064834,0.004372,0.021237,0.002495,0.08606589,0.010067346,0.327553,0.044369,False,False
00032619017,56497.6620750392,,,,,,,,,,,0.47369590401649475,0.013295154087245464,0.034086,0.003102,0.011209,0.001789,0.04475105,0.007120742,0.328838,0.060407,False,False
00032619018,56504.5315519466,,,,,1.881373643875122,0.024437304586172104,,,,,,,0.040844,0.003267,0.020817,0.002335,0.06166107,0.008030676,0.50968,0.070207,False,False
00032619019,56511.4768717232,,,,,,,0.5998594164848328,0.014189432375133038,,,,,0.057156,0.004705,0.017844,0.00268,0.0747213,0.010814744,0.312207,0.053466,False,False
00032619020,56518.7244230392,,,,,,,,,0.3193765878677368,0.009614569135010242,,,0.042035,0.003452,0.01522,0.002093,0.05672487,0.00803815,0.362089,0.057987,False,False
00082120001,56553.4270382232,,,,,,,,,0.23168739676475525,0.017592864111065865,,,0.039586,0.004108,0.014173,0.002463,0.05375844,0.009579532,0.358029,0.072472,False,False
00082120002,56556.5010737,,,,,,,,,-0.040038175880908966,0.00566071318462491,,,0.053755,0.011015,0.024493,0.007406,0.07604862,0.02617892,0.455641,0.166422,False,False
00082120003,56609.6770569304,,,,,,,,,0.3689691424369812,0.08529690653085709,,,0.092845,0.0243,0.093162,0.024218,0.1860078,0.06861492,1.003423,0.370151,False,False
00082120004,56617.3200670588,,,,,,,,,0.28397300839424133,0.02095784619450569,,,0.054425,0.005476,0.019413,0.003328,0.07385003,0.012814148,0.356687,0.070894,False,False
00082120005,56688.5483218563,,,,,,,,,0.16659827530384064,0.028118835762143135,,,0.039731,0.007308,0.014451,0.004436,0.05418271,0.017098952,0.363721,0.130166,False,False
00033468001,56937.2921058875,1.258302927017212,0.3644140958786011,3.9326741695404053,0.4843921363353729,,,,,,,,,0.03795,0.004251,0.023016,0.003298,0.06005218,0.01068195,0.606488,0.110311,False,False
00033468004,56938.3722850982,2.5028750896453857,0.655236005783081,2.839345693588257,0.7517940402030945,,,,,,,,,0.0,0.0,0.0,0.0,0.0095325,0.0,,,False,True
00033468003,56938.3986399732,,,,,,,,,0.23313049972057343,0.015541150234639645,,,0.046929,0.004676,0.015357,0.002694,0.06228512,0.010794256,0.327234,0.066028,False,False
00033468005,56941.2041009917,2.231522560119629,0.3595840036869049,2.214229106903076,0.40071654319763184,,,,,,,,,0.037064,0.003758,0.020367,0.002783,0.05708329,0.009326458,0.549523,0.093494,False,False
00033468006,56942.6886861352,,,,,,,,,,,0.49909573793411255,0.03789472579956055,0.039344,0.010991,0.008864,0.005299,0.04820852,0.02440354,0.225302,0.148673,False,False
00033468009,56944.3643541676,,,,,,,,,0.320847749710083,0.02204289473593235,,,0.033461,0.006496,0.011636,0.003963,0.04510311,0.01521382,0.347765,0.136319,True,False
00082120006,57137.7557733112,,,,,,,,,0.30915334820747375,0.022700950503349304,,,0.046669,0.005135,0.020757,0.003437,0.06687814,0.012310092,0.444765,0.088423,False,False
00082120007,57139.3866762857,,,,,,,,,0.3430149257183075,0.020029116421937943,,,0.057984,0.004706,0.026365,0.003238,0.08435297,0.011423736,0.454697,0.066937,False,False
00092305001,57653.0698062475,,,,,,,,,,,,,0.041878,0.011836,0.012966,0.006644,0.05484404,0.02714664,0.309603,0.181189,False,False
00092305003,57653.5374065253,,,,,,,,,,,,,0.054153,0.010028,0.031001,0.007683,0.08515666,0.02526526,0.572459,0.177108,False,False
00092305004,57653.7418873355,,,,,,,,,,,,,0.042178,0.010083,0.025733,0.007895,0.06791099,0.02561316,0.610114,0.237308,False,False
00092305005,57653.9225597313,,,,,,,,,,,0.4658273160457611,0.02687130868434906,0.038834,0.007574,0.02292,0.005817,0.0617548,0.019099238,0.590207,0.188901,False,False
