OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00084503001,57349.7609962732,,,,,,,,,0.10926813,0.013295799,,,0.004244,0.00215,0.013007,0.003569,0.01725316,0.008333366,3.064897,1.765698,False,False
00084503002,57444.5531028357,,,,,,,,,0.1583736,0.02800076,,,0.008728,0.004513,0.005991,0.003567,0.01248859,0.010795916999999999,0.686427,0.541367,True,False
00084503004,57559.7973205938,,,,,,,,,0.09365539,0.032123968,,,0.003006,0.0033,0.013026,0.006676,0.01605586,0.015236754,4.333881,5.251182,True,False
00084503005,57664.7964355371,,,,,,,,,0.12601131,0.024760379,,,0.002786,0.002139,-0.000221,4.2e-05,0.014722,0.0,-0.079218,-0.06264,True,True
00084503006,57667.7884675776,,,,,,,,,0.13866177,0.033930875,,,0.002574,0.002729,0.005233,0.00385,0.007821221,0.009801725,2.032969,2.623563,True,False
00084503007,57670.7381777315,,,,,,,,,0.13286692,0.018171832,,,0.002093,0.001299,0.002148,0.001334,0.004240255,0.003795632,1.026255,0.90131,True,False
00084503008,57685.9817942431,,,,,,,,,0.11277288,0.028067358,,,0.005482,0.003325,0.009446,0.004305,0.01492753,0.011037486999999999,1.722945,1.307132,True,False
00084503009,57686.0525811875,,,,,,,,,0.09806214,0.0294505,,,0.001933,0.002314,0.011287,0.005167,0.01322152,0.011539371999999999,5.838308,7.480345,True,False
00084503010,57700.8843982998,,,,,,,,,0.10811522,0.02229805,,,0.006426,0.003072,0.007837,0.003366,0.01426344,0.009212231000000001,1.21948,0.783718,False,False
00084503011,57704.4138110811,,,,,,,,,0.15031244,0.030535085,,,0.004124,0.003009,0.004155,0.003065,0.008279885,0.008838176,1.007595,1.045487,True,False
00084503012,57709.5210109942,,,,,,,,,0.121970885,0.015477246,,,0.006561,0.002093,0.00355,0.001532,0.01011264,0.005187936,0.541098,0.290431,True,False
00084503013,57710.7157132975,,,,,,,,,0.11176454,0.016143356,,,0.003743,0.001756,0.0006,0.000737,0.004337119,0.003881643,0.160237,0.210708,True,False
00084503014,57713.3119028264,,,,,,,,,0.10894031,0.01719901,,,0.002357,0.001432,-9.2e-05,1.5e-05,0.0095275,0.0,-0.038899,-0.024475,True,True
00084503015,57714.5063643426,,,,,,,,,0.08324538,0.019576749,,,0.001099,0.001239,0.001144,0.001237,0.012192,0.0,1.041181,1.627074,True,True
00084503016,57716.4311848554,,,,,,,,,0.109086744,0.013664461,,,0.002975,0.001279,0.002465,0.001172,0.005441818,0.00350724,0.828363,0.530986,True,False
00084503017,57719.8836826239,,,,,,,,,0.12546337,0.02691646,,,0.004233,0.002704,0.007514,0.003491,0.01174599,0.008958543,1.774938,1.401966,True,False
