MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53756.8730393751,0.138732638888889,-0.138732638888889,0.1751199,0.007394754,-0.007394754,00035475001,PC,False,False,FULL
53798.7213641703,0.13694025462963,-0.13694025462963,0.1676641,0.009164226,-0.009164226,00035475002,PC,False,False,FULL
53836.4957010613,0.441781215277778,-0.441781215277778,0.1817785,0.005495243,-0.005495243,00035475003,PC,False,False,FULL
55166.1214836092,0.0004788194444444,-0.0004788194444444,0.1151397,0.05693833,-0.04318492,00090217001,PC,True,False,FULL
55166.5226086903,0.000841574074074,-0.000841574074074,0.3302447,0.0530262,-0.0530262,00090217002,PC,False,False,FULL
55167.0756812713,0.0051948263888888,-0.0051948263888888,0.1524925,0.01471764,-0.01471764,00090217003,PC,False,False,FULL
55168.3333922804,0.005412199074074,-0.005412199074074,0.2063846,0.02073286,-0.02073286,00090217005,PC,False,False,FULL
55168.6677855675,0.0057459259259259,-0.0057459259259259,0.2656432,0.02000103,-0.02000103,00090217006,PC,False,False,FULL
55169.007691204,0.0054119328703703,-0.0054119328703703,0.2451173,0.02162286,-0.02162286,00090217007,PC,False,False,FULL
55169.217122292,0.0049623611111111,-0.0049623611111111,0.1965123,0.01981697,-0.01981697,00090217008,PC,False,False,FULL
55170.0198290303,0.0049333449074074,-0.0049333449074074,0.2684858,0.01976035,-0.01976035,00090217009,PC,False,False,FULL
55170.8190568891,0.0065584722222222,-0.0065584722222222,0.2726154,0.02021617,-0.02021617,00090217010,PC,False,False,FULL
55171.0127533359,0.0059200462962963,-0.0059200462962963,0.2380845,0.01920391,-0.01920391,00090217011,PC,False,False,FULL
55171.5440130349,0.0059055092592592,-0.0059055092592592,0.3142767,0.02582569,-0.02582569,00090217012,PC,False,False,FULL
55172.0801234421,0.0059055092592592,-0.0059055092592592,0.2869054,0.01981667,-0.01981667,00090217013,PC,False,False,FULL
55172.5474874815,0.0059055324074074,-0.0059055324074074,0.3124196,0.02705788,-0.02705788,00090217014,PC,False,False,FULL
55173.2289748194,0.0056733564814814,-0.0056733564814814,0.2887322,0.01941548,-0.01941548,00090217015,PC,False,False,FULL
55173.7560227266,0.0057023726851851,-0.0057023726851851,0.2816596,0.02326247,-0.02326247,00090217016,PC,False,False,FULL
55174.1539338493,0.0057023958333333,-0.0057023958333333,0.267628,0.02125508,-0.02125508,00090217017,PC,False,False,FULL
55174.6219647752,0.0057169097222222,-0.0057169097222222,0.3000113,0.02886964,-0.02886964,00090217018,PC,False,False,FULL
55175.1555735252,0.006137662037037,-0.006137662037037,0.1497525,0.01321179,-0.01321179,00090217019,PC,False,False,FULL
55175.6928698466,0.0056588541666666,-0.0056588541666666,0.2071283,0.02021378,-0.02021378,00090217020,PC,False,False,FULL
55176.158586004,0.0059055324074074,-0.0059055324074074,0.3185177,0.02325246,-0.02325246,00090217021,PC,False,False,FULL
55176.6943213512,0.0056008101851851,-0.0056008101851851,0.1872935,0.01737385,-0.01737385,00090217022,PC,False,False,FULL
55177.1623759693,0.0055862847222222,-0.0055862847222222,0.27889,0.02006233,-0.02006233,00090217023,PC,False,False,FULL
55177.697808506,0.0055863194444444,-0.0055863194444444,0.1999238,0.01831074,-0.01831074,00090217024,PC,False,False,FULL
55179.5419129041,0.44342412037037,-0.44342412037037,0.07758277,0.00661737,-0.00661737,00090217025,PC,False,False,FULL
55181.645740547,0.0055717824074074,-0.0055717824074074,0.08798567,0.01091243,-0.01091243,00090217026,PC,False,False,FULL
55183.0532551419,0.0056878587962963,-0.0056878587962963,0.08562772,0.01055398,-0.01055398,00090217027,PC,False,False,FULL
55185.0545294155,0.0064859027777777,-0.0064859027777777,0.06889922,0.00891923,-0.00891923,00090217028,PC,False,False,FULL
55187.4070731441,0.0067325925925925,-0.0067325925925925,0.08162578,0.009456759,-0.009456759,00090217029,PC,False,False,FULL
55189.4119450903,0.0067325694444444,-0.0067325694444444,0.09667019,0.01016349,-0.01016349,00090217030,PC,False,False,FULL
55191.2807662725,0.0080529629629629,-0.0080529629629629,0.2098791,0.01497904,-0.01497904,00090217031,PC,False,False,FULL
55193.2870991794,0.0086479398148148,-0.0086479398148148,0.308547,0.02057227,-0.02057227,00090217032,PC,False,False,FULL
55195.6324152466,0.0084737962962963,-0.0084737962962963,0.2397129,0.01644568,-0.01644568,00090217033,PC,False,False,FULL
55197.9697882575,0.0065294328703703,-0.0065294328703703,0.0656796,0.008568483,-0.008568483,00090217034,PC,False,False,FULL
55199.9474749837,0.037869525462963,-0.037869525462963,0.0798408,0.008151588,-0.008151588,00090217035,PC,False,False,FULL
55201.9451053672,0.0352610185185185,-0.0352610185185185,0.2937282,0.01933394,-0.01933394,00090217036,PC,False,False,FULL
55211.3813347602,0.005397662037037,-0.005397662037037,0.04338837,0.007882949,-0.007882949,00090217037,PC,False,False,FULL
55213.4502605137,0.0059055092592592,-0.0059055092592592,0.05387115,0.008155602,-0.008155602,00090217038,PC,False,False,FULL
55215.3566244849,0.0370456018518519,-0.0370456018518519,0.1011578,0.009913164,-0.009913164,00090217039,PC,False,False,FULL
55217.5302946366,0.0078208564814814,-0.0078208564814814,0.2537343,0.01786539,-0.01786539,00090217040,PC,False,False,FULL
55219.0770602743,0.0068921759259259,-0.0068921759259259,0.1085253,0.01090444,-0.01090444,00090217041,PC,False,False,FULL
55221.8112438639,0.0095184837962963,-0.0095184837962963,0.283299,0.01635516,-0.01635516,00090217042,PC,False,False,FULL
55225.3858009256,0.0396815972222222,-0.0396815972222222,0.2930025,0.02223856,-0.02223856,00090217044,PC,False,False,FULL
