MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
53756.8730393751,0.138732638888889,-0.138732638888889,0.642739,0.055705,00035475001,PC,False,False,HR
53756.8730393751,0.138732638888889,-0.138732638888889,0.068628,0.004661,00035475001,PC,False,False,HARD
53756.8730393751,0.138732638888889,-0.138732638888889,0.106775,0.005748,00035475001,PC,False,False,SOFT
53798.7213641703,0.13694025462963,-0.13694025462963,0.093191,0.006853,00035475002,PC,False,False,SOFT
53798.7213641703,0.13694025462963,-0.13694025462963,0.799045,0.087841,00035475002,PC,False,False,HR
53798.7213641703,0.13694025462963,-0.13694025462963,0.074463,0.006085,00035475002,PC,False,False,HARD
53836.4957010613,0.441781215277778,-0.441781215277778,0.105961,0.004145,00035475003,PC,False,False,SOFT
53836.4957010613,0.441781215277778,-0.441781215277778,0.722423,0.04438,00035475003,PC,False,False,HR
53836.4957010613,0.441781215277778,-0.441781215277778,0.076549,0.003626,00035475003,PC,False,False,HARD
55166.1214836092,0.0004788194444444,-0.0004788194444444,0.058785,0.036305,00090217001,PC,True,False,SOFT
55166.1214836092,0.0004788194444444,-0.0004788194444444,0.056245,0.033194,00090217001,PC,True,False,HARD
55166.1214836092,0.0004788194444444,-0.0004788194444444,0.956793,0.817336,00090217001,PC,True,False,HR
55166.5226086903,0.000841574074074,-0.000841574074074,0.497697,0.169849,00090217002,PC,False,False,HR
55166.5226086903,0.000841574074074,-0.000841574074074,0.220501,0.043279,00090217002,PC,False,False,SOFT
55166.5226086903,0.000841574074074,-0.000841574074074,0.109743,0.030638,00090217002,PC,False,False,HARD
55167.0756812713,0.0051948263888888,-0.0051948263888888,0.109414,0.01245,00090217003,PC,False,False,SOFT
55167.0756812713,0.0051948263888888,-0.0051948263888888,0.393719,0.084581,00090217003,PC,False,False,HR
55167.0756812713,0.0051948263888888,-0.0051948263888888,0.043078,0.00785,00090217003,PC,False,False,HARD
55168.3333922804,0.005412199074074,-0.005412199074074,0.069037,0.012216,00090217005,PC,False,False,HARD
55168.3333922804,0.005412199074074,-0.005412199074074,0.137327,0.016758,00090217005,PC,False,False,SOFT
55168.3333922804,0.005412199074074,-0.005412199074074,0.502715,0.108055,00090217005,PC,False,False,HR
55168.6677855675,0.0057459259259259,-0.0057459259259259,0.523459,0.083528,00090217006,PC,False,False,HR
55168.6677855675,0.0057459259259259,-0.0057459259259259,0.174361,0.016094,00090217006,PC,False,False,SOFT
55168.6677855675,0.0057459259259259,-0.0057459259259259,0.091271,0.01188,00090217006,PC,False,False,HARD
55169.007691204,0.0054119328703703,-0.0054119328703703,0.056783,0.010666,00090217007,PC,False,False,HARD
55169.007691204,0.0054119328703703,-0.0054119328703703,0.301527,0.064155,00090217007,PC,False,False,HR
55169.007691204,0.0054119328703703,-0.0054119328703703,0.188317,0.018816,00090217007,PC,False,False,SOFT
55169.217122292,0.0049623611111111,-0.0049623611111111,0.137611,0.016549,00090217008,PC,False,False,SOFT
55169.217122292,0.0049623611111111,-0.0049623611111111,0.060915,0.011086,00090217008,PC,False,False,HARD
55169.217122292,0.0049623611111111,-0.0049623611111111,0.442657,0.096561,00090217008,PC,False,False,HR
