MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
58049.3652033715,0.0073274652777777,-0.0073274652777777,-0.001252,0.002714,00781740000,PC,True,False,HARD
58049.3652033715,0.0073274652777777,-0.0073274652777777,1.13056,4.450597,00781740000,PC,True,False,HR
58049.3652033715,0.0073274652777777,-0.0073274652777777,-0.001108,0.003641,00781740000,PC,True,False,SOFT
58049.6211493785,0.0547703240740741,-0.0547703240740741,-0.153091,0.143444,00781740001,WT,True,False,HARD
58049.6211493785,0.0547703240740741,-0.0547703240740741,-5.206897,-17.957791,00781740001,WT,True,False,HR
58049.6329586609,0.0664865625,-0.0664865625,0.001282,0.000948,00781740001,PC,True,False,SOFT
58058.5297986782,0.0060506018518518,-0.0060506018518518,0.004649,0.003234,00035336189,PC,True,False,SOFT
58058.5297986782,0.0060506018518518,-0.0060506018518518,-0.001664,0.000143,00035336189,PC,True,False,HARD
58058.5297986782,0.0060506018518518,-0.0060506018518518,-0.357904,-0.250854,00035336189,PC,True,False,HR
58059.0591573356,0.005180011574074,-0.005180011574074,0.002156,0.002764,00035336190,PC,True,False,HARD
58059.0591573356,0.005180011574074,-0.005180011574074,0.000796,0.002763,00035336190,PC,True,False,SOFT
58059.0591573356,0.005180011574074,-0.005180011574074,2.707344,10.01398,00035336190,PC,True,False,HR
58090.6074765556,0.067262349537037,-0.067262349537037,0.005858,0.00294,00035336191,PC,True,False,SOFT
58090.6074765556,0.067262349537037,-0.067262349537037,-0.400819,-0.202659,00035336191,PC,True,False,HR
58090.6074765556,0.067262349537037,-0.067262349537037,-0.002348,0.000144,00035336191,PC,True,False,HARD
58105.5594840243,0.0694271064814815,-0.0694271064814815,1.174106,4.507346,00035336192,PC,True,False,HR
58105.5594840243,0.0694271064814815,-0.0694271064814815,0.000423,0.001321,00035336192,PC,True,False,SOFT
58105.5594840243,0.0694271064814815,-0.0694271064814815,0.000496,0.001105,00035336192,PC,True,False,HARD
58115.2413666991,0.074357962962963,-0.074357962962963,-0.000315,0.000523,00035336193,PC,True,False,HARD
58115.2413666991,0.074357962962963,-0.074357962962963,0.002242,0.001368,00035336193,PC,True,False,SOFT
58115.2413666991,0.074357962962963,-0.074357962962963,-0.140687,-0.248504,00035336193,PC,True,False,HR
58118.5235128495,0.0352474074074074,-0.0352474074074074,0.003263,0.002111,00035336194,PC,True,False,SOFT
58118.5235128495,0.0352474074074074,-0.0352474074074074,-0.341903,-0.304512,00035336194,PC,True,False,HR
58118.5235128495,0.0352474074074074,-0.0352474074074074,-0.001116,0.000683,00035336194,PC,True,False,HARD
58119.2919980671,0.0041933449074074,-0.0041933449074074,0.000528,0.001953,00080007003,PC,False,False,HARD
58119.2919980671,0.0041933449074074,-0.0041933449074074,0.005589,0.004361,00080007003,PC,False,False,SOFT
58119.2919980671,0.0041933449074074,-0.0041933449074074,0.094485,0.357081,00080007003,PC,False,False,HR
58122.087830713,0.0744134375,-0.0744134375,-10.155934,-225.324713,00088208003,PC,True,False,HR
58122.087830713,0.0744134375,-0.0744134375,5.7e-05,0.00126,00088208003,PC,True,False,SOFT
58122.087830713,0.0744134375,-0.0744134375,-0.000578,0.000721,00088208003,PC,True,False,HARD
58124.0469402917,0.354879097222222,-0.354879097222222,-0.154413,-2.833747,00080007004,PC,True,False,HR
58124.0469402917,0.354879097222222,-0.354879097222222,0.000387,0.001514,00080007004,PC,True,False,SOFT
58124.0469402917,0.354879097222222,-0.354879097222222,-6e-05,0.001072,00080007004,PC,True,False,HARD
58127.4906648889,0.434089548611111,-0.434089548611111,1.744217,4.611971,00080007005,PC,True,False,HR
58127.4906648889,0.434089548611111,-0.434089548611111,0.000285,0.000654,00080007005,PC,True,False,SOFT
58127.4906648889,0.434089548611111,-0.434089548611111,0.000497,0.000654,00080007005,PC,True,False,HARD
58132.4915680139,0.370682696759259,-0.370682696759259,-0.712923,-0.645827,00035336195,PC,True,False,HR
58132.4915680139,0.370682696759259,-0.370682696759259,0.001958,0.00177,00035336195,PC,True,False,SOFT
58132.4915680139,0.370682696759259,-0.370682696759259,-0.001396,8.4e-05,00035336195,PC,True,False,HARD
58141.6609527488,0.304766597222222,-0.304766597222222,0.571671,0.045103,00080007006,PC,True,False,HR
58141.6609527488,0.304766597222222,-0.304766597222222,-0.001283,6.4e-05,00080007006,PC,True,False,SOFT
58141.6609527488,0.304766597222222,-0.304766597222222,-0.000733,4.5e-05,00080007006,PC,True,False,HARD
58142.4818707002,0.0060651157407407,-0.0060651157407407,-0.805102,-0.91373,00080007007,PC,True,False,HR
58142.4818707002,0.0060651157407407,-0.0060651157407407,0.002339,0.002648,00080007007,PC,True,False,SOFT
58142.4818707002,0.0060651157407407,-0.0060651157407407,-0.001883,0.000155,00080007007,PC,True,False,HARD
58146.6996005382,0.038339212962963,-0.038339212962963,-0.000831,0.000823,00035336196,PC,True,False,HARD
58146.6996005382,0.038339212962963,-0.038339212962963,-0.683765,-1.224433,00035336196,PC,True,False,HR
58146.6996005382,0.038339212962963,-0.038339212962963,0.001215,0.001813,00035336196,PC,True,False,SOFT
58160.1071473495,0.0391178819444444,-0.0391178819444444,-0.00189,0.000107,00035336197,PC,True,False,HARD
58160.1071473495,0.0391178819444444,-0.0391178819444444,-0.92529,-0.899794,00035336197,PC,True,False,HR
58160.1071473495,0.0391178819444444,-0.0391178819444444,0.002043,0.001983,00035336197,PC,True,False,SOFT
58174.1819231238,0.0358880902777778,-0.0358880902777778,8.8e-05,0.001233,00035336198,PC,True,False,HARD
58174.1819231238,0.0358880902777778,-0.0358880902777778,0.056799,0.801793,00035336198,PC,True,False,HR
58174.1819231238,0.0358880902777778,-0.0358880902777778,0.001543,0.00184,00035336198,PC,True,False,SOFT
58188.6170738877,0.0332224768518519,-0.0332224768518519,-0.001321,0.000169,00035336199,PC,True,False,HARD
58188.6170738877,0.0332224768518519,-0.0332224768518519,-0.44773,-0.532012,00035336199,PC,True,False,HR
58188.6170738877,0.0332224768518519,-0.0332224768518519,0.00295,0.003485,00035336199,PC,True,False,SOFT
58263.1903725752,0.038536875,-0.038536875,-0.052661,-0.325057,00035336200,PC,True,False,HR
58263.1903725752,0.038536875,-0.038536875,-0.000194,0.001194,00035336200,PC,True,False,HARD
58263.1903725752,0.038536875,-0.038536875,0.003693,0.002299,00035336200,PC,True,False,SOFT
58279.4888937778,0.0052960879629629,-0.0052960879629629,-0.104678,-0.323757,00035336201,PC,True,False,HR
58279.4888937778,0.0052960879629629,-0.0052960879629629,0.004587,0.003218,00035336201,PC,True,False,SOFT
58279.4888937778,0.0052960879629629,-0.0052960879629629,-0.00048,0.001446,00035336201,PC,True,False,HARD
58281.652625485,0.30683724537037,-0.30683724537037,0.002976,0.002059,00035336203,PC,True,False,SOFT
58281.652625485,0.30683724537037,-0.30683724537037,-0.391263,-0.2718,00035336203,PC,True,False,HR
58281.652625485,0.30683724537037,-0.30683724537037,-0.001164,7.1e-05,00035336203,PC,True,False,HARD
58282.0887653692,0.0748434143518519,-0.0748434143518519,0.003627,0.002069,00035336205,PC,True,False,SOFT
58282.0887653692,0.0748434143518519,-0.0748434143518519,-0.149464,-0.279812,00035336205,PC,True,False,HR
58282.0887653692,0.0748434143518519,-0.0748434143518519,-0.000542,0.000967,00035336205,PC,True,False,HARD
58283.0526187951,0.0373842824074074,-0.0373842824074074,0.00461,0.002374,00035336206,PC,True,False,SOFT
58283.0526187951,0.0373842824074074,-0.0373842824074074,-0.285475,-0.237105,00035336206,PC,True,False,HR
58283.0526187951,0.0373842824074074,-0.0373842824074074,-0.001316,0.000858,00035336206,PC,True,False,HARD
58284.8770263553,0.0039466782407407,-0.0039466782407407,0.006978,0.004377,00035336207,PC,True,False,SOFT
58284.8770263553,0.0039466782407407,-0.0039466782407407,-0.279962,-0.177565,00035336207,PC,True,False,HR
58284.8770263553,0.0039466782407407,-0.0039466782407407,-0.001953,0.000183,00035336207,PC,True,False,HARD
58285.8815625475,0.0029019675925925,-0.0029019675925925,-0.925589,-1.491861,00035336208,PC,True,False,HR
58285.8815625475,0.0029019675925925,-0.0029019675925925,-0.002331,0.000242,00035336208,PC,True,False,HARD
58285.8815625475,0.0029019675925925,-0.0029019675925925,0.002519,0.004051,00035336208,PC,True,False,SOFT
58286.4408380625,0.438758657407407,-0.438758657407407,-0.000712,0.000618,00035336209,PC,True,False,HARD
58286.4408380625,0.438758657407407,-0.438758657407407,-0.759295,-1.315604,00035336209,PC,True,False,HR
58286.4408380625,0.438758657407407,-0.438758657407407,0.000937,0.001405,00035336209,PC,True,False,SOFT
58287.8358180856,0.0312774537037037,-0.0312774537037037,-0.57503,-0.562164,00035336210,PC,True,False,HR
58287.8358180856,0.0312774537037037,-0.0312774537037037,0.003467,0.003377,00035336210,PC,True,False,SOFT
58287.8358180856,0.0312774537037037,-0.0312774537037037,-0.001994,0.000168,00035336210,PC,True,False,HARD
58289.1636067338,0.0403062847222222,-0.0403062847222222,-0.123922,-0.822729,00035336211,PC,True,False,HR
58289.1636067338,0.0403062847222222,-0.0403062847222222,0.00195,0.002102,00035336211,PC,True,False,SOFT
58289.1636067338,0.0403062847222222,-0.0403062847222222,-0.000242,0.001583,00035336211,PC,True,False,HARD
58290.1581960046,0.039442974537037,-0.039442974537037,1.278212,1.974612,00035336212,PC,True,False,HR
58290.1581960046,0.039442974537037,-0.039442974537037,-0.001519,0.000946,00035336212,PC,True,False,HARD
58290.1581960046,0.039442974537037,-0.039442974537037,-0.001188,0.00168,00035336212,PC,True,False,SOFT
58291.0890106921,0.0364225925925926,-0.0364225925925926,3.165447,11.042152,00035336214,PC,True,False,HR
58291.0890106921,0.0364225925925926,-0.0364225925925926,-0.000664,0.002265,00035336214,PC,True,False,SOFT
58291.0890106921,0.0364225925925926,-0.0364225925925926,-0.002102,0.001529,00035336214,PC,True,False,HARD
58291.5912875023,0.0091411921296296,-0.0091411921296296,0.002626,0.002199,00035336213,PC,True,False,SOFT
58291.5912875023,0.0091411921296296,-0.0091411921296296,0.001441,0.001666,00035336213,PC,True,False,HARD
58291.5912875023,0.0091411921296296,-0.0091411921296296,0.548886,0.783622,00035336213,PC,True,False,HR
58292.0788267847,0.036196712962963,-0.036196712962963,-0.001802,0.000125,00035336215,PC,True,False,HARD
58292.0788267847,0.036196712962963,-0.036196712962963,-0.755867,-0.735816,00035336215,PC,True,False,HR
58292.0788267847,0.036196712962963,-0.036196712962963,0.002384,0.002315,00035336215,PC,True,False,SOFT
58294.4462985116,0.392638611111111,-0.392638611111111,0.005741,0.002288,00035336217,PC,True,False,SOFT
58294.4462985116,0.392638611111111,-0.392638611111111,-0.180197,-0.204896,00035336217,PC,True,False,HR
58294.4462985116,0.392638611111111,-0.392638611111111,-0.001034,0.001102,00035336217,PC,True,False,HARD
58294.6836517292,0.0397072222222222,-0.0397072222222222,,,00035336216,PC,True,False,HR
58294.6836517292,0.0397072222222222,-0.0397072222222222,0.0,0.0,00035336216,PC,True,False,SOFT
58294.6836517292,0.0397072222222222,-0.0397072222222222,0.0,0.0,00035336216,PC,True,False,HARD
58305.1010973113,0.0375236342592593,-0.0375236342592593,-0.137598,-3.30682,00035336218,PC,True,False,HR
58305.1010973113,0.0375236342592593,-0.0375236342592593,0.000312,0.001367,00035336218,PC,True,False,SOFT
58305.1010973113,0.0375236342592593,-0.0375236342592593,-4.3e-05,0.001014,00035336218,PC,True,False,HARD
58314.6614093854,0.0397113310185185,-0.0397113310185185,0.002395,0.001933,00010759001,PC,True,False,SOFT
58314.6614093854,0.0397113310185185,-0.0397113310185185,0.001592,0.001591,00010759001,PC,True,False,HARD
58314.6614093854,0.0397113310185185,-0.0397113310185185,0.664654,0.853873,00010759001,PC,True,False,HR
58319.5982526563,0.0001450925925925,-0.0001450925925925,-0.001804,0.001804,00035336219,PC,True,False,HARD
58319.5982526563,0.0001450925925925,-0.0001450925925925,0.142857,0.152721,00035336219,PC,True,False,HR
58319.5982526563,0.0001450925925925,-0.0001450925925925,-0.012631,0.004774,00035336219,PC,True,False,SOFT
58324.7463612731,0.0360018981481481,-0.0360018981481481,0.003053,0.00195,00035336220,PC,True,False,SOFT
58324.7463612731,0.0360018981481481,-0.0360018981481481,0.089619,0.37877,00035336220,PC,True,False,HR
58324.7463612731,0.0360018981481481,-0.0360018981481481,0.000274,0.001143,00035336220,PC,True,False,HARD
58333.5304659769,0.435942916666667,-0.435942916666667,0.450222,0.667867,00035336221,PC,True,False,HR
58333.5304659769,0.435942916666667,-0.435942916666667,0.002294,0.001827,00035336221,PC,True,False,SOFT
58333.5304659769,0.435942916666667,-0.435942916666667,0.001033,0.001293,00035336221,PC,True,False,HARD
58370.6621598229,0.0340854050925926,-0.0340854050925926,-0.001377,0.00016,00035336222,PC,True,False,HARD
58370.6621598229,0.0340854050925926,-0.0340854050925926,-0.756768,-1.360735,00035336222,PC,True,False,HR
58370.6621598229,0.0340854050925926,-0.0340854050925926,0.001819,0.003265,00035336222,PC,True,False,SOFT
58374.863946647,0.130582233796296,-0.130582233796296,0.004327,0.003052,00035336223,PC,True,False,SOFT
58374.863946647,0.130582233796296,-0.130582233796296,-0.461668,-0.327557,00035336223,PC,True,False,HR
58374.863946647,0.130582233796296,-0.130582233796296,-0.001998,0.000153,00035336223,PC,True,False,HARD
58385.5980087905,0.103109444444444,-0.103109444444444,-0.000285,0.000728,00035336224,PC,True,False,HARD
58385.5980087905,0.103109444444444,-0.103109444444444,-0.216859,-0.604666,00035336224,PC,True,False,HR
58385.5980087905,0.103109444444444,-0.103109444444444,0.001313,0.001455,00035336224,PC,True,False,SOFT
58399.9803582465,0.0089525694444444,-0.0089525694444444,-0.000924,0.001288,00035336225,PC,True,False,HARD
58399.9803582465,0.0089525694444444,-0.0089525694444444,-0.887655,-2.469103,00035336225,PC,True,False,HR
58399.9803582465,0.0089525694444444,-0.0089525694444444,0.001041,0.002506,00035336225,PC,True,False,SOFT
58413.0480204259,0.0697678819444444,-0.0697678819444444,0.000601,0.001369,00035336226,PC,True,False,HARD
58413.0480204259,0.0697678819444444,-0.0697678819444444,0.184205,0.437051,00035336226,PC,True,False,HR
58413.0480204259,0.0697678819444444,-0.0697678819444444,0.003265,0.00218,00035336226,PC,True,False,SOFT
58427.4390137176,0.0371100810185185,-0.0371100810185185,-1.092098,-4.183923,00035336227,PC,True,False,HR
58427.4390137176,0.0371100810185185,-0.0371100810185185,0.00059,0.001996,00035336227,PC,True,False,SOFT
58427.4390137176,0.0371100810185185,-0.0371100810185185,-0.000644,0.001154,00035336227,PC,True,False,HARD
58441.7484054618,0.0713103125,-0.0713103125,0.00359,0.002832,00035336228,PC,True,False,SOFT
58441.7484054618,0.0713103125,-0.0713103125,-0.001755,0.00013,00035336228,PC,True,False,HARD
58441.7484054618,0.0713103125,-0.0713103125,-0.48878,-0.387293,00035336228,PC,True,False,HR
58476.8701921076,0.0038451041666666,-0.0038451041666666,0.963751,1.437178,00088741001,PC,True,False,HR
58476.8701921076,0.0038451041666666,-0.0038451041666666,0.002523,0.002708,00088741001,PC,True,False,HARD
58476.8701921076,0.0038451041666666,-0.0038451041666666,0.002618,0.002711,00088741001,PC,True,False,SOFT
58477.1409102326,0.0067180555555555,-0.0067180555555555,-4.5e-05,2.3e-05,00088741002,PC,True,False,HARD
58477.1409102326,0.0067180555555555,-0.0067180555555555,0.004495,0.002647,00088741002,PC,True,False,SOFT
58477.1409102326,0.0067180555555555,-0.0067180555555555,-0.010048,-0.007762,00088741002,PC,True,False,HR
58489.3909640937,0.0427813194444444,-0.0427813194444444,-0.001161,0.00062,00088208004,PC,True,False,HARD
58489.3909640937,0.0427813194444444,-0.0427813194444444,-0.567132,-0.568783,00088208004,PC,True,False,HR
58489.3909640937,0.0427813194444444,-0.0427813194444444,0.002048,0.001738,00088208004,PC,True,False,SOFT
58503.1717146979,0.136331828703704,-0.136331828703704,-8.5e-05,0.000853,00088208005,PC,True,False,HARD
58503.1717146979,0.136331828703704,-0.136331828703704,0.000868,0.001347,00088208005,PC,True,False,SOFT
58503.1717146979,0.136331828703704,-0.136331828703704,-0.09752,-0.994183,00088208005,PC,True,False,HR
58517.8133434016,0.0342897916666667,-0.0342897916666667,0.003253,0.002041,00088208006,PC,True,False,SOFT
58517.8133434016,0.0342897916666667,-0.0342897916666667,0.187042,0.398016,00088208006,PC,True,False,HR
58517.8133434016,0.0342897916666667,-0.0342897916666667,0.000609,0.001237,00088208006,PC,True,False,HARD
58531.1270687998,0.0705758680555556,-0.0705758680555556,-0.000141,0.00065,00088208007,PC,True,False,HARD
58531.1270687998,0.0705758680555556,-0.0705758680555556,-0.115253,-0.555229,00088208007,PC,True,False,HR
58531.1270687998,0.0705758680555556,-0.0705758680555556,0.001222,0.001679,00088208007,PC,True,False,SOFT
58545.4803823461,0.138094259259259,-0.138094259259259,0.000529,0.001638,00088208008,PC,True,False,SOFT
58545.4803823461,0.138094259259259,-0.138094259259259,-0.001457,9.3e-05,00088208008,PC,True,False,HARD
58545.4803823461,0.138094259259259,-0.138094259259259,-2.755979,-8.538639,00088208008,PC,True,False,HR
58555.1336112697,0.0327545601851852,-0.0327545601851852,-1.919661,-4.490724,00088208009,PC,True,False,HR
58555.1336112697,0.0327545601851852,-0.0327545601851852,0.000934,0.002182,00088208009,PC,True,False,SOFT
58555.1336112697,0.0327545601851852,-0.0327545601851852,-0.001792,0.000147,00088208009,PC,True,False,HARD
58631.2968282963,0.0389878240740741,-0.0389878240740741,0.001497,0.001636,00088208010,PC,True,False,SOFT
58631.2968282963,0.0389878240740741,-0.0389878240740741,-8.8e-05,0.000895,00088208010,PC,True,False,HARD
58631.2968282963,0.0389878240740741,-0.0389878240740741,-0.059053,-0.601297,00088208010,PC,True,False,HR
58635.6694531343,0.0350807407407407,-0.0350807407407407,0.00329,0.002472,00010686010,PC,True,False,SOFT
58635.6694531343,0.0350807407407407,-0.0350807407407407,-0.10943,-0.418115,00010686010,PC,True,False,HR
58635.6694531343,0.0350807407407407,-0.0350807407407407,-0.00036,0.001349,00010686010,PC,True,False,HARD
58647.6753035035,0.00148,-0.00148,-0.002521,0.000368,00088208011,PC,True,False,HARD
58647.6753035035,0.00148,-0.00148,0.002146,0.006121,00088208011,PC,True,False,SOFT
58647.6753035035,0.00148,-0.00148,-1.17478,-3.354825,00088208011,PC,True,False,HR
58652.7925937523,0.202951712962963,-0.202951712962963,0.003162,0.003914,00088208012,PC,True,False,HARD
58652.7925937523,0.202951712962963,-0.202951712962963,0.004836,0.004267,00088208012,PC,True,False,SOFT
58652.7925937523,0.202951712962963,-0.202951712962963,0.653791,0.993828,00088208012,PC,True,False,HR
58659.1610126806,0.0095329976851851,-0.0095329976851851,0.765884,1.401367,00088208013,PC,True,False,HR
58659.1610126806,0.0095329976851851,-0.0095329976851851,-0.000802,0.000993,00088208013,PC,True,False,HARD
58659.1610126806,0.0095329976851851,-0.0095329976851851,-0.001047,0.001409,00088208013,PC,True,False,SOFT
58665.8558087905,1.45138888888889e-05,-1.45138888888889e-05,0.0,0.0,00010686011,PC,True,False,SOFT
58665.8558087905,1.45138888888889e-05,-1.45138888888889e-05,0.0,0.0,00010686011,PC,True,False,HARD
58665.8558087905,1.45138888888889e-05,-1.45138888888889e-05,,,00010686011,PC,True,False,HR
58673.4302440671,0.0090541435185185,-0.0090541435185185,0.128058,0.792148,00088208014,PC,True,False,HR
58673.4302440671,0.0090541435185185,-0.0090541435185185,-0.001543,0.001248,00088208014,PC,True,False,SOFT
58673.4302440671,0.0090541435185185,-0.0090541435185185,-0.000198,0.001212,00088208014,PC,True,False,HARD
58675.7246915891,0.0243783564814815,-0.0243783564814815,-0.006485,0.001528,00032159008,PC,True,False,HARD
58675.7246915891,0.0243783564814815,-0.0243783564814815,0.005137,0.013566,00032159008,PC,True,False,SOFT
58675.7246915891,0.0243783564814815,-0.0243783564814815,-1.262257,-3.346303,00032159008,PC,True,False,HR
58677.5509917164,0.336209733796296,-0.336209733796296,-0.50334,-0.671282,00032159009,PC,True,False,HR
58677.5509917164,0.336209733796296,-0.336209733796296,-0.000798,0.00066,00032159009,PC,True,False,HARD
58677.5509917164,0.336209733796296,-0.336209733796296,0.001585,0.001659,00032159009,PC,True,False,SOFT
58679.6034636944,0.0094314004629629,-0.0094314004629629,-0.000949,0.000807,00032159010,PC,True,False,HARD
58679.6034636944,0.0094314004629629,-0.0094314004629629,-0.421286,-0.534386,00032159010,PC,True,False,HR
58679.6034636944,0.0094314004629629,-0.0094314004629629,0.002252,0.002118,00032159010,PC,True,False,SOFT
58681.5317886134,0.467924606481481,-0.467924606481481,-0.501975,-0.798403,00032159011,PC,True,False,HR
58681.5317886134,0.467924606481481,-0.467924606481481,0.0013,0.001466,00032159011,PC,True,False,SOFT
58681.5317886134,0.467924606481481,-0.467924606481481,-0.000653,0.000732,00032159011,PC,True,False,HARD
58687.1038052847,0.004236875,-0.004236875,0.00449,0.004201,00088208015,PC,False,False,SOFT
58687.1038052847,0.004236875,-0.004236875,-0.375138,-0.35274,00088208015,PC,False,False,HR
58687.1038052847,0.004236875,-0.004236875,-0.001684,0.000158,00088208015,PC,False,False,HARD
58688.4435551921,0.270049351851852,-0.270049351851852,-0.00033,0.0007,00032159013,PC,True,False,HARD
58688.4435551921,0.270049351851852,-0.270049351851852,1.08971,4.291531,00032159013,PC,True,False,HR
58688.4435551921,0.270049351851852,-0.270049351851852,-0.000303,0.001006,00032159013,PC,True,False,SOFT
58691.5329195255,0.367497210648148,-0.367497210648148,0.001373,0.001694,00032159014,PC,True,False,SOFT
58691.5329195255,0.367497210648148,-0.367497210648148,-1e-05,0.001161,00032159014,PC,True,False,HARD
58691.5329195255,0.367497210648148,-0.367497210648148,-0.007043,-0.845751,00032159014,PC,True,False,HR
58696.7398191019,0.005716875,-0.005716875,0.007226,0.00381,00010686012,PC,True,False,SOFT
58696.7398191019,0.005716875,-0.005716875,0.017101,0.005802,00010686012,PC,True,False,HARD
