MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
54126.1214631544,2.37847222222222e-05,-2.37847222222222e-05,3.5472,0.0,0.0,00035482001,WT,False,True,FULL
54587.9131651473,0.0711549074074074,-0.0711549074074074,1.908915,0.0562499,-0.0562499,00031201001,PC,False,False,FULL
54946.244060709,0.107252673611111,-0.107252673611111,2.166025,0.05932159,-0.05932159,00031201002,PC,False,False,FULL
55123.3274758079,0.639791215277778,-0.639791215277778,1.590844,0.05041712,-0.05041712,00035482002,PC,False,False,FULL
56022.8543065199,0.0073709953703703,-0.0073709953703703,1.971629,0.1079146,-0.1079146,00091489001,PC,False,False,FULL
56024.4502062185,0.471914791666667,-0.471914791666667,1.993638,0.06059508,-0.06059508,00091489002,PC,False,False,FULL
56026.0610879315,0.874216377314815,-0.874216377314815,1.981622,0.06150124,-0.06150124,00091489003,PC,False,False,FULL
56027.8727109921,0.0049623611111111,-0.0049623611111111,2.051127,0.1566151,-0.1566151,00091489004,PC,False,False,FULL
56031.8734643128,0.0021184375,-0.0021184375,1.852556,0.1868688,-0.1868688,00091489005,PC,False,False,FULL
56032.9103884679,0.637422650462963,-0.637422650462963,1.730307,0.06684439,-0.06684439,00091489006,PC,False,False,FULL
56034.9481939011,0.0023796180555555,-0.0023796180555555,2.056026,0.2034058,-0.2034058,00091489007,PC,False,False,FULL
56100.796650618,0.203235914351852,-0.203235914351852,1.909632,0.109723,-0.109723,00032503001,PC,False,False,FULL
56107.2034995514,0.0060941550925925,-0.0060941550925925,1.519006,0.1057257,-0.1057257,00032503002,PC,False,False,FULL
56114.8969163785,0.0057313888888888,-0.0057313888888888,1.529869,0.1035015,-0.1035015,00032503003,PC,False,False,FULL
56121.2949434827,0.0056153125,-0.0056153125,1.870503,0.1260904,-0.1260904,00032503004,PC,False,False,FULL
56128.9074457723,0.0056153125,-0.0056153125,1.856598,0.115768,-0.115768,00032503005,PC,False,False,FULL
56135.9629393692,0.0383112731481481,-0.0383112731481481,2.095991,0.1172007,-0.1172007,00032503006,PC,False,False,FULL
56150.6468677363,0.0024521643518518,-0.0024521643518518,1.694805,0.1381618,-0.1381618,00032503007,PC,False,False,FULL
56154.5178920945,0.0049333449074074,-0.0049333449074074,1.926834,0.1265492,-0.1265492,00032503008,PC,False,False,FULL
56156.3838779714,0.0024956944444444,-0.0024956944444444,1.69561,0.1564654,-0.1564654,00032503009,PC,False,False,FULL
56163.3970021803,0.0056298148148148,-0.0056298148148148,1.70474,0.1124299,-0.1124299,00032503010,PC,False,False,FULL
56170.8213520487,0.0056007986111111,-0.0056007986111111,1.699259,0.1233429,-0.1233429,00032503011,PC,False,False,FULL
56170.9407298381,0.0057604050925925,-0.0057604050925925,1.931843,0.12444,-0.12444,00032503012,PC,False,False,FULL
56184.1678973237,0.0055717824074074,-0.0055717824074074,1.685509,0.1193371,-0.1193371,00032503014,PC,False,False,FULL
56191.0767453388,0.0363018865740741,-0.0363018865740741,2.024474,0.103837,-0.103837,00032503015,PC,False,False,FULL
56205.4656633853,0.0369738194444444,-0.0369738194444444,1.629623,0.07776621,-0.07776621,00032503016,PC,False,False,FULL
56210.4053087404,0.0376116550925926,-0.0376116550925926,1.91247,0.0836667,-0.0836667,00032503017,PC,False,False,FULL
56215.3109444079,0.0715737615740741,-0.0715737615740741,1.723153,0.07992849,-0.07992849,00032503018,PC,False,False,FULL
56220.2910759895,0.0337779282407407,-0.0337779282407407,1.973371,0.08866138,-0.08866138,00032503019,PC,False,False,FULL
56225.5670601172,0.0334496643518519,-0.0334496643518519,1.818184,0.1250264,-0.1250264,00032503020,PC,False,False,FULL
56230.6393047424,0.0445946296296296,-0.0445946296296296,1.955495,0.08961196,-0.08961196,00032503021,PC,False,False,FULL
56235.1517086692,0.0689874421296296,-0.0689874421296296,1.906355,0.0945872,-0.0945872,00032503022,PC,False,False,FULL
56240.8544355198,0.0391841898148148,-0.0391841898148148,1.80608,0.08995711,-0.08995711,00032503023,PC,False,False,FULL
56254.0701165729,0.0679077777777778,-0.0679077777777778,2.149366,0.0916286,-0.0916286,00032503024,PC,False,False,FULL
56259.3104627507,0.040092337962963,-0.040092337962963,2.151521,0.09813574,-0.09813574,00032503025,PC,False,False,FULL
56263.8432199861,0.0337381944444444,-0.0337381944444444,2.133542,0.0954062,-0.0954062,00032503026,PC,False,False,FULL
56268.1851585441,0.0397165972222222,-0.0397165972222222,2.140238,0.1036321,-0.1036321,00032503027,PC,False,False,FULL
56273.5241738494,0.240979340277778,-0.240979340277778,1.693664,0.1162641,-0.1162641,00032503028,PC,False,False,FULL
56278.7045574184,0.002539224537037,-0.002539224537037,1.778596,0.1700145,-0.1700145,00032503029,PC,False,False,FULL
56283.3444102804,0.0394754513888889,-0.0394754513888889,1.661359,0.08957914,-0.08957914,00032503030,PC,False,False,FULL
56288.3432765339,0.0348261805555556,-0.0348261805555556,1.951467,0.1226595,-0.1226595,00032503031,PC,False,False,FULL
56293.8491302978,0.0687912847222222,-0.0687912847222222,1.707398,0.08236656,-0.08236656,00032503032,PC,False,False,FULL
56306.6982987851,0.134897314814815,-0.134897314814815,1.719801,0.1046214,-0.1046214,00032503033,PC,False,False,FULL
56311.8078132677,0.175386354166667,-0.175386354166667,1.91335,0.08433644,-0.08433644,00032503034,PC,False,False,FULL
56316.8043724251,0.0327609722222222,-0.0327609722222222,1.745767,0.09751433,-0.09751433,00032503035,PC,False,False,FULL
56321.2122935744,0.0382680671296296,-0.0382680671296296,1.94281,0.09417667,-0.09417667,00032503036,PC,False,False,FULL
56326.5006901624,0.172095787037037,-0.172095787037037,1.850893,0.08122007,-0.08122007,00032503037,PC,False,False,FULL
56331.4658079089,0.0062827546296296,-0.0062827546296296,1.865975,0.1381934,-0.1381934,00032503038,PC,False,False,FULL
56336.8924311751,0.0347703587962963,-0.0347703587962963,1.292971,0.1142952,-0.1142952,00032503039,PC,False,False,FULL
56341.2013118939,0.0707806365740741,-0.0707806365740741,1.86062,0.08034905,-0.08034905,00032503040,PC,False,False,FULL
56346.2149539529,0.207821018518519,-0.207821018518519,1.71234,0.08060384,-0.08060384,00032503041,PC,False,False,FULL
56358.7615898985,0.0382552777777778,-0.0382552777777778,1.678684,0.08429021,-0.08429021,00032503042,PC,False,False,FULL
56363.7017911149,0.0376581365740741,-0.0376581365740741,1.731924,0.0806556,-0.0806556,00032503043,PC,False,False,FULL
56368.9047868452,0.0450714699074074,-0.0450714699074074,1.650645,0.1051177,-0.1051177,00032503044,PC,False,False,FULL
56371.8721299656,0.0061957060185185,-0.0061957060185185,1.745786,0.1348004,-0.1348004,00032503045,PC,False,False,FULL
56373.2341197746,0.0372353240740741,-0.0372353240740741,1.841459,0.1055137,-0.1055137,00032503046,PC,False,False,FULL
56378.2244693927,0.0010737268518518,-0.0010737268518518,1.250312,0.1845131,-0.1845131,00032503047,PC,False,False,FULL
56383.5896357469,0.243550787037037,-0.243550787037037,1.866441,0.0925183,-0.0925183,00032503048,PC,False,False,FULL
56388.4273902029,0.333916527777778,-0.333916527777778,1.840658,0.1146621,-0.1146621,00032503049,PC,False,False,FULL
56395.7292571635,0.033802037037037,-0.033802037037037,1.84195,0.08570285,-0.08570285,00032503050,PC,False,False,FULL
56400.1300792908,0.102425300925926,-0.102425300925926,1.809921,0.07286547,-0.07286547,00032503051,PC,False,False,FULL
56411.0777203337,0.404784050925926,-0.404784050925926,1.464501,0.102339,-0.102339,00032503052,PC,False,False,FULL
56418.7243287758,0.168576273148148,-0.168576273148148,1.717989,0.1128824,-0.1128824,00032503053,PC,False,False,FULL
56427.4982931797,0.266848796296296,-0.266848796296296,1.613838,0.08659925,-0.08659925,00032503055,PC,False,False,FULL
56430.7199034054,0.168835671296296,-0.168835671296296,2.071744,0.1093699,-0.1093699,00032503056,PC,False,False,FULL
56437.4662269726,0.427373553240741,-0.427373553240741,1.602076,0.07762668,-0.07762668,00032503057,PC,False,False,FULL
56444.9361357816,0.0387245138888889,-0.0387245138888889,1.863774,0.07328135,-0.07328135,00032503058,PC,False,False,FULL
56451.1448461277,0.103631481481481,-0.103631481481481,1.851176,0.0780737,-0.0780737,00032503059,PC,False,False,FULL
56466.1845422538,0.0389332060185185,-0.0389332060185185,1.838733,0.08505338,-0.08505338,00032503060,PC,False,False,FULL
56472.7903047168,0.0380077777777778,-0.0380077777777778,2.069961,0.09222414,-0.09222414,00032503061,PC,False,False,FULL
56479.3891858499,0.0352617939814815,-0.0352617939814815,1.916142,0.1403742,-0.1403742,00032503062,PC,False,False,FULL
56483.0601670686,0.0375956828703704,-0.0375956828703704,1.806905,0.09920857,-0.09920857,00032503063,PC,False,False,FULL
56486.5376371554,0.442776122685185,-0.442776122685185,1.985192,0.08447953,-0.08447953,00032503064,PC,False,False,FULL
56493.4650688892,0.0368592013888889,-0.0368592013888889,1.859591,0.08637045,-0.08637045,00032503065,PC,False,False,FULL
56500.6712828117,0.236896770833333,-0.236896770833333,2.033149,0.08837666,-0.08837666,00032503066,PC,False,False,FULL
56514.6556454101,0.169195474537037,-0.169195474537037,1.784601,0.09247144,-0.09247144,00032503067,PC,False,False,FULL
