MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
54137.9365744869,0.0308294097222222,-0.0308294097222222,0.179134,0.013475,00259527001,PC,False,False,HARD
54137.9365744869,0.0308294097222222,-0.0308294097222222,0.13476,0.011339,00259527001,PC,False,False,SOFT
54137.9365744869,0.0308294097222222,-0.0308294097222222,1.329287,0.150029,00259527001,PC,False,False,HR
54181.0109170053,0.0029309837962963,-0.0029309837962963,0.083059,0.020409,00035335008,PC,False,False,HARD
54181.0109170053,0.0029309837962963,-0.0029309837962963,0.073013,0.019026,00035335008,PC,False,False,SOFT
54181.0109170053,0.0029309837962963,-0.0029309837962963,1.137593,0.407448,00035335008,PC,False,False,HR
54185.1262223229,0.302903761574074,-0.302903761574074,1.156353,0.066977,00035335009,PC,False,False,HR
54185.1262223229,0.302903761574074,-0.302903761574074,0.086189,0.00365,00035335009,PC,False,False,SOFT
54185.1262223229,0.302903761574074,-0.302903761574074,0.099665,0.003938,00035335009,PC,False,False,HARD
54801.194530215,0.0324857291666667,-0.0324857291666667,0.228768,0.017153,00090008001,PC,False,False,HARD
54801.194530215,0.0324857291666667,-0.0324857291666667,1.479808,0.175716,00090008001,PC,False,False,HR
54801.194530215,0.0324857291666667,-0.0324857291666667,0.154593,0.014234,00090008001,PC,False,False,SOFT
54801.8698801225,0.0383536226851852,-0.0383536226851852,0.184902,0.014321,00090008002,PC,False,False,HARD
54801.8698801225,0.0383536226851852,-0.0383536226851852,1.426481,0.172275,00090008002,PC,False,False,HR
54801.8698801225,0.0383536226851852,-0.0383536226851852,0.129621,0.012011,00090008002,PC,False,False,SOFT
54802.1952525299,0.0366288194444444,-0.0366288194444444,0.194081,0.015943,00090008003,PC,False,False,HARD
54802.1952525299,0.0366288194444444,-0.0366288194444444,0.13239,0.012388,00090008003,PC,False,False,SOFT
54802.1952525299,0.0366288194444444,-0.0366288194444444,1.465976,0.182538,00090008003,PC,False,False,HR
54802.7987293672,0.0380200115740741,-0.0380200115740741,1.449752,0.182161,00090008004,PC,False,False,HR
54802.7987293672,0.0380200115740741,-0.0380200115740741,0.128683,0.012268,00090008004,PC,False,False,SOFT
54802.7987293672,0.0380200115740741,-0.0380200115740741,0.186558,0.015269,00090008004,PC,False,False,HARD
54803.1372608834,0.037674224537037,-0.037674224537037,0.129402,0.011532,00090008005,PC,False,False,SOFT
54803.1372608834,0.037674224537037,-0.037674224537037,0.1679,0.01309,00090008005,PC,False,False,HARD
54803.1372608834,0.037674224537037,-0.037674224537037,1.29751,0.153636,00090008005,PC,False,False,HR
54804.3354645495,0.308218275462963,-0.308218275462963,0.140085,0.009261,00090008007,PC,False,False,SOFT
54804.3354645495,0.308218275462963,-0.308218275462963,0.206301,0.011626,00090008007,PC,False,False,HARD
54804.3354645495,0.308218275462963,-0.308218275462963,1.472683,0.127929,00090008007,PC,False,False,HR
54805.3445644454,0.309549594907407,-0.309549594907407,0.190609,0.010039,00090008008,PC,False,False,HARD
54805.3445644454,0.309549594907407,-0.309549594907407,0.141087,0.008707,00090008008,PC,False,False,SOFT
54805.3445644454,0.309549594907407,-0.309549594907407,1.351007,0.109612,00090008008,PC,False,False,HR
54806.7825275905,0.143102847222222,-0.143102847222222,0.152764,0.009806,00090008009,PC,False,False,SOFT
54806.7825275905,0.143102847222222,-0.143102847222222,1.216267,0.10426,00090008009,PC,False,False,HR
54806.7825275905,0.143102847222222,-0.143102847222222,0.185802,0.010556,00090008009,PC,False,False,HARD
54807.4177466067,0.371782743055556,-0.371782743055556,1.265349,0.109386,00090008010,PC,False,False,HR
54807.4177466067,0.371782743055556,-0.371782743055556,0.131188,0.008485,00090008010,PC,False,False,SOFT
54807.4177466067,0.371782743055556,-0.371782743055556,0.165998,0.009521,00090008010,PC,False,False,HARD
54808.3538621245,0.303023715277778,-0.303023715277778,0.115714,0.007456,00090008011,PC,False,False,SOFT
54808.3538621245,0.303023715277778,-0.303023715277778,0.128009,0.007705,00090008011,PC,False,False,HARD
54808.3538621245,0.303023715277778,-0.303023715277778,1.106253,0.097539,00090008011,PC,False,False,HR
54809.0905521824,0.0370210763888889,-0.0370210763888889,0.12085,0.012466,00090008012,PC,False,False,HARD
54809.0905521824,0.0370210763888889,-0.0370210763888889,0.077491,0.009804,00090008012,PC,False,False,SOFT
54809.0905521824,0.0370210763888889,-0.0370210763888889,1.559532,0.254567,00090008012,PC,False,False,HR
54809.6261551106,0.0369719444444444,-0.0369719444444444,0.084175,0.010997,00090008013,PC,False,False,SOFT
54809.6261551106,0.0369719444444444,-0.0369719444444444,0.082638,0.010542,00090008013,PC,False,False,HARD
54809.6261551106,0.0369719444444444,-0.0369719444444444,0.981746,0.179262,00090008013,PC,False,False,HR
54810.1622761523,0.0383494097222222,-0.0383494097222222,0.091591,0.009509,00090008014,PC,False,False,SOFT
54810.1622761523,0.0383494097222222,-0.0383494097222222,0.098466,0.009876,00090008014,PC,False,False,HARD
54810.1622761523,0.0383494097222222,-0.0383494097222222,1.075055,0.155192,00090008014,PC,False,False,HR
54810.7651788807,0.0375279050925926,-0.0375279050925926,0.119172,0.011988,00090008015,PC,False,False,HARD
54810.7651788807,0.0375279050925926,-0.0375279050925926,0.09864,0.010295,00090008015,PC,False,False,SOFT
54810.7651788807,0.0375279050925926,-0.0375279050925926,1.20815,0.175135,00090008015,PC,False,False,HR
54811.161171045,0.0373790046296296,-0.0373790046296296,1.343714,0.175056,00090008016,PC,False,False,HR
54811.161171045,0.0373790046296296,-0.0373790046296296,0.117342,0.009991,00090008016,PC,False,False,HARD
54811.161171045,0.0373790046296296,-0.0373790046296296,0.087327,0.008611,00090008016,PC,False,False,SOFT
54811.4566631168,0.00921375,-0.00921375,0.085604,0.009332,00090008017,PC,False,False,SOFT
