MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
53769.9558638129,8.70601851851852e-05,-8.70601851851852e-05,0.076847,0.079427,00035473001,PC,True,False,SOFT
53769.9558638129,8.70601851851852e-05,-8.70601851851852e-05,0.319681,0.16115,00035473001,PC,True,False,HARD
53769.9558638129,8.70601851851852e-05,-8.70601851851852e-05,4.159947,4.783737,00035473001,PC,True,False,HR
53907.5424943371,0.442892303240741,-0.442892303240741,0.047124,0.002901,00035473002,PC,False,False,SOFT
53907.5424943371,0.442892303240741,-0.442892303240741,0.056505,0.003176,00035473002,PC,False,False,HARD
53907.5424943371,0.442892303240741,-0.442892303240741,1.199083,0.099942,00035473002,PC,False,False,HR
54427.7994798415,0.174788761574074,-0.174788761574074,0.040289,0.003513,00036555001,PC,False,False,SOFT
54427.7994798415,0.174788761574074,-0.174788761574074,0.045237,0.003717,00036555001,PC,False,False,HARD
54427.7994798415,0.174788761574074,-0.174788761574074,1.122804,0.134525,00036555001,PC,False,False,HR
54439.5280985854,0.13851693287037,-0.13851693287037,0.05844,0.004727,00036555002,PC,False,False,HARD
54439.5280985854,0.13851693287037,-0.13851693287037,1.109003,0.128515,00036555002,PC,False,False,HR
54439.5280985854,0.13851693287037,-0.13851693287037,0.052696,0.004373,00036555002,PC,False,False,SOFT
55064.1156150141,0.0058329513888888,-0.0058329513888888,0.037178,0.007049,00031442001,PC,False,False,HARD
55064.1156150141,0.0058329513888888,-0.0058329513888888,0.03616,0.006946,00031442001,PC,False,False,SOFT
55064.1156150141,0.0058329513888888,-0.0058329513888888,1.028153,0.277514,00031442001,PC,False,False,HR
55064.6376835673,0.0066890393518518,-0.0066890393518518,0.485865,0.252364,00031442002,PC,False,False,HR
55064.6376835673,0.0066890393518518,-0.0066890393518518,0.034579,0.010188,00031442002,PC,False,False,SOFT
55064.6376835673,0.0066890393518518,-0.0066890393518518,0.016801,0.007187,00031442002,PC,False,False,HARD
55065.1190603265,0.0058039351851851,-0.0058039351851851,1.616452,0.472512,00031442003,PC,False,False,HR
55065.1190603265,0.0058039351851851,-0.0058039351851851,0.025177,0.005794,00031442003,PC,False,False,SOFT
55065.1190603265,0.0058039351851851,-0.0058039351851851,0.040697,0.007335,00031442003,PC,False,False,HARD
55065.7145843659,0.0068486458333333,-0.0068486458333333,0.034586,0.006415,00031442004,PC,False,False,SOFT
55065.7145843659,0.0068486458333333,-0.0068486458333333,0.037596,0.006702,00031442004,PC,False,False,HARD
