MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
56801.6701173773,0.108731516203704,-0.108731516203704,0.000523,0.000354,00599860000,PC,True,False,HARD
56801.6701173773,0.108731516203704,-0.108731516203704,0.000313,0.000303,00599860000,PC,True,False,SOFT
56801.6978110116,0.0144153009259259,-0.0144153009259259,0.010744,0.048109,00599860000,WT,True,False,HR
56810.9350714572,0.0404754398148148,-0.0404754398148148,0.00465,0.00162,00084016004,PC,True,False,SOFT
56810.9350714572,0.0404754398148148,-0.0404754398148148,0.005595,0.00171,00084016004,PC,True,False,HARD
56810.9350714572,0.0404754398148148,-0.0404754398148148,1.203286,0.557668,00084016004,PC,True,False,HR
56882.2823985278,0.0021619675925925,-0.0021619675925925,2.239702,3.069231,00084016005,PC,True,False,HR
56882.2823985278,0.0021619675925925,-0.0021619675925925,0.003033,0.003498,00084016005,PC,True,False,SOFT
56882.2823985278,0.0021619675925925,-0.0021619675925925,0.006792,0.005026,00084016005,PC,True,False,HARD
56915.4524266088,0.0008705902777777,-0.0008705902777777,-75.709112,-94.224553,00084016008,PC,True,False,HR
56915.4524266088,0.0008705902777777,-0.0008705902777777,-0.0002,0.000141,00084016008,PC,True,False,SOFT
56915.4524266088,0.0008705902777777,-0.0008705902777777,0.015112,0.015477,00084016008,PC,True,False,HARD
56922.1236184514,0.0025972569444444,-0.0025972569444444,1.034362,1.558563,00084016009,PC,True,False,HR
56922.1236184514,0.0025972569444444,-0.0025972569444444,0.002767,0.002999,00084016009,PC,True,False,SOFT
56922.1236184514,0.0025972569444444,-0.0025972569444444,0.002862,0.002994,00084016009,PC,True,False,HARD
56926.3831269931,0.0035113773148148,-0.0035113773148148,-0.000206,4.9e-05,00084016010,PC,True,False,HARD
56926.3831269931,0.0035113773148148,-0.0035113773148148,0.947368,0.311607,00084016010,PC,True,False,HR
56926.3831269931,0.0035113773148148,-0.0035113773148148,-0.000217,5e-05,00084016010,PC,True,False,SOFT
56942.7139823831,0.269175717592593,-0.269175717592593,-0.00036,6.7e-05,00084016011,PC,True,False,HARD
56942.7139823831,0.269175717592593,-0.269175717592593,-0.125345,-0.110284,00084016011,PC,True,False,HR
56942.7139823831,0.269175717592593,-0.269175717592593,0.002875,0.002472,00084016011,PC,True,False,SOFT
56958.5510129688,0.0029890277777777,-0.0029890277777777,0.00294,0.003398,00084016012,PC,True,False,HARD
56958.5510129688,0.0029890277777777,-0.0029890277777777,1.009692,1.674108,00084016012,PC,True,False,HR
56958.5510129688,0.0029890277777777,-0.0029890277777777,0.002911,0.003461,00084016012,PC,True,False,SOFT
57006.1199811215,0.0020749074074074,-0.0020749074074074,-6.6e-05,4.7e-05,00084016013,PC,True,False,HARD
57006.1199811215,0.0020749074074074,-0.0020749074074074,-0.018902,-0.024362,00084016013,PC,True,False,HR
57006.1199811215,0.0020749074074074,-0.0020749074074074,0.003504,0.003776,00084016013,PC,True,False,SOFT
57074.5415984942,0.0012913773148148,-0.0012913773148148,0.011147,0.008354,00084016014,PC,True,False,HARD
57074.5415984942,0.0012913773148148,-0.0012913773148148,0.011265,0.008365,00084016014,PC,True,False,SOFT
57074.5415984942,0.0012913773148148,-0.0012913773148148,0.98952,1.044015,00084016014,PC,True,False,HR
57123.1211811343,0.0031196180555555,-0.0031196180555555,0.001995,0.002446,00083982001,PC,True,False,HARD
57123.1211811343,0.0031196180555555,-0.0031196180555555,0.001947,0.00244,00083982001,PC,True,False,SOFT
57123.1211811343,0.0031196180555555,-0.0031196180555555,1.024528,1.795785,00083982001,PC,True,False,HR
57132.3083820046,0.204626053240741,-0.204626053240741,0.271898,0.411244,00083982002,PC,True,False,HR
57132.3083820046,0.204626053240741,-0.204626053240741,0.000749,0.001028,00083982002,PC,True,False,HARD
57132.3083820046,0.204626053240741,-0.204626053240741,0.002756,0.001755,00083982002,PC,True,False,SOFT
57137.1666083912,0.0047302083333333,-0.0047302083333333,1.746665,1.869106,00083982003,PC,True,False,HR
57137.1666083912,0.0047302083333333,-0.0047302083333333,0.004539,0.002788,00083982003,PC,True,False,HARD
57137.1666083912,0.0047302083333333,-0.0047302083333333,0.002599,0.002277,00083982003,PC,True,False,SOFT
57145.7149487894,0.702932175925926,-0.702932175925926,0.68102,0.729314,00083982004,PC,True,False,HR
57145.7149487894,0.702932175925926,-0.702932175925926,0.001685,0.0014,00083982004,PC,True,False,HARD
57145.7149487894,0.702932175925926,-0.702932175925926,0.002475,0.001672,00083982004,PC,True,False,SOFT
57150.0713146319,0.0042078472222222,-0.0042078472222222,0.00448,0.003563,00083982005,PC,True,False,SOFT
57150.0713146319,0.0042078472222222,-0.0042078472222222,-0.000616,0.000112,00083982005,PC,True,False,HARD
57150.0713146319,0.0042078472222222,-0.0042078472222222,-0.137536,-0.112237,00083982005,PC,True,False,HR
57334.2675590752,0.0405886111111111,-0.0405886111111111,25.008254,63.209166,00034131001,PC,True,False,HR
57334.2675590752,0.0405886111111111,-0.0405886111111111,0.000281,0.000703,00034131001,PC,True,False,SOFT
57334.2675590752,0.0405886111111111,-0.0405886111111111,0.007017,0.002273,00034131001,PC,True,False,HARD
57341.3744220347,0.0358088078703704,-0.0358088078703704,1.171154,1.809836,00034131002,PC,True,False,HR
57341.3744220347,0.0358088078703704,-0.0358088078703704,0.000866,0.001016,00034131002,PC,True,False,SOFT
57341.3744220347,0.0358088078703704,-0.0358088078703704,0.001014,0.001021,00034131002,PC,True,False,HARD
57348.2981837095,0.0384223958333333,-0.0384223958333333,0.004745,0.001874,00034131003,PC,True,False,SOFT
57348.2981837095,0.0384223958333333,-0.0384223958333333,3.407576,1.519728,00034131003,PC,True,False,HR
57348.2981837095,0.0384223958333333,-0.0384223958333333,0.01617,0.003353,00034131003,PC,True,False,HARD
57355.5503898275,0.0382885185185185,-0.0382885185185185,4.067841,2.139414,00034131004,PC,True,False,HR
57355.5503898275,0.0382885185185185,-0.0382885185185185,0.013885,0.003108,00034131004,PC,True,False,HARD
57355.5503898275,0.0382885185185185,-0.0382885185185185,0.003413,0.001625,00034131004,PC,True,False,SOFT
57362.7933910266,0.0376867708333333,-0.0376867708333333,0.001094,0.001011,00034131005,PC,True,False,HARD
57362.7933910266,0.0376867708333333,-0.0376867708333333,0.942637,1.196879,00034131005,PC,True,False,HR
57362.7933910266,0.0376867708333333,-0.0376867708333333,0.001161,0.001012,00034131005,PC,True,False,SOFT
57370.7650688148,0.0395823958333333,-0.0395823958333333,5.68611,4.06036,00034131006,PC,True,False,HR
57370.7650688148,0.0395823958333333,-0.0395823958333333,0.011104,0.002812,00034131006,PC,True,False,HARD
57370.7650688148,0.0395823958333333,-0.0395823958333333,0.001953,0.001304,00034131006,PC,True,False,SOFT
57378.2398838715,0.202977152777778,-0.202977152777778,0.00817,0.003272,00034131007,PC,True,False,HARD
57378.2398838715,0.202977152777778,-0.202977152777778,10.427346,16.899004,00034131007,PC,True,False,HR
57378.2398838715,0.202977152777778,-0.202977152777778,0.000784,0.00123,00034131007,PC,True,False,SOFT
57387.0491775185,0.6325734375,-0.6325734375,0.001301,0.000909,00034131008,PC,True,False,SOFT
57387.0491775185,0.6325734375,-0.6325734375,0.002623,0.001323,00034131008,PC,True,False,HARD
57387.0491775185,0.6325734375,-0.6325734375,2.016303,1.737397,00034131008,PC,True,False,HR
57394.5033140509,0.0353659490740741,-0.0353659490740741,0.001092,0.000924,00034131009,PC,True,False,SOFT
57394.5033140509,0.0353659490740741,-0.0353659490740741,0.004237,0.001733,00034131009,PC,True,False,HARD
57394.5033140509,0.0353659490740741,-0.0353659490740741,3.881245,3.648172,00034131009,PC,True,False,HR
57402.415231015,0.0352637037037037,-0.0352637037037037,0.002434,0.001354,00034131010,PC,True,False,HARD
57402.415231015,0.0352637037037037,-0.0352637037037037,1.310331,1.130136,00034131010,PC,True,False,HR
57402.415231015,0.0352637037037037,-0.0352637037037037,0.001857,0.001224,00034131010,PC,True,False,SOFT
57410.1137630833,0.100605381944444,-0.100605381944444,7.820945,7.888599,00034131011,PC,True,False,HR
57410.1137630833,0.100605381944444,-0.100605381944444,0.009358,0.002747,00034131011,PC,True,False,HARD
57410.1137630833,0.100605381944444,-0.100605381944444,0.001196,0.001155,00034131011,PC,True,False,SOFT
57418.5227747905,0.000203136574074,-0.000203136574074,0.0339,0.034826,00034131012,PC,True,False,SOFT
57418.5227747905,0.000203136574074,-0.000203136574074,0.137389,0.069621,00034131012,PC,True,False,HARD
57418.5227747905,0.000203136574074,-0.000203136574074,4.052807,4.642563,00034131012,PC,True,False,HR
57421.6225082049,0.377297986111111,-0.377297986111111,4.591496,1.52566,00034131013,PC,True,False,HR
57421.6225082049,0.377297986111111,-0.377297986111111,0.039045,0.005266,00034131013,PC,True,False,HARD
57421.6225082049,0.377297986111111,-0.377297986111111,0.008504,0.002582,00034131013,PC,True,False,SOFT
57426.942194669,0.0339769328703704,-0.0339769328703704,0.012022,0.003069,00034131014,PC,True,False,HARD
57426.942194669,0.0339769328703704,-0.0339769328703704,7.462439,6.204157,00034131014,PC,True,False,HR
57426.942194669,0.0339769328703704,-0.0339769328703704,0.001611,0.001275,00034131014,PC,True,False,SOFT
57434.8867372326,0.0658216782407407,-0.0658216782407407,0.014425,0.003373,00034131015,PC,True,False,HARD
57434.8867372326,0.0658216782407407,-0.0658216782407407,0.003152,0.001618,00034131015,PC,True,False,SOFT
57434.8867372326,0.0658216782407407,-0.0658216782407407,4.57603,2.581469,00034131015,PC,True,False,HR
57442.6980242396,0.164972013888889,-0.164972013888889,0.967839,0.548843,00034131016,PC,True,False,HR
57442.6980242396,0.164972013888889,-0.164972013888889,0.01014,0.003948,00034131016,PC,True,False,HARD
57442.6980242396,0.164972013888889,-0.164972013888889,0.010477,0.004319,00034131016,PC,True,False,SOFT
57450.4664069062,0.0354683333333333,-0.0354683333333333,2.534172,0.572713,00034131017,PC,True,False,HR
57450.4664069062,0.0354683333333333,-0.0354683333333333,0.028153,0.005401,00034131017,PC,True,False,SOFT
57450.4664069062,0.0354683333333333,-0.0354683333333333,0.071344,0.008524,00034131017,PC,True,False,HARD
57458.0469732755,0.0361450462962963,-0.0361450462962963,2.07887,1.153818,00034131018,PC,True,False,HR
57458.0469732755,0.0361450462962963,-0.0361450462962963,0.00784,0.002419,00034131018,PC,True,False,HARD
57458.0469732755,0.0361450462962963,-0.0361450462962963,0.003771,0.00174,00034131018,PC,True,False,SOFT
57466.6547972257,0.335261099537037,-0.335261099537037,1.61161,0.479508,00034131019,PC,True,False,HR
57466.6547972257,0.335261099537037,-0.335261099537037,0.013648,0.003183,00034131019,PC,True,False,SOFT
57466.6547972257,0.335261099537037,-0.335261099537037,0.021995,0.004064,00034131019,PC,True,False,HARD
57474.4624544167,0.0380353935185185,-0.0380353935185185,1.864255,0.608021,00034131020,PC,True,False,HR
57474.4624544167,0.0380353935185185,-0.0380353935185185,0.022422,0.004301,00034131020,PC,True,False,HARD
57474.4624544167,0.0380353935185185,-0.0380353935185185,0.012027,0.003172,00034131020,PC,True,False,SOFT
57482.3462486667,0.134807685185185,-0.134807685185185,0.023785,0.007184,00034131021,PC,True,False,SOFT
57482.3462486667,0.134807685185185,-0.134807685185185,0.032587,0.008511,00034131021,PC,True,False,HARD
57482.3462486667,0.134807685185185,-0.134807685185185,1.370044,0.547054,00034131021,PC,True,False,HR
57484.7469472373,0.0056153125,-0.0056153125,0.01355,0.005789,00034131022,PC,True,False,SOFT
57484.7469472373,0.0056153125,-0.0056153125,0.833611,0.534858,00034131022,PC,True,False,HR
57484.7469472373,0.0056153125,-0.0056153125,0.011295,0.005407,00034131022,PC,True,False,HARD
57485.3030075035,0.1030459375,-0.1030459375,5.353303,4.803988,00034131023,PC,True,False,HR
57485.3030075035,0.1030459375,-0.1030459375,0.002351,0.001945,00034131023,PC,True,False,SOFT
57485.3030075035,0.1030459375,-0.1030459375,0.012585,0.004373,00034131023,PC,True,False,HARD
57490.8533312025,0.0048027546296296,-0.0048027546296296,0.027907,0.010026,00034131024,PC,True,False,HARD
57490.8533312025,0.0048027546296296,-0.0048027546296296,3.26435,2.478844,00034131024,PC,True,False,HR
57490.8533312025,0.0048027546296296,-0.0048027546296296,0.008549,0.005719,00034131024,PC,True,False,SOFT
57493.8690330856,0.100212627314815,-0.100212627314815,0.005487,0.002444,00034131025,PC,True,False,HARD
57493.8690330856,0.100212627314815,-0.100212627314815,1.304616,0.860329,00034131025,PC,True,False,HR
57493.8690330856,0.100212627314815,-0.100212627314815,0.004206,0.002045,00034131025,PC,True,False,SOFT
57498.4963981007,0.463780104166667,-0.463780104166667,2.691633,0.984985,00034131026,PC,True,False,HR
57498.4963981007,0.463780104166667,-0.463780104166667,0.006116,0.001937,00034131026,PC,True,False,SOFT
57498.4963981007,0.463780104166667,-0.463780104166667,0.016463,0.003018,00034131026,PC,True,False,HARD
57498.5032007512,0.0063117824074074,-0.0063117824074074,,,00034131027,PC,True,False,HR
57498.5032007512,0.0063117824074074,-0.0063117824074074,0.0,0.0,00034131027,PC,True,False,SOFT
57498.5032007512,0.0063117824074074,-0.0063117824074074,0.0,0.0,00034131027,PC,True,False,HARD
57506.7937827188,0.135169236111111,-0.135169236111111,4.520248,4.109441,00034131028,PC,True,False,HR
57506.7937827188,0.135169236111111,-0.135169236111111,0.004757,0.00175,00034131028,PC,True,False,HARD
57506.7937827188,0.135169236111111,-0.135169236111111,0.001052,0.000875,00034131028,PC,True,False,SOFT
57514.54887839,0.43911125,-0.43911125,0.009308,0.002743,00034131029,PC,True,False,HARD
57514.54887839,0.43911125,-0.43911125,1.537396,0.769081,00034131029,PC,True,False,HR
57514.54887839,0.43911125,-0.43911125,0.006054,0.002447,00034131029,PC,True,False,SOFT
57522.2495727164,0.0404835648148148,-0.0404835648148148,0.095457,0.007908,00034131030,PC,True,False,HARD
57522.2495727164,0.0404835648148148,-0.0404835648148148,2.442244,0.376824,00034131030,PC,True,False,HR
57522.2495727164,0.0404835648148148,-0.0404835648148148,0.039086,0.005088,00034131030,PC,True,False,SOFT
57530.4881084792,0.0380645486111111,-0.0380645486111111,0.019189,0.003767,00034131031,PC,True,False,HARD
57530.4881084792,0.0380645486111111,-0.0380645486111111,3.68216,1.596555,00034131031,PC,True,False,HR
57530.4881084792,0.0380645486111111,-0.0380645486111111,0.005211,0.002015,00034131031,PC,True,False,SOFT
59314.9932545972,0.0063553125,-0.0063553125,0.003193,0.002019,00096058001,PC,True,False,HARD
59314.9932545972,0.0063553125,-0.0063553125,0.001943,0.001648,00096058001,PC,True,False,SOFT
59314.9932545972,0.0063553125,-0.0063553125,1.643174,1.738317,00096058001,PC,True,False,HR
59315.5899875058,0.533289259259259,-0.533289259259259,-0.00028,4.7e-05,00096123001,PC,True,False,HARD
59315.5899875058,0.533289259259259,-0.533289259259259,-0.000204,3.3e-05,00096123001,PC,True,False,SOFT
59315.5899875058,0.533289259259259,-0.533289259259259,1.369971,0.318628,00096123001,PC,True,False,HR
59320.927588088,0.0324908796296296,-0.0324908796296296,0.003538,0.001731,00089213001,PC,True,False,HARD
59320.927588088,0.0324908796296296,-0.0324908796296296,0.002023,0.00135,00089213001,PC,True,False,SOFT
59320.927588088,0.0324908796296296,-0.0324908796296296,1.748728,1.446668,00089213001,PC,True,False,HR
59323.8233961169,0.0033517708333333,-0.0033517708333333,-0.000152,3.6e-05,00096123002,PC,True,False,HARD
59323.8233961169,0.0033517708333333,-0.0033517708333333,1.125,0.386541,00096123002,PC,True,False,HR
59323.8233961169,0.0033517708333333,-0.0033517708333333,-0.000135,3.4e-05,00096123002,PC,True,False,SOFT
59324.7064338403,0.0376806712962963,-0.0376806712962963,0.000228,0.000672,00089213002,PC,True,False,SOFT
59324.7064338403,0.0376806712962963,-0.0376806712962963,0.000188,0.000673,00089213002,PC,True,False,HARD
59324.7064338403,0.0376806712962963,-0.0376806712962963,0.824348,3.817088,00089213002,PC,True,False,HR
