MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
55420.6833605349,0.308906689814815,-0.308906689814815,0.006597874,0.001343301,-0.001343301,00031785001,PC,True,False,FULL
55421.9127307981,1.1400462962963e-05,-1.1400462962963e-05,0.5696033,0.855544218606535,-0.416949629246899,00031785002,WT,False,False,FULL
55423.3937523349,0.12469880787037,-0.12469880787037,0.54187,0.0,0.0,00031785003,WT,True,True,FULL
55685.2623711468,0.0375369097222222,-0.0375369097222222,0.04389937,0.008116215,-0.008116215,00031785005,PC,True,False,FULL
55696.1293856586,0.0684272337962963,-0.0684272337962963,0.01984611,0.003772711,-0.003772711,00031785006,PC,True,False,FULL
55710.698765541,0.0053106018518518,-0.0053106018518518,0.01735385,0.005686313,-0.004684503,00031785007,PC,False,False,FULL
55725.9415171886,0.0403194097222222,-0.0403194097222222,0.0175837,0.00334958,-0.00334958,00031785008,PC,True,False,FULL
55738.6085473484,0.0760603125,-0.0760603125,0.055173,0.0,0.0,00031785009,PC,True,True,FULL
55752.5261479307,0.334860902777778,-0.334860902777778,0.03697357,0.02000708,-0.01477727,00031785010,PC,True,False,FULL
55780.0252355411,0.0010301967592592,-0.0010301967592592,0.02128193,0.01582163,-0.01065568,00031785011,PC,True,False,FULL
55885.26087686,0.0348493055555556,-0.0348493055555556,0.01890078,0.003563694,-0.003563694,00031785012,PC,True,False,FULL
55899.7709354819,0.0366585763888889,-0.0366585763888889,0.02709316,0.00657604,-0.00657604,00031785013,PC,True,False,FULL
55913.0965194733,0.0033662847222222,-0.0033662847222222,0.04712204,0.01034607,-0.01034607,00031785014,PC,False,False,FULL
55916.1826139948,0.0054556944444444,-0.0054556944444444,0.02118146,0.005614075,-0.005614075,00031785015,PC,True,False,FULL
55927.2192790069,0.0083461111111111,-0.0083461111111111,0.0359787,0.005953873,-0.005953873,00031785016,PC,False,False,FULL
55941.4561446029,0.0062537384259259,-0.0062537384259259,0.02453224,0.005474066,-0.005474066,00031785017,PC,False,False,FULL
55955.5951936701,0.178291782407407,-0.178291782407407,0.01224417,0.002772641,-0.002772641,00031785018,PC,True,False,FULL
55969.0910839624,0.0358911342592593,-0.0358911342592593,0.01007501,0.003529503,-0.002883081,00031785019,PC,True,False,FULL
56370.9124733841,0.0466286458333333,-0.0466286458333333,0.0040825,0.0,0.0,00032764001,PC,True,True,FULL
56386.0344629338,0.127208657407407,-0.127208657407407,0.0039086,0.0,0.0,00032764002,PC,True,True,FULL
56386.9303308297,0.0423675578703704,-0.0423675578703704,0.003609501,0.001569986,-0.001237404,00032764003,PC,True,False,FULL
56388.8073899315,0.0451687615740741,-0.0451687615740741,0.004366,0.0,0.0,00032764004,PC,True,True,FULL
56392.9813064222,0.0778254398148148,-0.0778254398148148,0.002079046,0.001178813,-0.0008706735,00032764005,PC,True,False,FULL
56416.2613560229,0.0413514236111111,-0.0413514236111111,0.0052713,0.0,0.0,00032764006,PC,True,True,FULL
56761.6362900854,0.0350711111111111,-0.0350711111111111,0.04610865,0.006380287,-0.006380287,00032764007,PC,True,False,FULL
56763.7151094466,0.106266921296296,-0.106266921296296,0.03115678,0.004741205,-0.004741205,00032764008,PC,True,False,FULL
56765.215153229,0.141643703703704,-0.141643703703704,0.04291883,0.005420652,-0.005420652,00032764009,PC,False,False,FULL
56767.6753702868,0.0098957060185185,-0.0098957060185185,0.02964511,0.00491829,-0.00491829,00032764010,PC,False,False,FULL
56769.272188281,0.27000255787037,-0.27000255787037,0.0298284,0.007196827,-0.007196827,00032764011,PC,True,False,FULL
56771.0206848424,0.002756875,-0.002756875,0.0433015,0.01099746,-0.01099746,00032764012,PC,False,False,FULL
56773.4171939246,0.0708282638888889,-0.0708282638888889,0.03353464,0.005393111,-0.005393111,00032764013,PC,False,False,FULL
56775.2140083308,0.0691542708333333,-0.0691542708333333,0.03189735,0.01160619,-0.009376752,00032764014,PC,True,False,FULL
56777.3500200183,0.0039902083333333,-0.0039902083333333,0.04180995,0.01307013,-0.0108485,00032764015,PC,False,False,FULL
56779.4528474685,0.367143622685185,-0.367143622685185,0.01093111,0.005515073,-0.004182911,00032764016,PC,True,False,FULL
56781.8777184963,0.0700344907407407,-0.0700344907407407,0.0206001,0.003743761,-0.003743761,00032764017,PC,True,False,FULL
56783.4346468609,0.0346388888888889,-0.0346388888888889,0.02092782,0.003706995,-0.003706995,00032764018,PC,True,False,FULL
56785.8058919859,0.193952905092593,-0.193952905092593,0.01926978,0.007976271,-0.006286594,00032764019,PC,True,False,FULL
56787.6343589616,0.0314524768518519,-0.0314524768518519,0.01934308,0.003686131,-0.003686131,00032764020,PC,False,False,FULL
56789.2632893401,0.0046141319444444,-0.0046141319444444,0.03557478,0.007733963,-0.007733963,00032764021,PC,False,False,FULL
56791.7908823817,0.0047882407407407,-0.0047882407407407,0.02013478,0.006297761,-0.005227285,00032764022,PC,False,False,FULL
56793.8856412324,0.101185787037037,-0.101185787037037,0.02657854,0.005463162,-0.005463162,00032764023,PC,True,False,FULL
56795.9230276294,0.0039031481481481,-0.0039031481481481,0.01296023,0.005857119,-0.00453579,00032764024,PC,True,False,FULL
