MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
54002.2723743123,0.167876979166667,-0.167876979166667,0.002247369,0.001467134,-0.00104377,00035883001,PC,True,False,FULL
54039.1085851459,0.0712319444444444,-0.0712319444444444,0.002588499,0.001658764,-0.001180102,00035883002,PC,True,False,FULL
55984.2508302276,0.209158726851852,-0.209158726851852,0.0044321,0.0,0.0,00032287001,PC,True,True,FULL
55998.5058770963,0.47110193287037,-0.47110193287037,0.0078786,0.0,0.0,00032287002,PC,True,True,FULL
56012.168798998,0.106794780092593,-0.106794780092593,0.002175037,0.001307307,-0.0009655795,00032287003,PC,True,False,FULL
56026.4048800658,0.374177800925926,-0.374177800925926,0.00157043,0.001038176,-0.0007385942,00032287004,PC,True,False,FULL
56040.5063148999,0.441486041666667,-0.441486041666667,0.004902,0.0,0.0,00032287005,PC,True,True,FULL
56054.4210613643,0.369799444444444,-0.369799444444444,0.001896879,0.001021064,-0.0007744271,00032287006,PC,True,False,FULL
56068.5848687755,0.303892268518519,-0.303892268518519,0.0029154,0.0,0.0,00032287007,PC,True,True,FULL
56082.5473302583,0.370602268518519,-0.370602268518519,0.003334801,0.001511582,-0.00119053,00032287008,PC,True,False,FULL
56096.4887565485,0.402795324074074,-0.402795324074074,0.0050051,0.0,0.0,00032287009,PC,True,True,FULL
56099.4603823845,0.441585231481481,-0.441585231481481,0.003597551,0.00236461,-0.001682265,00032287010,PC,True,False,FULL
56110.573636117,0.0741617939814815,-0.0741617939814815,0.002825084,0.001260917,-0.0009938072,00032287011,PC,True,False,FULL
56132.4664293674,0.170238217592593,-0.170238217592593,0.001733311,0.00134341,-0.0009047707,00035883003,PC,True,False,FULL
56138.5731619183,0.408653634259259,-0.408653634259259,0.0074613,0.0,0.0,00032287012,PC,True,True,FULL
56141.3042568348,0.139348113425926,-0.139348113425926,0.0067156,0.0,0.0,00032287013,PC,True,True,FULL
56141.3723075293,0.0712974189814815,-0.0712974189814815,0.0086006,0.0,0.0,00032287014,PC,True,True,FULL
56159.6014920478,0.0400314467592593,-0.0400314467592593,0.0064934,0.0,0.0,00032287015,PC,True,True,FULL
56824.2104776593,0.538673773148148,-0.538673773148148,0.013241,0.0,0.0,00084548001,PC,True,True,FULL
56862.6610639614,0.0012768634259259,-0.0012768634259259,0.049752,0.0,0.0,00084548002,PC,True,True,FULL
56864.3233968295,0.0042223611111111,-0.0042223611111111,0.020135,0.0,0.0,00084548003,PC,True,True,FULL
58764.3292567126,0.141975497685185,-0.141975497685185,0.002340021,0.001190978,-0.0009032983,00095334002,PC,True,False,FULL
58771.6952304348,0.0739277314814815,-0.0739277314814815,0.003564953,0.001356453,-0.001096584,00095334003,PC,True,False,FULL
58778.369594054,0.173871990740741,-0.173871990740741,0.002157693,0.001187798,-0.0009008859,00095334004,PC,True,False,FULL
58785.9142056107,0.0757877083333333,-0.0757877083333333,0.002997311,0.001591096,-0.001206768,00095334005,PC,True,False,FULL
58792.3602389857,0.272800162037037,-0.272800162037037,0.003624851,0.001444724,-0.001154411,00095334006,PC,True,False,FULL
58936.3942780228,0.36791755787037,-0.36791755787037,0.0049847,0.0,0.0,00095334008,PC,True,True,FULL
58943.5059382392,0.374995902777778,-0.374995902777778,0.001900581,0.001130133,-0.0008339723,00095334009,PC,True,False,FULL
58950.2366830922,0.0706735532407407,-0.0706735532407407,0.0052489,0.0,0.0,00095334010,PC,True,True,FULL
58957.0773585054,0.0695523263888889,-0.0695523263888889,0.002205942,0.001074953,-0.00083308,00095334011,PC,True,False,FULL
58964.7054271408,0.0713606944444444,-0.0713606944444444,0.003226633,0.00163725,-0.001242787,00095334012,PC,True,False,FULL
58971.2466913573,0.236342280092593,-0.236342280092593,0.001571779,0.0009803131,-0.0007236886,00095334013,PC,True,False,FULL
58978.5224628052,0.135561712962963,-0.135561712962963,0.0058283,0.0,0.0,00095334014,PC,True,True,FULL
59474.5678179927,0.428366400462963,-0.428366400462963,0.002887684,0.001191681,-0.0009522162,00035883004,PC,True,False,FULL
