MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
54002.2692525762,0.165064282407407,-0.165064282407407,-4.566541,-18.792003,00035883001,WT,True,False,HR
54002.2723743123,0.167876979166667,-0.167876979166667,0.001735,0.001055,00035883001,PC,True,False,SOFT
54002.2723743123,0.167876979166667,-0.167876979166667,0.000512,0.000614,00035883001,PC,True,False,HARD
54039.1085851459,0.0712319444444444,-0.0712319444444444,-9.6e-05,1.4e-05,00035883002,PC,True,False,SOFT
54039.1085851459,0.0712319444444444,-0.0712319444444444,-27.774823,-14.943206,00035883002,PC,True,False,HR
54039.1085851459,0.0712319444444444,-0.0712319444444444,0.002671,0.001379,00035883002,PC,True,False,HARD
55984.2508302276,0.209158726851852,-0.209158726851852,0.000317,0.000389,00032287001,PC,True,False,HARD
55984.2508302276,0.209158726851852,-0.209158726851852,0.000698,0.00055,00032287001,PC,True,False,SOFT
55984.2508302276,0.209158726851852,-0.209158726851852,0.454429,0.661706,00032287001,PC,True,False,HR
55998.5058770963,0.47110193287037,-0.47110193287037,0.001243,0.000992,00032287002,PC,True,False,SOFT
55998.5058770963,0.47110193287037,-0.47110193287037,0.000573,0.000667,00032287002,PC,True,False,HARD
55998.5058770963,0.47110193287037,-0.47110193287037,0.460908,0.651077,00032287002,PC,True,False,HR
56012.168798998,0.106794780092593,-0.106794780092593,0.000814,0.00068,00032287003,PC,True,False,SOFT
56012.168798998,0.106794780092593,-0.106794780092593,0.001362,0.000879,00032287003,PC,True,False,HARD
56012.168798998,0.106794780092593,-0.106794780092593,1.673778,1.766833,00032287003,PC,True,False,HR
56026.4048800658,0.374177800925926,-0.374177800925926,0.000339,0.000402,00032287004,PC,True,False,HARD
56026.4048800658,0.374177800925926,-0.374177800925926,0.001234,0.000765,00032287004,PC,True,False,SOFT
56026.4048800658,0.374177800925926,-0.374177800925926,0.27452,0.367677,00032287004,PC,True,False,HR
56040.5063148999,0.441486041666667,-0.441486041666667,0.000239,0.000377,00032287005,PC,True,False,SOFT
56040.5063148999,0.441486041666667,-0.441486041666667,0.001049,0.000666,00032287005,PC,True,False,HARD
56040.5063148999,0.441486041666667,-0.441486041666667,4.391596,7.472107,00032287005,PC,True,False,HR
56054.4210613643,0.369799444444444,-0.369799444444444,0.000599,0.000501,00032287006,PC,True,False,HARD
56054.4210613643,0.369799444444444,-0.369799444444444,0.001298,0.000725,00032287006,PC,True,False,SOFT
56054.4210613643,0.369799444444444,-0.369799444444444,0.461613,0.463772,00032287006,PC,True,False,HR
56068.5848687755,0.303892268518519,-0.303892268518519,-4.143487,-5.040942,00032287007,PC,True,False,HR
56068.5848687755,0.303892268518519,-0.303892268518519,0.000307,0.000372,00032287007,PC,True,False,HARD
56068.5848687755,0.303892268518519,-0.303892268518519,-7.4e-05,7e-06,00032287007,PC,True,False,SOFT
56082.5473302583,0.370602268518519,-0.370602268518519,0.298773,0.297368,00032287008,PC,True,False,HR
56082.5473302583,0.370602268518519,-0.370602268518519,0.000767,0.000682,00032287008,PC,True,False,HARD
56082.5473302583,0.370602268518519,-0.370602268518519,0.002566,0.001144,00032287008,PC,True,False,SOFT
