MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
55424.1034163478,0.0687259837962963,-0.0687259837962963,0.01984393,0.006221467,-0.005163958,00031791001,PC,True,False,FULL
55432.3118816477,0.005397662037037,-0.005397662037037,0.04503551,0.00805423,-0.00805423,00031791002,PC,False,False,FULL
55436.7310352998,0.143181041666667,-0.143181041666667,0.04457152,0.003749918,-0.003749918,00031791003,PC,False,False,FULL
55440.3077208845,0.1067603125,-0.1067603125,0.0337838,0.00341813,-0.00341813,00031791004,PC,False,False,FULL
55444.2585312262,0.298325636574074,-0.298325636574074,0.03838557,0.004323387,-0.004323387,00031791005,PC,False,False,FULL
55448.4378379103,0.0731803472222222,-0.0731803472222222,0.03070385,0.003674477,-0.003674477,00031791006,PC,False,False,FULL
55456.1675766368,0.0392823611111111,-0.0392823611111111,0.02755486,0.004550406,-0.004550406,00031791007,PC,False,False,FULL
55460.7857310519,0.17319037037037,-0.17319037037037,0.02421162,0.004182752,-0.004182752,00031791008,PC,False,False,FULL
55464.4409701426,0.0714241203703704,-0.0714241203703704,0.01992943,0.002888309,-0.002888309,00031791009,PC,False,False,FULL
55468.2542602865,0.0741084143518519,-0.0741084143518519,0.01909502,0.002642378,-0.002642378,00031791010,PC,False,False,FULL
55472.7178742844,0.0369005671296296,-0.0369005671296296,0.03393376,0.00545829,-0.00545829,00031791011,PC,False,False,FULL
55476.5837196481,0.0432758796296296,-0.0432758796296296,0.02303424,0.003013234,-0.003013234,00031791012,PC,False,False,FULL
55480.2941721991,0.0744714930555556,-0.0744714930555556,0.01919965,0.002661112,-0.002661112,00031791013,PC,False,False,FULL
55484.5112508959,0.0088074768518518,-0.0088074768518518,0.02100057,0.004386858,-0.004386858,00031791014,PC,False,False,FULL
55488.5283946389,0.0096925694444444,-0.0096925694444444,0.01242473,0.003236891,-0.003236891,00031791015,PC,False,False,FULL
55492.8849941804,0.0753336574074074,-0.0753336574074074,0.0051175,0.0,0.0,00031791016,PC,True,True,FULL
55496.9688292543,0.005397662037037,-0.005397662037037,0.02305822,0.005739943,-0.005739943,00031791017,PC,False,False,FULL
55799.8026845606,0.0361048958333333,-0.0361048958333333,0.0044858,0.0,0.0,00031791018,PC,True,True,FULL
