MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
55763.5299396939,0.13661775462963,-0.13661775462963,0.09286124,0.006694198,-0.006694198,00045596001,PC,False,False,FULL
55768.6164767764,0.0049333449074074,-0.0049333449074074,0.03832294,0.007899076,-0.007899076,00045596002,PC,False,False,FULL
55769.3131972857,0.310956898148148,-0.310956898148148,0.05233572,0.003528486,-0.003528486,00045596003,PC,False,False,FULL
55773.5367028669,0.43541193287037,-0.43541193287037,0.09918996,0.02240112,-0.02240112,00045596004,PC,True,False,FULL
55775.0748781481,0.0340506944444444,-0.0340506944444444,0.04423159,0.02111189,-0.0160254,00045596005,PC,True,False,FULL
55779.6538050644,0.0016541203703703,-0.0016541203703703,0.07726815,0.01850208,-0.01850208,00045596006,PC,False,False,FULL
55811.1561183302,0.0076757060185185,-0.0076757060185185,0.09985426,0.009804473,-0.009804473,00045596007,PC,False,False,FULL
55817.2701679448,0.236679456018519,-0.236679456018519,0.1062351,0.006144749,-0.006144749,00045596008,PC,False,False,FULL
56162.9873335246,0.0027133449074074,-0.0027133449074074,0.05376251,0.01279568,-0.01279568,00045596009,PC,False,False,FULL
56164.1460947051,0.437807326388889,-0.437807326388889,0.089232,0.004654266,-0.004654266,00045596010,PC,False,False,FULL
56166.8583454358,0.0054121643518518,-0.0054121643518518,0.09170674,0.01115385,-0.01115385,00045596011,PC,False,False,FULL
56167.4870827043,0.366259097222222,-0.366259097222222,0.06610728,0.00440279,-0.00440279,00045596012,PC,False,False,FULL
56168.4940969491,0.441198935185185,-0.441198935185185,0.06126955,0.003580429,-0.003580429,00045596013,PC,False,False,FULL
56907.3233940607,0.0097796296296296,-0.0097796296296296,0.03128668,0.004924455,-0.004924455,00045596014,PC,False,False,FULL
58076.2872408396,0.0375050925925926,-0.0375050925925926,0.03275045,0.004564462,-0.004564462,00045596015,PC,False,False,FULL
58076.695711835,0.0318099421296296,-0.0318099421296296,0.02150508,0.003898285,-0.003898285,00045596016,PC,False,False,FULL
58078.3596395283,0.0366304861111111,-0.0366304861111111,0.02856759,0.004992475,-0.004992475,00045596017,PC,False,False,FULL
58082.8771706197,0.0399493402777778,-0.0399493402777778,0.02541158,0.004436665,-0.004436665,00045596018,PC,False,False,FULL
58713.822447482,0.132809409722222,-0.132809409722222,0.01610674,0.005279025,-0.00434897,00045596019,PC,True,False,FULL
58716.2027477424,0.0073709953703703,-0.0073709953703703,0.02027998,0.004769321,-0.004769321,00045596020,PC,False,False,FULL
58720.7790592574,0.0060506018518518,-0.0060506018518518,0.01641287,0.005132005,-0.004259681,00045596021,PC,False,False,FULL
58722.582802776,0.0044109953703703,-0.0044109953703703,0.03658445,0.008495207,-0.008495207,00045596022,PC,False,False,FULL
58727.6967180109,0.0043819675925925,-0.0043819675925925,0.02643585,0.008247853,-0.006845905,00045596023,PC,False,False,FULL
58734.5277389878,0.277529803240741,-0.277529803240741,0.02651122,0.00413791,-0.00413791,00045596024,PC,False,False,FULL
58741.6686882042,0.108102395833333,-0.108102395833333,0.03258288,0.004335236,-0.004335236,00045596025,PC,False,False,FULL
58748.9410924253,0.0086043287037037,-0.0086043287037037,0.03712249,0.006379861,-0.006379861,00045596026,PC,False,False,FULL
58751.9283406938,0.0081835532407407,-0.0081835532407407,0.02728762,0.005261035,-0.005261035,00045596027,PC,False,False,FULL
58762.8905907239,0.0042658912037037,-0.0042658912037037,0.03344319,0.007817147,-0.007817147,00045596028,PC,False,False,FULL
58765.5480781475,0.0696841087962963,-0.0696841087962963,0.05088629,0.007955036,-0.007955036,00045596029,PC,False,False,FULL
58769.6858388049,0.0423313657407407,-0.0423313657407407,0.04800798,0.00471821,-0.00471821,00045596030,PC,False,False,FULL
58776.6631850908,0.240678298611111,-0.240678298611111,0.04466456,0.005605578,-0.005605578,00045596031,PC,False,False,FULL
