MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
55588.5034693087,0.110329710648148,-0.110329710648148,-0.000137,1.4e-05,00040772001,PC,True,False,SOFT
55588.5034693087,0.110329710648148,-0.110329710648148,-4.273482,-4.978335,00040772001,PC,True,False,HR
55588.5034693087,0.110329710648148,-0.110329710648148,0.000585,0.000679,00040772001,PC,True,False,HARD
55593.0166645354,0.0096200231481481,-0.0096200231481481,0.000971,0.001067,00040772003,PC,True,False,SOFT
55593.0166645354,0.0096200231481481,-0.0096200231481481,-0.000104,1.7e-05,00040772003,PC,True,False,HARD
55593.0166645354,0.0096200231481481,-0.0096200231481481,-0.107332,-0.11917,00040772003,PC,True,False,HR
56733.4936862949,0.506158668981481,-0.506158668981481,2.467803,0.881097,00084377001,PC,False,False,HR
56733.4936862949,0.506158668981481,-0.506158668981481,0.013209,0.002487,00084377001,PC,False,False,HARD
56733.4936862949,0.506158668981481,-0.506158668981481,0.005352,0.001624,00084377001,PC,False,False,SOFT
56738.7345084419,0.0049188310185185,-0.0049188310185185,0.019664,0.005526,00084377002,PC,False,False,SOFT
56738.7345084419,0.0049188310185185,-0.0049188310185185,0.458586,0.230875,00084377002,PC,False,False,HR
56738.7345084419,0.0049188310185185,-0.0049188310185185,0.009018,0.003767,00084377002,PC,False,False,HARD
56739.4572835114,0.0043674652777777,-0.0043674652777777,0.005029,0.003016,00084377003,PC,True,False,HARD
56739.4572835114,0.0043674652777777,-0.0043674652777777,0.748199,0.590085,00084377003,PC,True,False,HR
56739.4572835114,0.0043674652777777,-0.0043674652777777,0.006722,0.003443,00084377003,PC,True,False,SOFT
56745.4543114315,0.469844837962963,-0.469844837962963,7.22612,6.090139,00084377004,PC,True,False,HR
56745.4543114315,0.469844837962963,-0.469844837962963,0.021193,0.005919,00084377004,PC,True,False,HARD
56745.4543114315,0.469844837962963,-0.469844837962963,0.002933,0.002332,00084377004,PC,True,False,SOFT
56748.51186181,0.401867592592593,-0.401867592592593,0.009238,0.003361,00084377005,PC,True,False,HARD
56748.51186181,0.401867592592593,-0.401867592592593,0.846769,0.414137,00084377005,PC,True,False,HR
56748.51186181,0.401867592592593,-0.401867592592593,0.01091,0.003567,00084377005,PC,True,False,SOFT
56753.9149655762,0.0043239351851851,-0.0043239351851851,0.008801,0.004117,00084377006,PC,False,False,SOFT
56753.9149655762,0.0043239351851851,-0.0043239351851851,0.809826,0.566002,00084377006,PC,False,False,HR
56753.9149655762,0.0043239351851851,-0.0043239351851851,0.007127,0.003701,00084377006,PC,False,False,HARD
57875.5074725345,0.0374259837962963,-0.0374259837962963,0.004581,0.001781,00084377007,PC,True,False,SOFT
57875.5074725345,0.0374259837962963,-0.0374259837962963,0.409627,0.299031,00084377007,PC,True,False,HR
57875.5074725345,0.0374259837962963,-0.0374259837962963,0.001877,0.00116,00084377007,PC,True,False,HARD
57958.4689925067,0.0696475231481481,-0.0696475231481481,0.000755,0.000813,00084377008,PC,True,False,SOFT
57958.4689925067,0.0696475231481481,-0.0696475231481481,-0.112565,-0.122288,00084377008,PC,True,False,HR
57958.4689925067,0.0696475231481481,-0.0696475231481481,-8.5e-05,1.3e-05,00084377008,PC,True,False,HARD
57981.7247352776,0.0368361458333333,-0.0368361458333333,0.939769,0.358766,00084377009,PC,False,False,HR
57981.7247352776,0.0368361458333333,-0.0368361458333333,0.010843,0.002971,00084377009,PC,False,False,HARD
57981.7247352776,0.0368361458333333,-0.0368361458333333,0.011538,0.003067,00084377009,PC,False,False,SOFT
57988.0335590056,0.0314614930555556,-0.0314614930555556,0.003475,0.002083,00084377010,PC,True,False,HARD
57988.0335590056,0.0314614930555556,-0.0314614930555556,-30.388477,-19.333423,00084377010,PC,True,False,HR
57988.0335590056,0.0314614930555556,-0.0314614930555556,-0.000114,2.4e-05,00084377010,PC,True,False,SOFT
58219.1425956422,0.0363111458333333,-0.0363111458333333,1.301906,0.365378,00084377011,PC,False,False,HR
58219.1425956422,0.0363111458333333,-0.0363111458333333,0.020814,0.003844,00084377011,PC,False,False,HARD
58219.1425956422,0.0363111458333333,-0.0363111458333333,0.015988,0.003378,00084377011,PC,False,False,SOFT
58586.0969619246,0.0013639236111111,-0.0013639236111111,-3.7e-05,1.9e-05,00084377012,PC,True,False,HARD
58586.0969619246,0.0013639236111111,-0.0013639236111111,1.0,0.707107,00084377012,PC,True,False,HR
58586.0969619246,0.0013639236111111,-0.0013639236111111,-3.7e-05,1.9e-05,00084377012,PC,True,False,SOFT
58590.9940147903,0.0056878587962963,-0.0056878587962963,0.498325,0.6418,00084377013,PC,True,False,HR
58590.9940147903,0.0056878587962963,-0.0056878587962963,0.001449,0.001526,00084377013,PC,True,False,HARD
58590.9940147903,0.0056878587962963,-0.0056878587962963,0.002907,0.002152,00084377013,PC,True,False,SOFT
58591.3878487371,0.0062972685185185,-0.0062972685185185,0.002547,0.001917,00084377014,PC,True,False,SOFT
58591.3878487371,0.0062972685185185,-0.0062972685185185,0.001269,0.001355,00084377014,PC,True,False,HARD
