MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
54947.6368528669,0.0748688194444444,-0.0748688194444444,0.02983378,0.004369836,-0.004369836,00031403001,PC,False,False,FULL
56111.8771180413,0.0435840393518519,-0.0435840393518519,0.02786575,0.003704572,-0.003704572,00031403002,PC,False,False,FULL
56113.9491020322,0.0424353240740741,-0.0424353240740741,0.01623784,0.002684674,-0.002684674,00031403003,PC,False,False,FULL
56117.8204248633,0.110001782407407,-0.110001782407407,0.0159427,0.002850674,-0.002850674,00031403004,PC,False,False,FULL
56121.8364476597,0.109254351851852,-0.109254351851852,0.01962823,0.002400116,-0.002400116,00031403005,PC,False,False,FULL
56123.5792342083,0.10466537037037,-0.10466537037037,0.009064375,0.001810686,-0.001810686,00031403006,PC,True,False,FULL
56125.5457764399,0.0770131712962963,-0.0770131712962963,0.005424972,0.001764402,-0.001464494,00031403007,PC,True,False,FULL
56129.4965004168,0.47143005787037,-0.47143005787037,0.01053658,0.001837143,-0.001837143,00031403008,PC,True,False,FULL
56131.3972354909,0.374853217592593,-0.374853217592593,0.04484669,0.004084125,-0.004084125,00031403009,PC,False,False,FULL
56133.5031610369,0.0064423726851851,-0.0064423726851851,0.01842885,0.00487283,-0.00487283,00031403010,PC,False,False,FULL
56135.9023189164,0.0788086689814815,-0.0788086689814815,0.02998487,0.0028525,-0.0028525,00031403011,PC,False,False,FULL
56137.8982502567,0.0014945138888888,-0.0014945138888888,0.105683,0.02442733,-0.02442733,00031403012,PC,False,False,FULL
56139.710427326,0.0095764930555555,-0.0095764930555555,0.01816189,0.004017545,-0.004017545,00031403013,PC,False,False,FULL
56141.2526331594,0.0743309375,-0.0743309375,0.01338441,0.002677632,-0.002677632,00031403014,PC,False,False,FULL
56143.1240619463,0.0070517824074074,-0.0070517824074074,0.02781325,0.005562585,-0.005562585,00031403015,PC,False,False,FULL
56145.8898953396,0.109984953703704,-0.109984953703704,0.002267022,0.00107617,-0.0008340227,00031403016,PC,True,False,FULL
56147.5893138325,0.0070953125,-0.0070953125,0.02936455,0.005645619,-0.005645619,00031403017,PC,False,False,FULL
56149.6524745476,0.002960011574074,-0.002960011574074,0.03531733,0.0105144,-0.008785862,00031403018,PC,False,False,FULL
56151.8012466052,0.0034823611111111,-0.0034823611111111,0.03771484,0.009258682,-0.009258682,00031403019,PC,False,False,FULL
56153.4006263363,0.0096490393518518,-0.0096490393518518,0.03131892,0.005286983,-0.005286983,00031403020,PC,False,False,FULL
56155.7671303152,0.0378033217592593,-0.0378033217592593,0.003718637,0.001741298,-0.001348472,00031403021,PC,True,False,FULL
56157.2437712339,0.0415257986111111,-0.0415257986111111,0.01623323,0.003019121,-0.003019121,00031403022,PC,False,False,FULL
56159.7461960272,0.0751983912037037,-0.0751983912037037,0.0183205,0.002272885,-0.002272885,00031403023,PC,False,False,FULL
56161.5119933854,0.105243043981481,-0.105243043981481,0.02553055,0.00327214,-0.00327214,00031403024,PC,False,False,FULL
56163.8943200146,0.0055572685185185,-0.0055572685185185,0.01568808,0.005164749,-0.004254827,00031403025,PC,False,False,FULL
56165.8367809723,0.0082125694444444,-0.0082125694444444,0.05640169,0.00718487,-0.00718487,00031403026,PC,False,False,FULL
56167.6309505759,0.0751611111111111,-0.0751611111111111,0.001758913,0.0009218147,-0.000699151,00031403027,PC,True,False,FULL
56169.5822896587,0.137723414351852,-0.137723414351852,0.0242886,0.002818972,-0.002818972,00031403028,PC,False,False,FULL
56176.5228384734,0.0096635532407407,-0.0096635532407407,0.02037818,0.004453922,-0.004453922,00031403029,PC,False,False,FULL
56178.5590377874,0.0415158449074074,-0.0415158449074074,0.02013346,0.002958192,-0.002958192,00031403030,PC,False,False,FULL
56180.4044322866,0.0023796180555555,-0.0023796180555555,0.009087159,0.00700516,-0.004717894,00031403031,PC,True,False,FULL
56182.2753709019,0.0085172800925925,-0.0085172800925925,0.02337698,0.004609796,-0.004609796,00031403032,PC,False,False,FULL
56184.7816491667,0.0446086574074074,-0.0446086574074074,0.01217237,0.002256142,-0.002256142,00031403033,PC,False,False,FULL
