MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
53581.5612239348,0.0018287384259259,-0.0018287384259259,1.746938,0.154623,00035190001,PC,False,False,HARD
53581.5612239348,0.0018287384259259,-0.0018287384259259,5.449533,1.190411,00035190001,PC,False,False,HR
53581.5612239348,0.0018287384259259,-0.0018287384259259,0.320566,0.064019,00035190001,PC,False,False,SOFT
53583.5748248567,0.0064125578703703,-0.0064125578703703,3.174572,0.155463,00035190005,PC,False,False,HARD
53583.5748248567,0.0064125578703703,-0.0064125578703703,6.970269,0.976119,00035190005,PC,False,False,HR
53583.5748248567,0.0064125578703703,-0.0064125578703703,0.455445,0.059754,00035190005,PC,False,False,SOFT
53583.7899837803,0.0072113888888888,-0.0072113888888888,0.58151,0.055388,00035190008,PC,False,False,SOFT
53583.7899837803,0.0072113888888888,-0.0072113888888888,2.939868,0.123342,00035190008,PC,False,False,HARD
53583.7899837803,0.0072113888888888,-0.0072113888888888,5.055579,0.526178,00035190008,PC,False,False,HR
53600.0807643527,0.038673912037037,-0.038673912037037,5.282372,0.517146,00035190013,PC,False,False,HR
53600.0807643527,0.038673912037037,-0.038673912037037,0.462516,0.041605,00035190013,PC,False,False,SOFT
53600.0807643527,0.038673912037037,-0.038673912037037,2.443181,0.094391,00035190013,PC,False,False,HARD
53916.7760088011,0.201031215277778,-0.201031215277778,2.952245,0.225539,00035190014,PC,False,False,HR
53916.7760088011,0.201031215277778,-0.201031215277778,0.20993,0.013863,00035190014,PC,False,False,SOFT
53916.7760088011,0.201031215277778,-0.201031215277778,0.619765,0.023805,00035190014,PC,False,False,HARD
53917.7814969145,0.672641261574074,-0.672641261574074,0.252036,0.010374,00035190015,PC,False,False,SOFT
53917.7814969145,0.672641261574074,-0.672641261574074,3.737136,0.173192,00035190015,PC,False,False,HR
53917.7814969145,0.672641261574074,-0.672641261574074,0.941893,0.02006,00035190015,PC,False,False,HARD
54042.8641553094,0.0664733449074074,-0.0664733449074074,0.647837,0.033823,00035190016,PC,False,False,SOFT
54042.8641553094,0.0664733449074074,-0.0664733449074074,5.409726,0.306823,00035190016,PC,False,False,HR
54042.8641553094,0.0664733449074074,-0.0664733449074074,3.504622,0.07766,00035190016,PC,False,False,HARD
54350.6840138683,0.0714793981481481,-0.0714793981481481,3.88441,0.681717,00035190018,PC,False,False,HR
54350.6840138683,0.0714793981481481,-0.0714793981481481,0.454642,0.036401,00035190018,PC,False,False,HARD
54350.6840138683,0.0714793981481481,-0.0714793981481481,0.117043,0.018279,00035190018,PC,False,False,SOFT
54355.5708087625,0.0027568634259259,-0.0027568634259259,3.664451,0.558609,00035190020,PC,False,False,HR
