MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
58029.3504350845,0.0376918055555556,-0.0376918055555556,1.377481,0.085616,00775946000,PC,False,False,SOFT
58029.3504350845,0.0376918055555556,-0.0376918055555556,14.100815,0.273198,00775946000,PC,False,False,HARD
58029.3504350845,0.0376918055555556,-0.0376918055555556,10.236666,0.666443,00775946000,PC,False,False,HR
58029.4801382442,0.0409837962962963,-0.0409837962962963,13.835133,0.945609,00775946001,PC,False,False,HR
58029.4801382442,0.0409837962962963,-0.0409837962962963,1.022321,0.067503,00775946001,PC,False,False,SOFT
58029.4801382442,0.0409837962962963,-0.0409837962962963,14.143949,0.249716,00775946001,PC,False,False,HARD
58031.8342717396,0.0043945717592592,-0.0043945717592592,3.62936,0.145572,00010336002,WT,False,False,SOFT
58031.8342717396,0.0043945717592592,-0.0043945717592592,31.385074,1.085333,00010336002,WT,False,False,HARD
58031.8342717396,0.0043945717592592,-0.0043945717592592,8.647552,0.196526,00010336002,WT,False,False,HR
58032.0698170405,0.0382478009259259,-0.0382478009259259,4.817077,0.050339,00010336003,WT,False,False,SOFT
58032.0698170405,0.0382478009259259,-0.0382478009259259,34.719291,0.134108,00010336003,WT,False,False,HARD
58032.0698170405,0.0382478009259259,-0.0382478009259259,7.207543,0.080254,00010336003,WT,False,False,HR
58033.3591551736,0.0100391898148148,-0.0100391898148148,40.065651,5.601523,00010336004,WT,False,False,HARD
58033.3591551736,0.0100391898148148,-0.0100391898148148,5.916256,0.830565,00010336004,WT,False,False,SOFT
58033.3591551736,0.0100391898148148,-0.0100391898148148,6.772129,0.096757,00010336004,WT,False,False,HR
58034.3501087037,0.0045343055555555,-0.0045343055555555,11.10728,0.125993,00010336005,WT,False,False,SOFT
58034.3501087037,0.0045343055555555,-0.0045343055555555,6.139353,0.075023,00010336005,WT,False,False,HR
58034.3501087037,0.0045343055555555,-0.0045343055555555,68.191518,0.311011,00010336005,WT,False,False,HARD
58035.283084537,0.403461678240741,-0.403461678240741,6.345054,0.039496,00010336006,WT,False,False,HR
58035.283084537,0.403461678240741,-0.403461678240741,88.047815,0.611001,00010336006,WT,False,False,HARD
58035.283084537,0.403461678240741,-0.403461678240741,13.876605,0.118547,00010336006,WT,False,False,SOFT
58036.4858781898,0.0048299074074074,-0.0048299074074074,21.043137,0.238388,00010336007,WT,False,False,SOFT
58036.4858781898,0.0048299074074074,-0.0048299074074074,117.859856,0.844127,00010336007,WT,False,False,HARD
58036.4858781898,0.0048299074074074,-0.0048299074074074,5.600869,0.056939,00010336007,WT,False,False,HR
58037.509643456,0.0338794444444444,-0.0338794444444444,160.617053,3.512959,00010336008,WT,False,False,HARD
58037.509643456,0.0338794444444444,-0.0338794444444444,30.202727,0.684427,00010336008,WT,False,False,SOFT
58037.509643456,0.0338794444444444,-0.0338794444444444,5.317965,0.038694,00010336008,WT,False,False,HR
58038.5036132442,0.0329488888888889,-0.0329488888888889,29.503538,2.241741,00010336009,WT,False,False,SOFT
58038.5036132442,0.0329488888888889,-0.0329488888888889,174.536852,13.418479,00010336009,WT,False,False,HARD
58038.5036132442,0.0329488888888889,-0.0329488888888889,5.915794,0.04082,00010336009,WT,False,False,HR
58040.1423015428,0.8005309375,-0.8005309375,5.65057,0.052204,00010336010,WT,False,False,HR
58040.1423015428,0.8005309375,-0.8005309375,259.816988,4.786575,00010336010,WT,False,False,HARD
58040.1423015428,0.8005309375,-0.8005309375,45.980666,0.917381,00010336010,WT,False,False,SOFT
58041.6302690023,0.0396262731481482,-0.0396262731481482,5.49302,0.038312,00010336011,WT,False,False,HR
58041.6302690023,0.0396262731481482,-0.0396262731481482,304.597948,41.949587,00010336011,WT,False,False,HARD
58041.6302690023,0.0396262731481482,-0.0396262731481482,55.451814,7.686455,00010336011,WT,False,False,SOFT
58042.3676162708,0.0380915162037037,-0.0380915162037037,0.0,0.0,00779351000,WT,False,False,HARD
58042.3676162708,0.0380915162037037,-0.0380915162037037,,,00779351000,WT,False,False,HR
58042.3676162708,0.0380915162037037,-0.0380915162037037,0.0,0.0,00779351000,WT,False,False,SOFT
58042.3952070694,0.467755960648148,-0.467755960648148,317.963789,9.083292,00010336012,WT,False,False,HARD
58042.3952070694,0.467755960648148,-0.467755960648148,55.235473,1.526012,00010336012,WT,False,False,SOFT
58042.3952070694,0.467755960648148,-0.467755960648148,5.756514,0.02655,00010336012,WT,False,False,HR
58044.4859137199,0.0437243055555556,-0.0437243055555556,5.640173,0.040861,00010336013,WT,False,False,HR
58044.4859137199,0.0437243055555556,-0.0437243055555556,65.976247,1.100082,00010336013,WT,False,False,SOFT
58044.4859137199,0.0437243055555556,-0.0437243055555556,372.117426,5.769077,00010336013,WT,False,False,HARD
58048.8966635729,0.0100391550925926,-0.0100391550925926,5.817301,0.045298,00010336014,WT,False,False,HR
58048.8966635729,0.0100391550925926,-0.0100391550925926,507.149112,14.571617,00010336014,WT,False,False,HARD
58048.8966635729,0.0100391550925926,-0.0100391550925926,87.179457,2.607622,00010336014,WT,False,False,SOFT
58050.9521344722,0.0094315856481481,-0.0094315856481481,5.009649,0.038548,00010336015,WT,False,False,HR
58050.9521344722,0.0094315856481481,-0.0094315856481481,648.133188,6.730306,00010336015,WT,False,False,HARD
58050.9521344722,0.0094315856481481,-0.0094315856481481,129.376962,1.57553,00010336015,WT,False,False,SOFT
58052.1736728287,0.0311441203703704,-0.0311441203703704,759.407253,73.69131,00782859000,WT,False,False,HARD
58052.1736728287,0.0311441203703704,-0.0311441203703704,164.539046,15.766093,00782859000,WT,False,False,SOFT
58052.1736728287,0.0311441203703704,-0.0311441203703704,4.615362,0.031309,00782859000,WT,False,False,HR
58052.5582547581,0.265109780092593,-0.265109780092593,212.219312,3.559332,00010336016,WT,False,False,SOFT
58052.5582547581,0.265109780092593,-0.265109780092593,4.39239,0.041068,00010336016,WT,False,False,HR
58052.5582547581,0.265109780092593,-0.265109780092593,932.150014,13.914494,00010336016,WT,False,False,HARD
58056.4650117303,0.0083433101851851,-0.0083433101851851,1510.072752,13.949828,00010336018,WT,False,False,HARD
58056.4650117303,0.0083433101851851,-0.0083433101851851,354.791138,3.965939,00010336018,WT,False,False,SOFT
58056.4650117303,0.0083433101851851,-0.0083433101851851,4.25623,0.035562,00010336018,WT,False,False,HR
58058.3893088553,0.0083608796296296,-0.0083608796296296,2293.802568,10.769879,00010336019,WT,False,False,HARD
58058.3893088553,0.0083608796296296,-0.0083608796296296,512.747468,4.739348,00010336019,WT,False,False,SOFT
58058.3893088553,0.0083608796296296,-0.0083608796296296,4.473552,0.043942,00010336019,WT,False,False,HR
58060.5922656343,0.0019363888888888,-0.0019363888888888,576.645092,10.371433,00010336020,WT,False,False,SOFT
58060.5922656343,0.0019363888888888,-0.0019363888888888,4.775434,0.09257,00010336020,WT,False,False,HR
58060.5922656343,0.0019363888888888,-0.0019363888888888,2753.730307,22.537053,00010336020,WT,False,False,HARD
58061.249800588,0.0055225578703703,-0.0055225578703703,4.677108,0.056487,00785917000,WT,False,False,HR
58061.249800588,0.0055225578703703,-0.0055225578703703,645.262835,7.687414,00785917000,WT,False,False,SOFT
58061.249800588,0.0055225578703703,-0.0055225578703703,3017.963719,19.631183,00785917000,WT,False,False,HARD
58062.7094775058,0.536800775462963,-0.536800775462963,3231.570988,129.663326,00010336021,WT,False,False,HARD
58062.7094775058,0.536800775462963,-0.536800775462963,716.979965,28.478597,00010336021,WT,False,False,SOFT
58062.7094775058,0.536800775462963,-0.536800775462963,4.507198,0.037221,00010336021,WT,False,False,HR
58066.9309772893,0.0361294560185185,-0.0361294560185185,4.734438,0.054806,00010336022,WT,False,False,HR
58066.9309772893,0.0361294560185185,-0.0361294560185185,598.966536,6.634139,00010336022,WT,False,False,SOFT
58066.9309772893,0.0361294560185185,-0.0361294560185185,2835.770159,15.649559,00010336022,WT,False,False,HARD
58067.1539435856,0.0062486689814814,-0.0062486689814814,4.685006,0.050776,00010336023,WT,False,False,HR
58067.1539435856,0.0062486689814814,-0.0062486689814814,542.416696,132.595422,00010336023,WT,False,False,SOFT
58067.1539435856,0.0062486689814814,-0.0062486689814814,2541.225533,620.77121,00010336023,WT,False,False,HARD
58070.4121437859,0.0063354166666666,-0.0063354166666666,1898.786067,19.616492,00010336024,WT,False,False,HARD
58070.4121437859,0.0063354166666666,-0.0063354166666666,4.861051,0.051534,00010336024,WT,False,False,HR
58070.4121437859,0.0063354166666666,-0.0063354166666666,390.612268,5.311043,00010336024,WT,False,False,SOFT
58072.4029024167,0.0059002662037037,-0.0059002662037037,4.738321,0.05188,00010336025,WT,False,False,HR
58072.4029024167,0.0059002662037037,-0.0059002662037037,1760.871047,16.666914,00010336025,WT,False,False,HARD
58072.4029024167,0.0059002662037037,-0.0059002662037037,371.623427,4.90605,00010336025,WT,False,False,SOFT
