MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
54002.6085098398,0.167150949074074,-0.167150949074074,1.157898,0.114395,00035867001,PC,False,False,HR
54002.6085098398,0.167150949074074,-0.167150949074074,0.087329,0.006156,00035867001,PC,False,False,SOFT
54002.6085098398,0.167150949074074,-0.167150949074074,0.101118,0.006999,00035867001,PC,False,False,HARD
54128.9780482381,0.0038451157407407,-0.0038451157407407,0.149741,0.021366,00035867002,PC,False,False,HARD
54128.9780482381,0.0038451157407407,-0.0038451157407407,1.142772,0.253713,00035867002,PC,False,False,HR
54128.9780482381,0.0038451157407407,-0.0038451157407407,0.131033,0.022287,00035867002,PC,False,False,SOFT
54489.4325465124,0.0396205787037037,-0.0396205787037037,0.970794,0.136917,00035867003,PC,False,False,HR
54489.4325465124,0.0396205787037037,-0.0396205787037037,0.065261,0.006485,00035867003,PC,False,False,SOFT
54489.4325465124,0.0396205787037037,-0.0396205787037037,0.063355,0.00634,00035867003,PC,False,False,HARD
56174.7577964352,0.0392483101851852,-0.0392483101851852,0.062671,0.006316,00035867004,PC,False,False,HARD
56174.7577964352,0.0392483101851852,-0.0392483101851852,0.809868,0.109915,00035867004,PC,False,False,HR
56174.7577964352,0.0392483101851852,-0.0392483101851852,0.077384,0.007034,00035867004,PC,False,False,SOFT
56187.7583950432,0.0067615856481481,-0.0067615856481481,0.914422,0.153025,00080009001,PC,False,False,HR
56187.7583950432,0.0067615856481481,-0.0067615856481481,0.073166,0.008806,00080009001,PC,False,False,HARD
56187.7583950432,0.0067615856481481,-0.0067615856481481,0.080014,0.009303,00080009001,PC,False,False,SOFT
56248.5882493284,0.374822199074074,-0.374822199074074,0.064026,0.002658,00080009002,PC,False,False,SOFT
56248.5882493284,0.374822199074074,-0.374822199074074,1.158297,0.065475,00080009002,PC,False,False,HR
56248.5882493284,0.374822199074074,-0.374822199074074,0.074161,0.002846,00080009002,PC,False,False,HARD
56249.7661441121,0.0066455092592592,-0.0066455092592592,0.059099,0.008449,00080009003,PC,False,False,HARD
56249.7661441121,0.0066455092592592,-0.0066455092592592,0.919133,0.182426,00080009003,PC,False,False,HR
56249.7661441121,0.0066455092592592,-0.0066455092592592,0.064299,0.008852,00080009003,PC,False,False,SOFT
56251.2868651144,0.138690740740741,-0.138690740740741,0.076871,0.004606,00080009004,PC,False,False,HARD
56251.2868651144,0.138690740740741,-0.138690740740741,1.073559,0.093118,00080009004,PC,False,False,HR
56251.2868651144,0.138690740740741,-0.138690740740741,0.071604,0.004491,00080009004,PC,False,False,SOFT
58039.9275104542,0.0062682523148148,-0.0062682523148148,1.238701,0.271611,00035867005,PC,False,False,HR
58039.9275104542,0.0062682523148148,-0.0062682523148148,0.044813,0.007327,00035867005,PC,False,False,SOFT
58039.9275104542,0.0062682523148148,-0.0062682523148148,0.05551,0.00811,00035867005,PC,False,False,HARD
58040.5148532192,0.0057313888888888,-0.0057313888888888,0.086818,0.010397,00035867006,PC,False,False,HARD
58040.5148532192,0.0057313888888888,-0.0057313888888888,1.266574,0.22927,00035867006,PC,False,False,HR
58040.5148532192,0.0057313888888888,-0.0057313888888888,0.068546,0.009304,00035867006,PC,False,False,SOFT
58041.8502811799,0.005716875,-0.005716875,0.064919,0.00941,00035867007,PC,False,False,SOFT
58041.8502811799,0.005716875,-0.005716875,0.735089,0.163587,00035867007,PC,False,False,HR
58041.8502811799,0.005716875,-0.005716875,0.047721,0.008058,00035867007,PC,False,False,HARD
58046.569694181,0.0057458912037037,-0.0057458912037037,0.067129,0.009289,00035867008,PC,False,False,SOFT
58046.569694181,0.0057458912037037,-0.0057458912037037,0.04959,0.007961,00035867008,PC,False,False,HARD
58046.569694181,0.0057458912037037,-0.0057458912037037,0.738739,0.156575,00035867008,PC,False,False,HR
58710.4314731602,0.0004643171296296,-0.0004643171296296,0.101871,0.043064,07020871001,PC,True,False,HARD
58710.4314731602,0.0004643171296296,-0.0004643171296296,0.068779,0.03561,07020871001,PC,True,False,SOFT
58710.4314731602,0.0004643171296296,-0.0004643171296296,1.481134,0.989991,07020871001,PC,True,False,HR
58711.0860501336,0.0004788194444444,-0.0004788194444444,0.157265,0.053428,07021001002,PC,True,False,SOFT
58711.0860501336,0.0004788194444444,-0.0004788194444444,0.033836,0.025207,07021001002,PC,True,False,HARD
58711.0860501336,0.0004788194444444,-0.0004788194444444,0.21515,0.176164,07021001002,PC,True,False,HR
58711.294921916,0.0004643171296296,-0.0004643171296296,0.103335,0.042429,07021258001,PC,True,False,SOFT
58711.294921916,0.0004643171296296,-0.0004643171296296,0.050794,0.030011,07021258001,PC,True,False,HARD
58711.294921916,0.0004643171296296,-0.0004643171296296,0.491548,0.353671,07021258001,PC,True,False,HR
58713.213767541,0.0032937384259259,-0.0032937384259259,0.097804,0.023416,07021001003,PC,False,False,HARD
58713.213767541,0.0032937384259259,-0.0032937384259259,0.064128,0.019181,07021001003,PC,False,False,SOFT
58713.213767541,0.0032937384259259,-0.0032937384259259,1.525148,0.584332,07021001003,PC,False,False,HR
58713.5357645086,0.0028294212962963,-0.0028294212962963,0.6768,0.206578,07021258003,PC,False,False,HR
58713.5357645086,0.0028294212962963,-0.0028294212962963,0.055968,0.013185,07021258003,PC,False,False,HARD
58713.5357645086,0.0028294212962963,-0.0028294212962963,0.082695,0.016049,07021258003,PC,False,False,SOFT
