MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53379.9546512442,0.0012623611111111,-0.0012623611111111,0.069921,0.0,0.0,00067042001,PC,True,True,FULL
53394.1540435341,0.142699201388889,-0.142699201388889,0.01629752,0.001664295,-0.001664295,00056050001,PC,False,False,FULL
55564.7406218661,0.0345656018518518,-0.0345656018518518,0.037024,0.0,0.0,00031905002,PC,True,True,FULL
55565.6166714239,0.0394908449074074,-0.0394908449074074,0.01019658,0.003431695,-0.002869067,00031905003,PC,True,False,FULL
55568.5065419144,0.103770949074074,-0.103770949074074,0.01484202,0.003208624,-0.003208624,00031905004,PC,True,False,FULL
55572.0146953882,0.0067470717592592,-0.0067470717592592,0.01419007,0.004693867,-0.003924306,00031905005,PC,False,False,FULL
55584.2258821289,0.0406849305555556,-0.0406849305555556,0.01211915,0.002480999,-0.002480999,00031905006,PC,False,False,FULL
55596.4324784978,0.07367625,-0.07367625,0.01981375,0.003078648,-0.003078648,00031905007,PC,False,False,FULL
55608.6835069844,0.139301770833333,-0.139301770833333,0.04399816,0.006822208,-0.006822208,00031905008,PC,False,False,FULL
55620.4300124029,0.17058875,-0.17058875,0.04198765,0.004986298,-0.004986298,00031905009,PC,False,False,FULL
55635.7164171403,0.204305532407407,-0.204305532407407,0.01099153,0.002818091,-0.002818091,00031905010,PC,True,False,FULL
55644.4791225769,0.0068921759259259,-0.0068921759259259,0.00968215,0.00406033,-0.003282454,00031905011,PC,False,False,FULL
55738.2319709545,0.229729409722222,-0.229729409722222,0.01274469,0.002488817,-0.002488817,00031905012,PC,True,False,FULL
55742.6752118768,0.206641944444444,-0.206641944444444,0.0218417,0.003839136,-0.003839136,00031905013,PC,False,False,FULL
55769.0689209133,0.0448519907407407,-0.0448519907407407,0.0377779,0.003813856,-0.003813856,00031905014,PC,False,False,FULL
55797.7971267221,0.0055427546296296,-0.0055427546296296,0.01451375,0.005283612,-0.004352749,00031905015,PC,False,False,FULL
55802.5585901614,0.0760174884259259,-0.0760174884259259,0.0126879,0.00265928,-0.00265928,00031905016,PC,False,False,FULL
55808.5003568251,0.138439988425926,-0.138439988425926,0.01381884,0.002803432,-0.002803432,00031905017,PC,True,False,FULL
56181.2096565077,0.173541099537037,-0.173541099537037,0.009612081,0.001812778,-0.001812778,00031905018,PC,True,False,FULL
56513.9090556484,0.0407916435185185,-0.0407916435185185,0.01675421,0.003457227,-0.003457227,00080498001,PC,False,False,FULL
56525.9272572711,0.0378716666666667,-0.0378716666666667,0.02264296,0.004232616,-0.004232616,00080498002,PC,False,False,FULL
56677.8053074088,0.0327181712962963,-0.0327181712962963,0.0205293,0.003833722,-0.003833722,00080498003,PC,False,False,FULL
58496.363153432,0.0053251157407407,-0.0053251157407407,0.03048465,0.006852984,-0.006852984,00010978001,PC,False,False,FULL
58510.7079282943,0.0057023611111111,-0.0057023611111111,0.04796242,0.008223046,-0.008223046,00010978002,PC,False,False,FULL
58524.0965858753,0.0420099074074074,-0.0420099074074074,0.01720589,0.003017328,-0.003017328,00010978003,PC,False,False,FULL
58538.1383832479,0.0057749189814814,-0.0057749189814814,0.01223959,0.00493685,-0.003991051,00010978004,PC,False,False,FULL
58552.6889487422,0.0052235416666666,-0.0052235416666666,0.05854008,0.009821741,-0.009821741,00010978005,PC,False,False,FULL
58566.2866005315,0.0047882523148148,-0.0047882523148148,0.01319965,0.005676673,-0.004535963,00010978006,PC,True,False,FULL
58580.6402269609,0.0060215856481481,-0.0060215856481481,0.01592919,0.00555498,-0.004534862,00010978007,PC,True,False,FULL
58594.5091688047,0.0051219675925925,-0.0051219675925925,0.02496579,0.006435042,-0.006435042,00010978008,PC,False,False,FULL
58608.8623701611,0.0054121643518518,-0.0054121643518518,0.05869233,0.009990404,-0.009990404,00010978009,PC,False,False,FULL
58622.4058566218,0.0056588425925925,-0.0056588425925925,0.0187464,0.006428729,-0.005248155,00010978010,PC,False,False,FULL
58636.3457946426,0.0046141319444444,-0.0046141319444444,0.03399133,0.00801457,-0.00801457,00010978011,PC,False,False,FULL
58650.9649729574,0.0055572685185185,-0.0055572685185185,0.01306707,0.005687725,-0.004479681,00010978012,PC,True,False,FULL
58664.6977668498,0.0057313888888888,-0.0057313888888888,0.01920485,0.005999418,-0.005013132,00010978013,PC,False,False,FULL
58678.0567332364,0.0054702083333333,-0.0054702083333333,0.01255334,0.005193795,-0.004150118,00010978014,PC,True,False,FULL
