MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53773.4008890684,0.0351483796296296,-0.0351483796296296,0.051093,0.0,0.0,00035481001,PC,True,True,FULL
53785.4138575211,0.264607800925926,-0.264607800925926,0.40263,0.0,0.0,00035481002,WT,True,True,FULL
54500.7738625813,0.0741795833333333,-0.0741795833333333,0.0089646,0.0,0.0,00031113001,PC,True,True,FULL
54502.1829818481,0.140215196759259,-0.140215196759259,0.004531106,0.001202154,-0.001202154,00031113002,PC,True,False,FULL
54504.5296112228,0.0050494328703703,-0.0050494328703703,0.007339625,0.004103206,-0.003030635,00031113003,PC,True,False,FULL
54510.083541515,0.0719682407407407,-0.0719682407407407,0.02126388,0.003574152,-0.003574152,00031113004,PC,True,False,FULL
56444.0198355885,0.802229409722222,-0.802229409722222,0.002839496,0.001632044,-0.001204353,00049820001,PC,True,False,FULL
56445.7864235086,0.437734178240741,-0.437734178240741,0.003248007,0.001298357,-0.001037456,00049820002,PC,True,False,FULL
56447.1174303501,0.0414641435185185,-0.0414641435185185,0.008319041,0.002693765,-0.002235886,00049820003,PC,True,False,FULL
57887.622405401,0.0328648263888889,-0.0328648263888889,0.006481845,0.002487881,-0.002009983,00010130001,PC,True,False,FULL
57887.9228619751,0.0057604050925925,-0.0057604050925925,0.022898,0.0,0.0,00010130002,PC,True,True,FULL
57888.6948880283,0.0373468171296296,-0.0373468171296296,0.008886498,0.00295919,-0.002456194,00010130003,PC,True,False,FULL
57888.8533263964,0.0693896064814815,-0.0693896064814815,0.008761459,0.00184741,-0.00184741,00010130004,PC,True,False,FULL
57889.8856957019,0.0369718981481481,-0.0369718981481481,0.01814189,0.003910888,-0.003910888,00010130005,PC,True,False,FULL
57890.1179406904,0.007516099537037,-0.007516099537037,0.01528975,0.004078439,-0.004078439,00010130006,PC,False,False,FULL
57891.8487182818,0.0086913888888888,-0.0086913888888888,0.008467689,0.003827375,-0.002963944,00010130007,PC,True,False,FULL
57895.7952135457,0.0425109143518519,-0.0425109143518519,0.01595254,0.002391356,-0.002391356,00010130008,PC,False,False,FULL
57897.5558270862,0.0098957060185185,-0.0098957060185185,0.004064906,0.002265163,-0.001671558,00010130010,PC,True,False,FULL
57899.9447943883,0.5299696875,-0.5299696875,0.004620639,0.002303423,-0.00174846,00010130011,PC,True,False,FULL
57902.0789368408,0.0041353009259259,-0.0041353009259259,0.01062856,0.005860963,-0.004328918,00010130012,PC,True,False,FULL
57902.2769818177,0.0075015856481481,-0.0075015856481481,0.01908006,0.007009689,-0.005666776,00010130013,PC,True,False,FULL
57904.0621563767,0.0084447222222222,-0.0084447222222222,0.01157208,0.003682656,-0.003056688,00010130014,PC,True,False,FULL
57906.6168682853,0.0356524537037037,-0.0356524537037037,0.011954,0.0,0.0,00010130015,PC,True,True,FULL
57908.4487590364,0.0086478587962963,-0.0086478587962963,0.008773373,0.003270722,-0.002644119,00010130016,PC,True,False,FULL
57910.2094450885,0.0368314467592593,-0.0368314467592593,0.004361213,0.003388727,-0.002280692,00010130017,PC,True,False,FULL
57912.6936008269,0.0082415856481481,-0.0082415856481481,0.006202079,0.002922708,-0.002263364,00010130018,PC,True,False,FULL
57914.293939739,0.0085898263888888,-0.0085898263888888,0.0090922,0.0,0.0,00010130019,PC,True,True,FULL
57916.8894606857,0.0026553009259259,-0.0026553009259259,0.008426466,0.00631471,-0.004252884,00010130020,PC,True,False,FULL
57918.8508187043,0.0364481712962963,-0.0364481712962963,0.005999294,0.00460003,-0.003098066,00010130021,PC,True,False,FULL
57920.8041341776,0.0088219791666666,-0.0088219791666666,0.002686931,0.00209308,-0.001408692,00010130022,PC,True,False,FULL
57949.2113078559,0.0433216087962963,-0.0433216087962963,0.00302853,0.00158255,-0.001201267,00010130023,PC,True,False,FULL
57962.6212815306,0.0381317824074074,-0.0381317824074074,0.006417169,0.001775412,-0.001775412,00010130024,PC,True,False,FULL
57977.2374427274,0.702577777777778,-0.702577777777778,0.014038,0.0,0.0,00010130025,PC,True,True,FULL
57981.4183392841,0.236280439814815,-0.236280439814815,0.01296428,0.004101093,-0.003404,00010130026,PC,True,False,FULL
57990.7980493987,0.500317766203704,-0.500317766203704,0.009255763,0.002114624,-0.002114624,00010130027,PC,True,False,FULL
58004.6839915654,0.0393836921296296,-0.0393836921296296,0.004666389,0.002463178,-0.0019075,00010130028,PC,True,False,FULL
58009.4312382714,0.0053106018518518,-0.0053106018518518,0.022619,0.0,0.0,00010130029,PC,True,True,FULL
58209.9474249184,0.0057894212962963,-0.0057894212962963,0.022067,0.0,0.0,00094059001,PC,True,True,FULL
58215.2690943617,0.403573171296296,-0.403573171296296,0.004421996,0.00295496,-0.00210226,00094059002,PC,True,False,FULL
58219.6439648107,0.143953865740741,-0.143953865740741,0.006897023,0.002948129,-0.002321961,00094059003,PC,True,False,FULL
58223.4957091753,0.0095910069444444,-0.0095910069444444,0.004225959,0.002390441,-0.001765584,00094059004,PC,True,False,FULL
58226.2197035098,0.0057313888888888,-0.0057313888888888,0.0090553,0.0,0.0,00094059005,PC,True,True,FULL
58229.7322701661,0.0056588425925925,-0.0056588425925925,0.005538593,0.003605933,-0.002565385,00094059006,PC,True,False,FULL
58234.5778825133,0.0058764814814814,-0.0058764814814814,0.004167702,0.003197121,-0.002150736,00094059008,PC,True,False,FULL
58239.9621685758,0.0056298148148148,-0.0056298148148148,0.009652988,0.00435844,-0.003377755,00094059009,PC,True,False,FULL
58254.6523178975,0.0057458912037037,-0.0057458912037037,0.006300836,0.004048494,-0.002880238,00094059011,PC,True,False,FULL
58259.7721978258,0.0060215856481481,-0.0060215856481481,0.008554942,0.003980753,-0.00308272,00094059012,PC,True,False,FULL
58264.2734058466,0.0061957060185185,-0.0061957060185185,0.005907145,0.003293984,-0.002432943,00094059013,PC,True,False,FULL
58269.463087276,0.0054121643518518,-0.0054121643518518,0.008329872,0.004650875,-0.003435144,00094059014,PC,True,False,FULL
58279.0113576441,0.0064423726851851,-0.0064423726851851,0.005822785,0.003295113,-0.002433776,00094059016,PC,True,False,FULL
58284.9201251834,0.0059925578703703,-0.0059925578703703,0.006193494,0.003452047,-0.002547409,00094059017,PC,True,False,FULL
58299.5247016522,0.0354588194444444,-0.0354588194444444,0.019086,0.0,0.0,00094059019,PC,True,True,FULL
58304.5334838929,0.004440011574074,-0.004440011574074,0.035549,0.0,0.0,00094059020,PC,True,True,FULL
58309.4444625225,0.0004062731481481,-0.0004062731481481,0.10973,0.0,0.0,00094059021,PC,True,True,FULL
58318.7329958964,0.0070227662037037,-0.0070227662037037,0.011778,0.0,0.0,00094059023,PC,True,True,FULL
