MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
53773.367573073,0.0018323726851851,-0.0018323726851851,0.024386,0.010177,00035481001,PC,False,False,SOFT
53773.367573073,0.0018323726851851,-0.0018323726851851,0.028174,0.010877,00035481001,PC,False,False,HARD
53773.367573073,0.0018323726851851,-0.0018323726851851,1.155349,0.656831,00035481001,PC,False,False,HR
53785.6159369772,0.13819099537037,-0.13819099537037,0.019229,0.002946,00035481002,PC,False,False,SOFT
53785.6159369772,0.13819099537037,-0.13819099537037,0.012462,0.002391,00035481002,PC,False,False,HARD
53785.6159369772,0.13819099537037,-0.13819099537037,0.648087,0.159132,00035481002,PC,False,False,HR
54500.8405260651,0.007516099537037,-0.007516099537037,0.628778,0.282953,00031113001,PC,False,False,HR
54500.8405260651,0.007516099537037,-0.007516099537037,0.008837,0.00313,00031113001,PC,False,False,HARD
54500.8405260651,0.007516099537037,-0.007516099537037,0.014054,0.003901,00031113001,PC,False,False,SOFT
54502.1495154748,0.10674880787037,-0.10674880787037,0.011791,0.002037,00031113002,PC,False,False,HARD
54502.1495154748,0.10674880787037,-0.10674880787037,0.744386,0.169765,00031113002,PC,False,False,HR
54502.1495154748,0.10674880787037,-0.10674880787037,0.01584,0.002358,00031113002,PC,False,False,SOFT
54504.5296112343,0.0050494328703703,-0.0050494328703703,0.015363,0.004976,00031113003,PC,False,False,SOFT
54504.5296112343,0.0050494328703703,-0.0050494328703703,0.004409,0.002706,00031113003,PC,False,False,HARD
54504.5296112343,0.0050494328703703,-0.0050494328703703,0.286968,0.199151,00031113003,PC,False,False,HR
54510.0835415266,0.0719682407407407,-0.0719682407407407,0.011507,0.002701,00031113004,PC,False,False,HARD
54510.0835415266,0.0719682407407407,-0.0719682407407407,0.621418,0.185743,00031113004,PC,False,False,HR
54510.0835415266,0.0719682407407407,-0.0719682407407407,0.018517,0.003426,00031113004,PC,False,False,SOFT
56444.7504478119,0.0716171412037037,-0.0716171412037037,0.02267,0.005148,00049820001,PC,False,False,SOFT
56444.7504478119,0.0716171412037037,-0.0716171412037037,0.39031,0.170326,00049820001,PC,False,False,HR
56444.7504478119,0.0716171412037037,-0.0716171412037037,0.008848,0.003297,00049820001,PC,False,False,HARD
56445.8201884508,0.403969224537037,-0.403969224537037,0.024109,0.003294,00049820002,PC,False,False,SOFT
56445.8201884508,0.403969224537037,-0.403969224537037,0.012582,0.002392,00049820002,PC,False,False,HARD
56445.8201884508,0.403969224537037,-0.403969224537037,0.521857,0.122165,00049820002,PC,False,False,HR
56447.0816540654,0.0056878587962963,-0.0056878587962963,0.025075,0.005988,00049820003,PC,False,False,SOFT
