MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
53742.3058204465,0.272614375,-0.272614375,3.719942,0.34713,00035474001,PC,False,False,HR
53742.3058204465,0.272614375,-0.272614375,0.026585,0.002205,00035474001,PC,False,False,SOFT
53742.3058204465,0.272614375,-0.272614375,0.098894,0.004232,00035474001,PC,False,False,HARD
55726.9308659674,0.0690322800925926,-0.0690322800925926,3.339575,0.713492,00031987001,PC,False,False,HR
55726.9308659674,0.0690322800925926,-0.0690322800925926,0.041753,0.004259,00031987001,PC,False,False,HARD
55726.9308659674,0.0690322800925926,-0.0690322800925926,0.012502,0.002347,00031987001,PC,False,False,SOFT
55727.4323360101,0.309119363425926,-0.309119363425926,0.012191,0.001343,00031987002,PC,False,False,SOFT
55727.4323360101,0.309119363425926,-0.309119363425926,2.739115,0.351556,00031987002,PC,False,False,HR
55727.4323360101,0.309119363425926,-0.309119363425926,0.033394,0.002201,00031987002,PC,False,False,HARD
56151.1063659807,0.103920509259259,-0.103920509259259,0.049744,0.005632,00031987003,PC,False,False,HARD
56151.1063659807,0.103920509259259,-0.103920509259259,4.102453,1.061081,00031987003,PC,False,False,HR
56151.1063659807,0.103920509259259,-0.103920509259259,0.012125,0.00282,00031987003,PC,False,False,SOFT
56597.7905095081,0.761425115740741,-0.761425115740741,0.034911,0.00207,00031987004,PC,False,False,HARD
56597.7905095081,0.761425115740741,-0.761425115740741,0.01168,0.001204,00031987004,PC,False,False,SOFT
56597.7905095081,0.761425115740741,-0.761425115740741,2.98897,0.355347,00031987004,PC,False,False,HR
56645.6645445544,0.276287881944444,-0.276287881944444,2.750448,0.312009,00031987005,PC,False,False,HR
56645.6645445544,0.276287881944444,-0.276287881944444,0.011223,0.001092,00031987005,PC,False,False,SOFT
56645.6645445544,0.276287881944444,-0.276287881944444,0.030869,0.001802,00031987005,PC,False,False,HARD
56693.5219203125,0.436252164351852,-0.436252164351852,2.913313,0.568603,00031987006,PC,False,False,HR
56693.5219203125,0.436252164351852,-0.436252164351852,0.010821,0.001824,00031987006,PC,False,False,SOFT
56693.5219203125,0.436252164351852,-0.436252164351852,0.031524,0.003101,00031987006,PC,False,False,HARD
56694.5544786806,0.403698888888889,-0.403698888888889,2.72011,0.461648,00031987007,PC,False,False,HR
56694.5544786806,0.403698888888889,-0.403698888888889,0.039454,0.003444,00031987007,PC,False,False,HARD
56694.5544786806,0.403698888888889,-0.403698888888889,0.014504,0.002111,00031987007,PC,False,False,SOFT
56718.8245053831,0.0017266666666666,-0.0017266666666666,0.030149,0.011717,00084233001,PC,True,False,HARD
56718.8245053831,0.0017266666666666,-0.0017266666666666,3.950284,3.525741,00084233001,PC,True,False,HR
56718.8245053831,0.0017266666666666,-0.0017266666666666,0.007632,0.006132,00084233001,PC,True,False,SOFT
56722.2978624051,0.0012768634259259,-0.0012768634259259,3.148231,1.702408,00084233002,PC,False,False,HR
56722.2978624051,0.0012768634259259,-0.0012768634259259,0.026017,0.012306,00084233002,PC,False,False,SOFT
56722.2978624051,0.0012768634259259,-0.0012768634259259,0.081909,0.021468,00084233002,PC,False,False,HARD
56741.5174309711,0.476162974537037,-0.476162974537037,3.147282,0.336507,00031987008,PC,False,False,HR
56741.5174309711,0.476162974537037,-0.476162974537037,0.012099,0.00113,00031987008,PC,False,False,SOFT
56741.5174309711,0.476162974537037,-0.476162974537037,0.038078,0.001981,00031987008,PC,False,False,HARD
56759.7689781481,0.0072549189814814,-0.0072549189814814,0.033173,0.00614,00084233003,PC,False,False,HARD
56759.7689781481,0.0072549189814814,-0.0072549189814814,2.809884,1.022075,00084233003,PC,False,False,HR
56759.7689781481,0.0072549189814814,-0.0072549189814814,0.011806,0.003697,00084233003,PC,False,False,SOFT
56789.4846694954,0.439464155092593,-0.439464155092593,3.08332,0.476376,00031987009,PC,False,False,HR
56789.4846694954,0.439464155092593,-0.439464155092593,0.009117,0.001229,00031987009,PC,False,False,SOFT
56789.4846694954,0.439464155092593,-0.439464155092593,0.028111,0.00212,00031987009,PC,False,False,HARD
56792.9167656597,0.0740209953703704,-0.0740209953703704,3.221086,0.645111,00031987010,PC,False,False,HR
56792.9167656597,0.0740209953703704,-0.0740209953703704,0.011517,0.002025,00031987010,PC,False,False,SOFT
56792.9167656597,0.0740209953703704,-0.0740209953703704,0.037099,0.003556,00031987010,PC,False,False,HARD
56844.4362009167,0.404597650462963,-0.404597650462963,3.797348,0.425273,00031987011,PC,False,False,HR
56844.4362009167,0.404597650462963,-0.404597650462963,0.061827,0.003121,00031987011,PC,False,False,HARD
56844.4362009167,0.404597650462963,-0.404597650462963,0.016282,0.001628,00031987011,PC,False,False,SOFT
