MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
56695.0761860482,0.0042078472222222,-0.0042078472222222,0.022137,0.0,0.0,00082125001,PC,True,True,FULL
56943.3966612762,0.105955532407407,-0.105955532407407,0.02686983,0.003853371,-0.003853371,00033469001,PC,False,False,FULL
56951.3483368294,0.270233715277778,-0.270233715277778,0.04421674,0.007529474,-0.007529474,00033469002,PC,False,False,FULL
56956.4845249498,0.0097506134259259,-0.0097506134259259,0.0228192,0.004643356,-0.004643356,00033469003,PC,False,False,FULL
56964.0839772762,0.0082125694444444,-0.0082125694444444,0.01596517,0.003900675,-0.003900675,00033469004,PC,False,False,FULL
56970.6021492785,0.0060215856481481,-0.0060215856481481,0.03104002,0.006364521,-0.006364521,00033469005,PC,False,False,FULL
56977.4757110945,0.0095329629629629,-0.0095329629629629,0.02107315,0.004221929,-0.004221929,00033469006,PC,False,False,FULL
56984.5895397276,0.0061231481481481,-0.0061231481481481,0.0146627,0.00487782,-0.004018449,00033469007,PC,False,False,FULL
56991.3179233954,0.0096925694444444,-0.0096925694444444,0.01497916,0.003492445,-0.003492445,00033469008,PC,False,False,FULL
56998.3104164602,0.0095474768518518,-0.0095474768518518,0.01457535,0.003480119,-0.003480119,00033469009,PC,False,False,FULL
57005.4344510169,0.0098086458333333,-0.0098086458333333,0.02119971,0.004140731,-0.004140731,00033469010,PC,False,False,FULL
57012.5912603074,0.0391374189814815,-0.0391374189814815,0.01117083,0.002877439,-0.002877439,00033469011,PC,True,False,FULL
57019.4176636142,0.0099392361111111,-0.0099392361111111,0.01774767,0.004206383,-0.004206383,00033469012,PC,False,False,FULL
57026.8106781118,0.0086043287037037,-0.0086043287037037,0.008269316,0.003250956,-0.00262814,00033469013,PC,False,False,FULL
57033.56410151,0.0346899537037037,-0.0346899537037037,0.009147986,0.003381172,-0.002733409,00033469014,PC,True,False,FULL
57040.1589868514,0.102652268518519,-0.102652268518519,0.0174952,0.003569303,-0.003569303,00033469015,PC,True,False,FULL
57048.3118857658,0.0039031481481481,-0.0039031481481481,0.03002371,0.007910137,-0.007910137,00033469016,PC,False,False,FULL
57054.1015461836,0.0093878703703703,-0.0093878703703703,0.008044567,0.003406287,-0.002684706,00033469017,PC,False,False,FULL
57061.3590537774,0.0081255092592592,-0.0081255092592592,0.01602731,0.003965684,-0.003965684,00033469018,PC,False,False,FULL
57147.9108856963,0.0394987615740741,-0.0394987615740741,0.01101389,0.003483004,-0.002890972,00033469019,PC,True,False,FULL
57148.9375530459,0.0018137268518518,-0.0018137268518518,0.01632536,0.01042552,-0.007417073,00082125002,PC,True,False,FULL
57150.203566444,0.0032066782407407,-0.0032066782407407,0.02019541,0.007855966,-0.006273152,00082125003,PC,True,False,FULL
57154.8569651385,0.009518449074074,-0.009518449074074,0.01675836,0.003720096,-0.003720096,00033469020,PC,False,False,FULL
57155.7180016778,0.002640787037037,-0.002640787037037,0.02490596,0.00958729,-0.007660752,00082125004,PC,True,False,FULL
57161.808184488,0.0360948842592593,-0.0360948842592593,0.01239664,0.00323474,-0.00323474,00033469021,PC,True,False,FULL
57165.6353968503,0.0026262847222222,-0.0026262847222222,0.01695219,0.008428595,-0.006397894,00082125005,PC,True,False,FULL
57175.6073902912,0.0056298148148148,-0.0056298148148148,0.01189125,0.004678139,-0.003738081,00082125006,PC,True,False,FULL
57192.0484842542,0.0055137384259259,-0.0055137384259259,0.01468532,0.005111548,-0.004172862,00033469022,PC,False,False,FULL
57222.8686887033,0.0380765277777778,-0.0380765277777778,0.003868821,0.001921219,-0.00145715,00033469023,PC,True,False,FULL
