MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
53735.6179806218,0.372965613425926,-0.372965613425926,0.029523,0.002603,00035478001,PC,False,False,SOFT
53735.6179806218,0.372965613425926,-0.372965613425926,0.004886,0.001087,00035478001,PC,False,False,HARD
53735.6179806218,0.372965613425926,-0.372965613425926,0.165486,0.039603,00035478001,PC,False,False,HR
53800.7745635837,0.0392835069444444,-0.0392835069444444,0.000284,0.000672,00030373001,PC,False,False,HARD
53800.7745635837,0.0392835069444444,-0.0392835069444444,0.01796,0.003507,00030373001,PC,False,False,SOFT
53800.7745635837,0.0392835069444444,-0.0392835069444444,0.015803,0.037561,00030373001,PC,False,False,HR
53801.5288300651,0.33850818287037,-0.33850818287037,0.003926,0.001182,00030373002,PC,False,False,HARD
53801.5288300651,0.33850818287037,-0.33850818287037,0.014986,0.002206,00030373002,PC,False,False,SOFT
53801.5288300651,0.33850818287037,-0.33850818287037,0.261961,0.087776,00030373002,PC,False,False,HR
53802.5343954818,0.205849733796296,-0.205849733796296,0.001664,0.000877,00030373003,PC,False,False,HARD
53802.5343954818,0.205849733796296,-0.205849733796296,0.020707,0.002866,00030373003,PC,False,False,SOFT
53802.5343954818,0.205849733796296,-0.205849733796296,0.080371,0.043782,00030373003,PC,False,False,HR
53803.2378466977,0.0385047453703704,-0.0385047453703704,0.210732,0.138929,00030373004,PC,False,False,HR
53803.2378466977,0.0385047453703704,-0.0385047453703704,0.002572,0.001559,00030373004,PC,False,False,HARD
53803.2378466977,0.0385047453703704,-0.0385047453703704,0.012204,0.003164,00030373004,PC,False,False,SOFT
53804.0834906213,0.0060506018518518,-0.0060506018518518,0.151118,0.127943,00030373005,PC,False,False,HR
53804.0834906213,0.0060506018518518,-0.0060506018518518,0.014731,0.004341,00030373005,PC,False,False,SOFT
53804.0834906213,0.0060506018518518,-0.0060506018518518,0.002226,0.001767,00030373005,PC,False,False,HARD
53804.7481798347,0.0051364814814814,-0.0051364814814814,-0.029388,-0.011468,00030373006,PC,True,False,HR
53804.7481798347,0.0051364814814814,-0.0051364814814814,0.014398,0.004916,00030373006,PC,True,False,SOFT
53804.7481798347,0.0051364814814814,-0.0051364814814814,-0.000423,8e-05,00030373006,PC,True,False,HARD
53811.6587083429,0.001581574074074,-0.001581574074074,-0.001133,0.000507,00030373007,PC,True,False,HARD
53811.6587083429,0.001581574074074,-0.001581574074074,-0.206602,-0.258405,00030373007,PC,True,False,HR
53811.6587083429,0.001581574074074,-0.001581574074074,0.005486,0.006408,00030373007,PC,True,False,SOFT
54562.5512199606,0.0335941782407407,-0.0335941782407407,-0.021931,-0.02011,00090053001,PC,True,False,HR
54562.5512199606,0.0335941782407407,-0.0335941782407407,0.046148,0.026943,00090053001,PC,True,False,SOFT
