MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
56392.2760377857,0.134248796296296,-0.134248796296296,0.08037684,0.004654301,-0.004654301,00032619001,PC,False,False,FULL
56399.5807992903,0.107263680555556,-0.107263680555556,0.07680032,0.004445313,-0.004445313,00032619002,PC,False,False,FULL
56406.7398691433,0.173871539351852,-0.173871539351852,0.05464017,0.00443469,-0.00443469,00032619003,PC,False,False,FULL
56413.1400373042,0.106345138888889,-0.106345138888889,0.05394531,0.004004,-0.004004,00032619004,PC,False,False,FULL
56420.6179766028,0.378429907407407,-0.378429907407407,0.06585422,0.004114345,-0.004114345,00032619005,PC,False,False,FULL
56427.8597742093,0.0761934143518519,-0.0761934143518519,0.06069328,0.004780463,-0.004780463,00032619006,PC,False,False,FULL
56434.8044205183,0.146823634259259,-0.146823634259259,0.04333295,0.003276085,-0.003276085,00032619007,PC,False,False,FULL
56441.8166855311,0.0026117708333333,-0.0026117708333333,0.1643636,0.02106163,-0.02106163,00032619008,PC,False,False,FULL
56445.5548210831,0.0735057523148148,-0.0735057523148148,0.1232423,0.006512588,-0.006512588,00032619009,PC,False,False,FULL
56448.1197935519,0.107176400462963,-0.107176400462963,0.1366594,0.00618445,-0.00618445,00032619010,PC,False,False,FULL
56455.8731126966,0.103145983796296,-0.103145983796296,0.06273767,0.004926702,-0.004926702,00032619011,PC,False,False,FULL
56462.8763254165,0.106870844907407,-0.106870844907407,0.06276903,0.004470677,-0.004470677,00032619012,PC,False,False,FULL
56470.9207727209,0.0756215393518519,-0.0756215393518519,0.0438204,0.003435345,-0.003435345,00032619013,PC,False,False,FULL
56476.465962082,0.463763078703704,-0.463763078703704,0.05113668,0.003698911,-0.003698911,00032619014,PC,False,False,FULL
56483.5025914674,0.109075104166667,-0.109075104166667,0.08146437,0.004523994,-0.004523994,00032619015,PC,False,False,FULL
56490.6776319859,0.209019259259259,-0.209019259259259,0.08606589,0.005033673,-0.005033673,00032619016,PC,False,False,FULL
56497.6620750392,0.171805092592593,-0.171805092592593,0.04475105,0.003560371,-0.003560371,00032619017,PC,False,False,FULL
56504.5315519466,0.243300613425926,-0.243300613425926,0.06166107,0.004015338,-0.004015338,00032619018,PC,False,False,FULL
56511.4768717232,0.44312056712963,-0.44312056712963,0.0747213,0.005407372,-0.005407372,00032619019,PC,False,False,FULL
56518.7244230392,0.0761305439814815,-0.0761305439814815,0.05672487,0.004019075,-0.004019075,00032619020,PC,False,False,FULL
56553.4270382232,0.2075484375,-0.2075484375,0.05375844,0.004789766,-0.004789766,00082120001,PC,False,False,FULL
56556.5010737,0.0043384375,-0.0043384375,0.07604862,0.01308946,-0.01308946,00082120002,PC,False,False,FULL
56609.6770569304,0.0012623611111111,-0.0012623611111111,0.1860078,0.03430746,-0.03430746,00082120003,PC,False,False,FULL
56617.3200670588,0.169350983796296,-0.169350983796296,0.07385003,0.006407074,-0.006407074,00082120004,PC,False,False,FULL
56688.5483218563,0.0063843287037037,-0.0063843287037037,0.05418271,0.008549476,-0.008549476,00082120005,PC,False,False,FULL
56937.2921058875,0.0690833101851852,-0.0690833101851852,0.06005218,0.005340975,-0.005340975,00033468001,PC,False,False,FULL
56938.3722850982,0.0053251157407407,-0.0053251157407407,0.0095325,0.0,0.0,00033468004,PC,False,True,FULL
56938.3986399732,0.174808946759259,-0.174808946759259,0.06228512,0.005397128,-0.005397128,00033468003,PC,False,False,FULL
56941.2041009917,0.77629587962963,-0.77629587962963,0.05708329,0.004663229,-0.004663229,00033468005,PC,False,False,FULL
56942.6886861352,0.002640787037037,-0.002640787037037,0.04820852,0.01220177,-0.01220177,00033468006,PC,False,False,FULL
56944.3643541676,0.346577268518519,-0.346577268518519,0.04510311,0.00760691,-0.00760691,00033468009,PC,True,False,FULL
57137.7557733112,0.0766861574074074,-0.0766861574074074,0.06687814,0.006155046,-0.006155046,00082120006,PC,False,False,FULL
57139.3866762857,0.501337071759259,-0.501337071759259,0.08435297,0.005711868,-0.005711868,00082120007,PC,False,False,FULL
57653.0698062475,0.0023070601851851,-0.0023070601851851,0.05484404,0.01357332,-0.01357332,00092305001,PC,False,False,FULL
57653.5374065253,0.0054266782407407,-0.0054266782407407,0.08515666,0.01263263,-0.01263263,00092305003,PC,False,False,FULL
57653.7418873355,0.0030325578703703,-0.0030325578703703,0.06791099,0.01280658,-0.01280658,00092305004,PC,False,False,FULL
57653.9225597313,0.0049913888888888,-0.0049913888888888,0.0617548,0.009549619,-0.009549619,00092305005,PC,False,False,FULL
57654.0076344998,0.0032502083333333,-0.0032502083333333,0.07033883,0.01264235,-0.01264235,00092305006,PC,False,False,FULL
57654.3263867799,0.0053396180555555,-0.0053396180555555,0.04713983,0.008303406,-0.008303406,00092305007,PC,False,False,FULL
57654.5210992602,0.0057604050925925,-0.0057604050925925,0.05658431,0.00847528,-0.00847528,00092305008,PC,False,False,FULL
57654.654832119,0.0053541319444444,-0.0053541319444444,0.06846581,0.009689295,-0.009689295,00092305009,PC,False,False,FULL
57654.9285920264,0.0059055092592592,-0.0059055092592592,0.07548126,0.009817662,-0.009817662,00092305010,PC,False,False,FULL
57655.1175703482,0.004440011574074,-0.004440011574074,0.06518442,0.01109822,-0.01109822,00092305011,PC,False,False,FULL
57655.3212572811,0.0063117824074074,-0.0063117824074074,0.0591299,0.0085892,-0.0085892,00092305012,PC,False,False,FULL
57655.5177874778,0.0056153125,-0.0056153125,0.05662727,0.00867029,-0.00867029,00092305013,PC,False,False,FULL
57655.7170912047,0.0056153125,-0.0056153125,0.06585067,0.01027763,-0.01027763,00092305014,PC,False,False,FULL
57655.8495077556,0.0051364814814814,-0.0051364814814814,0.0637249,0.009745104,-0.009745104,00092305015,PC,False,False,FULL
57656.0492521885,0.0053856828703703,-0.0053856828703703,0.07450641,0.01105447,-0.01105447,00092305016,PC,False,False,FULL
57656.2489766908,0.0056588425925925,-0.0056588425925925,0.06117817,0.009427229,-0.009427229,00092305017,PC,False,False,FULL
57656.4483088922,0.0056443287037037,-0.0056443287037037,0.07168622,0.00961253,-0.00961253,00092305018,PC,False,False,FULL
57656.6472199338,0.0060360879629629,-0.0060360879629629,0.05171002,0.008029399,-0.008029399,00092305019,PC,False,False,FULL
57656.9308617162,0.0036274537037037,-0.0036274537037037,0.06760787,0.01198611,-0.01198611,00092305020,PC,False,False,FULL
