OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00030802001,53979.8037949831,,,,,,,,,0.05858873948454857,0.013948732987046242,,,,,,,0.0035591,0.0,,,True,True
00030804001,53989.7448779876,,,,,,,,,0.027678612619638443,0.015153107233345509,,,,,,,0.009974,0.0,,,True,True
00035336001,54253.3017381514,,,,,2.4053103923797607,0.0568065345287323,,,,,,,,,,,0.029114,0.0,,,False,True
00030968001,54293.9302499573,,,,,,,,,,,0.14054641127586365,0.01577138900756836,,,,,0.0061775,0.0,,,True,True
00030968002,54294.1335253161,,,,,1.855940580368042,0.06691643595695496,,,,,,,,,,,0.0078276,0.0,,,True,True
00030968004,54299.9193940183,,,,,,,,,,,0.15713593363761902,0.017815500497817993,,,,,0.0084782,0.0,,,True,True
00030972001,54305.1872896531,,,,,,,,,,,0.1745065152645111,0.03224590793251991,,,,,0.017538,0.0,,,True,True
00030972002,54306.5586679517,,,,,,,,,,,0.16056281328201294,0.02427591197192669,,,,,0.013504,0.0,,,True,True
00030972003,54307.4930392088,,,,,,,,,,,0.18108800053596497,0.022908903658390045,,,,,0.0080052,0.0,,,True,True
00030972004,54308.4978890236,,,,,,,,,,,0.23363269865512848,0.02442874386906624,,,,,0.0072105,0.0,,,True,True
00030972005,54309.5013741347,,,,,,,,,,,0.24061284959316254,0.026282066479325294,,,,,0.014028,0.0,,,True,True
00030975001,54310.8616001301,,,,,,,,,,,0.20948359370231628,0.025240644812583923,,,,,0.0093425,0.0,,,True,True
00030975002,54313.683028651,,,,,,,,,,,0.1189427450299263,0.025123270228505135,,,,,0.012356,0.0,,,True,True
00030975003,54316.9629493618,,,,,,,,,,,0.16656336188316345,0.025078054517507553,,,,,0.014081,0.0,,,True,True
00030975004,54319.6412119359,,,,,,,,,,,0.11659616976976395,0.02361477166414261,,,,,0.0081485,0.0,,,True,True
00030975005,54322.5549832716,,,,,,,,,,,0.07185819745063782,0.03403567150235176,,,,,0.025071,0.0,,,True,True
00031027001,54428.3809891486,0.0,0.0016977345803752542,0.0,0.001697869156487286,,,,,,,,,,,,,0.0042602,0.0,,,True,True
00031028001,54428.7853206532,3.990645170211792,0.6332949995994568,3.838120937347412,0.7034598588943481,,,,,,,,,,,,,0.0046202,0.0,,,True,True
00031028002,54428.8203880028,,,,,2.07728910446167,0.057252492755651474,,,,,,,,,,,0.0017779,0.0,,,True,True
00031028003,54431.1513153456,,,,,,,,,,,,,,,,,0.010818,0.0,,,True,True
