OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035458001,53937.5064563725,1.49563467502594,0.14858560264110565,2.7495434284210205,0.20130658149719238,,,,,,,,,,,,,0.002094756,0.0013043834,,,True,False
00035458002,53940.2865716584,1.7007046937942505,0.06723012775182724,2.631903648376465,0.08366908878087997,,,,,,,,,,,,,0.38009,0.0,,,True,True
00090101001,54964.3430957516,,,,,1.1786195039749146,0.02260165847837925,,,,,,,,,,,0.004982774,0.00216408,,,True,False
00090101002,54995.1097381156,,,,,,,0.35401350259780884,0.012635597959160805,,,,,,,,,0.001945929,0.0017795515,,,True,False
00090101003,54998.1243737251,,,,,,,,,0.1520681381225586,0.014450179412961006,,,,,,,0.010842,0.0,,,True,True
00090101004,54999.5284981374,,,,,1.2300629615783691,0.0692364051938057,,,,,,,,,,,0.002097301,0.0016616295000000001,,,True,False
00090101005,55003.7191332632,,,,,,,0.18812915682792664,0.17815393209457397,,,,,,,,,0.19924,0.0,,,True,True
00090101006,55005.4800583029,,,,,,,,,,,0.2428024709224701,0.007294256705790758,,,,,0.003529659,0.0017156316,,,True,False
00090101007,55113.8139932374,,,,,,,,,0.14034076035022736,0.008337252773344517,,,,,,,0.02644072,0.004106826,,,True,False
00090101008,55116.12127161,,,,,1.1751368045806885,0.02732694149017334,,,,,,,,,,,0.01904223,0.002698636,,,True,False
00090101009,55117.4591163669,,,,,,,,,,,0.2515137493610382,0.018416540697216988,,,,,0.01498382,0.005992094,,,True,False
00035458003,56134.453852748,1.3491414785385132,0.28382715582847595,3.3294076919555664,0.3747628927230835,,,,,,,,,,,,,0.0032294,0.0,,,True,True
00032614001,56228.8232472851,,,2.612781047821045,0.17269152402877808,,,,,,,,,,,,,0.002284028,0.0020077056,,,True,False
00032614002,56231.4954730833,,,2.7472076416015625,0.12468806654214859,,,,,,,,,,,,,0.004415613,0.002178912,,,True,False
00032614003,56233.4299096532,,,2.8751909732818604,0.18295368552207947,,,,,,,,,,,,,0.01269147,0.005427002,,,True,False
00032614005,56234.3373469333,,,,,,,,,0.11193199455738068,0.0261301901191473,,,,,,,0.007853717,0.002866426,,,True,False
00032614004,56234.370680224,,,,,,,,,,,0.2252286672592163,0.02610158734023571,,,,,0.0015886,0.0,,,True,True
00032614007,56235.3570653434,,,2.9660513401031494,0.19631636142730713,,,,,,,,,,,,,0.44776,0.0,,,True,True
00032614008,56235.6576212925,,,,,,,0.2901671230792999,0.024063635617494583,,,,,,,,,0.10633,0.0,,,True,True
00032614006,56235.6748791707,,,,,,,,,,,0.2508924603462219,0.019521769136190414,,,,,0.00090765,0.0,,,True,True
00032614009,56237.298559124,1.4006054401397705,0.12775848805904388,2.8156938552856445,0.17869006097316742,,,,,,,,,,,,,0.0058925,0.0,,,True,True
00032614011,56238.664679984,,,,,,,,,0.13456949591636658,0.015756074339151382,,,,,,,0.2555268,0.19004902932221202,,,True,False
00032614010,56238.7078750267,,,,,,,,,,,0.23546911776065826,0.017478059977293015,,,,,0.00096328,0.0,,,True,True
00032614012,56239.1080607711,1.5716180801391602,0.3504728376865387,2.885009288787842,0.48430463671684265,,,,,,,,,,,,,0.007233136,0.004073118,,,True,False
00032614014,56239.1733289308,,,,,,,,,,,0.2391914427280426,0.03718347102403641,,,,,0.00513999,0.003204138,,,True,False
00032614013,56239.2075078812,1.2694523334503174,0.4993268847465515,2.641775369644165,0.7004632949829102,,,,,,,,,,,,,0.0061836,0.0,,,True,True
00032614016,56241.0077719856,1.6148830652236938,0.5251717567443848,2.4737391471862793,0.6972398161888123,,,,,,,,,,,,,0.014281,0.0,,,True,True
00032614017,56241.1411765458,1.6520293951034546,0.28396034240722656,2.5653886795043945,0.35823047161102295,,,,,,,,,,,,,0.01112239,0.009843209,,,True,False
00032614018,56241.648735481,,,,,,,,,,,0.2622314989566803,0.024449113756418228,,,,,0.004082972,0.0013438904,,,True,False
00032614019,56241.6818017426,,,,,,,,,,,0.22151434421539307,0.016157548874616623,,,,,0.00069835,0.0,,,True,True
00032614020,56242.6203700065,,,,,,,,,0.1457607001066208,0.027643701061606407,,,,,,,0.004294143,0.002363606,,,True,False
00032614021,56242.6537044972,,,,,,,,,,,0.2788964509963989,0.03182282671332359,,,,,0.0033745,0.0,,,True,True
00032614022,56243.6818258124,1.3552263975143433,0.20690090954303741,2.957818031311035,0.294016569852829,,,,,,,,,,,,,0.004315247,0.005027532,,,True,False
