OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035883001,54002.2723743123,3.282137870788574,0.22979360818862915,5.510251522064209,0.15308904647827148,,,,,,,,,0.001735,0.001055,0.000512,0.000614,0.002247369,0.002510904,-4.566541,-18.792003,True,False
00035883002,54039.1085851459,2.903717279434204,0.17126193642616272,5.346412658691406,0.24770507216453552,,,,,,,,,-9.6e-05,1.4e-05,0.002671,0.001379,0.002588499,0.002838866,-27.774823,-14.943206,True,False
00032287001,55984.2508302276,,,,,2.4400792121887207,0.040979184210300446,,,,,,,0.000698,0.00055,0.000317,0.000389,0.0044321,0.0,0.454429,0.661706,True,True
00032287002,55998.5058770963,,,,,,,,,0.29091477394104004,0.01060490496456623,,,0.001243,0.000992,0.000573,0.000667,0.0078786,0.0,0.460908,0.651077,True,True
00032287003,56012.168798998,,,,,2.7050633430480957,0.038641102612018585,,,,,,,0.000814,0.00068,0.001362,0.000879,0.002175037,0.0022728864999999997,1.673778,1.766833,True,False
00032287004,56026.4048800658,,,,,,,,,0.3262195587158203,0.010184122249484062,,,0.001234,0.000765,0.000339,0.000402,0.00157043,0.0017767702,0.27452,0.367677,True,False
00032287005,56040.5063148999,,,,,2.5080387592315674,0.03652485832571983,,,,,,,0.000239,0.000377,0.001049,0.000666,0.004902,0.0,4.391596,7.472107,True,True
00032287006,56054.4210613643,,,,,,,,,0.2963372468948364,0.009551838971674442,,,0.001298,0.000725,0.000599,0.000501,0.001896879,0.0017954910999999998,0.461613,0.463772,True,False
00032287007,56068.5848687755,,,,,2.6188457012176514,0.03528973460197449,,,,,,,-7.4e-05,7e-06,0.000307,0.000372,0.0029154,0.0,-4.143487,-5.040942,True,True
00032287008,56082.5473302583,,,,,,,,,0.304672509431839,0.011379048228263855,,,0.002566,0.001144,0.000767,0.000682,0.003334801,0.002702112,0.298773,0.297368,True,False
00032287009,56096.4887565485,,,,,2.653214693069458,0.04564819857478142,,,,,,,0.000927,0.000733,-0.000104,1.3e-05,0.0050051,0.0,-0.111747,-0.089442,True,True
00032287010,56099.4603823845,,,,,,,0.7582488656044006,0.02548186294734478,,,,,0.001819,0.001404,0.001779,0.001377,0.003597551,0.004046875,0.977931,1.069385,True,False
00032287011,56110.573636117,,,,,,,,,0.3037833869457245,0.009680058807134628,,,0.001422,0.000798,0.001401,0.000773,0.002825084,0.0022547242,0.98562,0.775838,True,False
00035883003,56132.4664293674,,,,,2.5183303356170654,0.040035102516412735,,,,,,,0.001808,0.001082,-0.000115,1.5e-05,0.001733311,0.0022481807,-0.063379,-0.038879,True,False
00032287012,56138.5731619183,,,,,,,,,0.3112529218196869,0.013559825718402863,,,0.000722,0.000849,0.000607,0.000677,0.0074613,0.0,0.841087,1.362017,True,True
00032287013,56141.3042568348,,,,,,,,,,,0.5190079808235168,0.03176850453019142,0.001023,0.000813,0.000503,0.000622,0.0067156,0.0,0.491954,0.722748,True,True
00032287014,56141.3723075293,,,,,,,,,,,0.46708112955093384,0.01636466197669506,0.0,0.0,0.0,0.0,0.0086006,0.0,,,True,True
00032287015,56159.6014920478,,,,,,,0.7437871098518372,0.021768366917967796,,,,,0.000749,0.000815,-7.6e-05,1.1e-05,0.0064934,0.0,-0.101242,-0.110988,True,True
00084548001,56824.2104776593,,,,,,,0.7176315784454346,0.041016340255737305,,,,,0.002541,0.001898,-0.000112,2.3e-05,0.013241,0.0,-0.04413,-0.034169,True,True
00084548002,56862.6610639614,,,,,,,0.7294304966926575,0.09153072535991669,,,,,0.005926,0.006168,-0.000139,6.9e-05,0.049752,0.0,-0.023418,-0.027041,True,True
00084548003,56864.3233968295,,,,,,,0.7612432837486267,0.05143792927265167,,,,,0.003919,0.002876,-0.000114,2.8e-05,0.020135,0.0,-0.029189,-0.022558,True,True
00095334002,58764.3292567126,,,,,2.36448073387146,0.029904354363679886,,,,,,,0.00031,0.000401,0.002034,0.000946,0.002340021,0.0020942763,6.569874,9.036765,True,False
00095334003,58771.6952304348,,,,,,,0.6428430080413818,0.01448935829102993,,,,,0.001446,0.000787,0.002119,0.000923,0.003564953,0.002453037,1.465467,1.021441,True,False
00095334004,58778.369594054,,,,,,,,,0.2684429883956909,0.009400110691785812,,,0.000961,0.000651,0.001197,0.000799,0.002157693,0.0020886839,1.245259,1.183605,True,False
00095334005,58785.9142056107,,,,,,,,,,,0.4742589592933655,0.012747719883918762,0.001553,0.001021,0.001442,0.00092,0.002997311,0.0027978639999999997,0.928569,0.850766,True,False
00095334006,58792.3602389857,,,,,2.394441604614258,0.03097807802259922,,,,,,,0.002445,0.001052,0.001179,0.000734,0.003624851,0.002599135,0.482108,0.364768,True,False
00095334008,58936.3942780228,,,,,2.422013521194458,0.045311104506254196,,,,,,,0.000394,0.000492,0.000452,0.000538,0.0049847,0.0,1.145568,1.97577,True,True
00095334009,58943.5059382392,,,,,,,0.6234414577484131,0.016368113458156586,,,,,0.002011,0.00096,-0.000126,1.4e-05,0.001900581,0.0019641053,-0.062598,-0.030647,True,False
00095334010,58950.2366830922,,,,,,,,,0.2530442178249359,0.010634961538016796,,,-0.000207,2.3e-05,-0.000181,2.1e-05,0.0052489,0.0,0.872913,0.141654,True,True
00095334011,58957.0773585054,,,,,,,,,,,0.4437067210674286,0.011592292226850986,0.000584,0.000518,0.001619,0.000783,0.002205942,0.001908033,2.770153,2.798004,True,False
00095334012,58964.7054271408,,,,,2.319218873977661,0.03481657803058624,,,,,,,0.001503,0.000937,0.001725,0.001061,0.003226633,0.0028800370000000002,1.148215,1.005577,True,False
00095334013,58971.2466913573,,,,,,,0.7004125118255615,0.020573582500219345,,,,,0.000951,0.00064,0.00062,0.000533,0.001571779,0.0017040017,0.652127,0.711754,True,False
00095334014,58978.5224628052,,,,,,,,,0.28488898277282715,0.013254559598863125,,,-0.000104,1.5e-05,-0.000143,1.9e-05,0.0058283,0.0,1.372807,0.27003,True,True
00035883004,59474.5678179927,,,,,,,,,0.28032541275024414,0.009128405712544918,,,0.000918,0.000614,0.001969,0.000862,0.002887684,0.0021438972,2.14456,1.714513,True,False
