OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00045596001,55763.5299396939,,,,,,,,,0.34399473667144775,0.023928169161081314,,,0.036214,0.004202,0.056648,0.005211,0.09286124,0.013388396,1.564264,0.231628,False,False
00045596002,55768.6164767764,,,,,,,,,0.36457619071006775,0.04528113082051277,,,0.008537,0.003882,0.029784,0.006879,0.03832294,0.015798152,3.488904,1.779428,False,False
00045596003,55769.3131972857,,,,,,,,,0.3585023581981659,0.016479717567563057,,,0.023425,0.002352,0.029425,0.002656,0.05233572,0.007056972,1.256144,0.169591,False,False
00045596004,55773.5367028669,,,,,,,,,,,0.6712514162063599,0.06602689623832703,0.049317,0.015751,0.049873,0.015929,0.09918996,0.04480224,1.01127,0.456772,True,False
00045596005,55775.0748781481,,,,,,,,,,,0.6060466170310974,0.06673434376716614,0.036492,0.016418,0.007729,0.007909,0.04423159,0.03713729,0.211791,0.236739,True,False
00045596006,55779.6538050644,,,,,,,,,0.5218824148178101,0.08963616192340851,,,0.025906,0.010688,0.051362,0.015103,0.07726815,0.03700416,1.982649,1.004457,False,False
00045596007,55811.1561183302,,,,,,,,,0.35944145917892456,0.03500347211956978,,,0.04426,0.006533,0.055594,0.007311,0.09985426,0.019608946,1.256077,0.248312,False,False
00045596008,55817.2701679448,,,,,,,,,0.327150821685791,0.01923772133886814,,,0.030917,0.003325,0.075663,0.005179,0.1062351,0.012289498,2.44734,0.311987,False,False
00045596009,56162.9873335246,,,,,,,,,0.3554099202156067,0.047689039260149,,,0.017563,0.007338,0.036201,0.010482,0.05376251,0.02559136,2.061179,1.047792,False,False
00045596010,56164.1460947051,,,,,,,,,0.3409040570259094,0.017279038205742836,,,0.030872,0.002747,0.058586,0.003764,0.089232,0.009308532,1.897688,0.208273,False,False
00045596011,56166.8583454358,,,,,,,,,0.27969565987586975,0.03800784423947334,,,0.034666,0.006858,0.057041,0.008797,0.09170674,0.0223077,1.645464,0.41273,False,False
00045596012,56167.4870827043,,,,,,,,,0.34420713782310486,0.01885548233985901,,,0.025831,0.002751,0.041194,0.003478,0.06610728,0.00880558,1.594742,0.216741,False,False
00045596013,56168.4940969491,,,,,,,,,0.3483966588973999,0.015600244514644146,,,0.028684,0.00245,0.032585,0.002611,0.06126955,0.007160858,1.136006,0.133043,False,False
00045596014,56907.3233940607,,,,,,,0.48644471168518066,0.020536236464977264,,,,,0.010339,0.002844,0.020941,0.00402,0.03128668,0.00984891,2.025447,0.679462,False,False
00045596015,58076.2872408396,,,,,1.2149416208267212,0.036670539528131485,,,,,,,0.009135,0.002426,0.02361,0.003867,0.03275045,0.009128924,2.584524,0.806328,False,False
00045596016,58076.695711835,,,,,1.2456276416778564,0.03845992684364319,,,,,,,0.010768,0.002761,0.010737,0.002752,0.02150508,0.00779657,0.997042,0.361473,False,False
00045596017,58078.3596395283,,,,,,,,,0.34084174036979675,0.016854727640748024,,,0.016994,0.003865,0.011568,0.00316,0.02856759,0.00998495,0.680705,0.241975,False,False
00045596018,58082.8771706197,,,,,,,,,0.3276936113834381,0.016332339495420456,,,0.011963,0.003044,0.013449,0.003228,0.02541158,0.00887333,1.12419,0.393216,False,False
