OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00040772001,55588.5034693087,,,,,,,,,0.9789993166923523,0.02909146621823311,,,-0.000137,1.4e-05,0.000585,0.000679,0.0053624,0.0,-4.273482,-4.978335,True,True
00040772003,55593.0166645354,,,,,,,,,,,,,0.000971,0.001067,-0.000104,1.7e-05,0.0084896,0.0,-0.107332,-0.11917,True,True
00084377001,56733.4936862949,,,,,,,,,0.8335456848144531,0.0327669121325016,,,0.005352,0.001624,0.013209,0.002487,0.01856317,0.005940028,2.467803,0.881097,False,False
00084377002,56738.7345084419,,,,,,,,,0.8511301875114441,0.06043475121259689,,,0.019664,0.005526,0.009018,0.003767,0.02868253,0.013375868,0.458586,0.230875,False,False
00084377003,56739.4572835114,,,,,,,,,0.8104087710380554,0.06301416456699371,,,0.006722,0.003443,0.005029,0.003016,0.01175217,0.009306248,0.748199,0.590085,True,False
00084377004,56745.4543114315,,,,,,,,,0.6715904474258423,0.05750143527984619,,,0.002933,0.002332,0.021193,0.005919,0.02412715,0.012724492,7.22612,6.090139,True,False
00084377005,56748.51186181,,,,,,,,,0.8348923325538635,0.04915487393736839,,,0.01091,0.003567,0.009238,0.003361,0.02014824,0.00979758,0.846769,0.414137,True,False
00084377006,56753.9149655762,,,,,,,,,0.7558300495147705,0.040440332144498825,,,0.008801,0.004117,0.007127,0.003701,0.01592795,0.011215803,0.809826,0.566002,False,False
00084377007,57875.5074725345,,,,,,,1.123037576675415,0.026408161967992783,,,,,0.004581,0.001781,0.001877,0.00116,0.006457469,0.004300053,0.409627,0.299031,True,False
00084377008,57958.4689925067,,,,,,,,,0.8487346172332764,0.023860709741711617,,,0.000755,0.000813,-8.5e-05,1.3e-05,0.0064801,0.0,-0.112565,-0.122288,True,True
00084377009,57981.7247352776,,,1.929590106010437,0.2181273251771927,,,,,,,,,0.011538,0.003067,0.010843,0.002971,0.02238042,0.008540124,0.939769,0.358766,False,False
00084377010,57988.0335590056,,,,,2.066822052001953,0.05708688125014305,,,,,,,-0.000114,2.4e-05,0.003475,0.002083,0.003380378,0.004326787,-30.388477,-19.333423,True,False
00084377011,58219.1425956422,,,,,,,1.0589659214019775,0.027347449213266373,,,,,0.015988,0.003378,0.020814,0.003844,0.03680183,0.010235514,1.301906,0.365378,False,False
