OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00031403001,54947.6368528669,,,0.420176237821579,0.0798749104142189,,,,,,,,,,,,,0.02983378,0.008739672,,,False,False
00031403002,56111.8771180413,,,,,,,0.00977580901235342,0.008779019117355347,,,,,,,,,0.02786575,0.007409144,,,False,False
00031403003,56113.9491020322,,,,,,,0.015451693907380104,0.007017020136117935,,,,,,,,,0.01623784,0.005369348,,,False,False
00031403004,56117.8204248633,,,,,,,0.029655346646904945,0.007395526859909296,,,,,,,,,0.0159427,0.005701348,,,False,False
00031403005,56121.8364476597,,,,,,,0.0009917608695104718,0.007420215290039778,,,,,,,,,0.01962823,0.004800232,,,False,False
00031403006,56123.5792342083,,,,,,,0.007484047207981348,0.009015784598886967,,,,,,,,,0.009064375,0.003621372,,,True,False
00031403007,56125.5457764399,,,,,,,0.013504468835890293,0.009030050598084927,,,,,,,,,0.005424972,0.003228896,,,True,False
00031403008,56129.4965004168,,,,,,,0.002555032493546605,0.006893513724207878,,,,,,,,,0.01053658,0.003674286,,,True,False
00031403009,56131.3972354909,,,,,,,0.013602705672383308,0.006862640846520662,,,,,,,,,0.04484669,0.00816825,,,False,False
00031403010,56133.5031610369,,,,,,,0.002789856633171439,0.009870681911706924,,,,,,,,,0.01842885,0.00974566,,,False,False
00031403011,56135.9023189164,,,,,,,0.011535908095538616,0.006997742224484682,,,,,,,,,0.02998487,0.005705,,,False,False
00031403012,56137.8982502567,,,,,,,0.0029072475153952837,0.018977366387844086,,,,,,,,,0.105683,0.04885466,,,False,False
00031403013,56139.710427326,,,,,,,0.014571313746273518,0.007256245706230402,,,,,,,,,0.01816189,0.00803509,,,False,False
00031403014,56141.2526331594,,,,,,,0.0026638598646968603,0.00743135716766119,,,,,,,,,0.01338441,0.005355264,,,False,False
00031403015,56143.1240619463,,,,,,,0.014200697652995586,0.00805983692407608,,,,,,,,,0.02781325,0.01112517,,,False,False
00031403016,56145.8898953396,,,,,,,0.007124365773051977,0.006960317492485046,,,,,,,,,0.002267022,0.0019101927,,,True,False
00031403017,56147.5893138325,,,,,,,0.02014319971203804,0.007370431441813707,,,,,,,,,0.02936455,0.011291238,,,False,False
00031403018,56149.6524745476,,,,,,,0.010662010870873928,0.006548939272761345,,,,,,,,,0.03531733,0.019300262,,,False,False
00031403019,56151.8012466052,,,,,,,-0.0031421056482940912,0.00816995557397604,,,,,,,,,0.03771484,0.018517364,,,False,False
00031403020,56153.4006263363,,,,,,,0.00655734445899725,0.006882516201585531,,,,,,,,,0.03131892,0.010573966,,,False,False
00031403021,56155.7671303152,,,,,,,0.019124019891023636,0.009765838272869587,,,,,,,,,0.003718637,0.0030897700000000004,,,True,False
00031403022,56157.2437712339,,,,,,,0.009582169353961945,0.0074044764041900635,,,,,,,,,0.01623323,0.006038242,,,False,False
00031403023,56159.7461960272,,,,,,,0.019440552219748497,0.007751730270683765,,,,,,,,,0.0183205,0.00454577,,,False,False
00031403024,56161.5119933854,,,,,,,0.0015874255914241076,0.007190263364464045,,,,,,,,,0.02553055,0.00654428,,,False,False
00031403025,56163.8943200146,,,,,,,0.019046565517783165,0.007085591554641724,,,,,,,,,0.01568808,0.009419575999999999,,,False,False
00031403026,56165.8367809723,,,,,,,0.023686885833740234,0.007688913028687239,,,,,,,,,0.05640169,0.01436974,,,False,False
00031403027,56167.6309505759,,,,,,,0.008421539328992367,0.007285414729267359,,,,,,,,,0.001758913,0.0016209657,,,True,False
00031403028,56169.5822896587,,,,,,,0.022205974906682968,0.007226130459457636,,,,,,,,,0.0242886,0.005637944,,,False,False
00031403029,56176.5228384734,,,,,,,0.0050527616403996944,0.00723881833255291,,,,,,,,,0.02037818,0.008907844,,,False,False
00031403030,56178.5590377874,,,,,,,0.013185042887926102,0.008101142011582851,,,,,,,,,0.02013346,0.005916384,,,False,False
00031403031,56180.4044322866,,,,,,,0.014983316883444786,0.02399846538901329,,,,,,,,,0.009087159,0.011723054,,,True,False
00031403032,56182.2753709019,,,,,,,0.0017447127029299736,0.007179166190326214,,,,,,,,,0.02337698,0.009219592,,,False,False
00031403033,56184.7816491667,,,,,,,0.0007021497585810721,0.006487664766609669,,,,,,,,,0.01217237,0.004512284,,,False,False
00031403034,56186.7508225778,,,,,,,0.0123285548761487,0.007631886750459671,,,,,,,,,0.01636283,0.007391148,,,False,False
00080264001,56579.8359033218,,,,,,,0.009480738081037998,0.01216714084148407,,,,,,,,,0.0249896,0.013184994,,,False,False
00080264002,56628.8184621528,,,,,-0.02517792023718357,0.028539232909679413,,,,,,,,,,,0.01848926,0.009863374,,,False,False
00643949000,57188.7784284444,19.683347702026367,0.872995138168335,15.058807373046875,0.8121851682662964,,,,,,,,,0.150294,0.03567,2.150528,0.133183,2.300822,0.2757544,14.308791,3.509657,False,False
00031403035,57189.6356856667,,,,,,,,,,,,,0.110036,0.020538,2.274561,0.090587,2.384596,0.18577132,20.67113,3.945128,False,False
00031403036,57190.6739078657,,,,,,,,,,,,,0.045551,0.012187,0.941634,0.055677,0.9865858,0.11394828,20.67211,5.66401,False,False
00031403038,57191.093656581,,,,,,,,,0.05347808450460434,0.02495570294559002,,,3.047688,0.074452,1.212026,0.044586,1.427194,0.0968074,5.570489,0.525835,False,False
00644520000,57191.1259378889,4.019564151763916,0.12484777718782425,3.4146711826324463,0.12503744661808014,,,,,,,,,0.0,0.0,0.0,0.0,0.0096258,0.0,,,False,True
00644596000,57191.4172863148,9.513652801513672,0.25587454438209534,,,,,,,0.03608028218150139,0.023386221379041672,,,0.0,0.0,1.913393,0.143134,2.061427,0.2977722,12.92492,3.706594,False,False
00644627000,57191.5622379931,49.15235137939453,0.6247373223304749,46.64650344848633,0.616889476776123,,,,,,,,,80.144014,1.161816,298.041523,4.042321,376.7119,1.764657488857811,3.718824,0.021566,False,False
00031403042,57192.166113456,,,,,,,,,0.14856623113155365,0.025284791365265846,,,2.704763,0.0513,38.494602,0.190726,41.16945,0.38970801882002803,14.232155,0.278501,False,False
00031403043,57192.8897413391,,,,,,,,,0.10234399139881134,0.020951492711901665,,,1.623952,0.134361,8.197055,1.429863,9.529638,3.102336,6.151273,2.976016,False,False
00031403040,57193.5986597535,,,,,,,,,0.5720860362052917,0.03452723100781441,,,390.632392,22.133417,1051.075573,45.001768,1437.118,9.48108479314364,2.690703,0.021777,False,False
00031403048,57194.1894001701,,,,,74.42950439453125,0.3682821989059448,,,,,,,4.324629,0.182592,13.357651,0.459792,17.64748,0.354714270757374,3.088739,0.075574,False,False
00031403046,57194.5814530868,,,,,51.382301330566406,0.21951265633106232,,,,,,,72.131047,1.158608,222.712135,4.466048,293.7896,1.308387266344456,3.087604,0.015216,False,False
00031403044,57194.6154884691,136.10128784179688,1.6136139631271362,110.29847717285156,1.3481805324554443,,,,,,,,,,,,,,,,,,
00031403045,57195.0943720104,169.47848510742188,2.089128017425537,197.1485595703125,2.4890871047973633,,,,,,,,,12.609663,0.321545,134.069877,3.460297,146.38,1.148788103407695,10.632313,0.151254,False,False
00031403049,57195.4537422766,80.86593627929688,0.9731751084327698,108.38770294189453,1.0240569114685059,,,,,,,,,228.271888,5.058803,815.933597,18.094268,1039.939,4.530004878574729,3.574394,0.018669,False,False
00031403047,57195.4824996898,,,,,77.69878387451172,0.39236846566200256,,,,,,,0.0,0.0,0.0,0.0,0.035348,0.0,,,False,True
00033832001,57196.448559522,,,,,96.65876770019531,0.41191527247428894,,,,,,,71.458401,5.723024,205.996076,15.461839,276.4626,1.456778494998018,2.882741,0.017463,False,False
00031403052,57196.9267979248,,,,,54.269962310791016,0.5676979422569275,,,,,,,25.712718,0.330339,32.297486,0.364269,57.74414,0.979119494930067,1.25609,0.021427,False,False
00031403053,57197.3463333704,114.27656555175781,1.349833369255066,82.21168518066406,1.0447956323623657,,,,,,,,,0.0,0.0,0.0,0.0,0.0064418,0.0,,,False,True
00033832002,57197.4784715417,,,,,15.319332122802734,0.11530879884958267,,,,,,,0.0,0.0,0.0,0.0,0.0043419,0.0,,,False,True
00031403054,57197.6046648692,,,,,31.20644187927246,0.14545656740665436,,,,,,,17.981004,1.03513,48.528032,2.962124,66.23006,0.245616805056932,2.69885,0.011455,False,False
00031403055,57198.0146893021,,,,,59.394874572753906,0.3082583248615265,,,,,,,29.061641,4.176033,70.795345,10.319354,99.51264,0.673093652969012,2.436041,0.018433,False,False
00031403056,57198.019633553704,139.05868530273438,1.8209269046783447,123.55313873291016,1.6431201696395874,,,,,,,,,,,,,,,,,,
00031403057,57198.2138871609,,,,,90.6471939086914,0.31372594833374023,,,,,,,34.502653,0.523572,155.424121,2.254791,189.5655,0.952597331242001,4.504701,0.031182,False,False
00031403058,57198.935955147,,,,,45.4176025390625,0.2291536033153534,,,,,,,97.357493,1.6191,321.542164,4.955807,417.1343,3.0850348301712,3.302696,0.028874,False,False
00033861001,57199.5346730174,,,,,223.6290740966797,0.844409704208374,,,,,,,1955.11873,16.782702,7262.820632,36.17882,9184.883,68.2062818673538,3.714772,0.033957,False,False
00031403060,57200.0012282604,,,,,27.640527725219727,0.1631571352481842,,,,,,,310.185108,13.346822,507.998721,22.318893,813.1162,4.4711375179808694,1.637728,0.009268,False,False
00031403061,57200.1389668831,,,,,,,1.426910161972046,0.15941773355007172,,,,,51.630812,3.767562,46.323855,3.352799,97.35255,2.88539264891385,0.897213,0.02651,True,False
00033861002,57200.4001785845,,,,,0.8526093363761902,0.03704192861914635,,,,,,,21.170025,0.155407,14.172241,0.127145,35.03022,0.398293572080749,0.669448,0.007732,True,False
00031403062,57200.9329852627,,,,,2.080113410949707,0.046278323978185654,,,,,,,5.671077,0.125307,3.344989,0.090237,8.966609,0.293980997672111,0.589833,0.019736,True,False
00031403063,57201.7006172419,1.3883562088012695,0.11991066485643387,1.157964825630188,0.13052186369895935,,,,,,,,,0.455824,0.094464,0.15935,0.060724,0.6130051,0.22268113009346002,0.349587,0.151166,True,False
00031403064,57201.9977479884,,,,,1.0843901634216309,0.037507615983486176,,,,,,,0.279248,0.090128,0.609111,0.067804,0.873982,0.217220359175573,2.181254,0.7326,False,False
00031403065,57202.4737305289,1.449957251548767,0.15763968229293823,1.3130278587341309,0.1731407642364502,,,,,,,,,-1.537312,0.096405,-0.242355,0.059127,0.027086,0.0,0.157648,0.039708,True,True
00031403066,57202.9289713044,,,,,0.31746917963027954,0.029214464128017426,,,,,,,-0.11646,0.059724,0.172839,0.038457,0.22369,0.0,-1.4841,-0.82958,True,True
00033861003,57203.3933917789,,,,,,,0.12124612182378769,0.015552106313407421,,,,,0.059623,0.051673,0.854914,0.040617,0.9106149,0.1308313462916748,14.338716,12.445022,True,False
00031403071,57203.4586605116,,,,,,,0.05154528468847275,0.016176143661141396,,,,,-0.366448,0.020048,0.550542,0.040623,0.1871689,0.09048582,-1.502375,-0.138004,False,False
00031403067,57203.7961459977,1.5291579961776733,0.15052132308483124,1.2324031591415405,0.16504117846488953,,,,,,,,,-0.009992,0.059595,0.227047,0.040774,0.2312598,0.1441177852604594,-22.722695,-135.584105,False,False
00031403068,57203.9357479132,,,,,0.2715764045715332,0.0303200650960207,,,,,,,-0.018297,0.045599,0.09718,0.029064,0.20424,0.0,-5.311264,-13.331407,True,True
00033861004,57204.4642917037,2.1947481632232666,0.12827913463115692,1.3213863372802734,0.12920643389225006,,,,,,,,,-0.051985,0.037934,0.764241,0.031924,0.7122085,0.0988871029348596,-14.701193,-10.74498,False,False
00031403070,57204.934539200105,,,,,0.37877681851387024,0.032650865614414215,,,,,,,,,,,,,,,,
00033861006,57205.4620471319,,,,,,,,,,,0.005707322154194117,0.008901191875338554,-0.073449,0.011964,0.490106,0.026485,0.4142431,0.05796156,-6.672732,-1.145142,False,False
00031403072,57205.7997562176,1.4941692352294922,0.152624249458313,1.3658246994018555,0.17154951393604279,,,,,,,,,-0.123745,0.021378,0.584867,0.049515,0.4588776,0.1076197,-4.726377,-0.909298,False,False
00031403073,57205.9305070278,,,,,0.5794783234596252,0.03256765380501747,,,,,,,-0.376276,0.039856,0.822667,0.035166,0.4439106,0.10594522438806839,-2.186338,-0.249598,False,False
00031403074,57206.6650896088,1.046445369720459,0.1524817943572998,0.935624897480011,0.16943669319152832,,,,,,,,,0.026968,0.019979,0.419177,0.03472,0.4474698,0.08011382,15.543765,11.587593,False,False
00031403075,57206.9295126643,,,,,0.3346412777900696,0.032264262437820435,,,,,,,0.033748,0.032978,0.427926,0.026631,0.4615698,0.0846171627016621,12.680156,12.415805,False,False
00033861007,57207.3853125833,,,,,,,,,,,,,-0.023188,0.007583,0.194327,0.016785,0.1667427,0.03682716,-8.380624,-2.834812,False,False
00031403076,57207.5276431736,1.234879970550537,0.12903118133544922,0.8097603917121887,0.13919642567634583,,,,,,,,,-0.00376,0.008643,0.212955,0.018013,0.2035599,0.03976904,-56.635499,-130.2666,False,False
00031403077,57207.9263565185,,,,,0.29095321893692017,0.029237588867545128,,,,,,,-0.159822,0.030594,0.246738,0.023328,0.08576932,0.0579008334881107,-1.54383,-0.32956,False,False
00033861008,57208.3814488102,,,,,0.29660502076148987,0.03017716482281685,,,,,,,0.041456,0.01232,0.261919,0.019125,0.306425,0.04533774,6.31799,1.933426,False,False
00031403079,57208.9246593079,,,,,0.3320296108722687,0.030287614092230797,,,,,,,0.049949,0.012752,0.314871,0.022167,0.3621815,0.05097368,6.303883,1.669453,False,False
00031403078,57208.9911723403,1.010729432106018,0.14304202795028687,1.100178599357605,0.17185746133327484,,,,,,,,,0.004935,0.011032,0.127647,0.017795,0.1304646,0.04165104,25.86656,57.937401,False,False
00031403080,57209.5208383357,0.9831262826919556,0.14071066677570343,0.4434225559234619,0.14471247792243958,,,,,,,,,0.007932,0.00715,0.149945,0.014665,0.1567417,0.0325115,18.904289,17.140312,False,False
00081751001,57209.7213826759,,,,,,,,,,,0.012566383928060532,0.008805813267827034,0.021489,0.009373,0.238972,0.017347,0.2588623,0.0392619,11.120808,4.917497,False,False
00031403083,57210.3135134977,,,,,0.13809017837047577,0.03664543479681015,,,,,,,0.014705,0.007295,0.134289,0.014294,0.149263,0.03209546,9.131977,4.633461,False,False
00031403081,57210.3840249213,1.0916224718093872,0.1446954905986786,0.7468989491462708,0.15568283200263977,,,,,,,,,0.040661,0.010635,0.185792,0.01745,0.228079,0.04084484,4.56925,1.269834,False,False
00031403084,57211.5134670046,0.908199667930603,0.14066827297210693,0.957176923751831,0.16636623442173004,,,,,,,,,0.033586,0.00893,0.168735,0.01667,0.199737,0.03753852,5.02391,1.424993,False,False
00031403085,57211.7877121782,,,,,0.14672279357910156,0.03513076901435852,,,,,,,0.009086,0.003677,0.074407,0.00744,0.0835454,0.016598104,8.189661,3.413754,False,False
00031403086,57212.7900221551,,,,,0.29206913709640503,0.044716089963912964,,,,,,,0.028429,0.005813,0.163192,0.011681,0.1917145,0.02609448,5.740345,1.243604,False,False
00031403087,57213.0539369236,,,,,0.13807407021522522,0.04159018397331238,,,,,,,0.039678,0.009147,0.147169,0.016136,0.1852669,0.03693292,3.70906,0.946851,False,False
00031403088,57213.1220046667,,,,,,,0.062142856419086456,0.026911960914731026,,,,,0.032084,0.013534,0.181019,0.02486,0.214728,0.0564872,5.641981,2.50286,False,False
00031403089,57213.1900806968,,,,,,,0.03930898383259773,0.039994291961193085,,,,,0.06516,0.0306,0.265968,0.053549,0.3315211,0.12333924,4.081772,2.085582,False,False
00031403090,57213.309473463,,,,,0.15267927944660187,0.05690228193998337,,,,,,,0.02784,0.015455,0.184392,0.031588,0.2128814,0.0703167,6.623268,3.848009,False,False
00031403091,57213.3781444583,,,,,,,-0.00020625155593734235,0.018419504165649414,,,,,0.052889,0.012325,0.276643,0.0251,0.328088,0.055815,5.230681,1.308048,False,False
00031403092,57213.4433412755,,,,,,,-0.0019051783019676805,0.022202664986252785,,,,,0.052967,0.012256,0.209364,0.022836,0.2624294,0.05183334,3.952708,1.011132,False,False
00031403093,57213.5166141458,,,,,,,0.029524153098464012,0.01405499130487442,,,,,0.019961,0.00551,0.118864,0.01138,0.1388994,0.02528756,5.954909,1.739889,False,False
00031403094,57213.6442293889,,,,,,,0.01878359727561474,0.012308658100664616,,,,,0.028638,0.005789,0.122908,0.010548,0.150748,0.02400206,4.291769,0.942565,False,False
00031403095,57213.7107776065,,,,,,,0.018861716613173485,0.013046769425272942,,,,,0.025013,0.005594,0.127599,0.010848,0.1518665,0.02434656,5.101275,1.220515,False,False
00031403096,57213.7733039954,,,,,,,0.013377373106777668,0.01927163638174534,,,,,0.032641,0.009001,0.143835,0.016674,0.1765025,0.03789722,4.406575,1.318142,False,False
00033861009,57214.3312614491,,,,,,,,,-0.006449624430388212,0.006785791367292404,,,0.038467,0.008055,0.251814,0.018268,0.2902061,0.03992922,6.546194,1.450705,False,False
00031403097,57214.5994061481,,,,,0.24985665082931519,0.02756422944366932,,,,,,,0.044417,0.007301,0.252409,0.016151,0.2955078,0.03542018,5.682742,1.002351,False,False
00031403098,57215.6487573391,,,,,0.25478240847587585,0.037980690598487854,,,,,,,0.023936,0.006556,0.134159,0.013672,0.1581712,0.03032556,5.604819,1.63797,False,False
00031403099,57216.183445522,,,,,0.15867337584495544,0.05154944956302643,,,,,,,0.021989,0.007974,0.069907,0.012831,0.09188814,0.0302135,3.179139,1.292104,False,False
00031403100,57217.8293864479,,,,,0.12785403430461884,0.04042479023337364,,,,,,,0.029966,0.012111,0.110449,0.020901,0.1404793,0.04831252,3.685767,1.644861,False,False
00033861011,57218.0755681725,,,,,0.1568492203950882,0.025630582123994827,,,,,,,0.019902,0.003953,0.102021,0.008063,0.1213694,0.017915374,5.126248,1.09589,False,False
00033861010,57218.5120554178,,,,,,,0.021187221631407738,0.006899386644363403,,,,,0.014896,0.002131,0.058003,0.003881,0.07167916,0.008790136,3.893775,0.615032,False,False
00031403101,57219.1748383113,,,,,0.0965348556637764,0.03591364622116089,,,,,,,0.008495,0.003006,0.040869,0.006064,0.04928829,0.013532876,4.811129,1.846025,False,False
00031403102,57220.7384551343,,,,,0.10075835138559341,0.043199148029088974,,,,,,,0.016439,0.003921,0.040269,0.00576,0.05672883,0.013936526,2.44962,0.681309,False,False
00031403103,57221.3383590926,,,,,0.13148964941501617,0.03803922235965729,,,,,,,0.0,0.0,0.0,0.0,0.0082982,0.0,,,False,True
00031403104,57222.2356730856,,,,,0.03144167736172676,0.040352463722229004,,,,,,,0.013375,0.003724,0.054821,0.00698,0.06821888,0.015822724,4.098736,1.254928,False,False
00031403105,57223.2582008738,,,,,0.08344485610723495,0.02974100038409233,,,,,,,0.0,0.0,0.0,0.0,0.0025952,0.0,,,False,True
00031403107,57223.4617466204,,,,,,,0.012051784433424473,0.005145050119608641,,,,,0.022423,0.001835,0.095443,0.003572,0.1175539,0.008021366,4.256521,0.383013,False,False
00031403109,57226.4121801447,,,,,0.10151577740907669,0.026966290548443794,,,,,,,0.011532,0.003422,0.042241,0.006275,0.05377174,0.014294498,3.662925,1.215626,False,False
00031403108,57226.6153993345,,,,,,,0.00636861240491271,0.00547194154933095,,,,,0.013279,0.001715,0.040407,0.002839,0.05351528,0.006621162,3.043035,0.447311,False,False
00031403111,57231.2711016019,,,,,,,0.011648528277873993,0.0045821787789464,,,,,0.013108,0.001346,0.039699,0.002235,0.05267973,0.005208808,3.028605,0.354707,False,False
00031403112,57231.5309218333,,,,,0.1482071429491043,0.03691960498690605,,,,,,,0.033904,0.008059,0.074155,0.011619,0.1080649,0.02828032,2.187188,0.622693,False,False
00031403114,57235.0855444363,,,,,0.0658521056175232,0.026618150994181633,,,,,,,0.014936,0.004106,0.051251,0.007428,0.06620147,0.01697467,3.431321,1.066269,False,False
00031403113,57235.5571927465,,,,,,,0.01968834362924099,0.004795019049197435,,,,,0.011909,0.001381,0.028408,0.002083,0.04032199,0.004999216,2.385448,0.327349,False,False
00031403115,57239.3459194803,,,,,0.09736507385969162,0.01058594137430191,,,,,,,0.026226,0.001964,0.077633,0.003381,0.1034081,0.007802292,2.960202,0.256434,False,False
00031403116,57243.5733975289,,,,,0.05032356083393097,0.0267280675470829,,,,,,,0.012277,0.003518,0.028341,0.005322,0.04061602,0.012758598,2.308391,0.790829,False,False
00031403117,57247.0915540498,,,,,0.10360819101333618,0.0270219799131155,,,,,,,0.002858,0.003712,0.014209,0.006043,0.01716325,0.014379955,4.971332,6.793557,False,False
00031403118,57251.0426396493,,,,,0.04163791239261627,0.030897486954927444,,,,,,,0.015364,0.004054,0.038787,0.006358,0.05415343,0.01508154,2.5245,0.784222,False,False
00031403119,57255.1372769745,,,,,0.07117762416601181,0.028513848781585693,,,,,,,0.006858,0.004479,0.014966,0.006341,0.0218234,0.015727857,2.182346,1.699117,False,False
00031403120,57259.4620303692,,,,,0.06858235597610474,0.0613466277718544,,,,,,,-0.000163,8.1e-05,0.049559,0.015028,0.04939837,0.03038575,-304.358913,-177.980499,True,False
00668097000,57379.2823976227,,,,,,,,,,,,,0.120146,0.072328,0.498598,0.145422,0.6187274,0.32483,4.149922,2.775997,False,False
00031403121,57379.6344625301,,,,,,,-0.005532742477953434,0.01397080346941948,,,,,0.034569,0.0064,0.201621,0.015185,0.236199,0.03295634,5.832384,1.165666,False,False
00031403122,57380.6595446678,,,,,0.2858823537826538,0.0296942088752985,,,,,,,0.01452,0.003761,0.288402,0.016993,0.3027912,0.03479838,19.862913,5.276935,False,False
00031403125,57381.5205198183,,,,,,,,,,,0.005468324758112431,0.009216933511197567,0.016253,0.003995,0.375547,0.019,0.3917555,0.03882908,23.106891,5.798606,False,False
00031403126,57381.8287829549,,,,,,,,,,,0.025189442560076714,0.013163486495614052,0.062867,0.015369,0.506145,0.041104,0.5691608,0.0877338,8.051029,2.074014,False,False
00031403127,57382.3409934225,,,,,,,,,0.005485305096954107,0.006626562215387821,,,0.327803,0.142984,0.938273,0.04982,2.462262,0.760046368407833,14.02998,2.956804,False,False
00031403128,57382.990900787,,,,,,,,,-0.003428273368626833,0.0069723851047456264,,,0.027146,0.005918,0.329721,0.019344,0.3563364,0.0404453,12.146422,2.742286,False,False
00031403123,57383.4123867477,,,,,,,0.01845545507967472,0.013395600952208042,,,,,0.053173,0.007962,0.236258,0.015618,0.2887779,0.03499332,4.443211,0.727296,False,False
00031403124,57384.0768423889,,,,,0.48133718967437744,0.034535881131887436,,,,,,,0.200707,0.116463,0.665034,0.022868,0.8855279,0.437694090342565,4.897447,0.408882,False,False
00031403129,57385.335584441,,,,,0.7324387431144714,0.0465790219604969,,,,,,,0.034968,0.00947,0.260667,0.02803,0.2938579,0.05903784,7.454471,2.172239,False,False
00031403131,57386.1113902743,,,,,0.5339096188545227,0.03264140337705612,,,,,,,0.189433,0.018783,0.853124,0.039021,1.039839,0.08652652,4.503553,0.491773,False,False
00031403132,57386.70192475,,,,,1.3227839469909668,0.042042866349220276,,,,,,,0.036786,0.006896,0.452189,0.028756,0.4864404,0.05891254,12.292454,2.433279,False,False
00668877000,57386.9364182338,6.264673709869385,0.39641210436820984,9.246223449707031,0.49631890654563904,,,,,,,,,0.09804,0.095307,2.832145,0.150162,4.361424,0.880946052087171,25.509831,7.130096,False,False
