OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00030340001,53683.8660681675,,,,,,,,,,,,,0.006395,0.001913,0.044399,0.004954,0.0507938,0.010621098,6.943217,2.216969,False,False
00035412001,53875.7876024359,,,,,,,,,,,,,0.0,0.0,-0.00693,0.053637,0.20578,0.0,-inf,,True,True
00030832001,54061.4223807185,,,,,,,,,,,,,-4e-05,1.1e-05,0.001135,0.001168,0.0094305,0.0,-28.579959,-30.40021,True,True
00031225001,54646.2139285226,,,,,,,,,,,,,-0.000177,2e-05,-0.000116,1.6e-05,0.00554,0.0,0.653124,0.114697,True,True
00031238001,54662.1693098434,,,,,,,,,,,,,-0.000105,2.8e-05,-3.8e-05,1.7e-05,0.050619,0.0,0.357143,0.186067,True,True
00031240001,54663.8008631072,,,,,,,,,,,,,0.002068,0.002136,0.002008,0.002064,0.004075818,0.006284865000000001,0.971084,1.415075,True,False
00035412002,55099.9621098305,,,,,74.17211151123047,0.23120297491550446,,,,,,,-0.000337,1.5e-05,-5.5e-05,0.000324,0.0023136,0.0,0.161763,0.960707,True,True
00037709001,55153.7235766883,,,,,,,,,,,,,0.000749,0.000821,-5.3e-05,8e-06,0.0065549,0.0,-0.07133,-0.078944,True,True
00040420001,55466.7640304051,,,,,,,,,,,,,-0.000122,1.2e-05,-0.000132,1.3e-05,0.0032171,0.0,1.085322,0.157065,True,True
00040417001,55467.5318733565,,,,,,,,,,,,,0.000417,0.000492,-0.000104,1e-05,0.0038583,0.0,-0.250497,-0.296491,True,True
00040421001,55467.876849547,,,,,,,,,34.76984405517578,0.7213828563690186,,,-0.000203,8.3e-05,-0.000237,9e-05,0.03525,0.0,1.166667,0.649073,True,True
00030340002,55467.9643752183,,,,,,,,,,,,,-0.000104,9e-06,-4.4e-05,6e-06,0.0037447,0.0,0.427553,0.064878,True,True
00030340003,55469.7366642428,,,,,,,,,,,,,0.000458,0.000547,-0.000107,1.2e-05,0.0042858,0.0,-0.234218,-0.28044,True,True
00030340004,55471.3463960004,,,,,,,,,,,,,-9.3e-05,9e-06,0.000729,0.000568,0.003875,0.0,-7.854759,-6.178587,True,True
00030340005,55473.8813232755,,,,,,,,,,,,,0.001112,0.000712,0.003222,0.001178,0.004334686,0.0027816660000000003,2.898584,2.13633,True,False
00030340006,55475.4558469428,,,,,,,,,,,,,0.000232,0.000386,0.002041,0.000898,0.002278206,0.0019874729,8.81309,15.201698,True,False
00030340007,55477.4256777034,,,,,,,,,,,,,-8.9e-05,1.1e-05,0.003083,0.001204,0.002997201,0.00244911,-34.824697,-14.235932,True,False
00030340008,55481.8135684934,,,,,,,,,,,,,0.00846,0.002015,0.039202,0.004291,0.0476604,0.009481652,4.633825,1.21485,False,False
00030340009,55485.260050641,,,,,,,,,,,,,0.017487,0.002491,0.06524,0.00479,0.08272943,0.010797358,3.73085,0.597881,False,False
00030340010,55489.3969364904,,,,,,,,,,,,,0.009491,0.002257,0.035736,0.004212,0.04523827,0.009554698,3.765091,0.999286,False,False
00037709002,55491.2017718456,,,,,,,,,,,,,0.014211,0.004385,0.03189,0.006554,0.04609937,0.015770694,2.244041,0.831959,False,False
00030340011,55493.2564121778,,,,,,,,,,,,,-0.00025,0.000102,0.014695,0.008552,0.01445194,0.017764967,-58.680863,-41.715339,True,False
00030340012,55497.1568547516,,,,,,,,,,,,,-9.6e-05,1e-05,0.000375,0.000462,0.0036057,0.0,-3.907111,-4.830014,True,True
00037709003,55795.5714385182,,,,,,,,,,,,,0.006627,0.007,0.027802,0.01412,0.03442674,0.03224908,4.19498,4.916701,True,False
00040421002,55841.5944448401,,,,,,,,,30.440916061401367,0.34976524114608765,,,0.011239,0.00468,0.047661,0.009619,0.0588999,0.02139322,4.240628,1.962101,False,False
00037709004,55848.4286373765,,,,,,,,,,,,,-0.001632,0.00073,0.01823,0.013606,0.093805,0.0,-11.172914,-9.721144,True,True
00040421004,55865.8456431817,,,,,,,,,29.397113800048828,0.4845229983329773,,,0.000811,0.001735,-0.000569,0.000124,0.013004,0.0,-0.70132,-1.508524,True,True
00037709005,55866.1848464341,,,,,,,,,,,,,-0.000447,0.000183,-0.000224,0.000129,0.049348,0.0,0.5,0.353553,True,True
00037709006,55872.1285354787,,,,,,,,,,,,,-0.00017,8.5e-05,-0.000255,0.000104,0.043804,0.0,1.5,0.968246,True,True
00037709007,56145.3441363211,,,,,,,,,,,,,-0.000132,2.5e-05,-0.000258,4.4e-05,0.012509,0.0,1.944549,0.488288,True,True
00037709008,56146.5139747631,,,,,,,,,,,,,0.000941,0.001105,0.003195,0.00195,0.004138066,0.004610796,3.397026,4.496163,True,False
00037709009,56147.5197919668,,,,,,,,,,,,,0.001785,0.001391,0.00067,0.000748,0.010405,0.0,0.375288,0.510791,True,True
00037709010,56148.5149643093,,,,,,,,,,,,,0.000952,0.00054,0.000427,0.00038,0.00137959,0.0013466910000000001,0.448903,0.4737,True,False
00037709011,56149.9506595499,,,,,,,,,,,,,6.3e-05,0.000184,0.000579,0.000343,0.0023996,0.0,9.20821,27.484341,True,True
00037709012,56152.7243246328,,,,,,,,,,,,,0.003825,0.001474,0.024532,0.003661,0.02834783,0.007892694,6.414027,2.651262,False,False
00037709013,56153.7923831327,,,,,,,,,,,,,0.009503,0.001335,0.031354,0.002393,0.04065811,0.005466404,3.29952,0.527453,False,False
00037709014,56154.8323391093,,,,,,,,,,,,,0.0108,0.002806,0.030574,0.004652,0.04137422,0.010865446,2.831022,0.852304,False,False
00037709015,56157.0028290487,,,,,,,,,,,,,0.016159,0.001262,0.061684,0.002448,0.07764793,0.00550153,3.817201,0.334477,False,False
00037709016,56164.4519221465,,,,,,,,,,,,,0.008488,0.002442,0.036618,0.004976,0.04510834,0.011086238,4.314052,1.372432,False,False
00037709017,56166.5179465882,,,,,,,,,,,,,0.004742,0.001451,0.009105,0.001996,0.013845,0.004935746,1.920264,0.722951,True,False
00037709019,56168.7784764624,,,,,,,,,,,,,0.000987,0.001286,0.001095,0.001284,0.012409,0.0,1.109002,1.944507,False,True
00037709020,56170.3913204482,,,,,,,,,,,,,-0.000116,9e-06,0.000683,0.00044,0.0028307,0.0,-5.90775,-3.834902,True,True
00037709021,56173.6320092154,,,,,,,,,,,,,-0.000196,2.9e-05,-0.000114,2.1e-05,0.013223,0.0,0.583374,0.138918,True,True
00037709022,56196.66143695,,,,,,,,,,,,,0.003976,0.002591,0.009943,0.003862,0.01392656,0.009409839,2.500497,1.896801,False,False
00037709023,56197.5634928065,,,,,,,,,,,,,0.008742,0.001913,0.03111,0.003554,0.03984957,0.008071848,3.558489,0.878507,False,False
00037709024,56199.4617028724,,,,,,,,,,,,,0.013012,0.001926,0.04409,0.003528,0.05710271,0.008040104,3.388492,0.570263,False,False
00037709025,56201.0361809592,,,,,,,,,,,,,0.014443,0.001394,0.046423,0.00248,0.06033733,0.005664256,3.214222,0.354504,False,False
00037709026,56202.8650009093,,,,,,,,,,,,,0.015436,0.007221,0.07006,0.015033,0.08550028,0.03335516,4.538646,2.335768,False,False
00037709027,56203.3097421477,,,,,,,,,,,,,0.005947,0.003211,0.078466,0.011513,0.08275287,0.02367634,13.194729,7.38392,False,False
00037709028,56204.4760433785,,,,,,,,,,,,,0.009495,0.001646,0.045889,0.003553,0.05538784,0.00783186,4.832861,0.917368,False,False
00037709029,56206.6386030548,,,,,,,,,,,,,0.015441,0.002142,0.03701,0.00329,0.052166,0.007831454,2.39679,0.394889,False,False
00037709030,56208.1069993087,,,,,,,,,,,,,0.008995,0.001555,0.027793,0.002711,0.03678969,0.006251084,3.089771,0.613401,False,False
00037709031,56211.580578869,,,,,,,,,,,,,0.00541,0.001709,0.010473,0.002341,0.01588383,0.005796292,1.936057,0.749099,False,False
00037709032,56212.9820057055,,,,,,,,,,,,,0.00382,0.001046,0.006608,0.00137,0.01042735,0.003446894,1.729958,0.594151,True,False
00037709033,56215.1534908984,,,,,,,,,,,,,0.000776,0.000448,0.000725,0.000405,0.001502246,0.0012236261999999999,0.93398,0.750206,True,False
00037709034,56216.4290198374,,,,,,,,,,,,,0.001432,0.001497,-5.5e-05,1e-05,0.012049,0.0,-0.038754,-0.041071,True,True
00037709035,56217.5938202463,,,,,,,,,,,,,-0.00014,1.9e-05,0.000619,0.00071,0.0055818,0.0,-4.422939,-5.103604,True,True
00037709036,56219.9961456861,,,,,,,,,,,,,0.000217,0.00019,-5.9e-05,4e-06,0.0012551,0.0,-0.271042,-0.237755,True,True
00037709037,56222.0089375108,,,,,,,,,,,,,0.000529,0.000293,0.000245,0.000208,0.0007736039,0.0007318389,0.463024,0.469479,True,False
00037709038,56223.0579894475,,,,,,,,,,,,,-5.7e-05,1.4e-05,-6.7e-05,1.5e-05,0.018656,0.0,1.187861,0.403054,True,True
00037709039,56224.0236139768,,,,,,,,,,,,,0.00332,0.00372,0.006929,0.005082,0.01025413,0.013078467,2.087509,2.795922,True,False
00037709040,56225.3752556356,,,,,,,,,,,,,-0.001021,0.001021,-0.003062,0.001768,0.17557,0.0,3.0,3.464102,True,True
