OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035867001,54002.6085098398,4.599406719207764,0.4469485580921173,6.677892684936523,0.14689452946186066,,,,,,,,,0.013872,0.002493,0.004053,0.001418,0.01793239,0.005736354,0.292171,0.11491,True,False
00035867002,54128.9780482265,4.357069969177246,0.38422396779060364,6.1943440437316895,0.48231667280197144,,,,,,,,,0.004809,0.003391,0.004994,0.00339,0.009819301,0.009768445,1.038458,1.016446,True,False
00035867003,54489.4325465124,4.157698631286621,0.2062874436378479,6.353977203369141,0.26262468099594116,,,,,,,,,0.012695,0.003083,0.029265,0.00462,0.04196067,0.01110877,2.305242,0.667754,False,False
00035867004,56174.7577964352,3.9668381214141846,0.275305837392807,6.189382076263428,0.3543480932712555,,,,,,,,,0.017471,0.003558,0.017611,0.003558,0.03508784,0.010064344,1.008007,0.289185,False,False
00080009001,56187.7583950548,,,,,,,0.7995637059211731,0.029777584597468376,,,,,0.018324,0.004736,0.002918,0.002037,0.02124872,0.010310302,0.159224,0.118538,False,False
00080009002,56248.7534090738,3.6140315532684326,0.2125036120414734,6.453595161437988,0.2833368182182312,,,,,,,,,0.010431,0.001172,0.00597,0.000891,0.01641077,0.002943716,0.572366,0.106894,False,False
00080009003,56249.7661441121,3.568676233291626,0.2500118613243103,6.316106796264648,0.33176305890083313,,,,,,,,,0.005686,0.002851,0.002792,0.002005,0.008477193,0.007056395,0.491041,0.430037,False,False
00080009004,56251.2875751259,3.7541260719299316,0.27095603942871094,6.303171634674072,0.3556816577911377,,,,,,,,,0.008952,0.002638,0.009502,0.002639,0.0184538,0.007462706,1.061409,0.429798,False,False
00035867005,58039.9275104542,,,,,,,0.7025479078292847,0.0305207259953022,,,,,0.020359,0.005345,0.012566,0.004233,0.0329257,0.013637588,0.617207,0.263623,False,False
00035867006,58040.5148532308,,,,,2.8656368255615234,0.06694981455802917,,,,,,,0.011981,0.004114,0.009553,0.00367,0.02153444,0.011027004,0.797386,0.410888,False,False
00035867007,58041.8502811915,,,,,,,,,,,0.4885793924331665,0.025758128613233566,0.022534,0.006086,0.002635,0.002226,0.02516883,0.012960698,0.116932,0.103719,False,False
00035867008,58046.5696941926,,,,,,,,,0.3048925995826721,0.020143680274486542,,,0.013252,0.00484,0.01218,0.004568,0.02548765,0.013309906,0.919095,0.481117,False,False
07020871001,58710.4314731602,,,,,2.986316204071045,0.3075530230998993,,,,,,,0.014608,0.016434,0.013267,0.015917,0.15759,0.0,0.908182,1.493654,True,True
07021001002,58711.08635707048,,,,,0.0,0.012576361186802387,,,,,,,,,,,,,,,,
07021258001,58711.294921916,,,,,2.7203972339630127,0.31436091661453247,,,,,,,0.014082,0.016355,0.03085,0.022765,0.0449444,0.05816905,2.190818,3.014733,True,False
07021001003,58713.21408108715,,,,,0.0,0.001795712043531239,,,,,,,,,,,,,,,,
07021258003,58713.5357645202,,,,,2.9514195919036865,0.09582885354757309,,,,,,,0.004681,0.004024,0.019506,0.007667,0.02417593,0.017539739,4.167121,3.939264,True,False
