OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00090041001,54565.8584851598,,,,,,,,,,,,,0.052682,0.006259,0.015531,0.003343,0.06820826,0.014189102,0.29481,0.072479,False,False
00090041002,54567.7324822338,,,,,,,,,,,,,0.050601,0.005732,0.019048,0.003495,0.06965814,0.013426598,0.376431,0.081174,False,False
00090041003,54571.8856510805,,,,,,,,,,,,,0.056652,0.006341,0.019439,0.003916,0.07610109,0.014891664,0.343129,0.079075,False,False
00090041004,54574.1268497397,,,,,,,,,,,,,0.042184,0.00671,0.019501,0.004571,0.06168436,0.0162385,0.462284,0.130961,False,False
00090041005,54578.903669241,,,,,,,,,,,,,0.040504,0.005376,0.012913,0.003068,0.05341743,0.012380376,0.318813,0.086766,False,False
00090041006,54581.1756921711,,,,,,,,,,,,,0.056083,0.005617,0.01223,0.002628,0.06831159,0.01240293,0.218075,0.051706,False,False
00090041007,54585.0561481816,,,,,,,,,,,,,0.056969,0.005783,0.022467,0.003638,0.07943674,0.013663888,0.394376,0.075367,False,False
00090041008,54588.0687691853,,,,,,,,,,,,,0.049042,0.005678,0.011664,0.00279,0.06070493,0.012651962,0.23784,0.063197,False,False
00090041009,54592.8228217069,,,,,,,,,,,,,0.05244,0.006187,0.023337,0.004139,0.07577764,0.014886314,0.445022,0.094787,False,False
00090041010,54595.1002397062,,,,,,,,,,,,,0.055665,0.006039,0.01693,0.003346,0.07259501,0.013807188,0.304143,0.068564,False,False
00090041011,54599.9178352249,,,,,,,,,,,,,0.050768,0.00717,0.014056,0.003866,0.0648283,0.016290614,0.276857,0.085606,False,False
00090041012,54602.7661956727,,,,,,,,,,,,,0.05814,0.006491,0.020318,0.003851,0.07845863,0.015095218,0.349474,0.076877,False,False
00090041013,54606.8257550851,,,,,,,,,,,,,0.045734,0.005089,0.012365,0.002659,0.05809947,0.011484428,0.27037,0.065464,False,False
00090041014,54609.4880579682,,,,,,,,,,,,,0.04481,0.00547,0.021422,0.003775,0.06558907,0.01323139,0.478065,0.102496,False,False
00090041015,54613.702952132,,,,,,,,,,,,,0.045373,0.007247,0.010987,0.003575,0.05636056,0.01616166,0.242155,0.087769,False,False
00090041016,54616.4224275267,,,,,,,,,,,,,0.033036,0.00446,0.013758,0.002953,0.04679443,0.010695784,0.416436,0.105601,False,False
00090041017,54620.4977722394,,,,,,,,,,,,,0.059789,0.006288,0.016991,0.003368,0.07613131,0.014205034,0.28419,0.063775,False,False
00090041018,54623.4726498624,,,,,,,,,,,,,0.058425,0.006659,0.019808,0.003894,0.07823273,0.015428328,0.33903,0.077043,False,False
00090041019,54627.5290822253,,,,,,,,,,,,,0.055939,0.012244,0.002159,0.00258,0.05809387,0.02502652,0.038595,0.046887,False,False
00090041020,54630.8872640209,,,,,,,,,,,,,0.071908,0.010227,0.009519,0.003766,0.0814252,0.02179662,0.132379,0.055649,False,False
