MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
54763.6813038982,0.569341018518518,-0.569341018518518,0.01276622,0.002342342,-0.002342342,00031287001,PC,True,False,FULL
54771.2042680757,0.0095764930555555,-0.0095764930555555,0.02019576,0.004808751,-0.004808751,00031287002,PC,False,False,FULL
54777.8359719155,0.143144398148148,-0.143144398148148,0.01511526,0.002850965,-0.002850965,00031287003,PC,False,False,FULL
54784.2625114912,0.0096635532407407,-0.0096635532407407,0.02576984,0.005203674,-0.005203674,00031287004,PC,False,False,FULL
55048.5541863527,0.233225763888889,-0.233225763888889,0.0009960264,0.0005821946,-0.0004417214,00031287005,PC,True,False,FULL
55049.5173766883,0.47144462962963,-0.47144462962963,0.001720601,0.0007323229,-0.0005851648,00031287006,PC,True,False,FULL
55059.5597147212,0.544372916666667,-0.544372916666667,0.03883829,0.004428459,-0.004428459,00031287007,PC,False,False,FULL
55061.4042122833,0.372782592592593,-0.372782592592593,0.04584183,0.006387877,-0.006387877,00031287008,PC,False,False,FULL
55062.6336716235,0.144727407407407,-0.144727407407407,0.03846123,0.004199525,-0.004199525,00031287009,PC,False,False,FULL
55063.0366936762,0.0042078472222222,-0.0042078472222222,0.05615358,0.01370052,-0.01370052,00031287010,PC,False,False,FULL
55107.1428737586,0.816776481481481,-0.816776481481481,0.03076258,0.004069945,-0.004069945,00031287011,PC,False,False,FULL
55108.0185027517,0.0085027893518518,-0.0085027893518518,0.02730759,0.005874272,-0.005874272,00031287012,PC,False,False,FULL
55137.3849709893,0.0767656597222222,-0.0767656597222222,0.02276115,0.002832729,-0.002832729,00031287013,PC,False,False,FULL
55149.4743997077,0.0435926851851852,-0.0435926851851852,0.02188355,0.004111017,-0.004111017,00031287014,PC,False,False,FULL
55156.0947809312,0.106513773148148,-0.106513773148148,0.01583522,0.00328869,-0.00328869,00031287015,PC,True,False,FULL
55163.6909787864,0.008256099537037,-0.008256099537037,0.01922796,0.004867318,-0.004867318,00031287016,PC,False,False,FULL
55164.558242791,0.0062537384259259,-0.0062537384259259,0.02844435,0.006949215,-0.006949215,00031287017,PC,False,False,FULL
55170.3893975672,0.0632905208333333,-0.0632905208333333,0.01234647,0.002689755,-0.002689755,00031287018,PC,True,False,FULL
55184.1931184027,0.102623425925926,-0.102623425925926,0.01227491,0.002881641,-0.002881641,00031287019,PC,True,False,FULL
55191.1002693349,0.0378387615740741,-0.0378387615740741,0.0135901,0.003271411,-0.003271411,00031287020,PC,True,False,FULL
55198.0910615629,0.072037337962963,-0.072037337962963,0.01303806,0.003904202,-0.003262363,00031287021,PC,True,False,FULL
55204.1880011161,0.0091266898148148,-0.0091266898148148,0.02071926,0.004809896,-0.004809896,00031287022,PC,False,False,FULL
55209.8126258195,0.0772634027777778,-0.0772634027777778,0.01464286,0.003351364,-0.003351364,00031287023,PC,True,False,FULL
55211.2100921736,0.074547037037037,-0.074547037037037,0.01069325,0.002504515,-0.002504515,00031287024,PC,True,False,FULL
55218.1363831855,0.0419956828703704,-0.0419956828703704,0.007262208,0.002286549,-0.00189894,00031287025,PC,True,False,FULL
55225.2578420318,0.20389150462963,-0.20389150462963,0.01162024,0.002282572,-0.002282572,00031287026,PC,True,False,FULL
55237.8747220138,0.102281631944444,-0.102281631944444,0.002902498,0.001967448,-0.001399711,00031287027,PC,True,False,FULL
55241.626583149,0.0378442708333333,-0.0378442708333333,0.010281,0.0,0.0,00031287028,PC,True,True,FULL
55253.7501425268,0.0400459606481481,-0.0400459606481481,0.0077113,0.0,0.0,00031287029,PC,True,True,FULL
55261.77564269,0.172182511574074,-0.172182511574074,0.013008,0.0,0.0,00031287030,PC,True,True,FULL
55269.9383685821,0.0421146759259259,-0.0421146759259259,0.0058815,0.0,0.0,00031287031,PC,True,True,FULL
55277.8285121938,0.040154537037037,-0.040154537037037,0.042502,0.0,0.0,00031287032,PC,True,True,FULL
55285.8628689992,0.0342133912037037,-0.0342133912037037,0.0054504,0.0,0.0,00031287033,PC,True,True,FULL
55293.1600867184,0.105109224537037,-0.105109224537037,0.003378002,0.002161814,-0.001537989,00031287034,PC,True,False,FULL
55301.0559714392,0.0369921643518519,-0.0369921643518519,0.017666,0.0,0.0,00031287035,PC,True,True,FULL
55310.2337564831,0.0356056481481482,-0.0356056481481482,0.0099385,0.0,0.0,00031287036,PC,True,True,FULL
55316.8130639113,0.0667007638888889,-0.0667007638888889,0.010035,0.0,0.0,00031287037,PC,True,True,FULL
55325.4836912926,0.0946874421296296,-0.0946874421296296,0.0091326,0.0,0.0,00031287038,PC,True,True,FULL
55333.9122000732,0.0411821296296296,-0.0411821296296296,0.0044362,0.0,0.0,00031287039,PC,True,True,FULL
55341.2801753703,0.0405697222222222,-0.0405697222222222,0.021544,0.0,0.0,00031287040,PC,True,True,FULL
55349.2374916154,0.0395146527777778,-0.0395146527777778,0.0084199,0.0,0.0,00031287041,PC,True,True,FULL
55357.2078042606,0.0927960069444444,-0.0927960069444444,0.0083294,0.0,0.0,00031287042,PC,True,True,FULL
55365.5831802151,0.238253240740741,-0.238253240740741,0.0055913,0.0,0.0,00031287043,PC,True,True,FULL
55381.6997055949,0.0397890740740741,-0.0397890740740741,0.0056484,0.0,0.0,00031287045,PC,True,True,FULL
55389.1279265946,0.0414388541666667,-0.0414388541666667,0.0066374,0.0,0.0,00031287046,PC,True,True,FULL
55397.898387616,0.101532430555556,-0.101532430555556,0.0092831,0.0,0.0,00031287047,PC,True,True,FULL
55405.8306000615,0.0033227546296296,-0.0033227546296296,0.021388,0.0,0.0,00031287048,PC,True,True,FULL
55413.1560201927,0.1022275,-0.1022275,0.0052975,0.0,0.0,00031287049,PC,True,True,FULL
55421.6143599057,0.0640253356481481,-0.0640253356481481,0.0096398,0.0,0.0,00031287050,PC,True,True,FULL
