MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
54763.6813038982,0.569341018518518,-0.569341018518518,0.001561,0.000852,00031287001,PC,True,False,HARD
54763.6813038982,0.569341018518518,-0.569341018518518,0.011203,0.002182,00031287001,PC,True,False,SOFT
54763.6813038982,0.569341018518518,-0.569341018518518,0.139371,0.080773,00031287001,PC,True,False,HR
54771.2042680757,0.0095764930555555,-0.0095764930555555,0.194743,0.125999,00031287002,PC,False,False,HR
54771.2042680757,0.0095764930555555,-0.0095764930555555,0.016904,0.004396,00031287002,PC,False,False,SOFT
54771.2042680757,0.0095764930555555,-0.0095764930555555,0.003292,0.00195,00031287002,PC,False,False,HARD
54777.8359719155,0.143144398148148,-0.143144398148148,0.156012,0.087588,00031287003,PC,False,False,HR
54777.8359719155,0.143144398148148,-0.143144398148148,0.00204,0.001068,00031287003,PC,False,False,HARD
54777.8359719155,0.143144398148148,-0.143144398148148,0.013075,0.002643,00031287003,PC,False,False,SOFT
54784.2625114912,0.0096635532407407,-0.0096635532407407,-0.000117,1.5e-05,00031287004,PC,False,False,HARD
54784.2625114912,0.0096635532407407,-0.0096635532407407,-0.004526,-0.001087,00031287004,PC,False,False,HR
54784.2625114912,0.0096635532407407,-0.0096635532407407,0.025887,0.005204,00031287004,PC,False,False,SOFT
55048.5541863527,0.233225763888889,-0.233225763888889,0.462153,0.503259,00031287005,PC,True,False,HR
55048.5541863527,0.233225763888889,-0.233225763888889,0.000315,0.000285,00031287005,PC,True,False,HARD
55048.5541863527,0.233225763888889,-0.233225763888889,0.000681,0.000414,00031287005,PC,True,False,SOFT
55049.5173766883,0.47144462962963,-0.47144462962963,0.000555,0.000379,00031287006,PC,True,False,HARD
55049.5173766883,0.47144462962963,-0.47144462962963,0.476876,0.390664,00031287006,PC,True,False,HR
55049.5173766883,0.47144462962963,-0.47144462962963,0.001165,0.000528,00031287006,PC,True,False,SOFT
55059.5597147212,0.544372916666667,-0.544372916666667,0.03492,0.004191,00031287007,PC,False,False,SOFT
55059.5597147212,0.544372916666667,-0.544372916666667,0.112167,0.043135,00031287007,PC,False,False,HR
55059.5597147212,0.544372916666667,-0.544372916666667,0.003917,0.001431,00031287007,PC,False,False,HARD
55061.4042122833,0.372782592592593,-0.372782592592593,0.043269,0.006199,00031287008,PC,False,False,SOFT
55061.4042122833,0.372782592592593,-0.372782592592593,0.059458,0.036646,00031287008,PC,False,False,HR
55061.4042122833,0.372782592592593,-0.372782592592593,0.002573,0.001542,00031287008,PC,False,False,HARD
55062.6336716235,0.144727407407407,-0.144727407407407,0.002647,0.001128,00031287009,PC,False,False,HARD
55062.6336716235,0.144727407407407,-0.144727407407407,0.073928,0.032593,00031287009,PC,False,False,HR
55062.6336716235,0.144727407407407,-0.144727407407407,0.035811,0.004045,00031287009,PC,False,False,SOFT
55063.0366936762,0.0042078472222222,-0.0042078472222222,0.056272,0.0137,00031287010,PC,False,False,SOFT
55063.0366936762,0.0042078472222222,-0.0042078472222222,0.051872,0.055249,00031287010,PC,False,False,HR
55063.0366936762,0.0042078472222222,-0.0042078472222222,0.002919,0.003027,00031287010,PC,False,False,HARD
55107.1428737586,0.816776481481481,-0.816776481481481,0.028718,0.003927,00031287011,PC,False,False,SOFT
55107.1428737586,0.816776481481481,-0.816776481481481,0.002045,0.001071,00031287011,PC,False,False,HARD
55107.1428737586,0.816776481481481,-0.816776481481481,0.071197,0.038541,00031287011,PC,False,False,HR
55108.0185027517,0.0085027893518518,-0.0085027893518518,0.095562,0.073503,00031287012,PC,False,False,HR
55108.0185027517,0.0085027893518518,-0.0085027893518518,0.024926,0.005607,00031287012,PC,False,False,SOFT
55108.0185027517,0.0085027893518518,-0.0085027893518518,0.002382,0.001752,00031287012,PC,False,False,HARD
55137.3849709893,0.0767656597222222,-0.0767656597222222,0.001999,0.000864,00031287013,PC,False,False,HARD
55137.3849709893,0.0767656597222222,-0.0767656597222222,0.09629,0.043449,00031287013,PC,False,False,HR
55137.3849709893,0.0767656597222222,-0.0767656597222222,0.02076,0.002698,00031287013,PC,False,False,SOFT
