MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
54126.1214631544,2.37847222222222e-05,-2.37847222222222e-05,0.420066,0.499587,00035482001,WT,False,False,SOFT
54126.1958004461,0.138872604166667,-0.138872604166667,0.683723,0.03658,00035482001,PC,False,False,HARD
54126.1958004461,0.138872604166667,-0.138872604166667,0.544641,0.036295,00035482001,PC,False,False,HR
54587.9131651473,0.0711549074074074,-0.0711549074074074,1.207352,0.044803,00031201001,PC,False,False,SOFT
54587.9131651473,0.0711549074074074,-0.0711549074074074,0.585212,0.035649,00031201001,PC,False,False,HR
54587.9131651473,0.0711549074074074,-0.0711549074074074,0.706557,0.034133,00031201001,PC,False,False,HARD
54946.244060709,0.107252673611111,-0.107252673611111,0.619764,0.034838,00031201002,PC,False,False,HR
54946.244060709,0.107252673611111,-0.107252673611111,1.344222,0.046726,00031201002,PC,False,False,SOFT
54946.244060709,0.107252673611111,-0.107252673611111,0.8331,0.036802,00031201002,PC,False,False,HARD
55123.3274758079,0.639791215277778,-0.639791215277778,0.976992,0.039602,00035482002,PC,False,False,SOFT
55123.3274758079,0.639791215277778,-0.639791215277778,0.641046,0.041419,00035482002,PC,False,False,HR
55123.3274758079,0.639791215277778,-0.639791215277778,0.626297,0.031512,00035482002,PC,False,False,HARD
56022.8543065199,0.0073709953703703,-0.0073709953703703,0.589712,0.066654,00091489001,PC,False,False,HR
56022.8543065199,0.0073709953703703,-0.0073709953703703,1.243902,0.085832,00091489001,PC,False,False,SOFT
56022.8543065199,0.0073709953703703,-0.0073709953703703,0.733544,0.065667,00091489001,PC,False,False,HARD
56024.4150977116,0.436848148148148,-0.436848148148148,0.712961,0.273451,00091489002,WT,False,False,SOFT
56024.4502062185,0.471914791666667,-0.471914791666667,0.748042,0.03694,00091489002,PC,False,False,HARD
56024.4502062185,0.471914791666667,-0.471914791666667,0.595496,0.03725,00091489002,PC,False,False,HR
56026.0610879315,0.874216377314815,-0.874216377314815,0.527571,0.03429,00091489003,PC,False,False,HR
56026.0610879315,0.874216377314815,-0.874216377314815,0.688986,0.036195,00091489003,PC,False,False,HARD
56026.9248606509,0.000122662037037,-0.000122662037037,0.951169,0.288179,00091489003,WT,False,False,SOFT
56027.8727109921,0.0049623611111111,-0.0049623611111111,0.637742,0.099831,00091489004,PC,False,False,HR
56027.8727109921,0.0049623611111111,-0.0049623611111111,0.798715,0.097643,00091489004,PC,False,False,HARD
56027.8727109921,0.0049623611111111,-0.0049623611111111,1.252412,0.122451,00091489004,PC,False,False,SOFT
56031.8734643128,0.0021184375,-0.0021184375,0.510025,0.10868,00091489005,PC,False,False,HR
