MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53923.4198173644,0.375981018518519,-0.375981018518519,0.1776961,0.004401542,-0.004401542,00035335001,PC,False,False,FULL
53924.5543547863,0.172680740740741,-0.172680740740741,0.2032279,0.008992096,-0.008992096,00035335002,PC,False,False,FULL
53924.6598433627,0.0019153009259259,-0.0019153009259259,0.021992,0.0,0.0,00035335003,PC,False,True,FULL
54022.7784911427,0.301055717592593,-0.301055717592593,1.6768,0.0,0.0,00035335004,WT,False,True,FULL
54026.5049543568,0.475559386574074,-0.475559386574074,0.3487985,0.007783266,-0.007783266,00035335005,PC,False,False,FULL
54027.3794234541,0.135743553240741,-0.135743553240741,0.3095811,0.01868407,-0.01868407,00035335006,PC,False,False,FULL
54061.5628729802,0.434187314814815,-0.434187314814815,0.2210186,0.0116715,-0.0116715,00035335007,PC,False,False,FULL
54137.9365744869,0.0308294097222222,-0.0308294097222222,0.3132097,0.01759252,-0.01759252,00259527001,PC,False,False,FULL
54181.0109170053,0.0029309837962963,-0.0029309837962963,0.1561406,0.0279019,-0.0279019,00035335008,PC,False,False,FULL
54185.1262223229,0.302903761574074,-0.302903761574074,0.1847973,0.005354467,-0.005354467,00035335009,PC,False,False,FULL
54801.194530215,0.0324857291666667,-0.0324857291666667,0.3833654,0.02228908,-0.02228908,00090008001,PC,False,False,FULL
54801.8698801225,0.0383536226851852,-0.0383536226851852,0.3136962,0.01867507,-0.01867507,00090008002,PC,False,False,FULL
54802.1952525299,0.0366288194444444,-0.0366288194444444,0.3255977,0.02013879,-0.02013879,00090008003,PC,False,False,FULL
54802.7987293672,0.0380200115740741,-0.0380200115740741,0.3128595,0.01950267,-0.01950267,00090008004,PC,False,False,FULL
54803.1372608834,0.037674224537037,-0.037674224537037,0.2874471,0.01695358,-0.01695358,00090008005,PC,False,False,FULL
54804.3354645495,0.308218275462963,-0.308218275462963,0.3427869,0.01476886,-0.01476886,00090008007,PC,False,False,FULL
54805.3445644454,0.309549594907407,-0.309549594907407,0.3287974,0.013214,-0.013214,00090008008,PC,False,False,FULL
54806.7825275905,0.143102847222222,-0.143102847222222,0.3367024,0.01436346,-0.01436346,00090008009,PC,False,False,FULL
54807.4177466067,0.371782743055556,-0.371782743055556,0.2962989,0.01273875,-0.01273875,00090008010,PC,False,False,FULL
54808.3538621245,0.303023715277778,-0.303023715277778,0.2428905,0.01070384,-0.01070384,00090008011,PC,False,False,FULL
54809.0905521824,0.0370210763888889,-0.0370210763888889,0.1970537,0.01580399,-0.01580399,00090008012,PC,False,False,FULL
54809.6261551106,0.0369719444444444,-0.0369719444444444,0.1657896,0.01519359,-0.01519359,00090008013,PC,False,False,FULL
54810.1622761523,0.0383494097222222,-0.0383494097222222,0.1900571,0.01370989,-0.01370989,00090008014,PC,False,False,FULL
54810.7651788807,0.0375279050925926,-0.0375279050925926,0.2168612,0.01574895,-0.01574895,00090008015,PC,False,False,FULL
54811.161171045,0.0373790046296296,-0.0373790046296296,0.20214,0.0131085,-0.0131085,00090008016,PC,False,False,FULL
54811.4566631168,0.00921375,-0.00921375,0.2004493,0.01429075,-0.01429075,00090008017,PC,False,False,FULL
54813.8061369025,0.0729672569444444,-0.0729672569444444,0.1775403,0.0110218,-0.0110218,00090008018,PC,False,False,FULL
54815.6497340175,0.0390827199074074,-0.0390827199074074,0.2272399,0.01283865,-0.01283865,00090008019,PC,False,False,FULL
54817.6226990838,0.0730600694444444,-0.0730600694444444,0.2618526,0.01167559,-0.01167559,00090008020,PC,False,False,FULL
54819.0474376139,0.0406830208333333,-0.0406830208333333,0.2644396,0.01322239,-0.01322239,00090008021,PC,False,False,FULL
54821.4017876654,0.105627719907407,-0.105627719907407,0.28015,0.0125278,-0.0125278,00090008022,PC,False,False,FULL
54823.0743320172,0.0388234259259259,-0.0388234259259259,0.3261575,0.01684625,-0.01684625,00090008023,PC,False,False,FULL
54825.8185228672,0.0362801041666667,-0.0362801041666667,0.2535202,0.01308898,-0.01308898,00090008024,PC,False,False,FULL
54827.3177932344,0.071733599537037,-0.071733599537037,0.2176904,0.01122816,-0.01122816,00090008025,PC,False,False,FULL
54829.5621206385,0.103121122685185,-0.103121122685185,0.1668857,0.01078207,-0.01078207,00090008026,PC,False,False,FULL
54841.0931104866,0.0394632986111111,-0.0394632986111111,0.1314143,0.009725474,-0.009725474,00090008028,PC,False,False,FULL
54843.9028679175,0.0282642592592593,-0.0282642592592593,0.2197894,0.02786012,-0.02786012,00090008029,PC,False,False,FULL
54845.8114355064,0.0086188773148148,-0.0086188773148148,0.1996507,0.01429334,-0.01429334,00090008030,PC,False,False,FULL
54847.7879210814,0.0396855787037037,-0.0396855787037037,0.191555,0.01060277,-0.01060277,00090008031,PC,False,False,FULL
54849.3271982189,0.0392678819444444,-0.0392678819444444,0.1887225,0.01130858,-0.01130858,00090008032,PC,False,False,FULL
54851.8308588632,0.0100408449074074,-0.0100408449074074,0.2326284,0.0139535,-0.0139535,00090008033,PC,False,False,FULL
54853.0367114674,0.0090686458333333,-0.0090686458333333,0.2244497,0.0155732,-0.0155732,00090008034,PC,False,False,FULL
54855.8700891333,0.104828217592593,-0.104828217592593,0.396347,0.01484886,-0.01484886,00090008035,PC,False,False,FULL
54857.8902570229,0.0395341782407407,-0.0395341782407407,0.2885253,0.01676809,-0.01676809,00090008036,PC,False,False,FULL
54859.7908237088,0.0097941898148148,-0.0097941898148148,0.3505032,0.01970643,-0.01970643,00090008037,PC,False,False,FULL
54861.0958734426,0.0367029050925926,-0.0367029050925926,0.2228518,0.0155242,-0.0155242,00090008038,PC,False,False,FULL
54863.0422100281,0.0382673726851852,-0.0382673726851852,0.2424079,0.01412246,-0.01412246,00090008039,PC,False,False,FULL
54865.2375604676,0.040141087962963,-0.040141087962963,0.3179931,0.01557936,-0.01557936,00090008040,PC,False,False,FULL
54867.3104533223,0.0387901736111111,-0.0387901736111111,0.2327531,0.01426672,-0.01426672,00090008041,PC,False,False,FULL
54868.9594092251,0.0057875694444444,-0.0057875694444444,0.2814107,0.02645173,-0.02645173,00090008042,PC,False,False,FULL
54871.2261270986,0.0710173148148148,-0.0710173148148148,0.2284287,0.01193377,-0.01193377,00090008043,PC,False,False,FULL
54873.3337015272,0.10303630787037,-0.10303630787037,0.1912052,0.01048591,-0.01048591,00090008044,PC,False,False,FULL
54875.4386822868,0.0091557407407407,-0.0091557407407407,0.2044412,0.01291963,-0.01291963,00090008045,PC,False,False,FULL
54877.9820839606,0.0088074768518518,-0.0088074768518518,0.1952716,0.0131461,-0.0131461,00090008046,PC,False,False,FULL
54879.5168113983,0.474090532407407,-0.474090532407407,0.1816965,0.01026829,-0.01026829,00090008047,PC,False,False,FULL
54881.2932065328,0.0379788310185185,-0.0379788310185185,0.1874588,0.01242246,-0.01242246,00090008048,PC,False,False,FULL
54883.0957477828,0.102783912037037,-0.102783912037037,0.2380288,0.01368898,-0.01368898,00090008049,PC,False,False,FULL
54893.8994310535,0.0372960069444444,-0.0372960069444444,0.2013237,0.01440446,-0.01440446,00090008050,PC,False,False,FULL
54897.9185506851,0.0383334606481481,-0.0383334606481481,0.2064369,0.01334446,-0.01334446,00090008052,PC,False,False,FULL
54901.0607489476,0.040550462962963,-0.040550462962963,0.2152162,0.01095673,-0.01095673,00090008054,PC,False,False,FULL
54903.0360043478,0.0083722106481481,-0.0083722106481481,0.2307104,0.0155412,-0.0155412,00090008055,PC,False,False,FULL
54905.8694072051,0.0388489814814815,-0.0388489814814815,0.2516663,0.01494639,-0.01494639,00090008056,PC,False,False,FULL
54907.6457856839,0.0090106134259259,-0.0090106134259259,0.2252487,0.01342084,-0.01342084,00090008057,PC,False,False,FULL
54909.2094658344,0.168940289351852,-0.168940289351852,0.2202626,0.01902243,-0.01902243,00090008058,PC,False,False,FULL
54911.4884856741,0.0392243634259259,-0.0392243634259259,0.2422182,0.01375339,-0.01375339,00090008059,PC,False,False,FULL
54913.4920228103,0.169722048611111,-0.169722048611111,0.2775865,0.01415336,-0.01415336,00090008060,PC,False,False,FULL
54915.0715784006,0.0693081018518518,-0.0693081018518518,0.2535008,0.01208631,-0.01208631,00090008061,PC,False,False,FULL
54917.4721377655,0.0694530208333333,-0.0694530208333333,0.302866,0.0187407,-0.0187407,00090008062,PC,False,False,FULL
54919.0781461451,0.070395,-0.070395,0.2848162,0.01396342,-0.01396342,00090008063,PC,False,False,FULL
54921.921828473,0.0378313888888889,-0.0378313888888889,0.2292153,0.01443171,-0.01443171,00090008064,PC,False,False,FULL
54922.1884990402,0.0378012037037037,-0.0378012037037037,0.1992093,0.01365533,-0.01365533,00090079001,PC,False,False,FULL
54925.0374886332,0.0096490393518518,-0.0096490393518518,0.1865997,0.01286721,-0.01286721,00090079002,PC,False,False,FULL
54928.048255784,0.0093008101851851,-0.0093008101851851,0.1742054,0.01264695,-0.01264695,00090079003,PC,False,False,FULL
54937.11517653,0.102101851851852,-0.102101851851852,0.1292995,0.01250839,-0.01250839,00090079004,PC,False,False,FULL
54945.3730518816,0.0372798958333333,-0.0372798958333333,0.1385784,0.01091131,-0.01091131,00090008065,PC,False,False,FULL
54946.4438847983,0.0407478819444444,-0.0407478819444444,0.1421729,0.008800472,-0.008800472,00090079005,PC,False,False,FULL
54949.219121361,0.070313287037037,-0.070313287037037,0.1424996,0.01077815,-0.01077815,00090079006,PC,False,False,FULL
54950.1827740925,0.0372800115740741,-0.0372800115740741,0.1505776,0.01202548,-0.01202548,00090008066,PC,False,False,FULL
54952.9277565551,0.03606375,-0.03606375,0.1463268,0.01492411,-0.01492411,00090079007,PC,False,False,FULL
54954.7971923827,0.0374579282407407,-0.0374579282407407,0.144902,0.01461072,-0.01461072,00090079008,PC,False,False,FULL
54955.8369970471,0.0027713773148148,-0.0027713773148148,0.1513889,0.01976534,-0.01976534,00090008067,PC,False,False,FULL
54958.0802675303,0.0370199652777778,-0.0370199652777778,0.1266089,0.01033325,-0.01033325,00090079009,PC,False,False,FULL
54960.2139159532,0.0360124189814815,-0.0360124189814815,0.1238833,0.01134775,-0.01134775,00090008068,PC,False,False,FULL
54961.8867256176,0.0374976736111111,-0.0374976736111111,0.1289141,0.0102639,-0.0102639,00090079010,PC,False,False,FULL
54964.0933918067,0.0362778125,-0.0362778125,0.1156503,0.01360299,-0.01360299,00090079011,PC,False,False,FULL
54965.0066854294,0.0057458912037037,-0.0057458912037037,0.1474181,0.01365134,-0.01365134,00090008069,PC,False,False,FULL
54967.1394156925,0.0056443287037037,-0.0056443287037037,0.1277937,0.013933,-0.013933,00090079012,PC,False,False,FULL
54970.0832875991,0.0062247222222222,-0.0062247222222222,0.129245,0.01221328,-0.01221328,00090008070,PC,False,False,FULL
54970.1499494741,0.0062247222222222,-0.0062247222222222,0.127467,0.01342901,-0.01342901,00090079013,PC,False,False,FULL
54973.0266313575,0.0059345254629629,-0.0059345254629629,0.1297527,0.01304623,-0.01304623,00090079014,PC,False,False,FULL
54976.3027264148,0.0041498148148148,-0.0041498148148148,0.1141894,0.01492475,-0.01492475,00090079015,PC,False,False,FULL
54978.0889074333,0.0374095833333333,-0.0374095833333333,0.1233856,0.01045458,-0.01045458,00090008071,PC,False,False,FULL
54979.953910173,0.0363034259259259,-0.0363034259259259,0.1230041,0.0129679,-0.0129679,00090079016,PC,False,False,FULL
54980.9929596175,0.0024086342592592,-0.0024086342592592,0.1532719,0.02123684,-0.02123684,00090008072,PC,False,False,FULL
54982.056901926,0.0048172685185185,-0.0048172685185185,0.1349528,0.01478202,-0.01478202,00090079017,PC,False,False,FULL
54985.0688302212,0.005397662037037,-0.005397662037037,0.1653739,0.01713256,-0.01713256,00090008073,PC,False,False,FULL
54985.1355586124,0.0053505324074074,-0.0053505324074074,0.1224535,0.01361965,-0.01361965,00090079018,PC,False,False,FULL
54988.8178912271,0.0695210763888889,-0.0695210763888889,0.1348465,0.01364192,-0.01364192,00090079019,PC,False,False,FULL
54989.0532113197,0.0383789467592593,-0.0383789467592593,0.1352973,0.01088852,-0.01088852,00090079020,PC,False,False,FULL
54989.1536776275,0.004423912037037,-0.004423912037037,0.1357785,0.01901705,-0.01901705,00090008074,PC,False,False,FULL
55000.0196166721,0.0060070717592592,-0.0060070717592592,0.1320176,0.01364223,-0.01364223,00090079021,PC,False,False,FULL
55000.3513904453,0.002321574074074,-0.002321574074074,0.09129874,0.01688054,-0.01688054,00090008075,PC,False,False,FULL
55003.059064631,0.0387713078703704,-0.0387713078703704,0.1593307,0.01158457,-0.01158457,00090079022,PC,False,False,FULL
