MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
54060.8419942766,0.107278125,-0.107278125,0.03759047,0.00370838,-0.00370838,00030835001,PC,False,False,FULL
54061.3110385937,0.301977291666667,-0.301977291666667,0.04162583,0.003136247,-0.003136247,00030835002,PC,False,False,FULL
54062.549592591,0.407304953703704,-0.407304953703704,0.04645147,0.002389939,-0.002389939,00030835003,PC,False,False,FULL
54063.4853599405,0.474337939814815,-0.474337939814815,0.038372,0.002826082,-0.002826082,00030835004,PC,False,False,FULL
54064.3620880171,0.340648518518519,-0.340648518518519,0.04947542,0.003131767,-0.003131767,00030835005,PC,False,False,FULL
54065.8683474709,0.842042696759259,-0.842042696759259,0.04751978,0.002468604,-0.002468604,00030835006,PC,False,False,FULL
54066.6384792649,0.0719109027777778,-0.0719109027777778,0.0037942,0.0,0.0,00030835007,PC,False,True,FULL
54067.2086744617,0.1697625,-0.1697625,0.0494977,0.003782705,-0.003782705,00030835008,PC,False,False,FULL
54068.3457645754,0.304880717592593,-0.304880717592593,0.05462706,0.003058372,-0.003058372,00030835009,PC,False,False,FULL
54069.5179814735,0.136827731481481,-0.136827731481481,0.05085644,0.005942217,-0.005942217,00030835010,PC,False,False,FULL
54070.2586177444,0.138576666666667,-0.138576666666667,0.0367657,0.003779025,-0.003779025,00030835011,PC,False,False,FULL
56970.2141399282,0.0072113888888888,-0.0072113888888888,0.06971132,0.008441226,-0.008441226,00080852001,PC,False,False,FULL
56973.5325168391,0.0061521759259259,-0.0061521759259259,0.02187295,0.005817716,-0.005817716,00080852002,PC,False,False,FULL
58656.9375793368,0.0364350925925926,-0.0364350925925926,0.01227174,0.00368888,-0.003084087,00080852003,PC,True,False,FULL
58664.7414022118,0.0083141319444444,-0.0083141319444444,0.02301056,0.005295409,-0.005295409,00080852004,PC,False,False,FULL
58672.3038829282,0.0062537384259259,-0.0062537384259259,0.04717064,0.01046769,-0.01046769,00080852005,PC,False,False,FULL
58680.5325752523,0.0074000231481481,-0.0074000231481481,0.06401033,0.007982138,-0.007982138,00080852006,PC,False,False,FULL
58691.286109897,0.0031921643518518,-0.0031921643518518,0.03186592,0.01146888,-0.009271677,00080852007,PC,False,False,FULL
58696.871350787,0.0019588310185185,-0.0019588310185185,0.06191877,0.01515615,-0.01515615,00030835012,PC,False,False,FULL
58701.6632227998,0.0031486342592592,-0.0031486342592592,0.023953,0.0,0.0,00030835013,PC,True,True,FULL
58703.9184494838,0.0041788310185185,-0.0041788310185185,0.08854357,0.01249089,-0.01249089,00030835014,PC,False,False,FULL
58708.1015013113,0.0065294212962963,-0.0065294212962963,0.04151121,0.00710568,-0.00710568,00030835015,PC,False,False,FULL
58710.221815015,0.0673081712962963,-0.0673081712962963,0.03235232,0.02506839,-0.01686377,00030835016,PC,True,False,FULL
58717.331068272,0.273494907407407,-0.273494907407407,0.03294272,0.006959074,-0.006959074,00030835017,PC,True,False,FULL
58724.7674666088,0.0058474652777777,-0.0058474652777777,0.01151139,0.004479154,-0.003579081,00030835018,PC,False,False,FULL
58745.3795852546,0.0346915972222222,-0.0346915972222222,0.01238827,0.007684755,-0.0054672,00030835020,PC,True,False,FULL
58752.3201468553,0.0017701967592592,-0.0017701967592592,0.02117621,0.01142127,-0.00843577,00030835021,PC,True,False,FULL
58760.6177890613,0.0048317708333333,-0.0048317708333333,0.09247061,0.0120349,-0.0120349,00030835023,PC,False,False,FULL
58768.9840180671,0.0052670717592592,-0.0052670717592592,0.07283961,0.01009737,-0.01009737,00030835024,PC,False,False,FULL
58795.9970225104,0.0677063078703704,-0.0677063078703704,0.007565801,0.004897914,-0.003484545,00030835025,PC,True,False,FULL
58804.776256265,0.39983431712963,-0.39983431712963,0.0617099,0.009741079,-0.009741079,00030835026,PC,False,False,FULL
58816.3924104444,0.0649178009259259,-0.0649178009259259,0.007214492,0.003266777,-0.002529813,00030835028,PC,True,False,FULL
58823.4289459294,0.139516215277778,-0.139516215277778,0.01738352,0.003808574,-0.003808574,00030835029,PC,False,False,FULL
58845.725903338,0.0668542592592593,-0.0668542592592593,0.031507,0.02283886,-0.0153817,00030835030,PC,True,False,FULL
58850.2874178287,0.034411087962963,-0.034411087962963,0.04919976,0.01204904,-0.01204904,00030835031,PC,True,False,FULL
58854.6092912037,0.0369439351851852,-0.0369439351851852,0.06906962,0.008409581,-0.008409581,00030835032,PC,False,False,FULL
58860.494184728,0.06870125,-0.06870125,0.04816748,0.005513813,-0.005513813,00030835033,PC,False,False,FULL
58876.7447311447,0.0695546990740741,-0.0695546990740741,0.06322128,0.007768199,-0.007768199,00030835034,PC,False,False,FULL
58892.0842901887,0.0084592361111111,-0.0084592361111111,0.01124196,0.005097297,-0.003947379,00030835035,PC,True,False,FULL
58899.0509184618,0.0063987847222222,-0.0063987847222222,0.01914575,0.005770106,-0.004821519,00030835036,PC,False,False,FULL
58908.5293119167,0.0377526041666667,-0.0377526041666667,0.03337954,0.006093901,-0.006093901,00030835037,PC,False,False,FULL
58916.3300023935,0.0092862962962963,-0.0092862962962963,0.04772191,0.006272165,-0.006272165,00030835038,PC,False,False,FULL
58924.6898537604,0.0091411921296296,-0.0091411921296296,0.05075356,0.006508504,-0.006508504,00030835039,PC,False,False,FULL
58932.5181896644,0.0092717824074074,-0.0092717824074074,0.005834616,0.002654168,-0.002056958,00030835040,PC,True,False,FULL
58940.3493718299,0.0086623726851851,-0.0086623726851851,0.06051089,0.007374649,-0.007374649,00030835041,PC,False,False,FULL
58948.579679897,0.272091203703704,-0.272091203703704,0.0308811,0.004780084,-0.004780084,00030835042,PC,False,False,FULL
58960.714284037,0.236099351851852,-0.236099351851852,0.07026333,0.01126357,-0.01126357,00030835043,PC,False,False,FULL
58968.4798368044,0.0393116898148148,-0.0393116898148148,0.03455715,0.004878801,-0.004878801,00030835044,PC,False,False,FULL
58975.238805875,0.0351932986111111,-0.0351932986111111,0.05761108,0.006110089,-0.006110089,00030835045,PC,False,False,FULL
58982.1820016933,0.0079804050925925,-0.0079804050925925,0.01180789,0.003766139,-0.003125981,00030835046,PC,False,False,FULL
58989.7479957407,0.0086478587962963,-0.0086478587962963,0.05461953,0.0104831,-0.0104831,00030835047,PC,False,False,FULL
58996.8509769109,0.0070372685185185,-0.0070372685185185,0.04870492,0.007242327,-0.007242327,00030835048,PC,False,False,FULL
59003.5894546227,0.0407952314814815,-0.0407952314814815,0.009605723,0.003339429,-0.002727819,00030835049,PC,True,False,FULL
59026.5651870822,0.171304826388889,-0.171304826388889,0.04763947,0.006269486,-0.006269486,00030835050,PC,False,False,FULL
59033.0384004572,0.0091992361111111,-0.0091992361111111,0.04167504,0.005841343,-0.005841343,00030835051,PC,False,False,FULL
59040.8307759641,0.0376580555555556,-0.0376580555555556,0.04317835,0.006379016,-0.006379016,00030835052,PC,False,False,FULL
59047.1767131308,0.0069937384259259,-0.0069937384259259,0.005345557,0.003004237,-0.002216951,00030835053,PC,True,False,FULL
59055.0825947488,0.0025102083333333,-0.0025102083333333,0.06039474,0.01341347,-0.01341347,00030835054,PC,False,False,FULL
59063.5876403947,0.0071823726851851,-0.0071823726851851,0.04881679,0.007435577,-0.007435577,00030835055,PC,False,False,FULL
59070.1613566956,0.0057023611111111,-0.0057023611111111,0.03097096,0.006596474,-0.006596474,00030835056,PC,False,False,FULL
59077.06095964,0.0074580555555555,-0.0074580555555555,0.06065593,0.007876621,-0.007876621,00030835057,PC,False,False,FULL
59084.8877476111,0.0077627662037037,-0.0077627662037037,0.007839256,0.003248227,-0.002560129,00030835058,PC,True,False,FULL
59091.9195493275,0.004440011574074,-0.004440011574074,0.03506706,0.007731194,-0.007731194,00030835059,PC,False,False,FULL
59098.8305720972,0.0670291087962963,-0.0670291087962963,0.02139091,0.005654867,-0.005654867,00030835060,PC,True,False,FULL
59106.3275496933,0.0714348842592593,-0.0714348842592593,0.06650531,0.005963745,-0.005963745,00030835061,PC,False,False,FULL
59113.0486497998,0.0010447106481481,-0.0010447106481481,0.1060999,0.02692966,-0.02692966,00030835062,PC,False,False,FULL
59119.885731735,0.0097796296296296,-0.0097796296296296,0.009308108,0.003044021,-0.002526607,00030835063,PC,False,False,FULL
59126.5880999398,0.007516099537037,-0.007516099537037,0.02571448,0.005123154,-0.005123154,00030835064,PC,False,False,FULL
59129.8334916088,0.0029890277777777,-0.0029890277777777,0.01957194,0.008686859,-0.006732244,00030835065,PC,True,False,FULL
59133.4517741192,0.0388760300925926,-0.0388760300925926,0.06570792,0.006669792,-0.006669792,00030835066,PC,False,False,FULL
59140.6832704873,0.0372355787037037,-0.0372355787037037,0.05038474,0.007050839,-0.007050839,00030835067,PC,False,False,FULL
59152.5407593843,0.0082125694444444,-0.0082125694444444,0.05071311,0.006907634,-0.006907634,00030835068,PC,False,False,FULL
59166.8926885683,0.0743483449074074,-0.0743483449074074,0.05826714,0.006862832,-0.006862832,00030835069,PC,False,False,FULL
59173.5587584387,0.0318792013888889,-0.0318792013888889,0.0099504,0.0,0.0,00030835070,PC,True,True,FULL
