MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
54060.8419942766,0.107278125,-0.107278125,0.016596,0.002428,00030835001,PC,False,False,SOFT
54060.8419942766,0.107278125,-0.107278125,0.0217,0.002849,00030835001,PC,False,False,HARD
54060.8419942766,0.107278125,-0.107278125,1.307596,0.257025,00030835001,PC,False,False,HR
54061.3110385937,0.301977291666667,-0.301977291666667,0.025158,0.002383,00030835002,PC,False,False,HARD
54061.3110385937,0.301977291666667,-0.301977291666667,0.016461,0.002047,00030835002,PC,False,False,SOFT
54061.3110385937,0.301977291666667,-0.301977291666667,1.528291,0.238865,00030835002,PC,False,False,HR
54062.549592591,0.407304953703704,-0.407304953703704,0.017084,0.001448,00030835003,PC,False,False,SOFT
54062.549592591,0.407304953703704,-0.407304953703704,0.029489,0.001905,00030835003,PC,False,False,HARD
54062.549592591,0.407304953703704,-0.407304953703704,1.72609,0.183952,00030835003,PC,False,False,HR
54063.4853599405,0.474337939814815,-0.474337939814815,0.023597,0.002212,00030835004,PC,False,False,HARD
54063.4853599405,0.474337939814815,-0.474337939814815,1.597515,0.242132,00030835004,PC,False,False,HR
54063.4853599405,0.474337939814815,-0.474337939814815,0.014771,0.00176,00030835004,PC,False,False,SOFT
54064.3620880171,0.340648518518519,-0.340648518518519,2.239547,0.307096,00030835005,PC,False,False,HR
54064.3620880171,0.340648518518519,-0.340648518518519,0.015272,0.001742,00030835005,PC,False,False,SOFT
54064.3620880171,0.340648518518519,-0.340648518518519,0.034203,0.002602,00030835005,PC,False,False,HARD
54065.8683474709,0.842042696759259,-0.842042696759259,1.539288,0.163025,00030835006,PC,False,False,HR
54065.8683474709,0.842042696759259,-0.842042696759259,0.029066,0.001931,00030835006,PC,False,False,HARD
54065.8683474709,0.842042696759259,-0.842042696759259,0.018883,0.001557,00030835006,PC,False,False,SOFT
54066.6384792649,0.0719109027777778,-0.0719109027777778,0.0,0.0,00030835007,PC,False,False,SOFT
54066.6384792649,0.0719109027777778,-0.0719109027777778,0.0,0.0,00030835007,PC,False,False,HARD
54066.6384792649,0.0719109027777778,-0.0719109027777778,,,00030835007,PC,False,False,HR
54067.2086744617,0.1697625,-0.1697625,1.699781,0.268302,00030835008,PC,False,False,HR
54067.2086744617,0.1697625,-0.1697625,0.018436,0.00231,00030835008,PC,False,False,SOFT
54067.2086744617,0.1697625,-0.1697625,0.031337,0.003008,00030835008,PC,False,False,HARD
54068.3457645754,0.304880717592593,-0.304880717592593,1.927449,0.227365,00030835009,PC,False,False,HR
54068.3457645754,0.304880717592593,-0.304880717592593,0.036086,0.002484,00030835009,PC,False,False,HARD
54068.3457645754,0.304880717592593,-0.304880717592593,0.018722,0.001794,00030835009,PC,False,False,SOFT
54069.5179814735,0.136827731481481,-0.136827731481481,1.403948,0.332934,00030835010,PC,False,False,HR
54069.5179814735,0.136827731481481,-0.136827731481481,0.029701,0.004537,00030835010,PC,False,False,HARD
54069.5179814735,0.136827731481481,-0.136827731481481,0.021156,0.003837,00030835010,PC,False,False,SOFT
54070.2586177444,0.138576666666667,-0.138576666666667,0.014085,0.002342,00030835011,PC,False,False,SOFT
54070.2586177444,0.138576666666667,-0.138576666666667,0.022681,0.002966,00030835011,PC,False,False,HARD
54070.2586177444,0.138576666666667,-0.138576666666667,1.610251,0.340621,00030835011,PC,False,False,HR
56970.2141399282,0.0072113888888888,-0.0072113888888888,0.04803,0.006996,00080852001,PC,False,False,HARD
56970.2141399282,0.0072113888888888,-0.0072113888888888,0.022683,0.004828,00080852001,PC,False,False,SOFT
56970.2141399282,0.0072113888888888,-0.0072113888888888,2.117423,0.546119,00080852001,PC,False,False,HR
56973.5325168391,0.0061521759259259,-0.0061521759259259,0.013296,0.004529,00080852002,PC,False,False,HARD
56973.5325168391,0.0061521759259259,-0.0061521759259259,0.008578,0.003652,00080852002,PC,False,False,SOFT
56973.5325168391,0.0061521759259259,-0.0061521759259259,1.549977,0.845037,00080852002,PC,False,False,HR
58656.9375793368,0.0364350925925926,-0.0364350925925926,1.877623,1.072134,00080852003,PC,True,False,HR
58656.9375793368,0.0364350925925926,-0.0364350925925926,0.008007,0.002733,00080852003,PC,True,False,HARD
58656.9375793368,0.0364350925925926,-0.0364350925925926,0.004264,0.001952,00080852003,PC,True,False,SOFT
58664.7414022118,0.0083141319444444,-0.0083141319444444,0.806777,0.374061,00080852004,PC,False,False,HR
58664.7414022118,0.0083141319444444,-0.0083141319444444,0.010274,0.003567,00080852004,PC,False,False,HARD
58664.7414022118,0.0083141319444444,-0.0083141319444444,0.012735,0.003914,00080852004,PC,False,False,SOFT
58672.3038829282,0.0062537384259259,-0.0062537384259259,0.018167,0.006526,00080852005,PC,False,False,SOFT
58672.3038829282,0.0062537384259259,-0.0062537384259259,0.029004,0.008185,00080852005,PC,False,False,HARD
58672.3038829282,0.0062537384259259,-0.0062537384259259,1.596528,0.729316,00080852005,PC,False,False,HR
58680.5325752523,0.0074000231481481,-0.0074000231481481,1.193233,0.298832,00080852006,PC,False,False,HR
58680.5325752523,0.0074000231481481,-0.0074000231481481,0.029185,0.005398,00080852006,PC,False,False,SOFT
58680.5325752523,0.0074000231481481,-0.0074000231481481,0.034825,0.00588,00080852006,PC,False,False,HARD
58691.286109897,0.0031921643518518,-0.0031921643518518,0.022177,0.008518,00080852007,PC,False,False,HARD
58691.286109897,0.0031921643518518,-0.0031921643518518,2.288714,1.60801,00080852007,PC,False,False,HR
58691.286109897,0.0031921643518518,-0.0031921643518518,0.00969,0.0057,00080852007,PC,False,False,SOFT
58696.871350787,0.0019588310185185,-0.0019588310185185,0.021732,0.008965,00030835012,PC,False,False,SOFT
58696.871350787,0.0019588310185185,-0.0019588310185185,1.849255,0.947728,00030835012,PC,False,False,HR
58696.871350787,0.0019588310185185,-0.0019588310185185,0.040187,0.012221,00030835012,PC,False,False,HARD
58701.6632227998,0.0031486342592592,-0.0031486342592592,-0.000172,6.1e-05,00030835013,PC,True,False,SOFT
58701.6632227998,0.0031486342592592,-0.0031486342592592,0.004548,0.003448,00030835013,PC,True,False,HARD
58701.6632227998,0.0031486342592592,-0.0031486342592592,-26.429295,-22.1058,00030835013,PC,True,False,HR
58703.9184494838,0.0041788310185185,-0.0041788310185185,0.060885,0.010357,00030835014,PC,False,False,HARD
58703.9184494838,0.0041788310185185,-0.0041788310185185,0.027658,0.006983,00030835014,PC,False,False,SOFT
58703.9184494838,0.0041788310185185,-0.0041788310185185,2.201323,0.670129,00030835014,PC,False,False,HR
58708.1015013113,0.0065294212962963,-0.0065294212962963,0.022524,0.005236,00030835015,PC,False,False,HARD
58708.1015013113,0.0065294212962963,-0.0065294212962963,1.116186,0.377187,00030835015,PC,False,False,HR
58708.1015013113,0.0065294212962963,-0.0065294212962963,0.02018,0.004949,00030835015,PC,False,False,SOFT
58710.221815015,0.0673081712962963,-0.0673081712962963,-0.002262,0.000923,00030835016,PC,True,False,SOFT
58710.221815015,0.0673081712962963,-0.0673081712962963,0.034608,0.020189,00030835016,PC,True,False,HARD
58710.221815015,0.0673081712962963,-0.0673081712962963,-15.300373,-10.894271,00030835016,PC,True,False,HR
58717.331068272,0.273494907407407,-0.273494907407407,0.024395,0.005985,00030835017,PC,True,False,HARD
58717.331068272,0.273494907407407,-0.273494907407407,0.008548,0.003551,00030835017,PC,True,False,SOFT
58717.331068272,0.273494907407407,-0.273494907407407,2.853962,1.376847,00030835017,PC,True,False,HR
58724.7674666088,0.0058474652777777,-0.0058474652777777,0.007702,0.00323,00030835018,PC,False,False,SOFT
58724.7674666088,0.0058474652777777,-0.0058474652777777,0.494398,0.365808,00030835018,PC,False,False,HR
58724.7674666088,0.0058474652777777,-0.0058474652777777,0.003808,0.002321,00030835018,PC,False,False,HARD
58745.3795852546,0.0346915972222222,-0.0346915972222222,0.00939,0.005532,00030835020,PC,True,False,SOFT
58745.3795852546,0.0346915972222222,-0.0346915972222222,0.31918,0.389254,00030835020,PC,True,False,HR
58745.3795852546,0.0346915972222222,-0.0346915972222222,0.002997,0.0032,00030835020,PC,True,False,HARD
58752.3201468553,0.0017701967592592,-0.0017701967592592,0.012715,0.007523,00030835021,PC,True,False,HARD
58752.3201468553,0.0017701967592592,-0.0017701967592592,1.502995,1.406,00030835021,PC,True,False,HR
58752.3201468553,0.0017701967592592,-0.0017701967592592,0.00846,0.00613,00030835021,PC,True,False,SOFT
58760.6177890613,0.0048317708333333,-0.0048317708333333,1.716613,0.463789,00030835023,PC,False,False,HR
58760.6177890613,0.0048317708333333,-0.0048317708333333,0.058432,0.009551,00030835023,PC,False,False,HARD
58760.6177890613,0.0048317708333333,-0.0048317708333333,0.034039,0.007322,00030835023,PC,False,False,SOFT
58768.9840180671,0.0052670717592592,-0.0052670717592592,0.024615,0.005887,00030835024,PC,False,False,SOFT
58768.9840180671,0.0052670717592592,-0.0052670717592592,1.959143,0.575006,00030835024,PC,False,False,HR
58768.9840180671,0.0052670717592592,-0.0052670717592592,0.048224,0.008203,00030835024,PC,False,False,HARD
58795.9970225104,0.0677063078703704,-0.0677063078703704,0.005889,0.00355,00030835025,PC,True,False,HARD
58795.9970225104,0.0677063078703704,-0.0677063078703704,3.540939,4.762598,00030835025,PC,True,False,HR
58795.9970225104,0.0677063078703704,-0.0677063078703704,0.001663,0.002,00030835025,PC,True,False,SOFT
58804.776256265,0.39983431712963,-0.39983431712963,0.02578,0.006321,00030835026,PC,False,False,SOFT
58804.776256265,0.39983431712963,-0.39983431712963,0.03593,0.007412,00030835026,PC,False,False,HARD
58804.776256265,0.39983431712963,-0.39983431712963,1.393691,0.446578,00030835026,PC,False,False,HR
58816.3924104444,0.0649178009259259,-0.0649178009259259,0.006372,0.00264,00030835028,PC,True,False,HARD
58816.3924104444,0.0649178009259259,-0.0649178009259259,7.554168,10.138444,00030835028,PC,True,False,HR
58816.3924104444,0.0649178009259259,-0.0649178009259259,0.000843,0.001077,00030835028,PC,True,False,SOFT
58823.4289459294,0.139516215277778,-0.139516215277778,0.007862,0.002563,00030835029,PC,False,False,SOFT
58823.4289459294,0.139516215277778,-0.139516215277778,1.21114,0.533199,00030835029,PC,False,False,HR
58823.4289459294,0.139516215277778,-0.139516215277778,0.009522,0.002817,00030835029,PC,False,False,HARD
58845.725903338,0.0668542592592593,-0.0668542592592593,0.011427,0.011427,00030835030,PC,True,False,SOFT
58845.725903338,0.0668542592592593,-0.0668542592592593,1.758345,2.166214,00030835030,PC,True,False,HR
