MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53379.9546512442,0.0012623611111111,-0.0012623611111111,0.03184878,0.01589082,-0.0120524,00067042001,PC,True,False,FULL
53394.1584085688,0.147138703703704,-0.147138703703704,0.08658701,0.0114767900128856,-0.0114767905234826,00056050001,WT,True,False,FULL
53394.9755587042,0.0001222569444444,-0.0001222569444444,0.81056,0.0,0.0,00067042256,WT,True,True,FULL
55564.7071590073,0.0011027430555555,-0.0011027430555555,0.07757522,0.02553454,-0.02103588,00031905002,PC,False,False,FULL
55565.5829845142,0.0058039351851851,-0.0058039351851851,0.06668503,0.009615518,-0.009615518,00031905003,PC,False,False,FULL
55568.5065419144,0.103770949074074,-0.103770949074074,0.05803889,0.005815606,-0.005815606,00031905004,PC,False,False,FULL
55572.0485827956,0.0406344675925926,-0.0406344675925926,0.05344748,0.005738333,-0.005738333,00031905005,PC,True,False,FULL
55584.2258821173,0.0406849421296296,-0.0406849421296296,0.08501576,0.006268523,-0.006268523,00031905006,PC,False,False,FULL
55596.4324784863,0.0736762384259259,-0.0736762384259259,0.05325302,0.005044622,-0.005044622,00031905007,PC,False,False,FULL
55608.6835069844,0.139301770833333,-0.139301770833333,0.1096147,0.007007157,-0.007007157,00031905008,PC,False,False,FULL
55620.431390308,0.102540081018519,-0.102540081018519,0.102684,0.009311198,-0.009311198,00031905009,PC,False,False,FULL
55635.7164171403,0.204305532407407,-0.204305532407407,0.1208175,0.01011749,-0.01011749,00031905010,PC,False,False,FULL
55644.6756482945,0.203417905092593,-0.203417905092593,0.1258481,0.007449493,-0.007449493,00031905011,PC,False,False,FULL
55738.2319709545,0.229729398148148,-0.229729398148148,0.06141554,0.004988806,-0.004988806,00031905012,PC,False,False,FULL
55742.6417619346,0.240091886574074,-0.240091886574074,0.06124598,0.005039176,-0.005039176,00031905013,PC,False,False,FULL
55769.0934615499,0.0693926388888889,-0.0693926388888889,0.05350638,0.004425921,-0.004425921,00031905014,PC,False,False,FULL
55797.7971267221,0.0055427546296296,-0.0055427546296296,0.05063193,0.008374746,-0.008374746,00031905015,PC,True,False,FULL
55802.5585901498,0.0760174884259259,-0.0760174884259259,0.03912186,0.004452851,-0.004452851,00031905016,PC,True,False,FULL
55808.500356802,0.138439988425926,-0.138439988425926,0.03838547,0.003946423,-0.003946423,00031905017,PC,False,False,FULL
56181.2096565077,0.173541099537037,-0.173541099537037,0.03285285,0.003826633,-0.003826633,00031905018,PC,False,False,FULL
56513.8736471866,0.0053831481481481,-0.0053831481481481,0.04377576,0.007889013,-0.007889013,00080498001,PC,False,False,FULL
56525.9272572711,0.0378716666666667,-0.0378716666666667,0.03751291,0.005134185,-0.005134185,00080498002,PC,True,False,FULL
56677.8053074204,0.0327181712962963,-0.0327181712962963,0.01425013,0.003394531,-0.003394531,00080498003,PC,True,False,FULL
58496.3631534436,0.0053251157407407,-0.0053251157407407,0.01773707,0.006891907,-0.005571558,00010978001,PC,True,False,FULL
58510.7079283058,0.0057023611111111,-0.0057023611111111,0.01366127,0.004938067,-0.004031239,00010978002,PC,True,False,FULL
58524.1278487225,0.0732727546296296,-0.0732727546296296,0.01851666,0.002737297,-0.002737297,00010978003,PC,True,False,FULL
58538.1383832479,0.0057749189814814,-0.0057749189814814,0.02450799,0.005739174,-0.005739174,00010978004,PC,True,False,FULL
58552.6889487422,0.0052235416666666,-0.0052235416666666,0.02173414,0.005821923,-0.005821923,00010978005,PC,False,False,FULL
58566.2866005547,0.0047882523148148,-0.0047882523148148,0.0163578,0.00594712,-0.004854989,00010978006,PC,True,False,FULL
58580.6402269609,0.0060215856481481,-0.0060215856481481,0.03282915,0.006700298,-0.006700298,00010978007,PC,False,False,FULL
58594.538691351,0.0346445138888889,-0.0346445138888889,0.02075706,0.005083891,-0.005083891,00010978008,PC,True,False,FULL
58608.8623701611,0.0054121643518518,-0.0054121643518518,0.03278957,0.007034978,-0.007034978,00010978009,PC,True,False,FULL
58622.4058566218,0.0056588425925925,-0.0056588425925925,0.0315798,0.006855342,-0.006855342,00010978010,PC,False,False,FULL
58636.2769567028,0.0734520601851852,-0.0734520601851852,0.02980065,0.006618162,-0.006618162,00010978011,PC,True,False,FULL
58650.9649729574,0.0055572685185185,-0.0055572685185185,0.084151,0.01201188,-0.01201188,00010978012,PC,False,False,FULL
58664.6977668498,0.0057313888888888,-0.0057313888888888,0.03801943,0.007159931,-0.007159931,00010978013,PC,True,False,FULL
58678.0567332248,0.0054702083333333,-0.0054702083333333,0.03168907,0.006718182,-0.006718182,00010978014,PC,True,False,FULL
58692.7918628625,0.0057604050925925,-0.0057604050925925,0.02060846,0.005469155,-0.005469155,00010978015,PC,True,False,FULL
58706.281122513,0.005397662037037,-0.005397662037037,0.02589573,0.006253157,-0.006253157,00010978016,PC,False,False,FULL
58720.2230442919,0.0051219675925925,-0.0051219675925925,0.03867514,0.00829382,-0.00829382,00010978017,PC,True,False,FULL
58734.1653337792,0.0044980555555555,-0.0044980555555555,0.03944652,0.008666478,-0.008666478,00010978018,PC,True,False,FULL
58832.899485969,0.0064713888888888,-0.0064713888888888,0.01637096,0.00448081,-0.00448081,00010978019,PC,False,False,FULL
58839.7360393591,0.0032356944444444,-0.0032356944444444,0.02095029,0.008052029,-0.006509425,00010978020,PC,False,False,FULL
58846.5761631079,0.0728525231481481,-0.0728525231481481,0.03333362,0.00687327,-0.00687327,00010978021,PC,True,False,FULL
58853.1465148533,0.0094459027777777,-0.0094459027777777,0.02978827,0.005171678,-0.005171678,00010978022,PC,True,False,FULL
58860.6109577908,0.03667125,-0.03667125,0.02042864,0.003653348,-0.003653348,00010978023,PC,True,False,FULL
58867.9581780836,0.0040337384259259,-0.0040337384259259,0.01780732,0.006610039,-0.00534369,00010978024,PC,False,False,FULL
58874.724391491,0.0086333564814814,-0.0086333564814814,0.02306713,0.004767889,-0.004767889,00010978025,PC,True,False,FULL
58888.5313936855,0.0099827662037037,-0.0099827662037037,0.02994641,0.004777784,-0.004777784,00010978027,PC,True,False,FULL
58895.6366831276,0.0095474768518518,-0.0095474768518518,0.01289475,0.003522204,-0.003522204,00010978028,PC,True,False,FULL
58902.1115439922,0.0402437152777778,-0.0402437152777778,0.022339,0.004058999,-0.004058999,00010978029,PC,True,False,FULL
58909.9835924667,0.00847375,-0.00847375,0.02560512,0.004922076,-0.004922076,00010978030,PC,True,False,FULL
58916.8845018915,0.0019878472222222,-0.0019878472222222,0.033543,0.0,0.0,00010978031,PC,False,True,FULL
58917.9636532202,0.0040627546296296,-0.0040627546296296,0.028268,0.0,0.0,00010978033,PC,False,True,FULL
58919.4380604123,0.0387201041666667,-0.0387201041666667,0.01924989,0.003871812,-0.003871812,00010978032,PC,True,False,FULL
58923.3545635095,0.038197662037037,-0.038197662037037,0.01956453,0.003892404,-0.003892404,00010978034,PC,True,False,FULL
58930.5619383324,0.0092862962962963,-0.0092862962962963,0.03232995,0.005292974,-0.005292974,00010978035,PC,False,False,FULL
58937.2664233521,0.0096490393518518,-0.0096490393518518,0.02611926,0.00471778,-0.00471778,00010978036,PC,True,False,FULL
58944.3127630709,0.0084592361111111,-0.0084592361111111,0.01773693,0.004485915,-0.004485915,00010978037,PC,False,False,FULL
58951.2899519679,0.0041788310185185,-0.0041788310185185,0.025643,0.0,0.0,00010978038,PC,False,True,FULL
58958.9828897699,0.0091702199074074,-0.0091702199074074,0.02920337,0.005165708,-0.005165708,00010978039,PC,True,False,FULL
58965.8611246577,0.0371716319444444,-0.0371716319444444,0.006332999,0.003355544,-0.002545015,00010978040,PC,True,False,FULL
58972.4660446542,0.0093443402777777,-0.0093443402777777,0.02297122,0.004461355,-0.004461355,00010978041,PC,True,False,FULL
58979.4956540489,0.0047302083333333,-0.0047302083333333,0.01030587,0.00511329,-0.003962758,00010978042,PC,False,False,FULL
58986.539301535,0.0096925694444444,-0.0096925694444444,0.05498745,0.007458195,-0.007458195,00010978043,PC,False,False,FULL
58993.5096425385,0.0094894328703703,-0.0094894328703703,0.02781976,0.005558334,-0.005558334,00010978044,PC,True,False,FULL
59000.6795656125,0.0097070833333333,-0.0097070833333333,0.02137221,0.004217645,-0.004217645,00010978045,PC,False,False,FULL
59007.5097709447,0.0031051041666666,-0.0031051041666666,0.01656431,0.007651279,-0.005925199,00010978046,PC,False,False,FULL
59008.8813807746,0.0305578472222222,-0.0305578472222222,0.01561382,0.0034233,-0.0034233,00010978047,PC,True,False,FULL
59010.272088631,0.0366153125,-0.0366153125,0.02053649,0.004053449,-0.004053449,00010978049,PC,True,False,FULL
59012.6981145767,0.0064423726851851,-0.0064423726851851,0.01068322,0.006702796,-0.004948151,00010978050,PC,True,False,FULL
59014.4925840998,0.0077917824074074,-0.0077917824074074,0.03236252,0.006230551,-0.006230551,00010978051,PC,True,False,FULL
59021.5976154609,0.0097215972222222,-0.0097215972222222,0.007723596,0.003000686,-0.002449639,00010978052,PC,True,False,FULL
59028.4343962769,0.009736099537037,-0.009736099537037,0.01836568,0.004017445,-0.004017445,00010978053,PC,True,False,FULL
59035.1392635292,0.009736099537037,-0.009736099537037,0.02642597,0.004805934,-0.004805934,00010978054,PC,True,False,FULL
59042.3763543799,0.0045706018518518,-0.0045706018518518,0.01362894,0.005620233,-0.004490864,00010978055,PC,False,False,FULL
59049.8758838417,0.0099247337962963,-0.0099247337962963,0.02438491,0.004413259,-0.004413259,00010978056,PC,False,False,FULL
59056.878443557,0.0323477314814815,-0.0323477314814815,0.01340882,0.003282331,-0.003282331,00010978057,PC,True,False,FULL
59063.2251779378,0.0099102199074074,-0.0099102199074074,0.01702458,0.003760206,-0.003760206,00010978058,PC,True,False,FULL
59070.6181664262,0.0308506018518519,-0.0308506018518519,0.02026046,0.003989876,-0.003989876,00010978059,PC,True,False,FULL
59583.828219991,0.0082270833333333,-0.0082270833333333,0.0222636,0.004730345,-0.004730345,00010978060,PC,True,False,FULL
59590.1302109077,0.0083141319444444,-0.0083141319444444,0.02062558,0.004831861,-0.004831861,00010978061,PC,True,False,FULL
