MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
53379.9546512442,0.0012623611111111,-0.0012623611111111,0.021294,0.011195,00067042001,PC,True,False,SOFT
53379.9546512442,0.0012623611111111,-0.0012623611111111,0.010557,0.007917,00067042001,PC,True,False,HARD
53379.9546512442,0.0012623611111111,-0.0012623611111111,0.495763,0.454049,00067042001,PC,True,False,HR
53394.1584085688,0.147138703703704,-0.147138703703704,0.064648,0.010042,00056050001,WT,True,False,SOFT
53394.1584085688,0.147138703703704,-0.147138703703704,0.022943,0.006487,00056050001,WT,True,False,HARD
53394.1584085688,0.147138703703704,-0.147138703703704,0.354897,0.111844,00056050001,WT,True,False,HR
53394.9755587193,0.0001222569444444,-0.0001222569444444,0.051038,0.051038,00067042256,WT,True,False,HARD
53394.9755587193,0.0001222569444444,-0.0001222569444444,0.190925,0.141642,00067042256,WT,True,False,SOFT
53394.9755587193,0.0001222569444444,-0.0001222569444444,0.26732,0.332851,00067042256,WT,True,False,HR
55564.7071590073,0.0011027430555555,-0.0011027430555555,0.502082,0.315567,00031905002,PC,False,False,HR
55564.7071590073,0.0011027430555555,-0.0011027430555555,0.051645,0.018861,00031905002,PC,False,False,SOFT
55564.7071590073,0.0011027430555555,-0.0011027430555555,0.02593,0.013264,00031905002,PC,False,False,HARD
55565.5829845142,0.0058039351851851,-0.0058039351851851,0.022147,0.005542,00031905003,PC,False,False,HARD
55565.5829845142,0.0058039351851851,-0.0058039351851851,0.044538,0.007858,00031905003,PC,False,False,SOFT
55565.5829845142,0.0058039351851851,-0.0058039351851851,0.497265,0.15225,00031905003,PC,False,False,HR
55568.5065419144,0.103770949074074,-0.103770949074074,0.032009,0.004318,00031905004,PC,False,False,SOFT
55568.5065419144,0.103770949074074,-0.103770949074074,0.81325,0.163859,00031905004,PC,False,False,HR
55568.5065419144,0.103770949074074,-0.103770949074074,0.026031,0.003896,00031905004,PC,False,False,HARD
55572.0485827956,0.0406344675925926,-0.0406344675925926,0.025063,0.003909,00031905005,PC,True,False,HARD
55572.0485827956,0.0406344675925926,-0.0406344675925926,0.882981,0.189846,00031905005,PC,True,False,HR
55572.0485827956,0.0406344675925926,-0.0406344675925926,0.028385,0.004201,00031905005,PC,True,False,SOFT
55584.2258821173,0.0406849421296296,-0.0406849421296296,0.428418,0.068778,00031905006,PC,False,False,HR
55584.2258821173,0.0406849421296296,-0.0406849421296296,0.060126,0.005259,00031905006,PC,False,False,SOFT
55584.2258821173,0.0406849421296296,-0.0406849421296296,0.025759,0.003468,00031905006,PC,False,False,HARD
55596.4324784863,0.0736762384259259,-0.0736762384259259,0.034839,0.004099,00031905007,PC,False,False,SOFT
55596.4324784863,0.0736762384259259,-0.0736762384259259,0.528168,0.104814,00031905007,PC,False,False,HR
55596.4324784863,0.0736762384259259,-0.0736762384259259,0.018401,0.002941,00031905007,PC,False,False,HARD
55608.6835069844,0.139301770833333,-0.139301770833333,0.039617,0.004201,00031905008,PC,False,False,HARD
55608.6835069844,0.139301770833333,-0.139301770833333,0.562631,0.074697,00031905008,PC,False,False,HR
55608.6835069844,0.139301770833333,-0.139301770833333,0.070414,0.005624,00031905008,PC,False,False,SOFT
55620.431390308,0.102540081018519,-0.102540081018519,0.077397,0.008103,00031905009,PC,False,False,SOFT
55620.431390308,0.102540081018519,-0.102540081018519,0.025287,0.004587,00031905009,PC,False,False,HARD
55620.431390308,0.102540081018519,-0.102540081018519,0.326722,0.068428,00031905009,PC,False,False,HR
55635.7164171403,0.204305532407407,-0.204305532407407,0.034077,0.005381,00031905010,PC,False,False,HARD
55635.7164171403,0.204305532407407,-0.204305532407407,0.08672,0.008568,00031905010,PC,False,False,SOFT
55635.7164171403,0.204305532407407,-0.204305532407407,0.392955,0.073197,00031905010,PC,False,False,HR
55644.6756482945,0.203417905092593,-0.203417905092593,0.320983,0.044178,00031905011,PC,False,False,HR
55644.6756482945,0.203417905092593,-0.203417905092593,0.030764,0.003685,00031905011,PC,False,False,HARD
