MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53937.5064563725,0.474054594907407,-0.474054594907407,0.002094756,0.000712769,-0.0005916144,00035458001,PC,True,False,FULL
53940.2865716584,0.570536921296296,-0.570536921296296,0.38009,0.0,0.0,00035458002,WT,True,True,FULL
54964.3430957516,0.298508275462963,-0.298508275462963,0.004982774,0.00108204,-0.00108204,00090101001,PC,True,False,FULL
54995.1097381156,0.0742255787037037,-0.0742255787037037,0.001945929,0.001002569,-0.0007769825,00090101002,PC,True,False,FULL
54998.1243737251,0.069291712962963,-0.069291712962963,0.010842,0.0,0.0,00090101003,PC,True,True,FULL
54999.5284981374,0.471422974537037,-0.471422974537037,0.002097301,0.0009295283,-0.0007321012,00090101004,PC,True,False,FULL
55003.7191332632,0.0982892476851852,-0.0982892476851852,0.19924,0.0,0.0,00090101005,PC,True,True,FULL
55005.4800583029,0.470569108796296,-0.470569108796296,0.003529659,0.0008578158,-0.0008578158,00090101006,PC,True,False,FULL
55113.8139932374,0.769956284722222,-0.769956284722222,0.02644072,0.002053413,-0.002053413,00090101007,PC,True,False,FULL
55116.12127161,0.676558217592593,-0.676558217592593,0.01904223,0.001349318,-0.001349318,00090101008,PC,True,False,FULL
55117.4591163669,0.0748198611111111,-0.0748198611111111,0.01498382,0.002996047,-0.002996047,00090101009,PC,True,False,FULL
56134.453852748,0.404362928240741,-0.404362928240741,0.0032294,0.0,0.0,00035458003,PC,True,True,FULL
56228.8232472851,0.0445192013888889,-0.0445192013888889,0.002284028,0.001122776,-0.0008849296,00032614001,PC,True,False,FULL
56231.4954730833,0.442586886574074,-0.442586886574074,0.004415613,0.001089456,-0.001089456,00032614002,PC,True,False,FULL
56233.4299096532,0.0408019560185185,-0.0408019560185185,0.01269147,0.002713501,-0.002713501,00032614003,PC,True,False,FULL
56234.3373469333,0.604889479166667,-0.604889479166667,0.007853717,0.001433213,-0.001433213,00032614005,PC,True,False,FULL
56234.370680224,0.571556145833333,-0.571556145833333,0.0015886,0.0,0.0,00032614004,PC,True,True,FULL
56235.3570653434,0.0333500578703704,-0.0333500578703704,0.44776,0.0,0.0,00032614007,WT,True,True,FULL
56235.6576212925,0.333906006944444,-0.333906006944444,0.10633,0.0,0.0,00032614008,WT,True,True,FULL
56235.6748791707,0.332621319444444,-0.332621319444444,0.00090765,0.0,0.0,00032614006,PC,True,True,FULL
