MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
55420.6833605349,0.308906689814815,-0.308906689814815,0.0037,0.000991,00031785001,PC,True,False,HARD
55420.6833605349,0.308906689814815,-0.308906689814815,1.277836,0.526891,00031785001,PC,True,False,HR
55420.6833605349,0.308906689814815,-0.308906689814815,0.002896,0.000908,00031785001,PC,True,False,SOFT
55421.9127307981,1.1400462962963e-05,-1.1400462962963e-05,0.569603,0.569604,00031785002,WT,False,False,SOFT
55421.9127307981,1.1400462962963e-05,-1.1400462962963e-05,0.0,0.0,00031785002,WT,False,False,HARD
55421.9127307981,1.1400462962963e-05,-1.1400462962963e-05,0.0,,00031785002,WT,False,False,HR
55423.3937523349,0.12469880787037,-0.12469880787037,0.0,,00031785003,WT,True,False,HR
55423.3937523349,0.12469880787037,-0.12469880787037,0.0,0.0,00031785003,WT,True,False,HARD
55423.4688814899,0.1997721875,-0.1997721875,0.00239,0.000717,00031785003,PC,True,False,SOFT
55685.2623711468,0.0375369097222222,-0.0375369097222222,0.026243,0.006264,00031785005,PC,True,False,HARD
55685.2623711468,0.0375369097222222,-0.0375369097222222,1.486305,0.560914,00031785005,PC,True,False,HR
55685.2623711468,0.0375369097222222,-0.0375369097222222,0.017656,0.005161,00031785005,PC,True,False,SOFT
55696.1293856586,0.0684272337962963,-0.0684272337962963,4.944843,2.56724,00031785006,PC,True,False,HR
55696.1293856586,0.0684272337962963,-0.0684272337962963,0.003338,0.001589,00031785006,PC,True,False,SOFT
55696.1293856586,0.0684272337962963,-0.0684272337962963,0.016506,0.003422,00031785006,PC,True,False,HARD
55710.698765541,0.0053106018518518,-0.0053106018518518,0.001303,0.001447,00031785007,PC,False,False,SOFT
55710.698765541,0.0053106018518518,-0.0053106018518518,12.323509,14.202916,00031785007,PC,False,False,HR
55710.698765541,0.0053106018518518,-0.0053106018518518,0.016054,0.004926,00031785007,PC,False,False,HARD
55725.9415171886,0.0403194097222222,-0.0403194097222222,4.046004,1.954737,00031785008,PC,True,False,HR
55725.9415171886,0.0403194097222222,-0.0403194097222222,0.003485,0.001513,00031785008,PC,True,False,SOFT
55725.9415171886,0.0403194097222222,-0.0403194097222222,0.0141,0.002988,00031785008,PC,True,False,HARD
55738.6085473484,0.0760603125,-0.0760603125,-0.030146,-0.042308,00031785009,PC,True,False,HR
55738.6085473484,0.0760603125,-0.0760603125,-0.000156,5.5e-05,00031785009,PC,True,False,HARD
55738.6085473484,0.0760603125,-0.0760603125,0.005181,0.007036,00031785009,PC,True,False,SOFT
55752.5261479307,0.334860902777778,-0.334860902777778,0.028666,0.014633,00031785010,PC,True,False,HARD
55752.5261479307,0.334860902777778,-0.334860902777778,0.008266,0.008746,00031785010,PC,True,False,SOFT
55752.5261479307,0.334860902777778,-0.334860902777778,3.468066,4.074219,00031785010,PC,True,False,HR
55780.0252355411,0.0010301967592592,-0.0010301967592592,0.021811,0.012747,00031785011,PC,True,False,HARD
55780.0252355411,0.0010301967592592,-0.0010301967592592,-0.000534,0.000189,00031785011,PC,True,False,SOFT
55780.0252355411,0.0010301967592592,-0.0010301967592592,-40.854138,-27.905281,00031785011,PC,True,False,HR
55885.26087686,0.0348493055555556,-0.0348493055555556,5.653369,3.020969,00031785012,PC,True,False,HR
55885.26087686,0.0348493055555556,-0.0348493055555556,0.002938,0.001456,00031785012,PC,True,False,SOFT
55885.26087686,0.0348493055555556,-0.0348493055555556,0.016608,0.003316,00031785012,PC,True,False,HARD
55899.7709354819,0.0366585763888889,-0.0366585763888889,0.001082,0.001427,00031785013,PC,True,False,SOFT
55899.7709354819,0.0366585763888889,-0.0366585763888889,0.026039,0.00642,00031785013,PC,True,False,HARD
55899.7709354819,0.0366585763888889,-0.0366585763888889,24.067806,32.30027,00031785013,PC,True,False,HR
55913.0965194733,0.0033662847222222,-0.0033662847222222,0.009098,0.004623,00031785014,PC,False,False,SOFT
55913.0965194733,0.0033662847222222,-0.0033662847222222,4.179342,2.354878,00031785014,PC,False,False,HR
55913.0965194733,0.0033662847222222,-0.0033662847222222,0.038022,0.009257,00031785014,PC,False,False,HARD
55916.1826139948,0.0054556944444444,-0.0054556944444444,6.834334,5.63065,00031785015,PC,True,False,HR
55916.1826139948,0.0054556944444444,-0.0054556944444444,0.002703,0.002093,00031785015,PC,True,False,SOFT
55916.1826139948,0.0054556944444444,-0.0054556944444444,0.018474,0.00521,00031785015,PC,True,False,HARD
55927.2192790069,0.0083461111111111,-0.0083461111111111,0.00435,0.002169,00031785016,PC,False,False,SOFT
55927.2192790069,0.0083461111111111,-0.0083461111111111,0.031627,0.005545,00031785016,PC,False,False,HARD
55927.2192790069,0.0083461111111111,-0.0083461111111111,7.2705,3.843448,00031785016,PC,False,False,HR
55941.4561446029,0.0062537384259259,-0.0062537384259259,0.003227,0.002066,00031785017,PC,False,False,SOFT
55941.4561446029,0.0062537384259259,-0.0062537384259259,0.021306,0.005069,00031785017,PC,False,False,HARD
55941.4561446029,0.0062537384259259,-0.0062537384259259,6.60308,4.510886,00031785017,PC,False,False,HR
