MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
55763.5299396939,0.13661775462963,-0.13661775462963,0.056648,0.005211,00045596001,PC,False,False,HARD
55763.5299396939,0.13661775462963,-0.13661775462963,0.036214,0.004202,00045596001,PC,False,False,SOFT
55763.5299396939,0.13661775462963,-0.13661775462963,1.564264,0.231628,00045596001,PC,False,False,HR
55768.6164767764,0.0049333449074074,-0.0049333449074074,0.008537,0.003882,00045596002,PC,False,False,SOFT
55768.6164767764,0.0049333449074074,-0.0049333449074074,0.029784,0.006879,00045596002,PC,False,False,HARD
55768.6164767764,0.0049333449074074,-0.0049333449074074,3.488904,1.779428,00045596002,PC,False,False,HR
55769.3131972857,0.310956898148148,-0.310956898148148,0.029425,0.002656,00045596003,PC,False,False,HARD
55769.3131972857,0.310956898148148,-0.310956898148148,0.023425,0.002352,00045596003,PC,False,False,SOFT
55769.3131972857,0.310956898148148,-0.310956898148148,1.256144,0.169591,00045596003,PC,False,False,HR
55773.5367028669,0.43541193287037,-0.43541193287037,0.049317,0.015751,00045596004,PC,True,False,SOFT
55773.5367028669,0.43541193287037,-0.43541193287037,1.01127,0.456772,00045596004,PC,True,False,HR
55773.5367028669,0.43541193287037,-0.43541193287037,0.049873,0.015929,00045596004,PC,True,False,HARD
55775.0748781481,0.0340506944444444,-0.0340506944444444,0.211791,0.236739,00045596005,PC,True,False,HR
55775.0748781481,0.0340506944444444,-0.0340506944444444,0.007729,0.007909,00045596005,PC,True,False,HARD
55775.0748781481,0.0340506944444444,-0.0340506944444444,0.036492,0.016418,00045596005,PC,True,False,SOFT
55779.6538050644,0.0016541203703703,-0.0016541203703703,0.051362,0.015103,00045596006,PC,False,False,HARD
55779.6538050644,0.0016541203703703,-0.0016541203703703,1.982649,1.004457,00045596006,PC,False,False,HR
55779.6538050644,0.0016541203703703,-0.0016541203703703,0.025906,0.010688,00045596006,PC,False,False,SOFT
55811.1561183302,0.0076757060185185,-0.0076757060185185,0.055594,0.007311,00045596007,PC,False,False,HARD
55811.1561183302,0.0076757060185185,-0.0076757060185185,1.256077,0.248312,00045596007,PC,False,False,HR
55811.1561183302,0.0076757060185185,-0.0076757060185185,0.04426,0.006533,00045596007,PC,False,False,SOFT
55817.2701679448,0.236679456018519,-0.236679456018519,2.44734,0.311987,00045596008,PC,False,False,HR
55817.2701679448,0.236679456018519,-0.236679456018519,0.075663,0.005179,00045596008,PC,False,False,HARD
55817.2701679448,0.236679456018519,-0.236679456018519,0.030917,0.003325,00045596008,PC,False,False,SOFT
56162.9873335246,0.0027133449074074,-0.0027133449074074,0.036201,0.010482,00045596009,PC,False,False,HARD
56162.9873335246,0.0027133449074074,-0.0027133449074074,2.061179,1.047792,00045596009,PC,False,False,HR
56162.9873335246,0.0027133449074074,-0.0027133449074074,0.017563,0.007338,00045596009,PC,False,False,SOFT
56164.1460947051,0.437807326388889,-0.437807326388889,1.897688,0.208273,00045596010,PC,False,False,HR
56164.1460947051,0.437807326388889,-0.437807326388889,0.058586,0.003764,00045596010,PC,False,False,HARD
56164.1460947051,0.437807326388889,-0.437807326388889,0.030872,0.002747,00045596010,PC,False,False,SOFT
56166.8583454358,0.0054121643518518,-0.0054121643518518,1.645464,0.41273,00045596011,PC,False,False,HR
56166.8583454358,0.0054121643518518,-0.0054121643518518,0.034666,0.006858,00045596011,PC,False,False,SOFT
56166.8583454358,0.0054121643518518,-0.0054121643518518,0.057041,0.008797,00045596011,PC,False,False,HARD
56167.4870827043,0.366259097222222,-0.366259097222222,1.594742,0.216741,00045596012,PC,False,False,HR
56167.4870827043,0.366259097222222,-0.366259097222222,0.041194,0.003478,00045596012,PC,False,False,HARD
56167.4870827043,0.366259097222222,-0.366259097222222,0.025831,0.002751,00045596012,PC,False,False,SOFT
56168.4940969491,0.441198935185185,-0.441198935185185,0.028684,0.00245,00045596013,PC,False,False,SOFT
56168.4940969491,0.441198935185185,-0.441198935185185,0.032585,0.002611,00045596013,PC,False,False,HARD
56168.4940969491,0.441198935185185,-0.441198935185185,1.136006,0.133043,00045596013,PC,False,False,HR
56907.3233940607,0.0097796296296296,-0.0097796296296296,2.025447,0.679462,00045596014,PC,False,False,HR
56907.3233940607,0.0097796296296296,-0.0097796296296296,0.010339,0.002844,00045596014,PC,False,False,SOFT
56907.3233940607,0.0097796296296296,-0.0097796296296296,0.020941,0.00402,00045596014,PC,False,False,HARD
58076.2872408396,0.0375050925925926,-0.0375050925925926,0.009135,0.002426,00045596015,PC,False,False,SOFT
58076.2872408396,0.0375050925925926,-0.0375050925925926,0.02361,0.003867,00045596015,PC,False,False,HARD
58076.2872408396,0.0375050925925926,-0.0375050925925926,2.584524,0.806328,00045596015,PC,False,False,HR
58076.695711835,0.0318099421296296,-0.0318099421296296,0.997042,0.361473,00045596016,PC,False,False,HR
58076.695711835,0.0318099421296296,-0.0318099421296296,0.010768,0.002761,00045596016,PC,False,False,SOFT
58076.695711835,0.0318099421296296,-0.0318099421296296,0.010737,0.002752,00045596016,PC,False,False,HARD
58078.3596395283,0.0366304861111111,-0.0366304861111111,0.680705,0.241975,00045596017,PC,False,False,HR
58078.3596395283,0.0366304861111111,-0.0366304861111111,0.016994,0.003865,00045596017,PC,False,False,SOFT
58078.3596395283,0.0366304861111111,-0.0366304861111111,0.011568,0.00316,00045596017,PC,False,False,HARD
58082.8771706197,0.0399493402777778,-0.0399493402777778,0.013449,0.003228,00045596018,PC,False,False,HARD
58082.8771706197,0.0399493402777778,-0.0399493402777778,0.011963,0.003044,00045596018,PC,False,False,SOFT
58082.8771706197,0.0399493402777778,-0.0399493402777778,1.12419,0.393216,00045596018,PC,False,False,HR
58713.822447482,0.132809409722222,-0.132809409722222,0.011493,0.003896,00045596019,PC,True,False,HARD
58713.822447482,0.132809409722222,-0.132809409722222,2.503191,1.738967,00045596019,PC,True,False,HR
58713.822447482,0.132809409722222,-0.132809409722222,0.004591,0.002784,00045596019,PC,True,False,SOFT
58716.2027477424,0.0073709953703703,-0.0073709953703703,0.013944,0.003941,00045596020,PC,False,False,HARD
58716.2027477424,0.0073709953703703,-0.0073709953703703,2.200927,1.121578,00045596020,PC,False,False,HR
58716.2027477424,0.0073709953703703,-0.0073709953703703,0.006336,0.002687,00045596020,PC,False,False,SOFT
58720.7790592574,0.0060506018518518,-0.0060506018518518,1.598089,0.932363,00045596021,PC,False,False,HR
58720.7790592574,0.0060506018518518,-0.0060506018518518,0.006317,0.002897,00045596021,PC,False,False,SOFT
58720.7790592574,0.0060506018518518,-0.0060506018518518,0.010095,0.003642,00045596021,PC,False,False,HARD
58722.582802776,0.0044109953703703,-0.0044109953703703,0.011447,0.004751,00045596022,PC,False,False,SOFT
58722.582802776,0.0044109953703703,-0.0044109953703703,0.025137,0.007043,00045596022,PC,False,False,HARD
58722.582802776,0.0044109953703703,-0.0044109953703703,2.195879,1.099551,00045596022,PC,False,False,HR
58727.6967180109,0.0043819675925925,-0.0043819675925925,2.309911,1.428401,00045596023,PC,False,False,HR
58727.6967180109,0.0043819675925925,-0.0043819675925925,0.007987,0.004138,00045596023,PC,False,False,SOFT
58727.6967180109,0.0043819675925925,-0.0043819675925925,0.018449,0.006229,00045596023,PC,False,False,HARD
58734.5277389878,0.277529803240741,-0.277529803240741,1.717236,0.556016,00045596024,PC,False,False,HR
58734.5277389878,0.277529803240741,-0.277529803240741,0.009755,0.002512,00045596024,PC,False,False,SOFT
58734.5277389878,0.277529803240741,-0.277529803240741,0.016751,0.003288,00045596024,PC,False,False,HARD
58741.6686882042,0.108102395833333,-0.108102395833333,0.01515,0.002953,00045596025,PC,False,False,HARD
58741.6686882042,0.108102395833333,-0.108102395833333,0.869268,0.231885,00045596025,PC,False,False,HR
58741.6686882042,0.108102395833333,-0.108102395833333,0.017428,0.003174,00045596025,PC,False,False,SOFT
58748.9410924253,0.0086043287037037,-0.0086043287037037,0.01044,0.003385,00045596026,PC,False,False,SOFT
58748.9410924253,0.0086043287037037,-0.0086043287037037,2.555919,0.97729,00045596026,PC,False,False,HR
58748.9410924253,0.0086043287037037,-0.0086043287037037,0.026684,0.005408,00045596026,PC,False,False,HARD
58751.9283406938,0.0081835532407407,-0.0081835532407407,0.013719,0.003721,00045596027,PC,False,False,SOFT
58751.9283406938,0.0081835532407407,-0.0081835532407407,0.013559,0.00372,00045596027,PC,False,False,HARD
58751.9283406938,0.0081835532407407,-0.0081835532407407,0.988367,0.38126,00045596027,PC,False,False,HR
58762.8905907239,0.0042658912037037,-0.0042658912037037,0.017572,0.005672,00045596028,PC,False,False,HARD
58762.8905907239,0.0042658912037037,-0.0042658912037037,1.107214,0.518222,00045596028,PC,False,False,HR
58762.8905907239,0.0042658912037037,-0.0042658912037037,0.015871,0.005379,00045596028,PC,False,False,SOFT
58765.5480781475,0.0696841087962963,-0.0696841087962963,0.029002,0.006113,00045596029,PC,False,False,HARD
58765.5480781475,0.0696841087962963,-0.0696841087962963,1.32492,0.416339,00045596029,PC,False,False,HR
58765.5480781475,0.0696841087962963,-0.0696841087962963,0.02189,0.005102,00045596029,PC,False,False,SOFT
58769.6858388049,0.0423313657407407,-0.0423313657407407,0.028609,0.003637,00045596030,PC,False,False,HARD
58769.6858388049,0.0423313657407407,-0.0423313657407407,0.019391,0.003006,00045596030,PC,False,False,SOFT
58769.6858388049,0.0423313657407407,-0.0423313657407407,1.475361,0.295772,00045596030,PC,False,False,HR
58776.6631850908,0.240678298611111,-0.240678298611111,0.017787,0.003544,00045596031,PC,False,False,SOFT
58776.6631850908,0.240678298611111,-0.240678298611111,0.026878,0.004343,00045596031,PC,False,False,HARD
58776.6631850908,0.240678298611111,-0.240678298611111,1.511133,0.387647,00045596031,PC,False,False,HR
58783.2390687493,0.237020578703704,-0.237020578703704,0.023462,0.004329,00045596032,PC,False,False,HARD
58783.2390687493,0.237020578703704,-0.237020578703704,1.55255,0.479236,00045596032,PC,False,False,HR
58783.2390687493,0.237020578703704,-0.237020578703704,0.015112,0.00374,00045596032,PC,False,False,SOFT
58790.7706387505,0.0089380555555555,-0.0089380555555555,0.020108,0.004455,00045596033,PC,False,False,SOFT
58790.7706387505,0.0089380555555555,-0.0089380555555555,1.251286,0.371619,00045596033,PC,False,False,HR
58790.7706387505,0.0089380555555555,-0.0089380555555555,0.025161,0.004976,00045596033,PC,False,False,HARD
58800.572361357,0.0391387152777778,-0.0391387152777778,1.465478,0.472728,00045596034,PC,False,False,HR
58800.572361357,0.0391387152777778,-0.0391387152777778,0.016657,0.003441,00045596034,PC,False,False,HARD
58800.572361357,0.0391387152777778,-0.0391387152777778,0.011366,0.002816,00045596034,PC,False,False,SOFT
58805.384224276,0.0703379050925926,-0.0703379050925926,0.018231,0.00313,00045596035,PC,False,False,HARD
58805.384224276,0.0703379050925926,-0.0703379050925926,1.476713,0.399855,00045596035,PC,False,False,HR
58805.384224276,0.0703379050925926,-0.0703379050925926,0.012346,0.002585,00045596035,PC,False,False,SOFT
58815.8718142899,0.0751198263888889,-0.0751198263888889,1.229046,0.3676,00045596036,PC,False,False,HR
58815.8718142899,0.0751198263888889,-0.0751198263888889,0.014141,0.003155,00045596036,PC,False,False,SOFT
58815.8718142899,0.0751198263888889,-0.0751198263888889,0.01738,0.003462,00045596036,PC,False,False,HARD
58825.5664627748,0.0672699189814815,-0.0672699189814815,0.012343,0.003145,00045596037,PC,False,False,SOFT
58825.5664627748,0.0672699189814815,-0.0672699189814815,0.013169,0.003245,00045596037,PC,False,False,HARD
58825.5664627748,0.0672699189814815,-0.0672699189814815,1.066873,0.378204,00045596037,PC,False,False,HR
58830.1743428454,0.035784212962963,-0.035784212962963,0.015253,0.003301,00089002001,PC,False,False,HARD
58830.1743428454,0.035784212962963,-0.035784212962963,1.30882,0.431653,00089002001,PC,False,False,HR
58830.1743428454,0.035784212962963,-0.035784212962963,0.011654,0.0029,00089002001,PC,False,False,SOFT
58835.6463317586,0.0061521759259259,-0.0061521759259259,0.013649,0.004395,00045596038,PC,False,False,SOFT
58835.6463317586,0.0061521759259259,-0.0061521759259259,0.027251,0.006156,00045596038,PC,False,False,HARD
58835.6463317586,0.0061521759259259,-0.0061521759259259,1.996496,0.785272,00045596038,PC,False,False,HR
58839.8261296591,0.0027423611111111,-0.0027423611111111,3.367113,2.277515,00045596039,PC,True,False,HR
58839.8261296591,0.0027423611111111,-0.0027423611111111,0.02851,0.00911,00045596039,PC,True,False,HARD
58839.8261296591,0.0027423611111111,-0.0027423611111111,0.008467,0.005048,00045596039,PC,True,False,SOFT
58850.4921201047,0.106881886574074,-0.106881886574074,0.011013,0.002342,00045596041,PC,False,False,SOFT
58850.4921201047,0.106881886574074,-0.106881886574074,1.610178,0.438539,00045596041,PC,False,False,HR
58850.4921201047,0.106881886574074,-0.106881886574074,0.017733,0.003016,00045596041,PC,False,False,HARD
58855.8183885306,0.0368635416666667,-0.0368635416666667,0.009904,0.003901,00045596042,PC,True,False,HARD
58855.8183885306,0.0368635416666667,-0.0368635416666667,0.633194,0.311552,00045596042,PC,True,False,HR
58855.8183885306,0.0368635416666667,-0.0368635416666667,0.015642,0.004613,00045596042,PC,True,False,SOFT
58909.9236358107,0.0406491898148148,-0.0406491898148148,0.014343,0.002938,00045596044,PC,False,False,SOFT
58909.9236358107,0.0406491898148148,-0.0406491898148148,0.013684,0.002871,00045596044,PC,False,False,HARD
58909.9236358107,0.0406491898148148,-0.0406491898148148,0.954089,0.279777,00045596044,PC,False,False,HR
58916.4311414507,0.0416618518518519,-0.0416618518518519,1.132009,0.377464,00045596045,PC,False,False,HR
58916.4311414507,0.0416618518518519,-0.0416618518518519,0.010272,0.002503,00045596045,PC,False,False,SOFT
58916.4311414507,0.0416618518518519,-0.0416618518518519,0.011628,0.002646,00045596045,PC,False,False,HARD
58923.0654363327,0.0398233101851852,-0.0398233101851852,0.834673,0.252527,00045596046,PC,False,False,HR
58923.0654363327,0.0398233101851852,-0.0398233101851852,0.012894,0.002621,00045596046,PC,False,False,SOFT
58923.0654363327,0.0398233101851852,-0.0398233101851852,0.010762,0.002411,00045596046,PC,False,False,HARD
59031.0515507563,0.0092427662037037,-0.0092427662037037,0.022701,0.005751,00095702001,PC,False,False,SOFT
59031.0515507563,0.0092427662037037,-0.0092427662037037,0.007939,0.003411,00095702001,PC,False,False,HARD
59031.0515507563,0.0092427662037037,-0.0092427662037037,0.349733,0.174416,00095702001,PC,False,False,HR
