MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
55588.5034693087,0.110329710648148,-0.110329710648148,0.0053624,0.0,0.0,00040772001,PC,True,True,FULL
55593.0166645354,0.0096200231481481,-0.0096200231481481,0.0084896,0.0,0.0,00040772003,PC,True,True,FULL
56733.4936862949,0.506158668981481,-0.506158668981481,0.01856317,0.002970014,-0.002970014,00084377001,PC,False,False,FULL
56738.7345084419,0.0049188310185185,-0.0049188310185185,0.02868253,0.006687934,-0.006687934,00084377002,PC,False,False,FULL
56739.4572835114,0.0043674652777777,-0.0043674652777777,0.01175217,0.005242981,-0.004063267,00084377003,PC,True,False,FULL
56745.4543114315,0.469844837962963,-0.469844837962963,0.02412715,0.006362246,-0.006362246,00084377004,PC,True,False,FULL
56748.51186181,0.401867592592593,-0.401867592592593,0.02014824,0.00489879,-0.00489879,00084377005,PC,True,False,FULL
56753.9149655762,0.0043239351851851,-0.0043239351851851,0.01592795,0.006234282,-0.004981521,00084377006,PC,False,False,FULL
57875.5074725345,0.0374259837962963,-0.0374259837962963,0.006457469,0.002377795,-0.001922258,00084377007,PC,True,False,FULL
57958.4689925067,0.0696475231481481,-0.0696475231481481,0.0064801,0.0,0.0,00084377008,PC,True,True,FULL
57981.7247352776,0.0368361458333333,-0.0368361458333333,0.02238042,0.004270062,-0.004270062,00084377009,PC,False,False,FULL
57988.0335590056,0.0314614930555556,-0.0314614930555556,0.003380378,0.002586692,-0.001740095,00084377010,PC,True,False,FULL
58219.1425956422,0.0363111458333333,-0.0363111458333333,0.03680183,0.005117757,-0.005117757,00084377011,PC,False,False,FULL
58586.0969619246,0.0013639236111111,-0.0013639236111111,0.050976,0.0,0.0,00084377012,PC,True,True,FULL
58590.9940147903,0.0056878587962963,-0.0056878587962963,0.004355156,0.00327665,-0.002204236,00084377013,PC,True,False,FULL
58591.3878487371,0.0062972685185185,-0.0062972685185185,0.003815306,0.002913999,-0.001962544,00084377014,PC,True,False,FULL
58595.135282604,0.0366574074074074,-0.0366574074074074,0.009807213,0.003023713,-0.002526624,00084377015,PC,True,False,FULL
58891.4986410322,0.37328130787037,-0.37328130787037,0.00519505,0.003314963,-0.002358379,00084377016,PC,True,False,FULL
58896.5787334975,0.137634363425926,-0.137634363425926,0.0091798,0.0,0.0,00084377017,PC,True,True,FULL
58901.3109417961,0.303345775462963,-0.303345775462963,0.0080366,0.0,0.0,00084377018,PC,True,True,FULL
58906.391128266,0.0675968402777778,-0.0675968402777778,0.016564,0.0,0.0,00084377019,PC,True,True,FULL
58911.8247768412,0.0002466666666666,-0.0002466666666666,0.22552,0.0,0.0,00084377020,PC,True,True,FULL
58916.2123984616,0.009518449074074,-0.009518449074074,0.01674547,0.003673838,-0.003673838,00084377021,PC,False,False,FULL
58921.151281597,0.0352123611111111,-0.0352123611111111,0.06010416,0.006417358,-0.006417358,00084377022,PC,False,False,FULL
58926.3589871989,0.0698619791666667,-0.0698619791666667,0.0079844,0.0,0.0,00084377023,PC,True,True,FULL
58936.6567760044,0.170011296296296,-0.170011296296296,0.011377,0.0,0.0,00084377024,PC,True,True,FULL
58941.6657693378,0.0735023611111111,-0.0735023611111111,0.014542,0.0,0.0,00084377025,PC,True,True,FULL
58946.4116266861,0.170714467592593,-0.170714467592593,0.0082213,0.0,0.0,00084377026,PC,True,True,FULL
58951.4436189303,0.372741701388889,-0.372741701388889,0.02219778,0.004552416,-0.004552416,00084377027,PC,False,False,FULL
58956.4916357579,0.0386058912037037,-0.0386058912037037,0.04997736,0.008248177,-0.008248177,00084377028,PC,False,False,FULL
58961.4328173435,0.0099247800925925,-0.0099247800925925,0.03127665,0.005780662,-0.005780662,00084377029,PC,False,False,FULL
58966.5047053864,0.17345900462963,-0.17345900462963,0.04102721,0.004942415,-0.004942415,00084377030,PC,False,False,FULL
58971.0494842753,0.0085462962962963,-0.0085462962962963,0.05209129,0.01064875,-0.01064875,00084377031,PC,False,False,FULL
58976.1911577463,0.0390971296296296,-0.0390971296296296,0.01702165,0.004113939,-0.004113939,00084377032,PC,True,False,FULL
58986.5237636364,0.234272719907407,-0.234272719907407,0.02028794,0.006101671,-0.0051013,00084377033,PC,True,False,FULL
