MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
57188.7784284444,0.0041498148148148,-0.0041498148148148,2.150528,0.133183,00643949000,PC,False,False,HARD
57188.7784284444,0.0041498148148148,-0.0041498148148148,14.308791,3.509657,00643949000,PC,False,False,HR
57188.7784284444,0.0041498148148148,-0.0041498148148148,0.150294,0.03567,00643949000,PC,False,False,SOFT
57189.6356856667,0.0114192476851852,-0.0114192476851852,20.67113,3.945128,00031403035,PC,False,False,HR
57189.6356856667,0.0114192476851852,-0.0114192476851852,0.110036,0.020538,00031403035,PC,False,False,SOFT
57189.6356856667,0.0114192476851852,-0.0114192476851852,2.274561,0.090587,00031403035,PC,False,False,HARD
57190.6739078657,0.0357734490740741,-0.0357734490740741,20.67211,5.66401,00031403036,PC,False,False,HR
57190.6739078657,0.0357734490740741,-0.0357734490740741,0.045551,0.012187,00031403036,PC,False,False,SOFT
57190.6739078657,0.0357734490740741,-0.0357734490740741,0.941634,0.055677,00031403036,PC,False,False,HARD
57191.0326744051,0.0012036689814814,-0.0012036689814814,0.0,0.0,00644520000,WT,False,False,SOFT
57191.093656581,0.077415462962963,-0.077415462962963,5.570489,0.525835,00031403038,PC,False,False,HR
57191.093656581,0.077415462962963,-0.077415462962963,1.212026,0.044586,00031403038,PC,False,False,HARD
57191.1259378889,0.0451341435185185,-0.0451341435185185,,,00644520000,PC,False,False,HR
57191.1259378889,0.0451341435185185,-0.0451341435185185,0.0,0.0,00644520000,PC,False,False,HARD
57191.1932612685,0.177408217592593,-0.177408217592593,3.047688,0.074452,00031403038,WT,False,False,SOFT
57191.3694327732,0.0012367129629629,-0.0012367129629629,0.0,0.0,00644596000,WT,False,False,SOFT
57191.4172863148,0.0040627546296296,-0.0040627546296296,1.913393,0.143134,00644596000,PC,False,False,HARD
57191.4172863148,0.0040627546296296,-0.0040627546296296,12.92492,3.706594,00644596000,PC,False,False,HR
57191.5622379931,0.0134734143518519,-0.0134734143518519,298.041523,4.042321,00644627000,WT,False,False,HARD
57191.5622379931,0.0134734143518519,-0.0134734143518519,80.144014,1.161816,00644627000,WT,False,False,SOFT
57191.5622379931,0.0134734143518519,-0.0134734143518519,3.718824,0.021566,00644627000,WT,False,False,HR
57192.166113456,0.0073155439814814,-0.0073155439814814,38.494602,0.190726,00031403042,WT,False,False,HARD
57192.166113456,0.0073155439814814,-0.0073155439814814,14.232155,0.278501,00031403042,WT,False,False,HR
57192.166113456,0.0073155439814814,-0.0073155439814814,2.704763,0.0513,00031403042,WT,False,False,SOFT
57192.8862891053,0.0086745138888888,-0.0086745138888888,1.623952,0.134361,00031403043,WT,False,False,SOFT
57192.8897413391,0.0001596064814814,-0.0001596064814814,6.151273,2.976016,00031403043,PC,False,False,HR
57192.8897413391,0.0001596064814814,-0.0001596064814814,8.197055,1.429863,00031403043,PC,False,False,HARD
57193.5986597535,0.0372853356481481,-0.0372853356481481,2.690703,0.021777,00031403040,WT,False,False,HR
57193.5986597535,0.0372853356481481,-0.0372853356481481,390.632392,22.133417,00031403040,WT,False,False,SOFT
57193.5986597535,0.0372853356481481,-0.0372853356481481,1051.075573,45.001768,00031403040,WT,False,False,HARD
57194.1894001701,0.0243574421296296,-0.0243574421296296,3.088739,0.075574,00031403048,WT,False,False,HR
57194.1894001701,0.0243574421296296,-0.0243574421296296,4.324629,0.182592,00031403048,WT,False,False,SOFT
57194.1894001701,0.0243574421296296,-0.0243574421296296,13.357651,0.459792,00031403048,WT,False,False,HARD
57194.5814530868,0.0412789699074074,-0.0412789699074074,72.131047,1.158608,00031403046,WT,False,False,SOFT
57194.5814530868,0.0412789699074074,-0.0412789699074074,222.712135,4.466048,00031403046,WT,False,False,HARD
57194.5814530868,0.0412789699074074,-0.0412789699074074,3.087604,0.015216,00031403046,WT,False,False,HR
57195.0943720104,0.0054665162037037,-0.0054665162037037,134.069877,3.460297,00031403045,WT,False,False,HARD
57195.0943720104,0.0054665162037037,-0.0054665162037037,12.609663,0.321545,00031403045,WT,False,False,SOFT
57195.0943720104,0.0054665162037037,-0.0054665162037037,10.632313,0.151254,00031403045,WT,False,False,HR
57195.4537422766,0.0980314351851852,-0.0980314351851852,228.271888,5.058803,00031403049,WT,False,False,SOFT
57195.4537422766,0.0980314351851852,-0.0980314351851852,815.933597,18.094268,00031403049,WT,False,False,HARD
57195.4537422766,0.0980314351851852,-0.0980314351851852,3.574394,0.018669,00031403049,WT,False,False,HR
57195.4824997419,0.0131868402777778,-0.0131868402777778,,,00031403047,WT,False,False,HR
57195.4824997419,0.0131868402777778,-0.0131868402777778,0.0,0.0,00031403047,WT,False,False,SOFT
57195.4824997419,0.0131868402777778,-0.0131868402777778,0.0,0.0,00031403047,WT,False,False,HARD
57196.448559522,0.112431655092593,-0.112431655092593,205.996076,15.461839,00033832001,WT,False,False,HARD
57196.448559522,0.112431655092593,-0.112431655092593,71.458401,5.723024,00033832001,WT,False,False,SOFT
57196.448559522,0.112431655092593,-0.112431655092593,2.882741,0.017463,00033832001,WT,False,False,HR
57196.9267979248,0.0327719675925926,-0.0327719675925926,32.297486,0.364269,00031403052,WT,False,False,HARD
57196.9267979248,0.0327719675925926,-0.0327719675925926,1.25609,0.021427,00031403052,WT,False,False,HR
57196.9267979248,0.0327719675925926,-0.0327719675925926,25.712718,0.330339,00031403052,WT,False,False,SOFT
57197.3463333183,0.0060292939814814,-0.0060292939814814,0.0,0.0,00031403053,WT,False,False,HARD
57197.3463333183,0.0060292939814814,-0.0060292939814814,0.0,0.0,00031403053,WT,False,False,SOFT
57197.3463333183,0.0060292939814814,-0.0060292939814814,,,00031403053,WT,False,False,HR
57197.4784715937,0.0088529282407407,-0.0088529282407407,0.0,0.0,00033832002,WT,False,False,SOFT
57197.4784715937,0.0088529282407407,-0.0088529282407407,,,00033832002,WT,False,False,HR
57197.4784715937,0.0088529282407407,-0.0088529282407407,0.0,0.0,00033832002,WT,False,False,HARD
57197.6046648692,0.395166608796296,-0.395166608796296,48.528032,2.962124,00031403054,WT,False,False,HARD
57197.6046648692,0.395166608796296,-0.395166608796296,17.981004,1.03513,00031403054,WT,False,False,SOFT
57197.6046648692,0.395166608796296,-0.395166608796296,2.69885,0.011455,00031403054,WT,False,False,HR
57198.0146893021,0.0108204166666667,-0.0108204166666667,70.795345,10.319354,00031403055,WT,False,False,HARD
57198.0146893021,0.0108204166666667,-0.0108204166666667,29.061641,4.176033,00031403055,WT,False,False,SOFT
57198.0146893021,0.0108204166666667,-0.0108204166666667,2.436041,0.018433,00031403055,WT,False,False,HR
57198.2138871609,0.060238287037037,-0.060238287037037,155.424121,2.254791,00031403057,WT,False,False,HARD
57198.2138871609,0.060238287037037,-0.060238287037037,4.504701,0.031182,00031403057,WT,False,False,HR
57198.2138871609,0.060238287037037,-0.060238287037037,34.502653,0.523572,00031403057,WT,False,False,SOFT
57198.935955147,0.0076077083333333,-0.0076077083333333,3.302696,0.028874,00031403058,WT,False,False,HR
57198.935955147,0.0076077083333333,-0.0076077083333333,97.357493,1.6191,00031403058,WT,False,False,SOFT
57198.935955147,0.0076077083333333,-0.0076077083333333,321.542164,4.955807,00031403058,WT,False,False,HARD
57199.5346730174,0.0086791898148148,-0.0086791898148148,3.714772,0.033957,00033861001,WT,False,False,HR
57199.5346730174,0.0086791898148148,-0.0086791898148148,1955.11873,16.782702,00033861001,WT,False,False,SOFT
57199.5346730174,0.0086791898148148,-0.0086791898148148,7262.820632,36.17882,00033861001,WT,False,False,HARD
57200.0012282604,0.0083600578703703,-0.0083600578703703,310.185108,13.346822,00031403060,WT,False,False,SOFT
57200.0012282604,0.0083600578703703,-0.0083600578703703,507.998721,22.318893,00031403060,WT,False,False,HARD
57200.0012282604,0.0083600578703703,-0.0083600578703703,1.637728,0.009268,00031403060,WT,False,False,HR
57200.1389668831,0.0004617129629629,-0.0004617129629629,51.630812,3.767562,00031403061,WT,True,False,SOFT
57200.1389668831,0.0004617129629629,-0.0004617129629629,46.323855,3.352799,00031403061,WT,True,False,HARD
57200.1389668831,0.0004617129629629,-0.0004617129629629,0.897213,0.02651,00031403061,WT,True,False,HR
