MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53551.8830048183,0.0115367939814815,-0.0115367939814815,0.04053604,0.007049295,-0.007049295,00030083001,PC,False,False,FULL
53554.55315797,0.0013439004629629,-0.0013439004629629,0.21295,0.0,0.0,00030083005,WT,True,True,FULL
53554.6214115695,0.0010398032407407,-0.0010398032407407,0.53488,0.0,0.0,00030083007,WT,True,True,FULL
53554.6214115695,0.0010398032407407,-0.0010398032407407,0.17415,0.0,0.0,00030083006,WT,True,True,FULL
53554.6997832362,0.0120141435185185,-0.0120141435185185,0.01985804,0.005331618,-0.005331618,00030083008,PC,False,False,FULL
53556.7762586376,0.0105196296296296,-0.0105196296296296,0.01888663,0.003808738,-0.003808738,00030083009,PC,False,False,FULL
53557.2437528969,0.0122463078703704,-0.0122463078703704,0.0037295,0.0,0.0,00030083011,PC,False,True,FULL
53557.2437528969,0.0122463078703704,-0.0122463078703704,0.01160601,0.002822683,-0.002822683,00030083010,PC,False,False,FULL
53557.310562214,0.012351724537037,-0.012351724537037,0.01745797,0.003434437,-0.003434437,00030083012,PC,False,False,FULL
53557.3766996446,0.0135502777777778,-0.0135502777777778,0.01402042,0.003331915,-0.003331915,00030083013,PC,False,False,FULL
53558.306607214,0.0051986111111111,-0.0051986111111111,0.02198965,0.007056633,-0.005857165,00030083014,PC,False,False,FULL
53558.3732558561,0.0051931018518518,-0.0051931018518518,0.01907724,0.006215812,-0.005159264,00030083015,PC,False,False,FULL
53559.5219888769,0.0106357060185185,-0.0106357060185185,0.01788131,0.003659624,-0.003659624,00030083018,PC,False,False,FULL
53559.5870987496,0.0121923726851852,-0.0121923726851852,0.01459916,0.003229634,-0.003229634,00030083016,PC,True,False,FULL
53559.5876397102,0.011651400462963,-0.011651400462963,0.01474522,0.003287402,-0.003287402,00030083017,PC,False,False,FULL
53560.128406863,0.006877662037037,-0.006877662037037,0.01458041,0.004600159,-0.003845961,00030083019,PC,False,False,FULL
53561.4597170483,0.0055427546296296,-0.0055427546296296,0.0111585,0.004585816,-0.00366431,00030083020,PC,True,False,FULL
53562.3312468786,0.0055427546296296,-0.0055427546296296,0.019253,0.0,0.0,00030083021,PC,True,True,FULL
53562.4552485221,0.0009296875,-0.0009296875,0.30546,0.0,0.0,00030083022,WT,True,True,FULL
53562.4671319017,0.0120141550925926,-0.0120141550925926,0.01023871,0.002800318,-0.002800318,00030083023,PC,False,False,FULL
53563.9367466355,0.0014364699074074,-0.0014364699074074,0.030719,0.0,0.0,00030083024,PC,True,True,FULL
53564.0059447644,0.00376125,-0.00376125,0.01375106,0.006512416,-0.005047068,00030083025,PC,True,False,FULL
53564.0726321911,0.010569837962963,-0.010569837962963,0.01258015,0.003237902,-0.003237902,00030083027,PC,False,False,FULL
53565.0097171756,0.0076207407407407,-0.0076207407407407,0.00482723,0.002878084,-0.002184423,00030083028,PC,False,False,FULL
53568.0235586338,0.0056007986111111,-0.0056007986111111,0.007045195,0.003795315,-0.00288091,00030083033,PC,True,False,FULL
53570.2393899258,0.0112886574074074,-0.0112886574074074,0.004808051,0.002234719,-0.001785659,00030083035,PC,False,False,FULL
53573.0485133742,0.0056443287037037,-0.0056443287037037,0.006672701,0.003837751,-0.002832035,00030083037,PC,True,False,FULL
53583.6402284593,0.0104652083333333,-0.0104652083333333,0.030587,0.0,0.0,00030083040,PC,True,True,FULL
53627.9715837979,0.0117195949074074,-0.0117195949074074,0.004192673,0.002083356,-0.001642022,00030083041,PC,False,False,FULL
54190.699488526,0.0342813078703704,-0.0342813078703704,0.051208,0.0,0.0,00035895001,PC,True,True,FULL
54190.8978810376,0.0986018287037037,-0.0986018287037037,0.01142914,0.004273916,-0.003489053,00035895002,PC,True,False,FULL
54192.3046571355,0.637923020833333,-0.637923020833333,0.046251,0.0,0.0,00035895003,WT,True,True,FULL
54194.3750314593,0.0381133101851852,-0.0381133101851852,0.011204,0.0,0.0,00035895004,PC,False,True,FULL
54194.4472650704,0.110346921296296,-0.110346921296296,0.002681332,0.001148678,-0.0009286152,00035895005,PC,False,False,FULL
54524.6926697234,0.170184907407407,-0.170184907407407,0.40046,0.0,0.0,00037267001,WT,True,True,FULL
54591.5197625965,0.0065874652777777,-0.0065874652777777,0.01518828,0.004727797,-0.003950562,00037267002,PC,False,False,FULL
54608.8440593275,0.0711646990740741,-0.0711646990740741,0.0084148,0.0,0.0,00037267003,PC,True,True,FULL
54973.5022225025,0.004657662037037,-0.004657662037037,0.02232931,0.006873127,-0.005743206,00037267004,PC,False,False,FULL
55715.5775353258,0.0732213773148148,-0.0732213773148148,0.01482274,0.001894445,-0.001894445,00032017001,PC,False,False,FULL
55716.2207088212,0.0465472569444444,-0.0465472569444444,0.0196366,0.002768669,-0.002768669,00032017002,PC,False,False,FULL
