MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
57845.551417956,0.109521527777778,-0.109521527777778,0.463931,0.497815,00745090000,PC,True,False,HR
57845.551417956,0.109521527777778,-0.109521527777778,0.001262,0.000798,00745090000,PC,True,False,SOFT
57845.551417956,0.109521527777778,-0.109521527777778,0.000585,0.000508,00745090000,PC,True,False,HARD
58239.5768103056,0.0389043402777778,-0.0389043402777778,0.520565,0.20375,00032017079,PC,False,False,HR
58239.5768103056,0.0389043402777778,-0.0389043402777778,0.007259,0.002307,00032017079,PC,False,False,HARD
58239.5768103056,0.0389043402777778,-0.0389043402777778,0.013945,0.003185,00032017079,PC,False,False,SOFT
58242.9413673461,0.0054266782407407,-0.0054266782407407,0.016517,0.004959,00032017080,PC,False,False,SOFT
58242.9413673461,0.0054266782407407,-0.0054266782407407,0.74866,0.341481,00032017080,PC,False,False,HR
58242.9413673461,0.0054266782407407,-0.0054266782407407,0.012366,0.004246,00032017080,PC,False,False,HARD
58245.5523436458,0.039050474537037,-0.039050474537037,0.221736,0.115161,00032017081,PC,False,False,HR
58245.5523436458,0.039050474537037,-0.039050474537037,0.003545,0.001563,00032017081,PC,False,False,HARD
58245.5523436458,0.039050474537037,-0.039050474537037,0.015989,0.004386,00032017081,PC,False,False,SOFT
58248.6745687998,0.039762349537037,-0.039762349537037,0.015983,0.003351,00032017082,PC,False,False,SOFT
58248.6745687998,0.039762349537037,-0.039762349537037,0.691349,0.225711,00032017082,PC,False,False,HR
58248.6745687998,0.039762349537037,-0.039762349537037,0.01105,0.002765,00032017082,PC,False,False,HARD
58254.0867967373,0.0052960879629629,-0.0052960879629629,0.014192,0.006181,00032017084,PC,False,False,SOFT
58254.0867967373,0.0052960879629629,-0.0052960879629629,0.006861,0.004416,00032017084,PC,False,False,HARD
58254.0867967373,0.0052960879629629,-0.0052960879629629,0.483467,0.375713,00032017084,PC,False,False,HR
58257.7802614363,0.0396034143518519,-0.0396034143518519,0.0061,0.002209,00032017085,PC,True,False,SOFT
58257.7802614363,0.0396034143518519,-0.0396034143518519,0.000315,0.00069,00032017085,PC,True,False,HARD
58257.7802614363,0.0396034143518519,-0.0396034143518519,0.051609,0.11471,00032017085,PC,True,False,HR
58260.407400919,0.274972685185185,-0.274972685185185,0.002698,0.001725,00032017086,PC,True,False,SOFT
58260.407400919,0.274972685185185,-0.274972685185185,-0.058548,-0.038621,00032017086,PC,True,False,HR
58260.407400919,0.274972685185185,-0.274972685185185,-0.000158,2.6e-05,00032017086,PC,True,False,HARD
58263.4608226111,0.272231851851852,-0.272231851851852,0.000478,0.000801,00032017087,PC,True,False,HARD
58263.4608226111,0.272231851851852,-0.272231851851852,0.188246,0.335324,00032017087,PC,True,False,HR
58263.4608226111,0.272231851851852,-0.272231851851852,0.002539,0.001528,00032017087,PC,True,False,SOFT
58266.7870854155,0.207081134259259,-0.207081134259259,-0.050889,-0.028343,00032017088,PC,True,False,HR
58266.7870854155,0.207081134259259,-0.207081134259259,0.002799,0.001513,00032017088,PC,True,False,SOFT
58266.7870854155,0.207081134259259,-0.207081134259259,-0.000142,1.9e-05,00032017088,PC,True,False,HARD
58272.5562174583,0.0698983912037037,-0.0698983912037037,-0.074496,-0.039266,00032017089,PC,True,False,HR
