MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53683.8660681675,0.133923263888889,-0.133923263888889,0.0507938,0.005310549,-0.005310549,00030340001,PC,False,False,FULL
53875.7876024359,0.228461296296296,-0.228461296296296,0.20578,0.0,0.0,00035412001,WT,True,True,FULL
54061.4223807185,0.134525,-0.134525,0.0094305,0.0,0.0,00030832001,PC,True,True,FULL
54646.2139285226,0.039487662037037,-0.039487662037037,0.00554,0.0,0.0,00031225001,PC,True,True,FULL
54662.1693098434,0.0021474537037037,-0.0021474537037037,0.050619,0.0,0.0,00031238001,PC,True,True,FULL
54663.8008631072,0.035892962962963,-0.035892962962963,0.004075818,0.00389943,-0.002385435,00031240001,PC,True,False,FULL
55099.9621098305,0.90793099537037,-0.90793099537037,0.0023136,0.0,0.0,00035412002,PC,True,True,FULL
55153.7235766883,0.134351215277778,-0.134351215277778,0.0065549,0.0,0.0,00037709001,PC,True,True,FULL
55466.7640304051,0.0427216550925926,-0.0427216550925926,0.0032171,0.0,0.0,00040420001,PC,True,True,FULL
55467.5318733565,0.0763798032407407,-0.0763798032407407,0.0038583,0.0,0.0,00040417001,PC,True,True,FULL
55467.876849547,0.0015380439814814,-0.0015380439814814,0.03525,0.0,0.0,00040421001,PC,True,True,FULL
55467.9643752183,0.0425943171296296,-0.0425943171296296,0.0037447,0.0,0.0,00030340002,PC,True,True,FULL
55469.7366642428,0.0750522222222222,-0.0750522222222222,0.0042858,0.0,0.0,00030340003,PC,True,True,FULL
55471.3463960004,0.276435972222222,-0.276435972222222,0.003875,0.0,0.0,00030340004,PC,True,True,FULL
55473.8813232755,0.0748200115740741,-0.0748200115740741,0.004334686,0.001531451,-0.001250215,00030340005,PC,True,False,FULL
55475.4558469428,0.177400451388889,-0.177400451388889,0.002278206,0.001119708,-0.0008677649,00030340006,PC,True,False,FULL
55477.4256777034,0.0749216550925926,-0.0749216550925926,0.002997201,0.001379787,-0.001069323,00030340007,PC,True,False,FULL
55481.8135684934,0.0432763194444444,-0.0432763194444444,0.0476604,0.004740826,-0.004740826,00030340008,PC,False,False,FULL
55485.260050641,0.196799351851852,-0.196799351851852,0.08272943,0.005398679,-0.005398679,00030340009,PC,False,False,FULL
55489.3969364904,0.0765700462962963,-0.0765700462962963,0.04523827,0.004777349,-0.004777349,00030340010,PC,False,False,FULL
55491.2017718456,0.0071533449074074,-0.0071533449074074,0.04609937,0.007885347,-0.007885347,00037709002,PC,False,False,FULL
55493.2564121778,0.0344652199074074,-0.0344652199074074,0.01445194,0.01061553,-0.007149437,00030340011,PC,True,False,FULL
55497.1568547516,0.0791546180555556,-0.0791546180555556,0.0036057,0.0,0.0,00030340012,PC,True,True,FULL
55795.5714385182,0.0013639236111111,-0.0013639236111111,0.03442674,0.01854886,-0.01370022,00037709003,PC,True,False,FULL
55841.5944448401,0.0047592361111111,-0.0047592361111111,0.0588999,0.01069661,-0.01069661,00040421002,PC,False,False,FULL
55848.4286373765,0.234448564814815,-0.234448564814815,0.093805,0.0,0.0,00037709004,PC,True,True,FULL
55865.8456431817,0.132016041666667,-0.132016041666667,0.013004,0.0,0.0,00040421004,PC,True,True,FULL
55866.1848464341,0.0011462731481481,-0.0011462731481481,0.049348,0.0,0.0,00037709005,PC,True,True,FULL
55872.1285354787,0.0012043171296296,-0.0012043171296296,0.043804,0.0,0.0,00037709006,PC,True,True,FULL
56145.3441363211,0.336280150462963,-0.336280150462963,0.012509,0.0,0.0,00037709007,PC,True,True,FULL
