MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53742.3058204581,0.272614375,-0.272614375,0.04809561,0.003069415,-0.003069415,00035474001,PC,False,False,FULL
55726.9308659674,0.0690322800925926,-0.0690322800925926,0.09384872,0.00636112,-0.00636112,00031987001,PC,False,False,FULL
55727.4323359985,0.309119363425926,-0.309119363425926,0.09381139,0.003643271,-0.003643271,00031987002,PC,False,False,FULL
56151.0112323811,0.0087869097222222,-0.0087869097222222,0.03288381,0.005716893,-0.005716893,00031987003,PC,False,False,FULL
56597.890860272,0.861775891203704,-0.861775891203704,0.1285914,0.003943399,-0.003943399,00031987004,PC,False,False,FULL
56645.6645445544,0.276287881944444,-0.276287881944444,0.09328437,0.00326053,-0.00326053,00031987005,PC,False,False,FULL
56693.4885870255,0.469585451388889,-0.469585451388889,0.1665766,0.006526127,-0.006526127,00031987006,PC,False,False,FULL
56694.5544786806,0.403698888888889,-0.403698888888889,0.1628465,0.007051679,-0.007051679,00031987007,PC,False,False,FULL
56718.8245053831,0.0017266666666666,-0.0017266666666666,0.05244094,0.01721854,-0.01418499,00084233001,PC,True,False,FULL
56722.2978624051,0.0012768634259259,-0.0012768634259259,0.04275326,0.01894519,-0.01468237,00084233002,PC,True,False,FULL
56741.5174309711,0.476162962962963,-0.476162962962963,0.04564756,0.002382515,-0.002382515,00031987008,PC,False,False,FULL
56759.7689781481,0.0072549189814814,-0.0072549189814814,0.06455397,0.01105254,-0.01105254,00084233003,PC,False,False,FULL
56789.4846694838,0.439464155092593,-0.439464155092593,0.04147033,0.002413274,-0.002413274,00031987009,PC,False,False,FULL
56792.9167656597,0.0740209953703704,-0.0740209953703704,0.03244465,0.003483809,-0.003483809,00031987010,PC,False,False,FULL
56844.4362009167,0.404597638888889,-0.404597638888889,0.0467573,0.002980384,-0.002980384,00031987011,PC,False,False,FULL
56847.2608815255,0.108393032407407,-0.108393032407407,0.04281273,0.003884878,-0.003884878,00031987012,PC,False,False,FULL
56848.2250908287,0.0080819791666666,-0.0080819791666666,0.03606233,0.006103543,-0.006103543,00031987013,PC,False,False,FULL
56849.0235848426,0.004736099537037,-0.004736099537037,0.03797909,0.00846958,-0.00846958,00035474002,PC,False,False,FULL
56854.8810640185,0.004657662037037,-0.004657662037037,0.02948973,0.01040085,-0.008490834,00035474003,PC,True,False,FULL
56859.6141921667,0.0057749189814814,-0.0057749189814814,0.0427756,0.00762589,-0.00762589,00035474004,PC,False,False,FULL
56864.5427756389,0.0043094212962963,-0.0043094212962963,0.05114695,0.009612827,-0.009612827,00035474005,PC,False,False,FULL
56869.5353061586,0.0055137384259259,-0.0055137384259259,0.03705552,0.007309828,-0.007309828,00035474006,PC,False,False,FULL
56874.0075989722,0.005418125,-0.005418125,0.05735847,0.009331168,-0.009331168,00035474007,PC,False,False,FULL
56879.4681835984,0.0038596180555555,-0.0038596180555555,0.04263304,0.009473716,-0.009473716,00035474008,PC,False,False,FULL
56880.4640274502,0.408038449074074,-0.408038449074074,0.02866319,0.001743362,-0.001743362,00031987014,PC,False,False,FULL
56883.0947744815,0.0354919328703704,-0.0354919328703704,0.02333896,0.007422554,-0.006160888,00035474009,PC,True,False,FULL
56894.9420133275,0.0064423726851851,-0.0064423726851851,0.0359376,0.006827141,-0.006827141,00035474010,PC,False,False,FULL
56899.8683981169,0.0064423726851851,-0.0064423726851851,0.04249893,0.007451471,-0.007451471,00035474011,PC,False,False,FULL
56904.1302398877,0.0063988425925925,-0.0063988425925925,0.01945336,0.005199993,-0.005199993,00035474012,PC,False,False,FULL
56909.0371149433,0.0349358101851852,-0.0349358101851852,0.06957526,0.01079289,-0.01079289,00035474013,PC,False,False,FULL
56914.9902155509,0.0005803935185185,-0.0005803935185185,0.02712735,0.02600696,-0.01590948,00035474014,PC,True,False,FULL
56919.6486103518,0.0053831481481481,-0.0053831481481481,0.05567251,0.008993743,-0.008993743,00035474015,PC,False,False,FULL
56924.1140001887,0.0052235416666666,-0.0052235416666666,0.07280132,0.01215978,-0.01215978,00035474016,PC,False,False,FULL
56929.8343564676,0.0057458912037037,-0.0057458912037037,0.02527449,0.006813528,-0.006813528,00035474017,PC,False,False,FULL
56933.368521316,0.206317395833333,-0.206317395833333,0.04933313,0.003241608,-0.003241608,00031987015,PC,False,False,FULL
56943.3873946192,0.468004178240741,-0.468004178240741,0.06243484,0.003891742,-0.003891742,00031987017,PC,False,False,FULL
56943.9527265984,0.0359933796296296,-0.0359933796296296,0.04405348,0.007863781,-0.007863781,00035474019,PC,False,False,FULL
56949.8459185347,0.0053106018518518,-0.0053106018518518,0.1005208,0.01358301,-0.01358301,00035474020,PC,False,False,FULL
56954.9004746065,0.0063117824074074,-0.0063117824074074,0.07332323,0.009801217,-0.009801217,00035474021,PC,False,False,FULL
57670.1934352627,0.0389715509259259,-0.0389715509259259,0.0241301,0.004398479,-0.004398479,00031987018,PC,False,False,FULL
57671.1567821736,0.0082706134259259,-0.0082706134259259,0.02821288,0.005566534,-0.005566534,00031987019,PC,False,False,FULL
57672.184740809,0.0379121527777778,-0.0379121527777778,0.03829807,0.006118908,-0.006118908,00031987020,PC,False,False,FULL
57677.2713419954,0.0055137384259259,-0.0055137384259259,0.04902378,0.008950185,-0.008950185,00080321001,PC,False,False,FULL
57677.4600356308,0.005716875,-0.005716875,0.03108318,0.007164987,-0.007164987,00080321002,PC,False,False,FULL
57677.5916301562,0.0046721643518518,-0.0046721643518518,0.05097075,0.0102189,-0.0102189,00080321003,PC,False,False,FULL
57677.7916582928,0.0060360879629629,-0.0060360879629629,0.02957739,0.006632167,-0.006632167,00080321004,PC,False,False,FULL
57677.9249942303,0.0060360879629629,-0.0060360879629629,0.02902021,0.006502018,-0.006502018,00080321005,PC,False,False,FULL
57678.060078316,0.0056733449074074,-0.0056733449074074,0.03722847,0.007950752,-0.007950752,00080321006,PC,False,False,FULL
58494.6950476354,0.0039756944444444,-0.0039756944444444,0.03246659,0.008066498,-0.008066498,03107216001,PC,False,False,FULL
58612.6868310104,0.0038451041666666,-0.0038451041666666,0.08087869,0.01438866,-0.01438866,03107216002,PC,False,False,FULL
58620.7842593218,0.0071098263888888,-0.0071098263888888,0.1319085,0.01201814,-0.01201814,03107216003,PC,False,False,FULL
