MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
53742.3058204581,0.272614375,-0.272614375,0.002877,0.000774,00035474001,PC,False,False,SOFT
53742.3058204581,0.272614375,-0.272614375,0.045213,0.00297,00035474001,PC,False,False,HARD
53742.3058204581,0.272614375,-0.272614375,15.712604,4.350752,00035474001,PC,False,False,HR
55726.9308659674,0.0690322800925926,-0.0690322800925926,0.086209,0.006084,00031987001,PC,False,False,HARD
55726.9308659674,0.0690322800925926,-0.0690322800925926,0.008078,0.001907,00031987001,PC,False,False,SOFT
55726.9308659674,0.0690322800925926,-0.0690322800925926,10.671553,2.629657,00031987001,PC,False,False,HR
55727.4323359985,0.309119363425926,-0.309119363425926,0.088079,0.003514,00031987002,PC,False,False,HARD
55727.4323359985,0.309119363425926,-0.309119363425926,0.005869,0.000973,00031987002,PC,False,False,SOFT
55727.4323359985,0.309119363425926,-0.309119363425926,15.006683,2.558587,00031987002,PC,False,False,HR
56151.0112323811,0.0087869097222222,-0.0087869097222222,0.003481,0.00192,00031987003,PC,False,False,SOFT
56151.0112323811,0.0087869097222222,-0.0087869097222222,8.447575,4.909337,00031987003,PC,False,False,HR
56151.0112323811,0.0087869097222222,-0.0087869097222222,0.029405,0.005385,00031987003,PC,False,False,HARD
56597.890860272,0.861775891203704,-0.861775891203704,15.559227,2.051606,00031987004,PC,False,False,HR
56597.890860272,0.861775891203704,-0.861775891203704,0.121065,0.00382,00031987004,PC,False,False,HARD
56597.890860272,0.861775891203704,-0.861775891203704,0.007781,0.000996,00031987004,PC,False,False,SOFT
56645.6645445544,0.276287881944444,-0.276287881944444,0.006329,0.000856,00031987005,PC,False,False,SOFT
56645.6645445544,0.276287881944444,-0.276287881944444,0.087292,0.003152,00031987005,PC,False,False,HARD
56645.6645445544,0.276287881944444,-0.276287881944444,13.792677,1.931248,00031987005,PC,False,False,HR
56693.4885870255,0.469585451388889,-0.469585451388889,0.157104,0.006328,00031987006,PC,False,False,HARD
56693.4885870255,0.469585451388889,-0.469585451388889,0.009949,0.001632,00031987006,PC,False,False,SOFT
56693.4885870255,0.469585451388889,-0.469585451388889,15.790528,2.667231,00031987006,PC,False,False,HR
56694.5544786806,0.403698888888889,-0.403698888888889,0.00971,0.00175,00031987007,PC,False,False,SOFT
56694.5544786806,0.403698888888889,-0.403698888888889,0.15439,0.00686,00031987007,PC,False,False,HARD
56694.5544786806,0.403698888888889,-0.403698888888889,15.90085,2.951874,00031987007,PC,False,False,HR
56718.8245053831,0.0017266666666666,-0.0017266666666666,0.043931,0.014211,00084233001,PC,True,False,HARD
56718.8245053831,0.0017266666666666,-0.0017266666666666,0.00851,0.006308,00084233001,PC,True,False,SOFT
56718.8245053831,0.0017266666666666,-0.0017266666666666,5.162489,4.175396,00084233001,PC,True,False,HR
56722.2978624051,0.0012768634259259,-0.0012768634259259,-0.00061,0.000184,00084233002,PC,True,False,SOFT
56722.2978624051,0.0012768634259259,-0.0012768634259259,0.043364,0.016538,00084233002,PC,True,False,HARD
56722.2978624051,0.0012768634259259,-0.0012768634259259,-71.083032,-34.557788,00084233002,PC,True,False,HR
56741.5174309711,0.476162962962963,-0.476162962962963,11.441423,2.264652,00031987008,PC,False,False,HR
56741.5174309711,0.476162962962963,-0.476162962962963,0.042091,0.002281,00031987008,PC,False,False,HARD
56741.5174309711,0.476162962962963,-0.476162962962963,0.003679,0.0007,00031987008,PC,False,False,SOFT
56759.7689781481,0.0072549189814814,-0.0072549189814814,0.059796,0.010567,00084233003,PC,False,False,HARD
56759.7689781481,0.0072549189814814,-0.0072549189814814,0.004747,0.003239,00084233003,PC,False,False,SOFT
56759.7689781481,0.0072549189814814,-0.0072549189814814,12.59685,8.879919,00084233003,PC,False,False,HR
56789.4846694838,0.439464155092593,-0.439464155092593,0.001815,0.00056,00031987009,PC,False,False,SOFT
56789.4846694838,0.439464155092593,-0.439464155092593,21.843746,6.860521,00031987009,PC,False,False,HR
56789.4846694838,0.439464155092593,-0.439464155092593,0.039649,0.002347,00031987009,PC,False,False,HARD
56792.9167656597,0.0740209953703704,-0.0740209953703704,0.001776,0.0009,00031987010,PC,False,False,SOFT
56792.9167656597,0.0740209953703704,-0.0740209953703704,17.26797,8.955885,00031987010,PC,False,False,HR
56792.9167656597,0.0740209953703704,-0.0740209953703704,0.030666,0.003366,00031987010,PC,False,False,HARD
56844.4362009167,0.404597638888889,-0.404597638888889,0.044994,0.002901,00031987011,PC,False,False,HARD
56844.4362009167,0.404597638888889,-0.404597638888889,0.001771,0.000682,00031987011,PC,False,False,SOFT
56844.4362009167,0.404597638888889,-0.404597638888889,25.412938,9.926782,00031987011,PC,False,False,HR
56847.2608815255,0.108393032407407,-0.108393032407407,0.002159,0.00097,00031987012,PC,False,False,SOFT
56847.2608815255,0.108393032407407,-0.108393032407407,18.9925,8.711097,00031987012,PC,False,False,HR
56847.2608815255,0.108393032407407,-0.108393032407407,0.041004,0.003779,00031987012,PC,False,False,HARD
56848.2250908287,0.0080819791666666,-0.0080819791666666,0.032607,0.005765,00031987013,PC,False,False,HARD
56848.2250908287,0.0080819791666666,-0.0080819791666666,0.003438,0.002005,00031987013,PC,False,False,SOFT
56848.2250908287,0.0080819791666666,-0.0080819791666666,9.484653,5.780147,00031987013,PC,False,False,HR
56849.0235848426,0.004736099537037,-0.004736099537037,0.03655,0.008255,00035474002,PC,False,False,HARD
56849.0235848426,0.004736099537037,-0.004736099537037,11.225003,9.42561,00035474002,PC,False,False,HR
56849.0235848426,0.004736099537037,-0.004736099537037,0.003256,0.002633,00035474002,PC,False,False,SOFT
56854.8810640185,0.004657662037037,-0.004657662037037,-67.373696,-25.869482,00035474003,PC,True,False,HR
56854.8810640185,0.004657662037037,-0.004657662037037,0.029937,0.009345,00035474003,PC,True,False,HARD
56854.8810640185,0.004657662037037,-0.004657662037037,-0.000444,9.9e-05,00035474003,PC,True,False,SOFT
56859.6141921667,0.0057749189814814,-0.0057749189814814,0.040596,0.007388,00035474004,PC,False,False,HARD
56859.6141921667,0.0057749189814814,-0.0057749189814814,18.649949,16.53588,00035474004,PC,False,False,HR
56859.6141921667,0.0057749189814814,-0.0057749189814814,0.002177,0.001889,00035474004,PC,False,False,SOFT
56864.5427756389,0.0043094212962963,-0.0043094212962963,0.046538,0.009115,00035474005,PC,False,False,HARD
56864.5427756389,0.0043094212962963,-0.0043094212962963,10.102058,6.984589,00035474005,PC,False,False,HR
56864.5427756389,0.0043094212962963,-0.0043094212962963,0.004607,0.003055,00035474005,PC,False,False,SOFT
56869.5353061586,0.0055137384259259,-0.0055137384259259,0.036032,0.007174,00035474006,PC,False,False,HARD
56869.5353061586,0.0055137384259259,-0.0055137384259259,35.15985,48.711907,00035474006,PC,False,False,HR
56869.5353061586,0.0055137384259259,-0.0055137384259259,0.001025,0.001405,00035474006,PC,False,False,SOFT
56874.0075989722,0.005418125,-0.005418125,0.00094,0.001475,00035474007,PC,False,False,SOFT
